"Educator Race/Ethnicity Report for 2006-07"

"District","School","Race","Count","% of Total"
,,"White",50,98.0
,"Thames River Academy","Black or African American",1,16.7
,,"White",5,83.3
,"Thomas W. Mahan School","White",25,100.0
,"Uncas Network School","Black or African American",1,4.3
,,"White",22,95.7
,"Veterans' Memorial School","Black or African American",2,7.4
,,"White",25,92.6
,"Wequonnoc Magnet School","White",23,100.0
"Odyssey Community School District","Odyssey Community School","White",14,100.0
"Old Saybrook School District","Kathleen E. Goodwin School","White",63,100.0
,"Old Saybrook Middle School","Asian",1,1.5
,,"Hispanic",1,1.5
,,"White",65,97.0
,"Old Saybrook Senior High School","White",55,100.0
"Orange School District","Mary L. Tracy School","White",26,100.0
,"Peck Place School","White",45,100.0
,"Race Brook School","Hispanic",1,2.5
,,"White",39,97.5
,"Turkey Hill School","White",36,100.0
"Oxford School District","Great Oak School","White",38,100.0
,"Oxford Center School","Hispanic",1,2.8
,,"White",35,97.2
,"Quaker Farms School","White",36,100.0
"Park City Prep Charter School District","Park City Prep Charter School","Black or African American",1,10.0
,,"White",9,90.0
"Plainfield School District","Early Childhood Center","White",16,100.0
,"Moosup Elementary School","White",30,100.0
,"Plainfield Central School","White",53,100.0
,"Plainfield High School","White",72,100.0
,"Plainfield Memorial School","White",34,100.0
,"Shepard Hill Elementary School","White",34,100.0
"Plainville School District","Frank T. Wheeler School","Asian",1,2.9
,,"Black or African American",1,2.9
,,"White",32,94.1
,"Linden Street School","White",44,100.0
,"Louis Toffolon School","White",37,100.0
,"Middle School of Plainville","White",65,100.0
,"Plainville High School","Hispanic",1,1.2
,,"White",80,98.8
,"Prekindergarten Program","White",3,100.0
"Plymouth School District","Eli Terry Jr. Middle School","White",43,100.0
,"Main Street School","White",20,100.0
,"Plymouth Center School","White",39,100.0
,"Prospect Street School","White",17,100.0
,"Terryville High School","Asian",1,2.1
,,"Hispanic",2,4.3
,,"White",44,93.6
"Pomfret School District","Pomfret Community School","White",48,100.0
"Portland School District","Brownstone Intermediate School","White",22,100.0
,"Gildersleeve School","White",23,100.0
,"Portland High School","White",38,100.0
,"Portland Middle School","White",31,100.0
,"Valley View School","White",32,100.0
"Preston School District","Preston Plains School","White",22,100.0
,"Preston Veterans' Memorial School","Black or African American",1,3.0
,,"White",32,97.0
"Putnam School District","Putnam Elementary School","White",57,100.0
,"Putnam High School","White",39,100.0
,"Putnam Middle School","Black or African American",1,3.4
,,"White",28,96.6
"Redding School District","John Read Middle School","Hispanic",1,1.8
,,"White",56,98.2
,"Redding Elementary School","White",68,100.0
"Regional School District 01","Housatonic Valley Regional High School","Asian",1,1.7
,,"White",59,98.3
"Regional School District 04","John Winthrop Middle School","White",38,100.0
,"Valley Regional High School","Asian",1,1.6
,,"Hispanic",2,3.2
,,"White",58,93.5
,,"American Indian",1,1.6
"Regional School District 05","Amity Middle School: Bethany","White",46,100.0
,"Amity Middle School: Orange","Hispanic",2,4.9
,,"White",39,95.1
,"Amity Regional High School","Black or African American",1,0.6
,,"Hispanic",5,3.2
,,"White",150,96.2
"Regional School District 06","Goshen Center School","White",27,100.0
,"James Morris School","White",27,100.0
,"Stepping Stones Preschool Program","White",1,100.0
,"Wamogo Regional High School","Hispanic",2,3.4
,,"White",57,96.6
,"Warren Elementary School","White",20,100.0
"Regional School District 07","Northwestern Regional High School","Hispanic",1,1.3
,,"White",76,98.7
,"Northwestern Regional Middle School","Black or African American",1,1.8
,,"Hispanic",1,1.8
,,"White",53,96.4
"Regional School District 08","RHAM High School","Hispanic",2,2.1
,,"White",92,96.8
,,"American Indian",1,1.1
,"RHAM Middle School","Black or African American",1,1.6
,,"Hispanic",1,1.6
,,"White",61,95.3
,,"American Indian",1,1.6
"Regional School District 09","Joel Barlow High School","Hispanic",1,1.0
,,"White",96,99.0
"Regional School District 10","Har-Bur Middle School","White",68,100.0
,"Harwinton Consolidated School","White",61,100.0
,"Lake Garda Elementary School","Asian",1,1.4
,,"White",68,98.6
,"Lewis S. Mills High School","Black or African American",1,1.3
,,"Hispanic",1,1.3
,,"White",75,97.4
"Regional School District 11","Parish Hill High School","White",48,100.0
"Regional School District 12","Booth Free School","White",18,100.0
,"Early Childhood Education Center","White",3,100.0
,"Shepaug Valley High School","Hispanic",1,2.3
,,"White",43,97.7
,"Shepaug Valley Middle School","Hispanic",1,2.9
,,"White",34,97.1
,"The Burnham School","White",16,100.0
,"Washington Primary School","White",21,100.0
"Regional School District 13","Coginchaug Regional High School","Hispanic",2,3.4
,,"White",57,96.6
,"Francis E. Korn School","Hispanic",1,4.0
,,"White",24,96.0
,"Frank Ward Strong School","White",37,100.0
,"Frederick Brewster School","White",31,100.0
,"John Lyman School","White",34,100.0
,"Middlefield Memorial School","White",37,100.0
"Regional School District 14","Bethlehem Elementary School","White",31,100.0
,"Integrated Star Preschool Program","White",1,100.0
,"Mitchell Elementary School","Hispanic",1,2.4
,,"White",40,97.6
,"Nonnewaug High School","Black or African American",1,1.6
,,"White",61,98.4
,"Woodbury Middle School","White",58,100.0
"Regional School District 15","Gainfield Elementary School","White",39,100.0
,"Long Meadow Elementary School","White",53,100.0
,"Memorial Middle School","Black or African American",1,2.0
,,"Hispanic",1,2.0
,,"White",47,95.9
,"Middlebury Elementary School","White",37,100.0
,"Pomperaug Regional High School","Black or African American",1,0.9
,,"Hispanic",1,0.9
,,"White",115,98.3
,"Pomperaug School","Hispanic",1,2.0
,,"White",48,98.0
,"Rochambeau Middle School","Black or African American",2,3.7
,,"Hispanic",1,1.9
,,"White",51,94.4
"Regional School District 16","Algonquin School","White",43,100.0
,"Community School","White",23,100.0
,"Laurel Ledge School","Hispanic",2,5.1
,,"White",37,94.9
,"Long River Middle School","White",52,100.0
,"Woodland Regional High School","White",77,100.0
"Regional School District 17","Burr District Elementary School","White",44,100.0
,"Haddam Elementary School","Black or African American",1,2.6
,,"Hispanic",1,2.6
,,"White",37,94.9
,"Haddam-Killingworth High School","Hispanic",2,3.1
,,"White",63,96.9
,"Haddam-Killingworth Middle School","Hispanic",1,2.3
,,"White",42,97.7
,"Killingworth Elementary School","White",46,100.0
"Regional School District 18","Center School","Asian",1,3.6
,,"White",27,96.4
,"Lyme Consolidated School","White",25,100.0
,"Lyme-Old Lyme High School","White",52,100.0
,"Lyme-Old Lyme Middle School","Asian",1,2.3
,,"White",43,97.7
,"Mile Creek School","White",32,100.0
"Regional School District 19","E. O. Smith High School","Hispanic",2,1.6
,,"White",122,98.4
"Ridgefield School District","Barlow Mountain Elementary School","Asian",1,2.7
,,"White",36,97.3
,"Branchville Elementary School","Asian",1,2.9
,,"White",34,97.1
,"East Ridge Middle School","Asian",1,1.4
,,"Hispanic",2,2.9
,,"White",66,95.7
,"Farmingville Elementary School","White",31,100.0
,"Ridgebury Elementary School","White",39,100.0
,"Ridgefield High School","Asian",2,1.4
,,"Black or African American",1,0.7
,,"Hispanic",4,2.7
,,"White",141,95.3
,"Scotland Elementary School","White",32,100.0
,"Scotts Ridge Middle School","Asian",1,2.3
,,"White",43,97.7
,"Veterans Park Elementary School","White",32,100.0
"Rocky Hill School District","Albert D. Griswold Middle School","White",57,100.0
,"Dr. Oran A. Moser School","Asian",1,5.9
,,"White",16,94.1
,"Myrtle H. Stevens School","Asian",1,2.3
,,"White",42,97.7
,"Rocky Hill High School","Hispanic",2,2.6
,,"White",76,97.4
,"West Hill School","Hispanic",1,2.1
,,"White",46,97.9
"Salem School District","Salem Elementary School","Hispanic",1,1.8
,,"White",54,96.4
,,"American Indian",1,1.8
"Salisbury School District","Salisbury Central School","Asian",1,2.4
,,"White",41,97.6
"Scotland School District","Scotland Elementary School","White",20,100.0
"Seymour School District","Anna L. Lopresti School","White",29,100.0
,"Bungay School","White",41,100.0
,"Paul E. Chatfield School","White",32,100.0
,"Seymour High School","Black or African American",1,1.4
,,"White",73,98.6
,"Seymour Middle School","White",49,100.0
"Sharon School District","Sharon Center School","White",34,100.0
"Shelton School District","Mohegan School","White",47,100.0
,"Booth Hill School","White",39,100.0
,"Elizabeth Shelton School","White",48,100.0
,"Intermediate School","White",81,100.0
,"Lafayette School","White",43,100.0
,"Long Hill School","Hispanic",1,2.1
,,"White",47,97.9
,"Shelton High School","Asian",1,0.7
,,"Hispanic",1,0.7
,,"White",145,98.6
,"Sunnyside School","White",32,100.0
"Sherman School District","Sherman School","Asian",1,2.2
,,"Hispanic",1,2.2
,,"White",43,95.6
"Side By Side Charter School District","Side By Side Charter School","White",17,100.0
"Simsbury School District","Central School","Hispanic",1,2.0
,,"White",49,98.0
,"Henry James Memorial School","Black or African American",1,1.2
,,"Hispanic",1,1.2
,,"White",81,96.4
,,"American Indian",1,1.2
,"Latimer Lane School","Asian",1,1.7
,,"Hispanic",1,1.7
,,"White",56,96.6
,"Simsbury High School","Asian",3,2.0
,,"Hispanic",3,2.0
,,"White",143,96.0
,"Squadron Line School","Black or African American",1,1.4
,,"Hispanic",1,1.4
,,"White",71,97.3
,"Tariffville School","Asian",1,2.6
,,"White",38,97.4
,"Tootin' Hills School","Asian",1,1.5
,,"Hispanic",1,1.5
,,"White",65,97.0
"Somers School District","Mabelle B. Avery Middle School","Asian",1,2.5
,,"White",39,97.5
,"Somers Elementary School","Asian",1,1.6
,,"Black or African American",1,1.6
,,"White",62,96.9
,"Somers High School","Hispanic",2,3.5
,,"White",55,96.5
"South Windsor School District","Pleasant Valley School","Black or African American",1,2.8
,,"White",35,97.2
,"Eli Terry School","White",38,100.0
,"Orchard Hill School","White",35,100.0
,"Philip R. Smith School","Black or African American",2,5.6
,,"Hispanic",1,2.8
,,"White",33,91.7
,"South Windsor High School","Asian",1,0.7
,,"Black or African American",1,0.7
,,"Hispanic",5,3.6
,,"White",130,93.5
,,"American Indian",2,1.4
,"Timothy Edwards School","Hispanic",4,3.6
,,"White",108,96.4
,"Wapping Elementary School","White",30,100.0
"Southington School District","John F. Kennedy Middle School","Black or African American",1,1.3
,,"Hispanic",1,1.3
,,"White",75,97.4
,"Derynoski Elementary School","White",51,100.0
,"Flanders Elementary School","White",32,100.0
,"Hatton Elementary School","White",42,100.0
,"Joseph A. Depaolo Middle School","Black or African American",1,1.4
,,"White",72,98.6
,"Plantsville Elementary School","Black or African American",1,4.3
,,"White",22,95.7
,"South End Elementary School","White",25,100.0
,"Southington High School","Black or African American",2,1.0
,,"White",195,98.5
,,"American Indian",1,0.5
,"Strong Elementary School","Hispanic",1,2.6
,,"White",38,97.4
,"Thalberg Elementary School","Asian",1,2.5
,,"White",39,97.5
,"Urbin T. Kelley School","White",36,100.0
"Sprague School District","Sayles School","Asian",1,3.1
,,"Hispanic",2,6.3
,,"White",29,90.6
"Stafford School District","Borough Elementary School","White",25,100.0
,"Earl M. Witt Intermediate School","White",31,100.0
,"Stafford High School","Asian",1,2.2
,,"White",45,97.8
,"Stafford Middle School","Hispanic",1,2.1
,,"White",46,97.9
,"Staffordville School","White",25,100.0
,"West Stafford School","White",27,100.0
"Stamford Academy District","Stamford Academy","Black or African American",2,18.2
,,"White",9,81.8
"Stamford School District","Cloonan School","Asian",2,3.1
,,"Black or African American",5,7.7
,,"Hispanic",3,4.6
,,"White",55,84.6
,"Davenport Ridge School","Asian",1,1.8
,,"Black or African American",3,5.3
,,"White",53,93.0
,"Dolan School","Asian",1,1.6
,,"Black or African American",2,3.3
,,"White",57,93.4
,,"American Indian",1,1.6
,"Hart School","Asian",1,1.9
,,"Black or African American",6,11.5
,,"Hispanic",1,1.9
,,"White",44,84.6
,"Julia A. Stark School","Asian",1,1.7
,,"Black or African American",3,5.0
,,"Hispanic",1,1.7
,,"White",55,91.7
,"K. T. Murphy School","Black or African American",2,3.8
,,"Hispanic",6,11.3
,,"White",45,84.9
,"Newfield School","Black or African American",4,7.5
,,"Hispanic",2,3.8
,,"White",47,88.7
,"Northeast School","Black or African American",3,4.5
,,"Hispanic",7,10.6
,,"White",56,84.8
,"Preschool Team","Hispanic",1,25.0
,,"White",3,75.0
,"Rippowam Middle School","Asian",1,1.1
,,"Black or African American",4,4.6
,,"Hispanic",1,1.1
,,"White",81,93.1
,"Rogers International School","Asian",4,6.5
,,"Black or African American",5,8.1
,,"Hispanic",7,11.3
,,"White",45,72.6
,,"American Indian",1,1.6
,"Roxbury School","Black or African American",2,3.1
,,"Hispanic",3,4.6
,,"White",59,90.8
,,"American Indian",1,1.5
,"Scofield Middle School","Black or African American",4,6.7
,,"Hispanic",3,5.0
,,"White",53,88.3
,"Springdale School","Asian",1,1.8
,,"Black or African American",4,7.3
,,"White",50,90.9
,"Stamford High School","Asian",1,0.6
,,"Black or African American",15,8.5
,,"Hispanic",3,1.7
,,"White",156,88.1
,,"American Indian",2,1.1
,"Stillmeadow School","Asian",1,1.6
,,"Black or African American",4,6.5
,,"Hispanic",3,4.8
,,"White",54,87.1
,"The Academy of Information Technology","Asian",2,4.3
,,"Black or African American",6,13.0
,,"Hispanic",4,8.7
,,"White",34,73.9
,"Toquam Magnet School","Black or African American",3,6.0
,,"Hispanic",2,4.0
,,"White",45,90.0
,"Turn of River School","Black or African American",4,6.0
,,"Hispanic",4,6.0
,,"White",59,88.1
,"Westhill High School","Asian",8,4.3
,,"Black or African American",14,7.5
,,"Hispanic",14,7.5
,,"White",151,80.7
,"Westover School","Black or African American",2,3.1
,,"Hispanic",3,4.6
,,"White",60,92.3
,"William Pitt Child Development Center","White",9,100.0
"State of Connecticut","","Asian",.,0.7
,,"Black or African American",.,3.6
,,"Hispanic",.,3.2
,,"White",.,92.3
,,"American Indian",.,0.2
"Sterling School District","Sterling Memorial School","White",36,100.0
"Stonington School District","Deans Mill School","Black or African American",1,2.3
,,"White",42,97.7
,"Mystic Middle School","Asian",1,2.4
,,"White",41,97.6
,"Pawcatuck Middle School","Asian",1,2.8
,,"White",35,97.2
,"Special Needs Preschool Program","White",2,100.0
,"Stonington High School","Asian",1,1.4
,,"Black or African American",1,1.4
,,"Hispanic",1,1.4
,,"White",69,95.8
,"West Broad Street School","White",19,100.0
,"West Vine Street School","White",25,100.0
"Stratford School District","Eli Whitney School","Hispanic",1,2.1
,,"White",46,97.9
,"Bunnell High School","Black or African American",1,0.9
,,"Hispanic",4,3.8
,,"White",101,95.3
,"Chapel School","White",37,100.0
,"David Wooster Middle School","White",50,100.0
,"Franklin School","Black or African American",1,3.0
,,"Hispanic",1,3.0
,,"White",31,93.9
,"Harry B. Flood Middle School","Asian",1,1.7
,,"White",59,98.3
,"Lordship School","Black or African American",1,4.3
,,"White",22,95.7
,"Nichols School","Asian",1,2.9
,,"Hispanic",2,5.9
,,"White",31,91.2
,"STRIVE-Stratford","White",2,100.0
,"Second Hill Lane School","Black or African American",2,3.1
,,"White",63,96.9
,"Stratford Academy - Johnson House","Black or African American",5,7.9
,,"White",58,92.1
,"Stratford High School","Black or African American",3,3.4
,,"Hispanic",2,2.3
,,"White",82,94.3
,"Wilcoxson School","Black or African American",2,6.5
,,"White",29,93.5
"Suffield School District","Prekindergarten Program","White",4,100.0
,"A. Ward Spaulding School","Hispanic",2,5.7
,,"White",33,94.3
,"McAlister Intermediate School","Hispanic",1,1.9
,,"White",51,98.1
,"Suffield High School","Black or African American",1,1.4
,,"Hispanic",1,1.4
,,"White",68,95.8
,,"American Indian",1,1.4
,"Suffield Middle School","Asian",1,1.6
,,"Black or African American",1,1.6
,,"Hispanic",1,1.6
,,"White",58,95.1
"The Bridge Academy District","The Bridge Academy","Black or African American",1,4.8
,,"Hispanic",3,14.3
,,"White",17,81.0
"The Gilbert School District","The Gilbert School","White",53,100.0
"Thomaston School District","Black Rock School","White",31,100.0
,"Thomaston Center School","Hispanic",1,3.7
,,"White",26,96.3
,"Thomaston High School","White",54,100.0
"Thompson School District","Mary R. Fisher Elementary School","Black or African American",1,2.2
,,"White",44,97.8
,"Thompson Middle School","White",43,100.0
,"Tourtellotte Memorial High School","White",43,97.7
,,"American Indian",1,2.3
"Tolland School District","Birch Grove Primary School","Hispanic",1,1.7
,,"White",58,98.3
,"Tolland High School","Black or African American",1,1.4
,,"Hispanic",1,1.4
,,"White",68,94.4
,,"American Indian",2,2.8
,"Tolland Intermediate School","Black or African American",1,2.4
,,"White",41,97.6
,"Tolland Middle School","Asian",1,1.2
,,"Hispanic",3,3.5
,,"White",81,95.3
"Torrington School District","East School","White",41,100.0
,"Forbes School","Black or African American",1,2.1
,,"Hispanic",1,2.1
,,"White",46,95.8
,"Southwest School","Asian",1,2.9
,,"White",33,97.1
,"Torringford School","White",47,100.0
,"Torrington High School","Hispanic",4,3.4
,,"White",112,95.7
,,"American Indian",1,0.9
,"Torrington Middle School","Asian",1,1.1
,,"Hispanic",2,2.1
,,"White",92,96.8
,"Vogel-Wetmore School","Black or African American",1,1.8
,,"Hispanic",3,5.5
,,"White",51,92.7
"Trailblazers Academy District","Trailblazers Academy","White",16,100.0
"Trumbull School District","Booth Hill School","Hispanic",2,4.1
,,"White",47,95.9
,"Daniels Farm School","White",53,100.0
,"Frenchtown Elementary School","Asian",1,1.6
,,"White",62,98.4
,"Head Start","White",3,100.0
,"Hillcrest Middle School","Asian",2,3.2
,,"Hispanic",1,1.6
,,"White",60,95.2
,"Jane Ryan School","White",44,100.0
,"Madison Middle School","Black or African American",1,1.3
,,"Hispanic",2,2.6
,,"White",73,96.1
,"Middlebrook School","Hispanic",2,3.6
,,"White",54,96.4
,"Tashua School","White",48,100.0
,"Trumbull Early Childhood Education Center","White",21,100.0
,"Trumbull High School","Asian",2,1.1
,,"Black or African American",1,0.6
,,"Hispanic",4,2.2
,,"White",171,96.1
"Unified School District #1","Bergin Correctional Institution","White",6,100.0
,"Bridgeport Correctional Center","White",2,100.0
,"Brooklyn Correctional Institution","White",4,100.0
,"Cheshire Correctional Institution","Black or African American",2,15.4
,,"White",11,84.6
,"Corrigan/Radgowski Correctional Institution","Black or African American",1,6.3
,,"Hispanic",1,6.3
,,"White",14,87.5
,"Enfield Correctional Institution","Hispanic",1,9.1
,,"White",10,90.9
,"Garner Correctional Institution","White",6,100.0
,"Gates Correctional Institution","Black or African American",1,10.0
,,"White",9,90.0
,"Hartford Correctional Center","White",5,100.0
,"MacDougall/Walker Correctional Institution","White",25,100.0
,"Manson Youth Institution","Asian",1,2.0
,,"Black or African American",5,10.0
,,"Hispanic",1,2.0
,,"White",43,86.0
,"New Haven Correctional Center","Black or African American",1,33.3
,,"White",2,66.7
,"Northern Correctional Institution","White",2,100.0
,"Osborn Correctional Institution","White",13,100.0
,"Robinson Correctional Institution","Hispanic",2,14.3
,,"White",12,85.7
,"Webster Correctional Institution","White",7,100.0
,"Willard/Cybulski Correctional Institution","White",6,100.0
,"York Correctional Institution","Black or African American",3,15.0
,,"White",16,80.0
,,"American Indian",1,5.0
"Unified School District #2","Children's Place School","Black or African American",3,20.0
,,"White",12,80.0
,"High Meadows","White",12,100.0
,"Riverview School","Asian",1,3.7
,,"Black or African American",1,3.7
,,"Hispanic",1,3.7
,,"White",24,88.9
,"Walter G. Cady School","Asian",1,2.3
,,"Black or African American",3,7.0
,,"Hispanic",1,2.3
,,"White",38,88.4
"Union School District","Union Elementary School","White",10,100.0
"Vernon School District","Northeast School","White",26,100.0
,"Center Road School","White",47,100.0
,"Lake Street School","White",23,100.0
,"Maple Street School","Hispanic",1,3.2
,,"White",30,96.8
,"Rockville High School","Asian",1,0.9
,,"Hispanic",2,1.8
,,"White",110,96.5
,,"American Indian",1,0.9
,"Skinner Road School","White",37,100.0
,"Vernon Center Middle School","Asian",1,1.1
,,"Black or African American",3,3.2
,,"Hispanic",2,2.2
,,"White",87,93.5
"Voluntown School District","Voluntown Elementary School","White",31,100.0
"Wallingford School District","Highland School","Black or African American",1,2.8
,,"White",35,97.2
,"A.R.T.S. Academy","White",8,100.0
,"Cook Hill School","White",44,100.0
,"Dag Hammarskjold Middle School","White",78,100.0
,"Evarts C. Stevens School","Black or African American",1,2.5
,,"White",39,97.5
,"James H. Moran Middle School","White",75,100.0
,"Lyman Hall High School","Black or African American",1,0.9
,,"Hispanic",2,1.8
,,"White",107,96.4
,,"American Indian",1,0.9
,"Mark T. Sheehan High School","White",85,100.0
,"Moses Y. Beach School","White",40,100.0
,"Parker Farms School","Black or African American",1,2.6
,,"Hispanic",1,2.6
,,"White",36,94.7
,"Pond Hill School","Black or African American",1,2.6
,,"Hispanic",1,2.6
,,"White",36,94.7
,"Rock Hill School","Hispanic",1,3.2
,,"White",30,96.8
,"Yalesville School","Black or African American",1,2.0
,,"White",49,98.0
"Waterbury School District","Brooklyn Elementary School","White",13,100.0
,"West Side Middle School","Black or African American",5,4.8
,,"Hispanic",10,9.6
,,"White",89,85.6
,"Washington School","Black or African American",3,12.5
,,"Hispanic",2,8.3
,,"White",19,79.2
,"B. W. Tinker School","Hispanic",1,2.3
,,"White",43,97.7
,"Barnard School","Black or African American",1,4.5
,,"White",21,95.5
,"Bucks Hill School","Black or African American",1,1.5
,,"Hispanic",2,3.0
,,"White",64,95.5
,"Bunker Hill School","Black or African American",1,2.6
,,"Hispanic",1,2.6
,,"White",36,94.7
,"Carrington School","Hispanic",12,27.3
,,"White",32,72.7
,"Crosby High School","Asian",2,1.8
,,"Black or African American",3,2.7
,,"Hispanic",10,8.9
,,"White",97,86.6
,"Driggs School","Asian",1,2.0
,,"Black or African American",3,6.0
,,"Hispanic",2,4.0
,,"White",44,88.0
,"F. J. Kingsbury School","Black or African American",3,7.9
,,"Hispanic",1,2.6
,,"White",34,89.5
,"Gilmartin School","Black or African American",1,3.7
,,"White",26,96.3
,"H. S. Chase School","Asian",2,3.3
,,"Hispanic",4,6.6
,,"White",54,88.5
,,"American Indian",1,1.6
,"Hopeville School","Black or African American",1,2.3
,,"Hispanic",8,18.2
,,"White",35,79.5
,"John F. Kennedy High School","Black or African American",6,5.8
,,"Hispanic",8,7.7
,,"White",90,86.5
,"Maloney Interdistrict Magnet School","Asian",2,3.9
,,"Black or African American",1,2.0
,,"Hispanic",7,13.7
,,"White",41,80.4
,"Margaret M. Generali Elementary School","Black or African American",2,4.2
,,"Hispanic",2,4.2
,,"White",44,91.7
,"Michael F. Wallace Middle School","Asian",1,1.0
,,"Black or African American",6,5.8
,,"Hispanic",5,4.9
,,"White",91,88.3
,"North End Middle School","Asian",1,1.0
,,"Black or African American",1,1.0
,,"Hispanic",9,9.3
,,"White",86,88.7
,"Regan School","Black or African American",1,4.5
,,"White",21,95.5
,"Rotella Interdistrict Magnet School","Black or African American",1,1.8
,,"Hispanic",1,1.8
,,"White",53,96.4
,"Special Education Preschool","White",4,100.0
,"Sprague School","Black or African American",1,2.9
,,"White",33,97.1
,"State Street School","Black or African American",1,3.1
,,"Hispanic",1,3.1
,,"White",30,93.8
,"Walsh School","Black or African American",4,8.3
,,"Hispanic",8,16.7
,,"White",36,75.0
,"Waterbury Arts Magnet School (High)","Asian",1,1.6
,,"Black or African American",3,4.8
,,"Hispanic",4,6.3
,,"White",55,87.3
,"Waterbury Arts Magnet School (Middle)","Black or African American",4,7.0
,,"Hispanic",5,8.8
,,"White",48,84.2
,"Wendell L. Cross School","Black or African American",3,11.5
,,"White",23,88.5
,"Wilby High School","Asian",1,0.9
,,"Black or African American",4,3.7
,,"Hispanic",5,4.7
,,"White",97,90.7
,"Woodrow Wilson School","Hispanic",5,15.6
,,"White",27,84.4
"Waterford School District","Clark Lane Middle School","Asian",1,1.3
,,"Hispanic",2,2.7
,,"White",72,96.0
,"Cohanzie Elementary School","Asian",1,2.4
,,"Hispanic",1,2.4
,,"White",39,95.1
,"Great Neck Elementary School","Asian",1,3.1
,,"Black or African American",2,6.3
,,"White",29,90.6
,"Oswegatchie Elementary School","Asian",1,2.7
,,"White",36,97.3
,"Southwest Elementary School","White",29,100.0
,"Waterford High School","Asian",2,2.2
,,"Hispanic",1,1.1
,,"White",89,96.7
"Watertown School District","Fletcher W. Judson School","White",34,100.0
,"Heminway Park School","White",28,100.0
,"John Trumbull Primary School","White",58,100.0
,"Polk School","Hispanic",1,3.1
,,"White",31,96.9
,"Swift Middle School","White",53,100.0
,"Watertown High School","Asian",1,1.1
,,"White",85,97.7
,,"American Indian",1,1.1
"West Hartford School District","Smith School","Asian",1,2.4
,,"Hispanic",2,4.9
,,"White",38,92.7
,"Aiken School","Hispanic",1,2.6
,,"White",38,97.4
,"Braeburn School","White",42,100.0
,"Bristow Middle School","Asian",1,2.1
,,"White",47,97.9
,"Bugbee School","White",32,100.0
,"Charter Oak International Academy","Black or African American",2,5.4
,,"Hispanic",1,2.7
,,"White",34,91.9
,"Conard High School","Asian",1,0.7
,,"Black or African American",2,1.4
,,"Hispanic",7,4.9
,,"White",133,93.0
,"Duffy School","Asian",1,1.9
,,"Black or African American",2,3.7
,,"White",51,94.4
,"Hall High School","Asian",1,0.7
,,"Black or African American",3,2.2
,,"Hispanic",2,1.5
,,"White",130,95.6
,"King Philip Middle School","Hispanic",1,1.0
,,"White",103,99.0
,"Morley School","Hispanic",1,3.0
,,"White",32,97.0
,"Norfeldt School","Black or African American",1,2.1
,,"White",45,95.7
,,"American Indian",1,2.1
,"Sedgwick Middle School","Asian",1,1.0
,,"Black or African American",7,6.9
,,"Hispanic",4,3.9
,,"White",90,88.2
,"Webster Hill School","Black or African American",1,2.2
,,"Hispanic",2,4.4
,,"White",42,93.3
,"Whiting Lane School","Black or African American",2,3.2
,,"Hispanic",1,1.6
,,"White",59,95.2
,"Wolcott School","White",45,100.0
"West Haven School District","Washington School","Black or African American",1,3.0
,,"White",32,97.0
,"Alma E. Pagels School","White",41,100.0
,"Anna V. Molloy School","Black or African American",3,10.7
,,"Hispanic",1,3.6
,,"White",24,85.7
,"Carrigan 5/6 Intermediate School","Black or African American",4,4.5
,,"White",84,95.5
,"Clarence E. Thompson School","Black or African American",1,3.1
,,"Hispanic",1,3.1
,,"White",30,93.8
,"Edith E. Mackrille School","Black or African American",1,2.9
,,"Hispanic",1,2.9
,,"White",32,94.1
,"Forest School","Black or African American",1,2.5
,,"Hispanic",1,2.5
,,"White",38,95.0
,"Harry M. Bailey Middle School","Black or African American",1,1.3
,,"Hispanic",1,1.3
,,"White",75,97.4
,"Savin Rock Community School","Black or African American",2,4.7
,,"Hispanic",2,4.7
,,"White",39,90.7
,"Seth G. Haley School","White",40,100.0
,"West Haven High School","Asian",1,0.7
,,"Black or African American",9,6.0
,,"Hispanic",4,2.6
,,"White",137,90.7
"Westbrook School District","Daisy Ingraham School","White",39,100.0
,"Westbrook High School","White",34,100.0
,"Westbrook Middle School","White",34,100.0
"Weston School District","Hurlbutt Elementary School","Asian",1,1.7
,,"Black or African American",1,1.7
,,"Hispanic",1,1.7
,,"White",55,94.8
,"Weston High School","Asian",1,1.3
,,"Hispanic",1,1.3
,,"White",76,97.4
,"Weston Intermediate School","Asian",1,1.8
,,"Black or African American",1,1.8
,,"Hispanic",1,1.8
,,"White",53,94.6
,"Weston Middle School","Asian",1,1.4
,,"Black or African American",1,1.4
,,"Hispanic",1,1.4
,,"White",68,95.8
"Westport School District","Bedford Middle School","Asian",1,1.0
,,"Black or African American",1,1.0
,,"Hispanic",1,1.0
,,"White",98,97.0
,"Coleytown Elementary School","Hispanic",1,1.3
,,"White",77,98.7
,"Coleytown Middle School","Hispanic",1,1.4
,,"White",73,98.6
,"Green's Farms School","White",65,100.0
,"King's Highway Elementary School","Asian",1,1.4
,,"Black or African American",1,1.4
,,"White",70,97.2
,"Long Lots School","Black or African American",1,1.3
,,"White",76,98.7
,"Saugatuck Elementary School","Hispanic",2,3.0
,,"White",64,97.0
,"Staples High School","Asian",1,0.6
,,"Black or African American",1,0.6
,,"Hispanic",8,4.5
,,"White",169,94.4
"Wethersfield School District","Alfred W. Hanmer School","Hispanic",1,2.7
,,"White",36,97.3
,"Charles Wright School","Asian",1,2.7
,,"Hispanic",1,2.7
,,"White",35,94.6
