"Educator Race/Ethnicity Report for 2002-03"

"District","School","Race","Count","% of Total"
"Regional School District 12","Booth Free School","White",19,100.0
,"Early Childhood Education Center","White",3,100.0
,"Shepaug Valley High School","White",46,100.0
,"Shepaug Valley Middle School","Hispanic",1,2.6
,,"White",37,97.4
,"The Burnham School","White",20,100.0
,"Washington Primary School","White",26,100.0
"Regional School District 13","Coginchaug Regional High School","Hispanic",1,1.9
,,"White",53,98.1
,"Francis E. Korn School","White",25,100.0
,"Frank Ward Strong School","White",34,100.0
,"Frederick Brewster School","White",30,100.0
,"John Lyman School","White",33,100.0
,"Middlefield Memorial School","White",36,100.0
"Regional School District 14","Bethlehem Elementary School","White",32,100.0
,"Integrated Star Preschool Program","White",2,100.0
,"Mitchell Elementary School","Hispanic",1,2.0
,,"White",48,98.0
,"Nonnewaug High School","American Indian",1,1.6
,,"White",63,98.4
,"Woodbury Middle School","White",45,100.0
"Regional School District 15","Gainfield Elementary School","White",41,100.0
,"Long Meadow Elementary School","White",51,100.0
,"Memorial Middle School","Hispanic",1,2.1
,,"White",47,97.9
,"Middlebury Elementary School","White",37,100.0
,"Pomperaug Regional High School","White",107,100.0
,"Pomperaug School","White",46,100.0
,"Rochambeau Middle School","Black or African American",2,3.6
,,"Hispanic",1,1.8
,,"White",53,94.6
"Regional School District 16","Algonquin School","White",40,100.0
,"Community School","White",26,100.0
,"Laurel Ledge School","Hispanic",1,2.4
,,"White",41,97.6
,"Long River Middle School","White",53,100.0
,"Woodland Regional High School","Hispanic",1,1.7
,,"White",58,98.3
"Regional School District 17","Burr District Elementary School","Hispanic",1,2.1
,,"White",47,97.9
,"Haddam Elementary School","Hispanic",2,5.0
,,"White",38,95.0
,"Haddam-Killingworth High School","White",66,100.0
,"Haddam-Killingworth Middle School","White",41,100.0
,"Killingworth Elementary School","Black or African American",1,1.8
,,"White",55,98.2
"Regional School District 18","Center School","White",30,100.0
,"Lyme Consolidated School","White",23,100.0
,"Lyme-Old Lyme High School","Hispanic",1,2.0
,,"White",49,98.0
,"Lyme-Old Lyme Middle School","White",47,100.0
,"Mile Creek School","White",31,100.0
"Regional School District 19","E. O. Smith High School","Black or African American",1,0.8
,,"Hispanic",4,3.3
,,"White",118,95.9
"Ridgefield School District","Branchville Elementary School","White",36,100.0
,"East Ridge Middle School","Hispanic",2,2.6
,,"White",74,97.4
,"Farmingville Elementary School","White",36,100.0
,"Ridgebury Elementary School","White",37,100.0
,"Ridgefield High School","Black or African American",2,1.6
,,"Hispanic",3,2.4
,,"White",117,95.1
,,"Asian",1,0.8
,"Scotland Elementary School","White",40,100.0
,"Scotts Ridge Middle School","Hispanic",1,1.9
,,"White",53,98.1
,"Veterans Park Elementary School","White",41,100.0
"Rocky Hill School District","Albert D. Griswold Middle School","White",56,100.0
,"Dr. Oran A. Moser School","Hispanic",1,6.7
,,"White",14,93.3
,"Myrtle H. Stevens School","White",39,100.0
,"Rocky Hill High School","Hispanic",2,2.9
,,"White",68,97.1
,"West Hill School","White",47,100.0
"Salem School District","Salem Elementary School","American Indian",1,1.9
,,"Hispanic",1,1.9
,,"White",52,96.3
"Salisbury School District","Salisbury Central School","White",45,97.8
,,"Asian",1,2.2
"Scotland School District","Scotland Elementary School","White",21,100.0
"Seymour School District","Anna L. Lopresti School","White",31,100.0
,"Bungay School","White",41,100.0
,"Paul E. Chatfield School","White",30,100.0
,"Seymour High School","Black or African American",2,2.6
,,"White",75,97.4
,"Seymour Middle School","White",52,100.0
"Sharon School District","Sharon Center School","White",36,100.0
"Shelton School District","Mohegan School","White",41,100.0
,"Booth Hill School","White",34,100.0
,"Elizabeth Shelton School","White",43,100.0
,"Intermediate School","Hispanic",1,1.3
,,"White",76,98.7
,"Lafayette School","Hispanic",1,2.8
,,"White",35,97.2
,"Long Hill School","White",40,100.0
,"Ripton School","White",25,100.0
,"Shelton High School","Black or African American",1,0.7
,,"White",134,99.3
,"Sunnyside School","White",28,100.0
"Sherman School District","Sherman School","Hispanic",1,2.2
,,"White",43,95.6
,,"Asian",1,2.2
"Side By Side Charter School District","Side By Side Charter School","Hispanic",1,6.3
,,"White",15,93.8
"Simsbury School District","Central School","White",43,97.7
,,"Asian",1,2.3
,"Henry James Memorial School","American Indian",1,1.2
,,"Hispanic",1,1.2
,,"White",79,96.3
,,"Asian",1,1.2
,"Latimer Lane School","White",57,96.6
,,"Asian",2,3.4
,"Simsbury High School","Hispanic",3,2.1
,,"White",137,95.8
,,"Asian",3,2.1
,"Squadron Line School","Black or African American",1,1.3
,,"White",76,97.4
,,"Asian",1,1.3
,"Tariffville School","White",35,97.2
,,"Asian",1,2.8
,"Tootin' Hills School","White",63,96.9
,,"Asian",2,3.1
"Somers School District","Mabelle B. Avery Middle School","Hispanic",1,2.4
,,"White",41,97.6
,"Somers Elementary School","Hispanic",1,1.6
,,"White",62,98.4
,"Somers High School","Hispanic",2,3.7
,,"White",52,96.3
"South Windsor School District","Pleasant Valley School","Black or African American",1,2.9
,,"White",34,97.1
,"Eli Terry School","American Indian",1,2.9
,,"Black or African American",1,2.9
,,"White",32,94.1
,"Orchard Hill School","White",41,100.0
,"Philip R. Smith School","Black or African American",2,6.1
,,"White",31,93.9
,"South Windsor High School","Black or African American",1,0.8
,,"White",118,99.2
,"Timothy Edwards School","Black or African American",1,0.9
,,"Hispanic",2,1.8
,,"White",107,97.3
,"Wapping Elementary School","White",32,100.0
"Southington School District","John F. Kennedy Middle School","White",75,100.0
,"Derynoski Elementary School","White",62,100.0
,"Flanders Elementary School","White",37,100.0
,"Hatton Elementary School","White",28,100.0
,"Joseph A. Depaolo Middle School","White",74,100.0
,"Plantsville Elementary School","White",27,100.0
,"South End Elementary School","White",29,100.0
,"Southington High School","American Indian",1,0.6
,,"Black or African American",1,0.6
,,"Hispanic",1,0.6
,,"White",175,98.3
,"Strong Elementary School","White",26,100.0
,"Thalberg Elementary School","White",27,100.0
,"Urbin T. Kelley School","White",39,100.0
"Sprague School District","Sayles School","White",38,100.0
"Stafford School District","Borough Elementary School","White",24,100.0
,"Earl M. Witt Intermediate School","White",31,100.0
,"Stafford High School","White",49,98.0
,,"Asian",1,2.0
,"Stafford Middle School","White",47,100.0
,"Staffordville School","White",23,100.0
,"West Stafford School","Hispanic",1,4.0
,,"White",24,96.0
"Stamford School District","Newfield School","American Indian",1,1.7
,,"Black or African American",5,8.6
,,"Hispanic",1,1.7
,,"White",51,87.9
,"Cloonan School","Black or African American",9,10.8
,,"Hispanic",3,3.6
,,"White",71,85.5
,"Davenport Ridge School","Black or African American",3,5.2
,,"White",55,94.8
,"Dolan School","American Indian",1,1.2
,,"Black or African American",6,7.0
,,"White",78,90.7
,,"Asian",1,1.2
,"Hart School","Black or African American",3,5.7
,,"White",47,88.7
,,"Asian",3,5.7
,"Julia A. Stark School","Black or African American",3,5.0
,,"White",56,93.3
,,"Asian",1,1.7
,"K. T. Murphy School","Black or African American",2,3.6
,,"Hispanic",8,14.5
,,"White",45,81.8
,"Northeast School","American Indian",1,1.4
,,"Black or African American",3,4.3
,,"Hispanic",7,10.1
,,"White",57,82.6
,,"Asian",1,1.4
,"Preschool Team","Hispanic",1,20.0
,,"White",4,80.0
,"Rippowam Middle School","Black or African American",2,3.2
,,"Hispanic",1,1.6
,,"White",60,95.2
,"Rogers International School","Black or African American",9,13.4
,,"Hispanic",4,6.0
,,"White",52,77.6
,,"Asian",2,3.0
,"Roxbury School","Black or African American",3,4.8
,,"Hispanic",1,1.6
,,"White",58,92.1
,,"Asian",1,1.6
,"Scofield Middle School","Black or African American",6,9.4
,,"Hispanic",7,10.9
,,"White",51,79.7
,"Springdale School","Black or African American",4,7.1
,,"White",51,91.1
,,"Asian",1,1.8
,"Stamford High School","American Indian",1,0.6
,,"Black or African American",12,7.0
,,"Hispanic",3,1.7
,,"White",153,89.0
,,"Asian",3,1.7
,"Stillmeadow School","Black or African American",3,4.9
,,"Hispanic",1,1.6
,,"White",55,90.2
,,"Asian",2,3.3
,"Toquam Magnet School","Black or African American",6,13.0
,,"White",40,87.0
,"Turn of River School","Black or African American",9,11.1
,,"Hispanic",2,2.5
,,"White",70,86.4
,"Westhill High School","Black or African American",12,7.2
,,"Hispanic",6,3.6
,,"White",143,86.1
,,"Asian",5,3.0
,"Westover School","American Indian",1,1.5
,,"Black or African American",3,4.5
,,"Hispanic",4,6.0
,,"White",59,88.1
,"William Pitt Child Development Center","Black or African American",1,11.1
,,"White",8,88.9
"State of Connecticut","","American Indian",.,0.2
,,"Black or African American",.,3.8
,,"Hispanic",.,3.0
,,"White",.,92.5
,,"Asian",.,0.5
"Sterling School District","Sterling Memorial School","White",34,100.0
"Stonington School District","Deans Mill School","Black or African American",1,2.5
,,"White",39,97.5
,"Mystic Middle School","White",42,100.0
,"Pawcatuck Middle School","White",31,100.0
,"Special Needs Preschool Program","White",2,100.0
,"Stonington High School","White",67,100.0
,"West Broad Street School","White",19,100.0
,"West Vine Street School","White",24,100.0
"Stratford School District","Center School","White",25,100.0
,"Eli Whitney School","Black or African American",1,2.3
,,"White",43,97.7
,"Bunnell High School","Black or African American",3,2.8
,,"Hispanic",1,0.9
,,"White",102,95.3
,,"Asian",1,0.9
,"Chapel School","White",33,100.0
,"David Wooster Middle School","Black or African American",1,1.6
,,"White",60,98.4
,"Franklin School","Hispanic",1,3.2
,,"White",30,96.8
,"Harry B. Flood Middle School","Hispanic",1,1.4
,,"White",67,97.1
,,"Asian",1,1.4
,"Lordship School","White",24,100.0
,"Nichols School","Black or African American",1,3.0
,,"White",31,93.9
,,"Asian",1,3.0
,"Second Hill Lane School","Black or African American",2,3.6
,,"Hispanic",1,1.8
,,"White",52,94.5
,"Stratford Academy - Johnson House","Black or African American",4,5.9
,,"White",64,94.1
,"Stratford High School","Black or African American",4,4.3
,,"Hispanic",4,4.3
,,"White",82,89.1
,,"Asian",2,2.2
,"Wilcoxson School","Black or African American",1,3.1
,,"White",31,96.9
"Suffield School District","Prekindergarten Program","White",4,100.0
,"A. Ward Spaulding School","Hispanic",1,1.8
,,"White",54,98.2
,"Suffield High School","Hispanic",1,1.7
,,"White",59,98.3
,"Suffield Middle School","American Indian",1,1.4
,,"Black or African American",1,1.4
,,"Hispanic",1,1.4
,,"White",71,95.9
"The Bridge Academy District","The Bridge Academy","Black or African American",3,21.4
,,"Hispanic",3,21.4
,,"White",8,57.1
"The Gilbert School District","The Gilbert School","White",59,100.0
"Thomaston School District","Black Rock School","White",32,100.0
,"Thomaston Center School","Hispanic",1,3.7
,,"White",26,96.3
,"Thomaston High School","Hispanic",3,6.0
,,"White",47,94.0
"Thompson School District","Mary R. Fisher Elementary School","White",43,100.0
,"Thompson Middle School","White",44,100.0
,"Tourtellotte Memorial High School","White",44,100.0
"Tolland School District","Birch Grove Primary School","Hispanic",2,4.5
,,"White",42,95.5
,"Tolland High School","American Indian",2,2.7
,,"Hispanic",1,1.3
,,"White",72,96.0
,"Tolland Intermediate School","Black or African American",1,1.7
,,"White",59,98.3
,"Tolland Middle School","Hispanic",2,2.2
,,"White",87,97.8
"Torrington School District","East School","White",42,100.0
,"Forbes School","Black or African American",1,2.2
,,"Hispanic",3,6.5
,,"White",42,91.3
,"Southwest School","Hispanic",2,5.6
,,"White",32,88.9
,,"Asian",2,5.6
,"Torringford School","White",49,96.1
,,"Asian",2,3.9
,"Torrington High School","American Indian",2,2.0
,,"Hispanic",2,2.0
,,"White",94,95.9
,"Torrington Middle School","Hispanic",2,2.0
,,"White",99,98.0
,"Vogel-Wetmore School","Hispanic",1,1.9
,,"White",52,96.3
,,"Asian",1,1.9
"Trailblazers Academy District","Trailblazers Academy","Black or African American",1,7.1
,,"White",13,92.9
"Trumbull School District","Booth Hill School","Black or African American",1,1.9
,,"Hispanic",3,5.8
,,"White",48,92.3
,"Daniels Farm School","White",57,100.0
,"Head Start","White",4,100.0
,"Hillcrest Middle School","Black or African American",1,1.5
,,"Hispanic",1,1.5
,,"White",62,93.9
,,"Asian",2,3.0
,"Jane Ryan School","White",55,100.0
,"Madison Middle School","Black or African American",1,1.4
,,"Hispanic",1,1.4
,,"White",70,97.2
,"Middlebrook School","White",59,98.3
,,"Asian",1,1.7
,"Tashua School","White",51,98.1
,,"Asian",1,1.9
,"Trumbull Early Childhood Education Center","White",9,100.0
,"Trumbull High School","American Indian",1,0.6
,,"Hispanic",2,1.3
,,"White",154,98.1
"Unified School District #1","Bergin Correctional Institution","White",6,100.0
,"Bridgeport Correctional Center","White",5,100.0
,"Brooklyn Correctional Institution","White",5,100.0
,"Cheshire Correctional Institution","Black or African American",1,6.3
,,"White",15,93.8
,"Corrigan/Radgowski Correctional Institution","Black or African American",1,16.7
,,"White",5,83.3
,"Enfield Correctional Institution","White",12,100.0
,"Garner Correctional Institution","White",6,100.0
,"Gates Correctional Institution","Black or African American",1,11.1
,,"White",8,88.9
,"Hartford Correctional Center","White",5,100.0
,"MacDougall/Walker Correctional Institution","Black or African American",1,4.3
,,"Hispanic",1,4.3
,,"White",21,91.3
,"Manson Youth Institution","Black or African American",4,11.4
,,"Hispanic",1,2.9
,,"White",30,85.7
,"New Haven Correctional Center","White",4,100.0
,"Northern Correctional Institution","White",5,100.0
,"Osborn Correctional Institution","White",14,100.0
,"Robinson Correctional Institution","Black or African American",1,5.9
,,"Hispanic",2,11.8
,,"White",14,82.4
,"Webster Correctional Institution","White",8,100.0
,"Willard/Cybulski Correctional Institution","Hispanic",1,11.1
,,"White",8,88.9
,"York Correctional Institution","American Indian",1,4.8
,,"Black or African American",2,9.5
,,"Hispanic",1,4.8
,,"White",17,81.0
"Unified School District #2","Children's Place School","Black or African American",3,20.0
,,"White",12,80.0
,"High Meadows","Black or African American",1,8.3
,,"White",11,91.7
,"Riverview School","White",25,92.6
,,"Asian",2,7.4
,"Walter G. Cady School","Black or African American",4,7.7
,,"Hispanic",2,3.8
,,"White",46,88.5
"Union School District","Union Elementary School","White",10,100.0
"Vernon School District","Northeast School","White",31,100.0
,"Center Road School","White",52,100.0
,"Lake Street School","White",29,100.0
,"Maple Street School","Black or African American",2,5.4
,,"White",35,94.6
,"Rockville High School","American Indian",3,2.5
,,"Hispanic",2,1.7
,,"White",111,94.1
,,"Asian",2,1.7
,"Skinner Road School","White",35,100.0
,"Total Alternative Learning Center (TALC)","White",6,100.0
,"Vernon Center Middle School","American Indian",1,1.1
,,"Black or African American",4,4.2
,,"Hispanic",1,1.1
,,"White",89,93.7
"Voluntown School District","Voluntown Elementary School","White",29,100.0
"Wallingford School District","Highland School","Black or African American",1,2.5
,,"White",39,97.5
,"A.R.T.S. Academy","White",3,75.0
,,"Asian",1,25.0
,"Cook Hill School","White",52,100.0
,"Dag Hammarskjold Middle School","White",76,100.0
,"Evarts C. Stevens School","Black or African American",2,4.7
,,"White",41,95.3
,"James H. Moran Middle School","White",78,100.0
,"Lyman Hall High School","American Indian",1,0.9
,,"Hispanic",1,0.9
,,"White",108,98.2
,"Mark T. Sheehan High School","White",86,100.0
,"Moses Y. Beach School","Black or African American",1,2.2
,,"White",45,97.8
,"Parker Farms School","Black or African American",1,2.6
,,"White",37,97.4
,"Pond Hill School","White",38,100.0
,"Rock Hill School","Black or African American",1,2.4
,,"Hispanic",1,2.4
,,"White",39,95.1
,"Yalesville School","Black or African American",1,1.8
,,"White",54,98.2
"Waterbury School District","West Side Middle School","Black or African American",5,5.3
,,"Hispanic",9,9.6
,,"White",80,85.1
,"Washington School","Black or African American",2,7.4
,,"Hispanic",1,3.7
,,"White",24,88.9
,"B. W. Tinker School","Hispanic",1,2.8
,,"White",35,97.2
,"Barnard School","Black or African American",2,8.7
,,"White",21,91.3
,"Bucks Hill School","Black or African American",3,5.3
,,"White",54,94.7
,"Bunker Hill School","Hispanic",1,2.5
,,"White",38,95.0
,,"Asian",1,2.5
,"Carrington School","Hispanic",10,23.8
,,"White",32,76.2
,"Crosby High School","Black or African American",3,3.1
,,"Hispanic",6,6.2
,,"White",87,89.7
,,"Asian",1,1.0
,"Driggs School","Black or African American",4,7.3
,,"Hispanic",2,3.6
,,"White",48,87.3
,,"Asian",1,1.8
,"F. J. Kingsbury School","Black or African American",5,11.4
,,"Hispanic",1,2.3
,,"White",38,86.4
,"Gilmartin School","White",29,100.0
,"H. S. Chase School","American Indian",1,1.8
,,"Hispanic",5,8.9
,,"White",48,85.7
,,"Asian",2,3.6
,"Hopeville School","Black or African American",2,5.0
,,"Hispanic",6,15.0
,,"White",32,80.0
,"John F. Kennedy High School","Black or African American",5,5.2
,,"Hispanic",6,6.2
,,"White",86,88.7
,"Maloney Interdistrict Magnet School","Black or African American",1,2.0
,,"Hispanic",9,18.0
,,"White",39,78.0
,,"Asian",1,2.0
,"Margaret M. Generali Elementary School","Hispanic",1,2.5
,,"White",39,97.5
,"Michael F. Wallace Middle School","Black or African American",8,8.0
,,"Hispanic",4,4.0
,,"White",87,87.0
,,"Asian",1,1.0
,"North End Middle School","Black or African American",1,1.1
,,"Hispanic",5,5.4
,,"White",87,93.5
,"Regan School","Black or African American",1,4.2
,,"White",23,95.8
,"Rotella Interdistrict Magnet School","Black or African American",2,3.8
,,"White",50,94.3
,,"Asian",1,1.9
,"Special Education Preschool","White",11,100.0
,"Sprague School","Hispanic",1,2.9
,,"White",34,97.1
,"State Street School","Black or African American",1,4.5
,,"Hispanic",1,4.5
,,"White",20,90.9
,"Walsh School","Hispanic",5,11.1
,,"White",40,88.9
,"Wendell L. Cross School","Black or African American",3,11.5
,,"Hispanic",1,3.8
,,"White",22,84.6
,"Wilby High School","American Indian",1,1.0
,,"Black or African American",6,5.7
,,"Hispanic",3,2.9
,,"White",95,90.5
,"Woodrow Wilson School","Hispanic",15,39.5
,,"White",23,60.5
"Waterford School District","Clark Lane Middle School","American Indian",1,1.5
,,"White",66,97.1
,,"Asian",1,1.5
,"Cohanzie Elementary School","American Indian",1,3.0
,,"White",32,97.0
,"Great Neck Elementary School","Black or African American",1,3.1
,,"White",31,96.9
,"Oswegatchie Elementary School","American Indian",1,2.8
,,"White",35,97.2
,"Parent Resource & Exceptional Preschool","White",9,100.0
,"Quaker Hill Elementary School","American Indian",1,3.3
,,"Hispanic",1,3.3
,,"White",28,93.3
,"Southwest Elementary School","White",35,100.0
,"Waterford High School","Black or African American",1,1.1
,,"Hispanic",1,1.1
,,"White",90,97.8
"Watertown School District","Fletcher W. Judson School","White",35,100.0
,"Heminway Park School","White",25,100.0
,"John Trumbull Primary School","White",63,100.0
,"Polk School","Hispanic",1,2.7
,,"White",36,97.3
,"Swift Middle School","White",57,100.0
,"Watertown High School","American Indian",1,1.2
,,"Hispanic",1,1.2
,,"White",84,97.7
"West Hartford School District","Smith School","Black or African American",2,4.9
,,"Hispanic",1,2.4
,,"White",37,90.2
,,"Asian",1,2.4
,"Aiken School","Hispanic",1,2.5
,,"White",39,97.5
,"Braeburn School","White",36,97.3
,,"Asian",1,2.7
,"Bugbee School","White",33,100.0
,"Charter Oak International Academy","Black or African American",1,2.6
,,"Hispanic",2,5.1
,,"White",36,92.3
,"Conard High School","Black or African American",2,1.4
,,"Hispanic",6,4.3
,,"White",130,94.2
,"Duffy School","Black or African American",1,1.9
,,"White",52,98.1
,"Hall High School","American Indian",1,0.8
,,"Black or African American",2,1.6
,,"Hispanic",1,0.8
,,"White",118,96.7
,"King Philip Middle School","White",108,99.1
,,"Asian",1,0.9
,"Morley School","White",34,100.0
,"Norfeldt School","American Indian",1,2.0
,,"Hispanic",1,2.0
,,"White",49,96.1
,"Sedgwick Middle School","Black or African American",6,5.5
,,"Hispanic",3,2.7
,,"White",99,90.0
,,"Asian",2,1.8
,"Webster Hill School","Black or African American",1,2.2
,,"Hispanic",2,4.3
,,"White",43,93.5
,"Whiting Lane School","Black or African American",1,1.7
,,"Hispanic",1,1.7
,,"White",57,96.6
,"Wolcott School","Hispanic",1,2.0
,,"White",48,98.0
"West Haven School District","Washington School","Black or African American",1,3.0
,,"White",32,97.0
,"Alma E. Pagels School","Hispanic",1,2.4
,,"White",41,97.6
,"Anna V. Molloy School","Black or African American",2,6.3
,,"White",30,93.8
,"Carrigan 5/6 Intermediate School","Black or African American",6,6.6
,,"Hispanic",1,1.1
,,"White",84,92.3
,"Clarence E. Thompson School","Black or African American",1,2.7
,,"White",36,97.3
,"Edith E. Mackrille School","Black or African American",1,3.1
,,"White",31,96.9
,"Forest School","Black or African American",1,2.3
,,"Hispanic",2,4.5
,,"White",41,93.2
,"Harry M. Bailey Middle School","Black or African American",1,1.4
,,"Hispanic",1,1.4
,,"White",71,97.3
,"Savin Rock Community School","Black or African American",1,2.1
,,"Hispanic",2,4.2
,,"White",45,93.8
,"Seth G. Haley School","Black or African American",1,2.6
,,"White",38,97.4
,"West Haven High School","Black or African American",4,2.9
,,"Hispanic",2,1.4
,,"White",133,95.7
"Westbrook School District","Daisy Ingraham School","Hispanic",2,4.3
,,"White",45,95.7
,"Westbrook High School","White",24,96.0
,,"Asian",1,4.0
,"Westbrook Middle School","White",28,100.0
"Weston School District","Hurlbutt Elementary School","Black or African American",2,2.3
,,"White",82,95.3
,,"Asian",2,2.3
,"Weston High School","Hispanic",1,1.5
,,"White",65,98.5
,"Weston Middle School","Hispanic",1,1.1
,,"White",86,98.9
"Westport School District","Bedford Middle School","Black or African American",1,1.1
,,"Hispanic",1,1.1
,,"White",85,96.6
,,"Asian",1,1.1
,"Coleytown Elementary School","Hispanic",2,2.7
,,"White",72,97.3
,"Coleytown Middle School","Hispanic",1,1.5
,,"White",67,98.5
,"Green's Farms School","Hispanic",2,3.2
,,"White",61,96.8
,"King's Highway Elementary School","Black or African American",1,1.8
,,"White",55,98.2
,"Long Lots School","Hispanic",3,4.2
,,"White",68,95.8
,"Saugatuck Elementary School","White",54,98.2
,,"Asian",1,1.8
,"Staples High School","American Indian",1,0.7
,,"Black or African American",1,0.7
,,"Hispanic",5,3.6
,,"White",131,94.2
,,"Asian",1,0.7
"Wethersfield School District","Alfred W. Hanmer School","Hispanic",1,2.5
,,"White",39,97.5
,"Charles Wright School","American Indian",1,2.7
,,"Black or African American",2,5.4
,,"Hispanic",1,2.7
,,"White",32,86.5
,,"Asian",1,2.7
,"Emerson-Williams School","Black or African American",1,2.6
,,"White",37,97.4
,"Highcrest School","White",45,97.8
,,"Asian",1,2.2
,"Samuel B. Webb Elementary School","White",26,100.0
,"Silas Deane Middle School","Black or African American",1,1.8
,,"White",54,98.2
,"Wethersfield High School","American Indian",1,1.0
,,"Black or African American",3,3.1
,,"Hispanic",1,1.0
,,"White",93,94.9
"Willington School District","Center School","White",24,100.0
,"Hall Memorial School","Hispanic",3,7.0
,,"White",40,93.0
"Wilton School District","Middlebrook School","Black or African American",1,1.1
,,"White",88,97.8
,,"Asian",1,1.1
,"Cider Mill School","Hispanic",1,1.1
,,"White",90,96.8
,,"Asian",2,2.2
,"Ina E. Driscoll School","White",48,100.0
,"Miller-Driscoll School","White",45,100.0
,"Wilton High School","Hispanic",1,1.0
,,"White",102,99.0
"Winchester School District","Batcheller Early Education Center","Hispanic",1,2.9
,,"White",34,97.1
,"Joy D. Rice School","White",6,100.0
,"Mary P. Hinsdale School","White",35,100.0
,"Pearson Middle School","White",39,100.0
"Windham School District","Early Headstart","Hispanic",2,14.3
,,"White",12,85.7
,"Eastern Regional Academy/Windham","White",7,87.5
,,"Asian",1,12.5
,"Natchaug School","Hispanic",3,8.8
,,"White",30,88.2
,,"Asian",1,2.9
,"North Windham School","Hispanic",6,14.3
,,"White",36,85.7
,"W. B. Sweeney School","Hispanic",3,7.5
,,"White",36,90.0
,,"Asian",1,2.5
,"Windham Center School","Hispanic",3,8.8
,,"White",31,91.2
,"Windham High School","Black or African American",2,2.1
,,"Hispanic",5,5.2
,,"White",86,89.6
,,"Asian",3,3.1
,"Windham Middle School","Black or African American",2,1.9
,,"Hispanic",9,8.7
,,"White",92,89.3
"Windsor Locks School District","North Street School","Black or African American",1,2.3
,,"Hispanic",1,2.3
,,"White",42,95.5
,"South Elementary School","Hispanic",1,2.4
,,"White",41,97.6
,"Windsor Locks High School","Black or African American",1,1.9
,,"White",52,96.3
,,"Asian",1,1.9
,"Windsor Locks Middle School","Black or African American",1,1.8
,,"Hispanic",2,3.6
,,"White",51,92.7
,,"Asian",1,1.8
"Windsor School District","Clover Street School","Black or African American",5,11.4
,,"Hispanic",1,2.3
,,"White",38,86.4
,"John F. Kennedy School","Black or African American",3,6.5
,,"White",43,93.5
,"Oliver Ellsworth School","Black or African American",5,10.2
,,"White",42,85.7
,,"Asian",2,4.1
,"Poquonock Elementary School","Black or African American",2,4.9
,,"White",39,95.1
,"Roger Wolcott Early Child Center","White",25,100.0
,"Sage Park Middle School","Black or African American",6,5.4
,,"Hispanic",3,2.7
,,"White",101,91.0
,,"Asian",1,0.9
,"Windsor High School","Black or African American",7,5.3
,,"Hispanic",3,2.3
,,"White",119,90.8
,,"Asian",2,1.5
"Wolcott School District","Alcott School","White",35,100.0
,"Frisbie School","White",39,100.0
,"Tyrrell Middle School","Black or African American",1,1.7
,,"Hispanic",1,1.7
,,"White",57,96.6
,"Wakelee School","White",40,100.0
,"Wolcott High School","White",82,100.0
"Woodbridge School District","Beecher Road Intermediate School","White",91,100.0
"Woodstock Academy District","Woodstock Academy","White",79,98.8
,,"Asian",1,1.3
"Woodstock School District","Woodstock Elementary School","White",43,100.0
,"Woodstock Middle School","White",38,100.0

