"category","participation.rate","meeting.bench.count","meeting.bench.rate","school_code","year"
"Students with Disabilities ","* ","0 ","*","0426111","201415"
"School ","78.9 ","143 ","54.0","0426111","201415"
"District ","76.8 ","","52.6","0426111","201415"
"Female ","100.0 ","92","59.0","0426111","201516"
"Male ","98.4 ","58","46.4","0426111","201516"
"Black or African American ","* ","0","*","0426111","201516"
"Hispanic or Latino ","* ","7","*","0426111","201516"
"White ","99.2 ","136","55.1","0426111","201516"
"English Language Learners ","* ","0","*","0426111","201516"
"Eligible for Free or ","97.4 ","7","18.4","0426111","201516"
"Reduced-Price Meals","",NA,"","0426111","201516"
"Students with Disabilities ","* ","0","*","0426111","201516"
"School ","99.3 ","150","53.4","0426111","201516"
"District ","98.3 ",NA,"52.4","0426111","201516"
"Female ","69.2 ","71","18.7","0436211","201314"
"Male ","48.1 ","35","9.5","0436211","201314"
"Black or African American ","58.0 ","32","12.2","0436211","201314"
"Hispanic or Latino ","55.3 ","28","8.9","0436211","201314"
"White ","61.2 ","35","27.1","0436211","201314"
"English Language Learners ","24.1 ","0","0.0","0436211","201314"
"Eligible for Free or ","54.2 ","42","8.9","0436211","201314"
"Reduced-Price Meals","",NA,"","0436211","201314"
"Students with Disabilities ","* ","0","*","0436211","201314"
"School ","58.8 ","106","14.1","0436211","201314"
"District ","55.2 ",NA,"17.7","0436211","201314"
"Female ","60.4 ","76 ","18.1","0436211","201415"
"Male ","40.1 ","43 ","11.2","0436211","201415"
"Black or African American ","51.2 ","39 ","13.2","0436211","201415"
"Hispanic or Latino ","47.2 ","33 ","10.2","0436211","201415"
"White ","52.1 ","31 ","21.8","0436211","201415"
"English Language Learners ","25.0 ","* ","*","0436211","201415"
"Eligible for Free or ","49.3 ","54 ","10.4","0436211","201415"
"Reduced-Price Meals","","","","0436211","201415"
"Students with Disabilities ","* ","* ","*","0436211","201415"
"School ","50.7 ","119 ","14.8","0436211","201415"
"District ","46.9 ","","16.5","0436211","201415"
"Female ","97.3 ","93 ","23.0","0436211","201516"
"Male ","96.0 ","62 ","16.5","0436211","201516"
"Black or African American ","96.3 ","42 ","14.1","0436211","201516"
"Hispanic or Latino ","96.1 ","50 ","16.3","0436211","201516"
"White ","97.7 ","41 ","30.8","0436211","201516"
"English Language Learners ","90.4 ","* ","*","0436211","201516"
"Eligible for Free or ","96.0 ","77 ","15.5","0436211","201516"
"Reduced-Price Meals","","","","0436211","201516"
"Students with Disabilities ","* ","* ","*","0436211","201516"
"School ","96.7 ","155 ","19.9","0436211","201516"
"District ","94.7 ","","21.4","0436211","201516"
"Female ","96.7 ","41 ","67.2","0436311","201314"
"Male ","100.0 ","25 ","80.6","0436311","201314"
"Black or African American ","96.8 ","20 ","64.5","0436311","201314"
"Hispanic or Latino ","* ","9 ","*","0436311","201314"
"White ","100.0 ","29 ","85.3","0436311","201314"
"English Language Learners ","N/A ","N/A ","N/A","0436311","201314"
"Eligible for Free or ","97.0 ","19 ","57.6","0436311","201314"
"Reduced-Price Meals","","","","0436311","201314"
"Students with Disabilities ","N/A ","N/A ","N/A","0436311","201314"
"School ","97.8 ","66 ","71.7","0436311","201314"
"District ","55.2 ","","17.7","0436311","201314"
"Female ","72.9 ","30 ","50.8","0436311","201415"
"Male ","76.3 ","22 ","57.9","0436311","201415"
"Black or African American ","74.1 ","11 ","40.7","0436311","201415"
"Hispanic or Latino ","* ","* ","*","0436311","201415"
"White ","81.1 ","26 ","70.3","0436311","201415"
"English Language Learners ","N/A ","N/A ","N/A","0436311","201415"
"Eligible for Free or ","73.7 ","17 ","44.7","0436311","201415"
"Reduced-Price Meals","","","","0436311","201415"
"Students with Disabilities ","N/A ","N/A ","N/A","0436311","201415"
"School ","74.2 ","52 ","53.6","0436311","201415"
"District ","46.9 ","","16.5","0436311","201415"
"Female ","100.0 ","39 ","66.1","0436311","201516"
"Male ","97.2 ","20 ","55.6","0436311","201516"
"Black or African American ","100.0 ","18 ","48.6","0436311","201516"
"Hispanic or Latino ","* ","* ","*","0436311","201516"
"White ","96.2 ","19 ","73.1","0436311","201516"
"English Language Learners ","N/A ","N/A ","N/A","0436311","201516"
"Eligible for Free or ","100.0 ","19 ","51.4","0436311","201516"
"Reduced-Price Meals","","","","0436311","201516"
"Students with Disabilities ","N/A ","N/A ","N/A","0436311","201516"
"School ","98.9 ","59 ","62.1","0436311","201516"
"District ","94.7 ","","21.4","0436311","201516"
"Female ","* ","0","0.0","0436411","201314"
"Male ","* ","0","0.0","0436411","201314"
"Black or African American ","* ","0","0.0","0436411","201314"
"Hispanic or Latino ","* ","0","0.0","0436411","201314"
"White ","* ","0","*","0436411","201314"
"English Language Learners ","* ","0","*","0436411","201314"
"Eligible for Free or ","* ","0","0.0","0436411","201314"
"Reduced-Price Meals","",NA,"","0436411","201314"
"Students with Disabilities ","* ","0","*","0436411","201314"
"School ","* ","0","0.0","0436411","201314"
"District ","55.2 ",NA,"17.7","0436411","201314"
"Female ","* ","0","0.0","0436411","201415"
"Male ","* ","0","0.0","0436411","201415"
"Black or African American ","* ","0","0.0","0436411","201415"
"Hispanic or Latino ","* ","0","0.0","0436411","201415"
"White ","* ","0","*","0436411","201415"
"English Language Learners ","* ","0","*","0436411","201415"
"Eligible for Free or ","* ","0","0.0","0436411","201415"
"Reduced-Price Meals","",NA,"","0436411","201415"
"Students with Disabilities ","* ","0","*","0436411","201415"
"School ","8.6 ","0","0.0","0436411","201415"
"District ","46.9 ",NA,"16.5","0436411","201415"
"Female ","92.9 ","0","0.0","0436411","201516"
"Male ","93.5 ","0","0.0","0436411","201516"
"Black or African American ","96.0 ","0","0.0","0436411","201516"
"Hispanic or Latino ","92.6 ","0","0.0","0436411","201516"
"White ","* ","0","*","0436411","201516"
"English Language Learners ","* ","0","*","0436411","201516"
"Eligible for Free or ","92.0 ","0","0.0","0436411","201516"
"Reduced-Price Meals","",NA,"","0436411","201516"
"Students with Disabilities ","* ","0","*","0436411","201516"
"School ","93.2 ","0","0.0","0436411","201516"
"District ","94.7 ",NA,"21.4","0436411","201516"
"Female ","71.0 ","59 ","28.1","0446111","201314"
"Male ","61.1 ","41 ","18.6","0446111","201314"
"Black or African American ","* ","* ","*","0446111","201314"
"Hispanic or Latino ","57.1 ","17 ","20.2","0446111","201314"
"White ","68.0 ","80 ","25.3","0446111","201314"
"English Language Learners ","* ","0 ","*","0446111","201314"
"Eligible for Free or ","59.1 ","29 ","17.7","0446111","201314"
"Reduced-Price Meals","","","","0446111","201314"
"Students with Disabilities ","* ","* ","*","0446111","201314"
"School ","65.9 ","100 ","23.2","0446111","201314"
"District ","63.6 ","","22.3","0446111","201314"
"Female ","71.2 ","55 ","26.8","0446111","201415"
"Male ","50.3 ","32 ","16.6","0446111","201415"
"Black or African American ","* ","* ","*","0446111","201415"
"Hispanic or Latino ","54.5 ","8 ","12.1","0446111","201415"
"White ","64.0 ","72 ","23.4","0446111","201415"
"English Language Learners ","* ","* ","*","0446111","201415"
"Eligible for Free or ","55.1 ","25 ","16.0","0446111","201415"
"Reduced-Price Meals","","","","0446111","201415"
"Students with Disabilities ","* ","* ","*","0446111","201415"
"School ","61.1 ","87 ","21.9","0446111","201415"
"District ","59.3 ","","21.2","0446111","201415"
"Female ","98.1 ","57 ","27.7","0446111","201516"
"Male ","97.7 ","43 ","19.5","0446111","201516"
"Black or African American ","* ","* ","*","0446111","201516"
"Hispanic or Latino ","98.4 ","13 ","20.6","0446111","201516"
"White ","97.9 ","81 ","24.0","0446111","201516"
"English Language Learners ","* ","0 ","*","0446111","201516"
"Eligible for Free or ","97.1 ","22 ","12.9","0446111","201516"
"Reduced-Price Meals","","","","0446111","201516"
"Students with Disabilities ","* ","* ","*","0446111","201516"
"School ","97.9 ","100 ","23.4","0446111","201516"
"District ","96.8 ","","22.9","0446111","201516"
"Female ","90.2 ","154 ","58.3","0456111","201314"
"Male ","75.3 ","160 ","55.6","0456111","201314"
"Black or African American ","* ","* ","*","0456111","201314"
"Hispanic or Latino ","* ","* ","*","0456111","201314"
"White ","81.3 ","254 ","55.2","0456111","201314"
"English Language Learners ","* ","0 ","*","0456111","201314"
"Eligible for Free or ","65.3 ","16 ","32.7","0456111","201314"
"Reduced-Price Meals","","","","0456111","201314"
"Students with Disabilities ","25.0 ","* ","*","0456111","201314"
"School ","82.4 ","314 ","56.9","0456111","201314"
"District ","81.6 ","","56.2","0456111","201314"
"Female ","87.9 ","172 ","64.9","0456111","201415"
"Male ","73.3 ","152 ","60.6","0456111","201415"
"Black or African American ","* ","* ","*","0456111","201415"
"Hispanic or Latino ","* ","* ","*","0456111","201415"
"White ","80.1 ","267 ","62.5","0456111","201415"
"English Language Learners ","* ","0 ","*","0456111","201415"
"Eligible for Free or ","64.4 ","22 ","37.3","0456111","201415"
"Reduced-Price Meals","","","","0456111","201415"
"Students with Disabilities ","* ","* ","*","0456111","201415"
"School ","80.8 ","324 ","62.8","0456111","201415"
"District ","77.1 ","","60.0","0456111","201415"
"Female ","98.5 ","173 ","66.0","0456111","201516"
"Male ","98.3 ","151 ","64.0","0456111","201516"
"Black or African American ","* ","* ","*","0456111","201516"
"Hispanic or Latino ","100.0 ","11 ","47.8","0456111","201516"
"White ","99.5 ","266 ","65.4","0456111","201516"
"English Language Learners ","* ","0 ","*","0456111","201516"
"Eligible for Free or ","98.2 ","26 ","45.6","0456111","201516"
"Reduced-Price Meals","","","","0456111","201516"
"Students with Disabilities ","* ","* ","*","0456111","201516"
"School ","98.4 ","324 ","65.1","0456111","201516"
"District ","95.1 ","","61.7","0456111","201516"
"Female ","69.0 ","24 ","28.6","0476111","201314"
"Male ","56.1 ","25 ","25.5","0476111","201314"
"Black or African American ","46.7 ","* ","*","0476111","201314"
"Hispanic or Latino ","* ","* ","*","0476111","201314"
"White ","69.3 ","44 ","34.6","0476111","201314"
"English Language Learners ","* ","0 ","*","0476111","201314"
"Eligible for Free or ","52.3 ","11 ","16.9","0476111","201314"
"Reduced-Price Meals","","","","0476111","201314"
"Students with Disabilities ","* ","* ","*","0476111","201314"
"School ","62.1 ","49 ","26.9","0476111","201314"
"District ","60.4 ","","26.2","0476111","201314"
"Female ","67.6 ","18 ","26.5","0476111","201415"
"Male ","50.0 ","21 ","24.4","0476111","201415"
"Black or African American ","34.8 ","* ","*","0476111","201415"
"Hispanic or Latino ","45.8 ","8 ","33.3","0476111","201415"
"White ","64.6 ","26 ","27.1","0476111","201415"
"English Language Learners ","* ","0 ","*","0476111","201415"
"Eligible for Free or ","49.1 ","12 ","21.1","0476111","201415"
"Reduced-Price Meals","","","","0476111","201415"
"Students with Disabilities ","* ","* ","*","0476111","201415"
"School ","57.8 ","39 ","25.3","0476111","201415"
"District ","56.3 ","","24.7","0476111","201415"
"Female ","98.5 ","28 ","41.2","0476111","201516"
"Male ","95.8 ","25 ","35.2","0476111","201516"
"Black or African American ","* ","* ","*","0476111","201516"
"Hispanic or Latino ","100.0 ","11 ","42.3","0476111","201516"
"White ","96.7 ","34 ","37.0","0476111","201516"
"English Language Learners ","* ","0 ","*","0476111","201516"
"Eligible for Free or ","96.2 ","13 ","25.0","0476111","201516"
"Reduced-Price Meals","","","","0476111","201516"
"Students with Disabilities ","* ","* ","*","0476111","201516"
"School ","97.1 ","53 ","38.1","0476111","201516"
"District ","93.2 ","","36.3","0476111","201516"
"Female ","81.5 ","99 ","50.8","0486111","201314"
"Male ","67.8 ","72 ","35.1","0486111","201314"
"Black or African American ","* ","* ","*","0486111","201314"
"Hispanic or Latino ","55.0 ","* ","*","0486111","201314"
"White ","76.3 ","150 ","44.4","0486111","201314"
"English Language Learners ","* ","0 ","*","0486111","201314"
"Eligible for Free or ","55.9 ","* ","*","0486111","201314"
"Reduced-Price Meals","","","","0486111","201314"
"Students with Disabilities ","38.1 ","* ","*","0486111","201314"
"School ","74.5 ","171 ","42.8","0486111","201314"
"District ","74.4 ","","42.8","0486111","201314"
"Female ","76.6 ","104 ","50.7","0486111","201415"
"Male ","67.4 ","73 ","40.3","0486111","201415"
"Black or African American ","* ","* ","*","0486111","201415"
"Hispanic or Latino ","65.0 ","* ","*","0486111","201415"
"White ","72.6 ","153 ","46.6","0486111","201415"
"English Language Learners ","* ","0 ","*","0486111","201415"
"Eligible for Free or ","44.0 ","* ","*","0486111","201415"
"Reduced-Price Meals","","","","0486111","201415"
"Students with Disabilities ","35.0 ","* ","*","0486111","201415"
"School ","72.3 ","177 ","45.9","0486111","201415"
"District ","71.9 ","","45.6","0486111","201415"
"Female ","97.5 ","115 ","57.2","0486111","201516"
"Male ","96.3 ","80 ","42.8","0486111","201516"
"Black or African American ","* ","* ","*","0486111","201516"
"Hispanic or Latino ","* ","6 ","*","0486111","201516"
"White ","97.3 ","175 ","53.0","0486111","201516"
"English Language Learners ","N/A ","N/A ","N/A","0486111","201516"
"Eligible for Free or ","96.2 ","6 ","23.1","0486111","201516"
"Reduced-Price Meals","","","","0486111","201516"
"Students with Disabilities ","* ","* ","*","0486111","201516"
"School ","96.9 ","195 ","50.3","0486111","201516"
"District ","96.9 ","","50.0","0486111","201516"
"Female ","69.0 ","49 ","29.2","0496111","201314"
"Male ","58.3 ","39 ","23.9","0496111","201314"
"Black or African American ","47.8 ","* ","*","0496111","201314"
"Hispanic or Latino ","46.7 ","8 ","26.7","0496111","201314"
"White ","67.4 ","77 ","28.8","0496111","201314"
"English Language Learners ","* ","* ","*","0496111","201314"
"Eligible for Free or ","43.6 ","16 ","14.5","0496111","201314"
"Reduced-Price Meals","","","","0496111","201314"
"Students with Disabilities ","* ","0 ","*","0496111","201314"
"School ","63.7 ","88 ","26.6","0496111","201314"
"District ","60.1 ","","27.7","0496111","201314"
"Female ","63.8 ","58 ","32.8","0496111","201415"
"Male ","52.4 ","47 ","32.9","0496111","201415"
"Black or African American ","50.0 ","* ","*","0496111","201415"
"Hispanic or Latino ","43.8 ","9 ","28.1","0496111","201415"
"White ","61.8 ","89 ","35.5","0496111","201415"
"English Language Learners ","N/A ","N/A ","N/A","0496111","201415"
"Eligible for Free or ","45.0 ","25 ","22.9","0496111","201415"
"Reduced-Price Meals","","","","0496111","201415"
"Students with Disabilities ","* ","0 ","*","0496111","201415"
"School ","58.8 ","105 ","32.8","0496111","201415"
"District ","56.3 ","","33.6","0496111","201415"
"Female ","95.3 ","56 ","32.6","0496111","201516"
"Male ","96.3 ","56 ","34.4","0496111","201516"
"Black or African American ","96.4 ","* ","*","0496111","201516"
"Hispanic or Latino ","90.9 ","10 ","22.7","0496111","201516"
"White ","96.7 ","92 ","38.0","0496111","201516"
"English Language Learners ","* ","0 ","*","0496111","201516"
"Eligible for Free or ","93.0 ","28 ","24.3","0496111","201516"
"Reduced-Price Meals","","","","0496111","201516"
"Students with Disabilities ","* ","* ","*","0496111","201516"
"School ","95.8 ","112 ","33.4","0496111","201516"
"District ","95.0 ","","33.3","0496111","201516"
"Female ","91.1 ","283 ","68.4","0516011","201314"
"Male ","83.3 ","212 ","62.2","0516011","201314"
"Black or African American ","* ","* ","*","0516011","201314"
"Hispanic or Latino ","73.2 ","23 ","41.1","0516011","201314"
"White ","88.9 ","429 ","67.9","0516011","201314"
"English Language Learners ","* ","* ","*","0516011","201314"
"Eligible for Free or ","64.7 ","13 ","25.5","0516011","201314"
"Reduced-Price Meals","","","","0516011","201314"
"Students with Disabilities ","* ","* ","*","0516011","201314"
"School ","87.5 ","495 ","65.6","0516011","201314"
"District ","86.3 ","","62.5","0516011","201314"
"Female ","91.0 ","300 ","72.8","0516011","201415"
"Male ","83.0 ","224 ","64.6","0516011","201415"
"Black or African American ","65.0 ","7 ","35.0","0516011","201415"
"Hispanic or Latino ","69.4 ","24 ","49.0","0516011","201415"
"White ","89.0 ","456 ","70.7","0516011","201415"
"English Language Learners ","* ","* ","*","0516011","201415"
"Eligible for Free or ","58.0 ","12 ","24.0","0516011","201415"
"Reduced-Price Meals","","","","0516011","201415"
"Students with Disabilities ","47.6 ","* ","*","0516011","201415"
"School ","87.4 ","524 ","69.0","0516011","201415"
"District ","83.0 ","","63.1","0516011","201415"
"Female ","99.7 ","290 ","79.2","0516011","201516"
"Male ","99.4 ","250 ","71.2","0516011","201516"
"Black or African American ","* ","9 ","*","0516011","201516"
"Hispanic or Latino ","100.0 ","24 ","64.9","0516011","201516"
"White ","99.5 ","468 ","75.6","0516011","201516"
"English Language Learners ","* ","* ","*","0516011","201516"
"Eligible for Free or ","100.0 ","15 ","37.5","0516011","201516"
"Reduced-Price Meals","","","","0516011","201516"
"Students with Disabilities ","100.0 ","* ","*","0516011","201516"
"School ","99.6 ","540 ","75.3","0516011","201516"
"District ","97.8 ","","67.8","0516011","201516"
"Female ","90.5 ","216 ","66.3","0516211","201314"
"Male ","82.1 ","187 ","54.0","0516211","201314"
"Black or African American ","80.0 ","7 ","23.3","0516211","201314"
"Hispanic or Latino ","72.9 ","25 ","35.7","0516211","201314"
"White ","88.7 ","335 ","65.2","0516211","201314"
"English Language Learners ","* ","0 ","*","0516211","201314"
"Eligible for Free or ","72.2 ","23 ","25.6","0516211","201314"
"Reduced-Price Meals","","","","0516211","201314"
"Students with Disabilities ","* ","* ","*","0516211","201314"
"School ","86.2 ","403 ","60.0","0516211","201314"
"District ","86.3 ","","62.5","0516211","201314"
"Female ","87.7 ","221 ","64.6","0516211","201415"
"Male ","76.6 ","191 ","54.6","0516211","201415"
"Black or African American ","52.9 ","8 ","23.5","0516211","201415"
"Hispanic or Latino ","65.2 ","24 ","34.8","0516211","201415"
"White ","85.8 ","343 ","64.1","0516211","201415"
"English Language Learners ","* ","* ","*","0516211","201415"
"Eligible for Free or ","62.4 ","25 ","29.4","0516211","201415"
"Reduced-Price Meals","","","","0516211","201415"
"Students with Disabilities ","* ","* ","*","0516211","201415"
"School ","82.1 ","412 ","59.5","0516211","201415"
"District ","83.0 ","","63.1","0516211","201415"
"Female ","99.7 ","256 ","66.8","0516211","201516"
"Male ","98.6 ","225 ","62.2","0516211","201516"
"Black or African American ","96.7 ","* ","*","0516211","201516"
"Hispanic or Latino ","98.8 ","34 ","40.5","0516211","201516"
"White ","99.5 ","393 ","68.8","0516211","201516"
"English Language Learners ","* ","0 ","*","0516211","201516"
"Eligible for Free or ","97.8 ","37 ","39.8","0516211","201516"
"Reduced-Price Meals","","","","0516211","201516"
"Students with Disabilities ","* ","* ","*","0516211","201516"
"School ","99.2 ","481 ","64.6","0516211","201516"
"District ","97.8 ","","67.8","0516211","201516"
"Female ","87.9 ","209 ","68.1","0526111","201314"
"Male ","83.9 ","223 ","63.2","0526111","201314"
"Black or African American ","* ","* ","*","0526111","201314"
"Hispanic or Latino ","74.4 ","15 ","38.5","0526111","201314"
"White ","87.0 ","351 ","69.1","0526111","201314"
"English Language Learners ","* ","0 ","*","0526111","201314"
"Eligible for Free or ","63.2 ","11 ","19.3","0526111","201314"
"Reduced-Price Meals","","","","0526111","201314"
"Students with Disabilities ","* ","* ","*","0526111","201314"
"School ","85.8 ","432 ","65.5","0526111","201314"
"District ","84.1 ","","64.2","0526111","201314"
"Female ","83.6 ","203 ","63.8","0526111","201415"
"Male ","80.6 ","209 ","63.3","0526111","201415"
"Black or African American ","50.0 ","8 ","18.2","0526111","201415"
"Hispanic or Latino ","72.5 ","17 ","42.5","0526111","201415"
"White ","84.8 ","317 ","66.9","0526111","201415"
"English Language Learners ","* ","* ","*","0526111","201415"
"Eligible for Free or ","53.5 ","16 ","22.5","0526111","201415"
"Reduced-Price Meals","","","","0526111","201415"
"Students with Disabilities ","* ","* ","*","0526111","201415"
"School ","82.1 ","412 ","63.6","0526111","201415"
"District ","79.5 ","","61.3","0526111","201415"
"Female ","99.0 ","186 ","65.0","0526111","201516"
"Male ","97.1 ","222 ","64.3","0526111","201516"
"Black or African American ","100.0 ","* ","*","0526111","201516"
"Hispanic or Latino ","94.7 ","13 ","34.2","0526111","201516"
"White ","98.5 ","308 ","68.1","0526111","201516"
"English Language Learners ","* ","0 ","*","0526111","201516"
"Eligible for Free or ","93.8 ","17 ","26.6","0526111","201516"
"Reduced-Price Meals","","","","0526111","201516"
"Students with Disabilities ","* ","* ","*","0526111","201516"
"School ","97.9 ","408 ","64.7","0526111","201516"
"District ","97.2 ","","63.2","0526111","201516"
"Female ","92.3 ","380 ","68.1","0546111","201314"
"Male ","88.5 ","353 ","65.7","0546111","201314"
"Black or African American ","76.9 ","14 ","35.9","0546111","201314"
"Hispanic or Latino ","80.5 ","40 ","48.8","0546111","201314"
"White ","91.7 ","593 ","69.4","0546111","201314"
"English Language Learners ","* ","0 ","*","0546111","201314"
"Eligible for Free or ","65.6 ","27 ","28.1","0546111","201314"
"Reduced-Price Meals","","","","0546111","201314"
"Students with Disabilities ","* ","* ","*","0546111","201314"
"School ","90.4 ","733 ","66.9","0546111","201314"
"District ","88.1 ","","64.9","0546111","201314"
"Female ","89.5 ","377 ","69.7","0546111","201415"
"Male ","84.3 ","325 ","63.6","0546111","201415"
"Black or African American ","66.7 ","16 ","33.3","0546111","201415"
"Hispanic or Latino ","71.4 ","36 ","51.4","0546111","201415"
"White ","89.5 ","564 ","69.5","0546111","201415"
"English Language Learners ","* ","* ","*","0546111","201415"
"Eligible for Free or ","55.3 ","29 ","28.2","0546111","201415"
"Reduced-Price Meals","","","","0546111","201415"
"Students with Disabilities ","46.4 ","* ","*","0546111","201415"
"School ","87.0 ","702 ","66.7","0546111","201415"
"District ","84.4 ","","64.6","0546111","201415"
"Female ","99.3 ","407 ","73.7","0546111","201516"
"Male ","98.7 ","312 ","66.8","0546111","201516"
"Black or African American ","100.0 ","20 ","47.6","0546111","201516"
"Hispanic or Latino ","98.8 ","40 ","49.4","0546111","201516"
"White ","98.9 ","548 ","72.7","0546111","201516"
"English Language Learners ","* ","* ","*","0546111","201516"
"Eligible for Free or ","99.1 ","44 ","40.4","0546111","201516"
"Reduced-Price Meals","","","","0546111","201516"
"Students with Disabilities ","89.3 ","* ","*","0546111","201516"
"School ","99.0 ","719 ","70.6","0546111","201516"
"District ","97.0 ","","68.7","0546111","201516"
"Female ","91.4 ","116 ","62.7","0566111","201314"
"Male ","83.4 ","103 ","58.9","0566111","201314"
"Black or African American ","* ","* ","*","0566111","201314"
"Hispanic or Latino ","* ","7 ","*","0566111","201314"
"White ","88.7 ","206 ","62.8","0566111","201314"
"English Language Learners ","* ","0 ","*","0566111","201314"
"Eligible for Free or ","61.9 ","6 ","28.6","0566111","201314"
"Reduced-Price Meals","","","","0566111","201314"
"Students with Disabilities ","* ","* ","*","0566111","201314"
"School ","87.5 ","219 ","60.8","0566111","201314"
"District ","85.9 ","","59.6","0566111","201314"
"Female ","89.8 ","110 ","66.3","0566111","201415"
"Male ","81.8 ","103 ","56.9","0566111","201415"
"Black or African American ","* ","* ","*","0566111","201415"
"Hispanic or Latino ","* ","8 ","*","0566111","201415"
"White ","86.3 ","197 ","62.7","0566111","201415"
"English Language Learners ","N/A ","N/A ","N/A","0566111","201415"
"Eligible for Free or ","* ","10 ","*","0566111","201415"
"Reduced-Price Meals","","","","0566111","201415"
"Students with Disabilities ","* ","* ","*","0566111","201415"
"School ","85.6 ","213 ","61.4","0566111","201415"
"District ","83.0 ","","59.5","0566111","201415"
"Female ","99.4 ","103 ","66.0","0566111","201516"
"Male ","99.5 ","124 ","65.6","0566111","201516"
"Black or African American ","* ","* ","*","0566111","201516"
"Hispanic or Latino ","* ","8 ","*","0566111","201516"
"White ","99.3 ","212 ","70.0","0566111","201516"
"English Language Learners ","N/A ","N/A ","N/A","0566111","201516"
"Eligible for Free or ","100.0 ","10 ","35.7","0566111","201516"
"Reduced-Price Meals","","","","0566111","201516"
"Students with Disabilities ","* ","* ","*","0566111","201516"
"School ","99.4 ","227 ","65.8","0566111","201516"
"District ","99.1 ","","64.9","0566111","201516"
"Female ","89.8","439","68.6","0576111","201314"
"Male ","85.2","425","63.6","0576111","201314"
"Black or African American ","63.6","10","30.3","0576111","201314"
"Hispanic or Latino ","78.8","109","45.4","0576111","201314"
"White ","90.3","664","72.1","0576111","201314"
"English Language Learners ","59.4","12","37.5","0576111","201314"
"Eligible for Free or ","67.7","60","31.7","0576111","201314"
"Reduced-Price Meals",NA,NA,NA,"0576111","201314"
"Students with Disabilities ","60.6","9","27.3","0576111","201314"
"School ","87.5","864","66.1","0576111","201314"
"District ","86.8",NA,"65.6","0576111","201314"
"Female ","90.5","440","73.7","0576111","201415"
"Male ","83.7","407","65.6","0576111","201415"
"Black or African American ","62.2","11","29.7","0576111","201415"
"Hispanic or Latino ","75.3","89","46.8","0576111","201415"
"White ","90.5","670","75.7","0576111","201415"
"English Language Learners ","61.5","21","53.8","0576111","201415"
"Eligible for Free or ","60.8","48","33.6","0576111","201415"
"Reduced-Price Meals",NA,NA,NA,"0576111","201415"
"Students with Disabilities ","51.5","8","24.2","0576111","201415"
"School ","87","847","69.6","0576111","201415"
"District ","83.1",NA,"66","0576111","201415"
"Female ","98.7","449 ","73.7","0576111","201516"
"Male ","98.7","441 ","69.3","0576111","201516"
"Black or African American ","95.3","* ","*","0576111","201516"
"Hispanic or Latino ","98.1","101 ","47.9","0576111","201516"
"White ","98.9","688 ","77.7","0576111","201516"
"English Language Learners ","97.1","15 ","44.1","0576111","201516"
"Eligible for Free or ","97.9","51 ","36.4","0576111","201516"
"Reduced-Price Meals",NA,"","","0576111","201516"
"Students with Disabilities ","93.5","7 ","22.6","0576111","201516"
"School ","98.7","890 ","71.5","0576111","201516"
"District ","97.5","","69.3","0576111","201516"
"Female ","N/A ","N/A ","N/A","0580111","201415"
"Male ","* ","0 ","*","0580111","201415"
"Black or African American ","* ","0 ","*","0580111","201415"
"Hispanic or Latino ","N/A ","N/A ","N/A","0580111","201415"
"White ","* ","0 ","*","0580111","201415"
"English Language Learners ","N/A ","N/A ","N/A","0580111","201415"
"Eligible for Free or ","* ","0 ","*","0580111","201415"
"Reduced-Price Meals","","","","0580111","201415"
"Students with Disabilities ","* ","0 ","*","0580111","201415"
"School ","* ","0 ","*","0580111","201415"
"District ","59.0 ","","28.8","0580111","201415"
"Female ","N/A ","N/A ","N/A","0580111","201516"
"Male ","* ","0 ","*","0580111","201516"
"Black or African American ","N/A ","N/A ","N/A","0580111","201516"
"Hispanic or Latino ","N/A ","N/A ","N/A","0580111","201516"
"White ","* ","0 ","*","0580111","201516"
"English Language Learners ","N/A ","N/A ","N/A","0580111","201516"
"Eligible for Free or ","* ","0 ","*","0580111","201516"
"Reduced-Price Meals","","","","0580111","201516"
"Students with Disabilities ","* ","0 ","*","0580111","201516"
"School ","* ","0 ","*","0580111","201516"
"District ","94.6 ","","33.1","0580111","201516"
"Female ","72.0 ","35 ","23.3","0586211","201314"
"Male ","52.7 ","32 ","21.9","0586211","201314"
"Black or African American ","* ","* ","*","0586211","201314"
"Hispanic or Latino ","* ","0 ","*","0586211","201314"
"White ","61.7 ","63 ","23.4","0586211","201314"
"English Language Learners ","N/A ","N/A ","N/A","0586211","201314"
"Eligible for Free or ","47.9 ","10 ","10.4","0586211","201314"
"Reduced-Price Meals","","","","0586211","201314"
"Students with Disabilities ","* ","0 ","*","0586211","201314"
"School ","62.5 ","67 ","22.6","0586211","201314"
"District ","61.5 ","","22.3","0586211","201314"
"Female ","69.4 ","41 ","30.6","0586211","201415"
"Male ","50.7 ","39 ","27.9","0586211","201415"
"Black or African American ","* ","* ","*","0586211","201415"
"Hispanic or Latino ","* ","* ","*","0586211","201415"
"White ","59.1 ","73 ","30.2","0586211","201415"
"English Language Learners ","N/A ","N/A ","N/A","0586211","201415"
"Eligible for Free or ","40.0 ","10 ","12.5","0586211","201415"
"Reduced-Price Meals","","","","0586211","201415"
"Students with Disabilities ","* ","0 ","*","0586211","201415"
"School ","59.9 ","80 ","29.2","0586211","201415"
"District ","59.0 ","","28.8","0586211","201415"
