"category","percent","school_code","year"
"State Low Poverty Quartile Schools ","99.5","0340511","201314"
"School ","100","0340511","201415"
"State High Poverty Quartile Schools ","97.9","0340511","201415"
"State Low Poverty Quartile Schools ","99.6","0340511","201415"
"School ","100","0340511","201516"
"State High Poverty Quartile Schools ","97.6","0340511","201516"
"State Low Poverty Quartile Schools ","99.6","0340511","201516"
"School ","100","0340611","201314"
"State High Poverty Quartile Schools ","97.8","0340611","201314"
"State Low Poverty Quartile Schools ","99.5","0340611","201314"
"School ","100","0340611","201415"
"State High Poverty Quartile Schools ","97.9","0340611","201415"
"State Low Poverty Quartile Schools ","99.6","0340611","201415"
"School ","97.6","0340611","201516"
"State High Poverty Quartile Schools ","97.6","0340611","201516"
"State Low Poverty Quartile Schools ","99.6","0340611","201516"
"School ","89.7","0340811","201314"
"State High Poverty Quartile Schools ","97.8","0340811","201314"
"State Low Poverty Quartile Schools ","99.5","0340811","201314"
"School ","100","0340811","201415"
"State High Poverty Quartile Schools ","97.9","0340811","201415"
"State Low Poverty Quartile Schools ","99.6","0340811","201415"
"School ","100","0340811","201516"
"State High Poverty Quartile Schools ","97.6","0340811","201516"
"State Low Poverty Quartile Schools ","99.6","0340811","201516"
"School ","98","0341011","201314"
"State High Poverty Quartile Schools ","97.8","0341011","201314"
"State Low Poverty Quartile Schools ","99.5","0341011","201314"
"School ","100","0341011","201415"
"State High Poverty Quartile Schools ","97.9","0341011","201415"
"State Low Poverty Quartile Schools ","99.6","0341011","201415"
"School ","100","0341011","201516"
"State High Poverty Quartile Schools ","97.6","0341011","201516"
"State Low Poverty Quartile Schools ","99.6","0341011","201516"
"School ","100","0341111","201314"
"State High Poverty Quartile Schools ","97.8","0341111","201314"
"State Low Poverty Quartile Schools ","99.5","0341111","201314"
"School ","100","0341111","201415"
"State High Poverty Quartile Schools ","97.9","0341111","201415"
"State Low Poverty Quartile Schools ","99.6","0341111","201415"
"School ","100","0341111","201516"
"State High Poverty Quartile Schools ","97.6","0341111","201516"
"State Low Poverty Quartile Schools ","99.6","0341111","201516"
"School ","97.5","0341211","201314"
"State High Poverty Quartile Schools ","97.8","0341211","201314"
"State Low Poverty Quartile Schools ","99.5","0341211","201314"
"School ","100","0341211","201415"
"State High Poverty Quartile Schools ","97.9","0341211","201415"
"State Low Poverty Quartile Schools ","99.6","0341211","201415"
"School ","100","0341211","201516"
"State High Poverty Quartile Schools ","97.6","0341211","201516"
"State Low Poverty Quartile Schools ","99.6","0341211","201516"
"School ","100","0341311","201314"
"State High Poverty Quartile Schools ","97.8","0341311","201314"
"State Low Poverty Quartile Schools ","99.5","0341311","201314"
"School ","100","0341311","201415"
"State High Poverty Quartile Schools ","97.9","0341311","201415"
"State Low Poverty Quartile Schools ","99.6","0341311","201415"
"School ","100","0341311","201516"
"State High Poverty Quartile Schools ","97.6","0341311","201516"
"State Low Poverty Quartile Schools ","99.6","0341311","201516"
"School ","98.1","0341411","201314"
"State High Poverty Quartile Schools ","97.8","0341411","201314"
"State Low Poverty Quartile Schools ","99.5","0341411","201314"
"School ","98.3","0341411","201415"
"State High Poverty Quartile Schools ","97.9","0341411","201415"
"State Low Poverty Quartile Schools ","99.6","0341411","201415"
"School ","100","0341411","201516"
"State High Poverty Quartile Schools ","97.6","0341411","201516"
"State Low Poverty Quartile Schools ","99.6","0341411","201516"
"School ","100","0341511","201314"
"State High Poverty Quartile Schools ","97.8","0341511","201314"
"State Low Poverty Quartile Schools ","99.5","0341511","201314"
"School ","92.1","0341511","201415"
"State High Poverty Quartile Schools ","97.9","0341511","201415"
"State Low Poverty Quartile Schools ","99.6","0341511","201415"
"School ","98.3","0341511","201516"
"State High Poverty Quartile Schools ","97.6","0341511","201516"
"State Low Poverty Quartile Schools ","99.6","0341511","201516"
"School ","100","0341611","201314"
"State High Poverty Quartile Schools ","97.8","0341611","201314"
"State Low Poverty Quartile Schools ","99.5","0341611","201314"
"School ","100","0341611","201415"
"State High Poverty Quartile Schools ","97.9","0341611","201415"
"State Low Poverty Quartile Schools ","99.6","0341611","201415"
"School ","98.1","0341611","201516"
"State High Poverty Quartile Schools ","97.6","0341611","201516"
"State Low Poverty Quartile Schools ","99.6","0341611","201516"
"School ","100","0341711","201314"
"State High Poverty Quartile Schools ","97.8","0341711","201314"
"State Low Poverty Quartile Schools ","99.5","0341711","201314"
"School ","100","0341711","201415"
"State High Poverty Quartile Schools ","97.9","0341711","201415"
"State Low Poverty Quartile Schools ","99.6","0341711","201415"
"School ","100","0341711","201516"
"State High Poverty Quartile Schools ","97.6","0341711","201516"
"State Low Poverty Quartile Schools ","99.6","0341711","201516"
"School ","100","0341911","201314"
"State High Poverty Quartile Schools ","97.8","0341911","201314"
"State Low Poverty Quartile Schools ","99.5","0341911","201314"
"School ","100","0341911","201415"
"State High Poverty Quartile Schools ","97.9","0341911","201415"
"State Low Poverty Quartile Schools ","99.6","0341911","201415"
"School ","100","0341911","201516"
"State High Poverty Quartile Schools ","97.6","0341911","201516"
"State Low Poverty Quartile Schools ","99.6","0341911","201516"
"School ","98.5","0345111","201314"
"State High Poverty Quartile Schools ","97.8","0345111","201314"
"State Low Poverty Quartile Schools ","99.5","0345111","201314"
"School ","100","0345111","201415"
"State High Poverty Quartile Schools ","97.9","0345111","201415"
"State Low Poverty Quartile Schools ","99.6","0345111","201415"
"School ","100","0345111","201516"
"State High Poverty Quartile Schools ","97.6","0345111","201516"
"State Low Poverty Quartile Schools ","99.6","0345111","201516"
"School ","97.6","0345211","201314"
"State High Poverty Quartile Schools ","97.8","0345211","201314"
"State Low Poverty Quartile Schools ","99.5","0345211","201314"
"School ","100","0345211","201415"
"State High Poverty Quartile Schools ","97.9","0345211","201415"
"State Low Poverty Quartile Schools ","99.6","0345211","201415"
"School ","100","0345211","201516"
"State High Poverty Quartile Schools ","97.6","0345211","201516"
"State Low Poverty Quartile Schools ","99.6","0345211","201516"
"School ","99.3","0346111","201314"
"State High Poverty Quartile Schools ","97.8","0346111","201314"
"State Low Poverty Quartile Schools ","99.5","0346111","201314"
"School ","100","0346111","201415"
"State High Poverty Quartile Schools ","97.9","0346111","201415"
"State Low Poverty Quartile Schools ","99.6","0346111","201415"
"School ","98.3","0346111","201516"
"State High Poverty Quartile Schools ","97.6","0346111","201516"
"State Low Poverty Quartile Schools ","99.6","0346111","201516"
"School ","89.1","0346211","201314"
"State High Poverty Quartile Schools ","97.8","0346211","201314"
"State Low Poverty Quartile Schools ","99.5","0346211","201314"
"School ","89.4","0346211","201415"
"State High Poverty Quartile Schools ","97.9","0346211","201415"
"State Low Poverty Quartile Schools ","99.6","0346211","201415"
"School ","100","0346211","201516"
"State High Poverty Quartile Schools ","97.6","0346211","201516"
"State Low Poverty Quartile Schools ","99.6","0346211","201516"
"School ","100","0350211","201314"
"State High Poverty Quartile Schools ","97.8","0350211","201314"
"State Low Poverty Quartile Schools ","99.5","0350211","201314"
"School ","100","0350211","201415"
"State High Poverty Quartile Schools ","97.9","0350211","201415"
"State Low Poverty Quartile Schools ","99.6","0350211","201415"
"School ","100","0350211","201516"
"State High Poverty Quartile Schools ","97.6","0350211","201516"
"State Low Poverty Quartile Schools ","99.6","0350211","201516"
"School ","100","0350511","201314"
"State High Poverty Quartile Schools ","97.8","0350511","201314"
"State Low Poverty Quartile Schools ","99.5","0350511","201314"
"School ","100","0350511","201415"
"State High Poverty Quartile Schools ","97.9","0350511","201415"
"State Low Poverty Quartile Schools ","99.6","0350511","201415"
"School ","100","0350511","201516"
"State High Poverty Quartile Schools ","97.6","0350511","201516"
"State Low Poverty Quartile Schools ","99.6","0350511","201516"
"School ","100","0350611","201314"
"State High Poverty Quartile Schools ","97.8","0350611","201314"
"State Low Poverty Quartile Schools ","99.5","0350611","201314"
"School ","100","0350611","201415"
"State High Poverty Quartile Schools ","97.9","0350611","201415"
"State Low Poverty Quartile Schools ","99.6","0350611","201415"
"School ","100","0350611","201516"
"State High Poverty Quartile Schools ","97.6","0350611","201516"
"State Low Poverty Quartile Schools ","99.6","0350611","201516"
"School ","100","0350711","201314"
"State High Poverty Quartile Schools ","97.8","0350711","201314"
"State Low Poverty Quartile Schools ","99.5","0350711","201314"
"School ","100","0350711","201415"
"State High Poverty Quartile Schools ","97.9","0350711","201415"
"State Low Poverty Quartile Schools ","99.6","0350711","201415"
"School ","94.5","0350711","201516"
"State High Poverty Quartile Schools ","97.6","0350711","201516"
"State Low Poverty Quartile Schools ","99.6","0350711","201516"
"School ","100","0351311","201314"
"State High Poverty Quartile Schools ","97.8","0351311","201314"
"State Low Poverty Quartile Schools ","99.5","0351311","201314"
"School ","100","0351311","201415"
"State High Poverty Quartile Schools ","97.9","0351311","201415"
"State Low Poverty Quartile Schools ","99.6","0351311","201415"
"School ","100","0351311","201516"
"State High Poverty Quartile Schools ","97.6","0351311","201516"
"State Low Poverty Quartile Schools ","99.6","0351311","201516"
"School ","99.3","0355111","201314"
"State High Poverty Quartile Schools ","97.8","0355111","201314"
"State Low Poverty Quartile Schools ","99.5","0355111","201314"
"School ","100","0355111","201415"
"State High Poverty Quartile Schools ","97.9","0355111","201415"
"State Low Poverty Quartile Schools ","99.6","0355111","201415"
"School ","100","0355111","201516"
"State High Poverty Quartile Schools ","97.6","0355111","201516"
"State Low Poverty Quartile Schools ","99.6","0355111","201516"
"School ","100","0356111","201314"
"State High Poverty Quartile Schools ","97.8","0356111","201314"
"State Low Poverty Quartile Schools ","99.5","0356111","201314"
"School ","100","0356111","201415"
"State High Poverty Quartile Schools ","97.9","0356111","201415"
"State Low Poverty Quartile Schools ","99.6","0356111","201415"
"School ","99.6","0356111","201516"
"State High Poverty Quartile Schools ","97.6","0356111","201516"
"State Low Poverty Quartile Schools ","99.6","0356111","201516"
"School ","100","0360111","201314"
"State High Poverty Quartile Schools ","97.8","0360111","201314"
"State Low Poverty Quartile Schools ","99.5","0360111","201314"
"School ","100","0360111","201415"
"State High Poverty Quartile Schools ","97.9","0360111","201415"
"State Low Poverty Quartile Schools ","99.6","0360111","201415"
"School ","100","0360111","201516"
"State High Poverty Quartile Schools ","97.6","0360111","201516"
"State Low Poverty Quartile Schools ","99.6","0360111","201516"
"School ","N/A","0370111","201516"
"State High Poverty Quartile Schools ","N/A","0370111","201516"
"State Low Poverty Quartile Schools ","N/A","0370111","201516"
"School ","100","0370411","201314"
"State High Poverty Quartile Schools ","97.8","0370411","201314"
"State Low Poverty Quartile Schools ","99.5","0370411","201314"
"School ","100","0370411","201415"
"State High Poverty Quartile Schools ","97.9","0370411","201415"
"State Low Poverty Quartile Schools ","99.6","0370411","201415"
"School ","100","0370411","201516"
"State High Poverty Quartile Schools ","97.6","0370411","201516"
"State Low Poverty Quartile Schools ","99.6","0370411","201516"
"School ","100","0370611","201314"
"State High Poverty Quartile Schools ","97.8","0370611","201314"
"State Low Poverty Quartile Schools ","99.5","0370611","201314"
"School ","100","0370611","201415"
"State High Poverty Quartile Schools ","97.9","0370611","201415"
"State Low Poverty Quartile Schools ","99.6","0370611","201415"
"School ","100","0370611","201516"
"State High Poverty Quartile Schools ","97.6","0370611","201516"
"State Low Poverty Quartile Schools ","99.6","0370611","201516"
"School ","100","0375011","201314"
"State High Poverty Quartile Schools ","97.8","0375011","201314"
"State Low Poverty Quartile Schools ","99.5","0375011","201314"
"School ","95.6","0375011","201415"
"State High Poverty Quartile Schools ","97.9","0375011","201415"
"State Low Poverty Quartile Schools ","99.6","0375011","201415"
"School ","100","0375011","201516"
"State High Poverty Quartile Schools ","97.6","0375011","201516"
"State Low Poverty Quartile Schools ","99.6","0375011","201516"
"School ","99.2","0376111","201314"
"State High Poverty Quartile Schools ","97.8","0376111","201314"
"State Low Poverty Quartile Schools ","99.5","0376111","201314"
"School ","100","0376111","201415"
"State High Poverty Quartile Schools ","97.9","0376111","201415"
"State Low Poverty Quartile Schools ","99.6","0376111","201415"
"School ","100","0376111","201516"
"State High Poverty Quartile Schools ","97.6","0376111","201516"
"State Low Poverty Quartile Schools ","99.6","0376111","201516"
"School ","100","0390111","201314"
"State High Poverty Quartile Schools ","97.8","0390111","201314"
"State Low Poverty Quartile Schools ","99.5","0390111","201314"
"School ","100","0390111","201415"
"State High Poverty Quartile Schools ","97.9","0390111","201415"
"State Low Poverty Quartile Schools ","99.6","0390111","201415"
"School ","100","0390111","201516"
"State High Poverty Quartile Schools ","97.6","0390111","201516"
"State Low Poverty Quartile Schools ","99.6","0390111","201516"
"School ","100","0400111","201314"
"State High Poverty Quartile Schools ","97.8","0400111","201314"
"State Low Poverty Quartile Schools ","99.5","0400111","201314"
"School ","100","0400111","201415"
"State High Poverty Quartile Schools ","97.9","0400111","201415"
"State Low Poverty Quartile Schools ","99.6","0400111","201415"
"School ","97.1","0400111","201516"
"State High Poverty Quartile Schools ","97.6","0400111","201516"
"State Low Poverty Quartile Schools ","99.6","0400111","201516"
"School ","100","0400211","201314"
"State High Poverty Quartile Schools ","97.8","0400211","201314"
"State Low Poverty Quartile Schools ","99.5","0400211","201314"
"School ","100","0400211","201415"
"State High Poverty Quartile Schools ","97.9","0400211","201415"
"State Low Poverty Quartile Schools ","99.6","0400211","201415"
"School ","100","0400211","201516"
"State High Poverty Quartile Schools ","97.6","0400211","201516"
"State Low Poverty Quartile Schools ","99.6","0400211","201516"
"School ","100","0405111","201314"
"State High Poverty Quartile Schools ","97.8","0405111","201314"
"State Low Poverty Quartile Schools ","99.5","0405111","201314"
"School ","100","0405111","201415"
"State High Poverty Quartile Schools ","97.9","0405111","201415"
"State Low Poverty Quartile Schools ","99.6","0405111","201415"
"School ","100","0405111","201516"
"State High Poverty Quartile Schools ","97.6","0405111","201516"
"State Low Poverty Quartile Schools ","99.6","0405111","201516"
"School ","100","0406111","201314"
"State High Poverty Quartile Schools ","97.8","0406111","201314"
"State Low Poverty Quartile Schools ","99.5","0406111","201314"
"School ","100","0406111","201415"
"State High Poverty Quartile Schools ","97.9","0406111","201415"
"State Low Poverty Quartile Schools ","99.6","0406111","201415"
"School ","100","0406111","201516"
"State High Poverty Quartile Schools ","97.6","0406111","201516"
"State Low Poverty Quartile Schools ","99.6","0406111","201516"
"School ","100","0410111","201314"
"State High Poverty Quartile Schools ","97.8","0410111","201314"
"State Low Poverty Quartile Schools ","99.5","0410111","201314"
"School ","100","0410111","201415"
"State High Poverty Quartile Schools ","97.9","0410111","201415"
"State Low Poverty Quartile Schools ","99.6","0410111","201415"
"School ","100","0410111","201516"
"State High Poverty Quartile Schools ","97.6","0410111","201516"
"State Low Poverty Quartile Schools ","99.6","0410111","201516"
"School ","100","0415111","201314"
"State High Poverty Quartile Schools ","97.8","0415111","201314"
"State Low Poverty Quartile Schools ","99.5","0415111","201314"
"School ","100","0415111","201415"
"State High Poverty Quartile Schools ","97.9","0415111","201415"
"State Low Poverty Quartile Schools ","99.6","0415111","201415"
"School ","100","0415111","201516"
"State High Poverty Quartile Schools ","97.6","0415111","201516"
"State Low Poverty Quartile Schools ","99.6","0415111","201516"
"School ","100","0416111","201314"
"State High Poverty Quartile Schools ","97.8","0416111","201314"
"State Low Poverty Quartile Schools ","99.5","0416111","201314"
"School ","100","0416111","201415"
"State High Poverty Quartile Schools ","97.9","0416111","201415"
"State Low Poverty Quartile Schools ","99.6","0416111","201415"
"School ","100","0416111","201516"
"State High Poverty Quartile Schools ","97.6","0416111","201516"
"State Low Poverty Quartile Schools ","99.6","0416111","201516"
"School ","100","0420111","201314"
"State High Poverty Quartile Schools ","97.8","0420111","201314"
"State Low Poverty Quartile Schools ","99.5","0420111","201314"
"School ","100","0420111","201415"
"State High Poverty Quartile Schools ","97.9","0420111","201415"
"State Low Poverty Quartile Schools ","99.6","0420111","201415"
"School ","100","0420111","201516"
"State High Poverty Quartile Schools ","97.6","0420111","201516"
"State Low Poverty Quartile Schools ","99.6","0420111","201516"
"School ","100","0420311","201314"
"State High Poverty Quartile Schools ","97.8","0420311","201314"
"State Low Poverty Quartile Schools ","99.5","0420311","201314"
"School ","100","0420311","201415"
"State High Poverty Quartile Schools ","97.9","0420311","201415"
"State Low Poverty Quartile Schools ","99.6","0420311","201415"
"School ","100","0420311","201516"
"State High Poverty Quartile Schools ","97.6","0420311","201516"
"State Low Poverty Quartile Schools ","99.6","0420311","201516"
"School ","100","0425111","201314"
"State High Poverty Quartile Schools ","97.8","0425111","201314"
"State Low Poverty Quartile Schools ","99.5","0425111","201314"
"School ","100","0425111","201415"
"State High Poverty Quartile Schools ","97.9","0425111","201415"
"State Low Poverty Quartile Schools ","99.6","0425111","201415"
"School ","100","0425111","201516"
"State High Poverty Quartile Schools ","97.6","0425111","201516"
"State Low Poverty Quartile Schools ","99.6","0425111","201516"
"School ","96.1","0426111","201314"
"State High Poverty Quartile Schools ","97.8","0426111","201314"
"State Low Poverty Quartile Schools ","99.5","0426111","201314"
"School ","100","0426111","201415"
"State High Poverty Quartile Schools ","97.9","0426111","201415"
"State Low Poverty Quartile Schools ","99.6","0426111","201415"
"School ","97.4","0426111","201516"
"State High Poverty Quartile Schools ","97.6","0426111","201516"
"State Low Poverty Quartile Schools ","99.6","0426111","201516"
"School ","100","0430411","201314"
"State High Poverty Quartile Schools ","97.8","0430411","201314"
"State Low Poverty Quartile Schools ","99.5","0430411","201314"
"School ","100","0430411","201415"
"State High Poverty Quartile Schools ","97.9","0430411","201415"
"State Low Poverty Quartile Schools ","99.6","0430411","201415"
"School ","100","0430411","201516"
"State High Poverty Quartile Schools ","97.6","0430411","201516"
"State Low Poverty Quartile Schools ","99.6","0430411","201516"
"School ","100","0430511","201314"
"State High Poverty Quartile Schools ","97.8","0430511","201314"
"State Low Poverty Quartile Schools ","99.5","0430511","201314"
"School ","100","0430511","201415"
"State High Poverty Quartile Schools ","97.9","0430511","201415"
"State Low Poverty Quartile Schools ","99.6","0430511","201415"
"School ","100","0430511","201516"
"State High Poverty Quartile Schools ","97.6","0430511","201516"
"State Low Poverty Quartile Schools ","99.6","0430511","201516"
"School ","100","0430611","201314"
"State High Poverty Quartile Schools ","97.8","0430611","201314"
"State Low Poverty Quartile Schools ","99.5","0430611","201314"
"School ","100","0430611","201415"
"State High Poverty Quartile Schools ","97.9","0430611","201415"
"State Low Poverty Quartile Schools ","99.6","0430611","201415"
"School ","100","0430611","201516"
"State High Poverty Quartile Schools ","97.6","0430611","201516"
"State Low Poverty Quartile Schools ","99.6","0430611","201516"
"School ","100","0430911","201314"
"State High Poverty Quartile Schools ","97.8","0430911","201314"
"State Low Poverty Quartile Schools ","99.5","0430911","201314"
"School ","100","0430911","201415"
"State High Poverty Quartile Schools ","97.9","0430911","201415"
"State Low Poverty Quartile Schools ","99.6","0430911","201415"
"School ","100","0430911","201516"
"State High Poverty Quartile Schools ","97.6","0430911","201516"
"State Low Poverty Quartile Schools ","99.6","0430911","201516"
"School ","100","0431011","201314"
"State High Poverty Quartile Schools ","97.8","0431011","201314"
"State Low Poverty Quartile Schools ","99.5","0431011","201314"
"School ","100","0431011","201415"
"State High Poverty Quartile Schools ","97.9","0431011","201415"
"State Low Poverty Quartile Schools ","99.6","0431011","201415"
"School ","100","0431011","201516"
"State High Poverty Quartile Schools ","97.6","0431011","201516"
"State Low Poverty Quartile Schools ","99.6","0431011","201516"
"School ","100","0431211","201314"
"State High Poverty Quartile Schools ","97.8","0431211","201314"
"State Low Poverty Quartile Schools ","99.5","0431211","201314"
"School ","100","0431211","201415"
"State High Poverty Quartile Schools ","97.9","0431211","201415"
"State Low Poverty Quartile Schools ","99.6","0431211","201415"
"School ","100","0431211","201516"
"State High Poverty Quartile Schools ","97.6","0431211","201516"
"State Low Poverty Quartile Schools ","99.6","0431211","201516"
"School ","100","0431811","201314"
"State High Poverty Quartile Schools ","97.8","0431811","201314"
"State Low Poverty Quartile Schools ","99.5","0431811","201314"
"School ","100","0431811","201415"
"State High Poverty Quartile Schools ","97.9","0431811","201415"
"State Low Poverty Quartile Schools ","99.6","0431811","201415"
"School ","100","0431811","201516"
"State High Poverty Quartile Schools ","97.6","0431811","201516"
"State Low Poverty Quartile Schools ","99.6","0431811","201516"
"School ","100","0432011","201314"
"State High Poverty Quartile Schools ","97.8","0432011","201314"
"State Low Poverty Quartile Schools ","99.5","0432011","201314"
"School ","100","0432011","201415"
"State High Poverty Quartile Schools ","97.9","0432011","201415"
"State Low Poverty Quartile Schools ","99.6","0432011","201415"
"School ","100","0432011","201516"
"State High Poverty Quartile Schools ","97.6","0432011","201516"
"State Low Poverty Quartile Schools ","99.6","0432011","201516"
"School ","100","0432211","201314"
"State High Poverty Quartile Schools ","97.8","0432211","201314"
"State Low Poverty Quartile Schools ","99.5","0432211","201314"
"School ","100","0432211","201415"
"State High Poverty Quartile Schools ","97.9","0432211","201415"
"State Low Poverty Quartile Schools ","99.6","0432211","201415"
"School ","100","0432211","201516"
"State High Poverty Quartile Schools ","97.6","0432211","201516"
"State Low Poverty Quartile Schools ","99.6","0432211","201516"
"School ","100","0432411","201314"
"State High Poverty Quartile Schools ","97.8","0432411","201314"
"State Low Poverty Quartile Schools ","99.5","0432411","201314"
"School ","100","0432411","201415"
"State High Poverty Quartile Schools ","97.9","0432411","201415"
"State Low Poverty Quartile Schools ","99.6","0432411","201415"
"School ","93.9","0432411","201516"
"State High Poverty Quartile Schools ","97.6","0432411","201516"
"State Low Poverty Quartile Schools ","99.6","0432411","201516"
"School ","98.5","0435111","201314"
"State High Poverty Quartile Schools ","97.8","0435111","201314"
"State Low Poverty Quartile Schools ","99.5","0435111","201314"
"School ","100","0435111","201415"
"State High Poverty Quartile Schools ","97.9","0435111","201415"
"State Low Poverty Quartile Schools ","99.6","0435111","201415"
"School ","100","0435111","201516"
"State High Poverty Quartile Schools ","97.6","0435111","201516"
"State Low Poverty Quartile Schools ","99.6","0435111","201516"
"School ","100","0436211","201314"
"State High Poverty Quartile Schools ","97.8","0436211","201314"
"State Low Poverty Quartile Schools ","99.5","0436211","201314"
"School ","100","0436211","201415"
"State High Poverty Quartile Schools ","97.9","0436211","201415"
"State Low Poverty Quartile Schools ","99.6","0436211","201415"
"School ","100","0436211","201516"
"State High Poverty Quartile Schools ","97.6","0436211","201516"
"State Low Poverty Quartile Schools ","99.6","0436211","201516"
"School ","100","0436311","201314"
"State High Poverty Quartile Schools ","97.8","0436311","201314"
"State Low Poverty Quartile Schools ","99.5","0436311","201314"
"School ","100","0436311","201415"
"State High Poverty Quartile Schools ","97.9","0436311","201415"
"State Low Poverty Quartile Schools ","99.6","0436311","201415"
"School ","100","0436311","201516"
"State High Poverty Quartile Schools ","97.6","0436311","201516"
"State Low Poverty Quartile Schools ","99.6","0436311","201516"
"School ","100","0436411","201314"
"State High Poverty Quartile Schools ","97.8","0436411","201314"
"State Low Poverty Quartile Schools ","99.5","0436411","201314"
"School ","100","0436411","201415"
"State High Poverty Quartile Schools ","97.9","0436411","201415"
"State Low Poverty Quartile Schools ","99.6","0436411","201415"
"School ","100","0436411","201516"
"State High Poverty Quartile Schools ","97.6","0436411","201516"
"State Low Poverty Quartile Schools ","99.6","0436411","201516"
"School ","100","0440111","201314"
"State High Poverty Quartile Schools ","97.8","0440111","201314"
"State Low Poverty Quartile Schools ","99.5","0440111","201314"
"School ","100","0440111","201415"
"State High Poverty Quartile Schools ","97.9","0440111","201415"
"State Low Poverty Quartile Schools ","99.6","0440111","201415"
"School ","100","0440111","201516"
"State High Poverty Quartile Schools ","97.6","0440111","201516"
"State Low Poverty Quartile Schools ","99.6","0440111","201516"
"School ","100","0440711","201314"
"State High Poverty Quartile Schools ","97.8","0440711","201314"
"State Low Poverty Quartile Schools ","99.5","0440711","201314"
"School ","100","0440711","201415"
"State High Poverty Quartile Schools ","97.9","0440711","201415"
"State Low Poverty Quartile Schools ","99.6","0440711","201415"
"School ","97.6","0440711","201516"
"State High Poverty Quartile Schools ","97.6","0440711","201516"
"State Low Poverty Quartile Schools ","99.6","0440711","201516"
"School ","96.7","0441011","201314"
"State High Poverty Quartile Schools ","97.8","0441011","201314"
"State Low Poverty Quartile Schools ","99.5","0441011","201314"
"School ","100","0441011","201415"
"State High Poverty Quartile Schools ","97.9","0441011","201415"
"State Low Poverty Quartile Schools ","99.6","0441011","201415"
"School ","100","0441011","201516"
"State High Poverty Quartile Schools ","97.6","0441011","201516"
"State Low Poverty Quartile Schools ","99.6","0441011","201516"
"School ","100","0441311","201314"
"State High Poverty Quartile Schools ","97.8","0441311","201314"
"State Low Poverty Quartile Schools ","99.5","0441311","201314"
"School ","100","0441311","201415"
"State High Poverty Quartile Schools ","97.9","0441311","201415"
"State Low Poverty Quartile Schools ","99.6","0441311","201415"
"School ","100","0441311","201516"
"State High Poverty Quartile Schools ","97.6","0441311","201516"
"State Low Poverty Quartile Schools ","99.6","0441311","201516"
"School ","100","0441711","201314"
"State High Poverty Quartile Schools ","97.8","0441711","201314"
"State Low Poverty Quartile Schools ","99.5","0441711","201314"
"School ","100","0441711","201415"
"State High Poverty Quartile Schools ","97.9","0441711","201415"
"State Low Poverty Quartile Schools ","99.6","0441711","201415"
"School ","100","0441711","201516"
"State High Poverty Quartile Schools ","97.6","0441711","201516"
"State Low Poverty Quartile Schools ","99.6","0441711","201516"
"School ","100","0441811","201314"
"State High Poverty Quartile Schools ","97.8","0441811","201314"
"State Low Poverty Quartile Schools ","99.5","0441811","201314"
"School ","100","0441811","201415"
"State High Poverty Quartile Schools ","97.9","0441811","201415"
"State Low Poverty Quartile Schools ","99.6","0441811","201415"
"School ","100","0441811","201516"
"State High Poverty Quartile Schools ","97.6","0441811","201516"
"State Low Poverty Quartile Schools ","99.6","0441811","201516"
"School ","100","0445111","201314"
"State High Poverty Quartile Schools ","97.8","0445111","201314"
"State Low Poverty Quartile Schools ","99.5","0445111","201314"
"School ","100","0445111","201415"
"State High Poverty Quartile Schools ","97.9","0445111","201415"
"State Low Poverty Quartile Schools ","99.6","0445111","201415"
"School ","100","0445111","201516"
"State High Poverty Quartile Schools ","97.6","0445111","201516"
"State Low Poverty Quartile Schools ","99.6","0445111","201516"
"School ","100","0446111","201314"
"State High Poverty Quartile Schools ","97.8","0446111","201314"
"State Low Poverty Quartile Schools ","99.5","0446111","201314"
"School ","100","0446111","201415"
"State High Poverty Quartile Schools ","97.9","0446111","201415"
"State Low Poverty Quartile Schools ","99.6","0446111","201415"
"School ","98.2","0446111","201516"
"State High Poverty Quartile Schools ","97.6","0446111","201516"
"State Low Poverty Quartile Schools ","99.6","0446111","201516"
"School ","100","0450111","201314"
"State High Poverty Quartile Schools ","97.8","0450111","201314"
"State Low Poverty Quartile Schools ","99.5","0450111","201314"
"School ","100","0450111","201415"
"State High Poverty Quartile Schools ","97.9","0450111","201415"
"State Low Poverty Quartile Schools ","99.6","0450111","201415"
"School ","100","0450111","201516"
"State High Poverty Quartile Schools ","97.6","0450111","201516"
"State Low Poverty Quartile Schools ","99.6","0450111","201516"
"School ","100","0450211","201314"
"State High Poverty Quartile Schools ","97.8","0450211","201314"
"State Low Poverty Quartile Schools ","99.5","0450211","201314"
"School ","100","0450211","201415"
"State High Poverty Quartile Schools ","97.9","0450211","201415"
"State Low Poverty Quartile Schools ","99.6","0450211","201415"
"School ","100","0450211","201516"
"State High Poverty Quartile Schools ","97.6","0450211","201516"
"State Low Poverty Quartile Schools ","99.6","0450211","201516"
"School ","100","0450411","201314"
"State High Poverty Quartile Schools ","97.8","0450411","201314"
"State Low Poverty Quartile Schools ","99.5","0450411","201314"
"School ","100","0450411","201415"
"State High Poverty Quartile Schools ","97.9","0450411","201415"
"State Low Poverty Quartile Schools ","99.6","0450411","201415"
"School ","100","0450411","201516"
"State High Poverty Quartile Schools ","97.6","0450411","201516"
"State Low Poverty Quartile Schools ","99.6","0450411","201516"
"School ","100","0455111","201314"
"State High Poverty Quartile Schools ","97.8","0455111","201314"
