"indicator","index.rate","target","points","max","percent.points","state.avg","school_code","year"
"Science: All Students ","51.9 ","75 ",69.2,100,69.2,"56.5","0340211","201415"
"Science: High Needs Students ","48.9 ","75 ",65.2,100,65.2,"45.9","0340211","201415"
"Chronic absenteeism: All Students ","5.5% ","<=5% ",48.9,50,97.9,"10.6%","0340211","201415"
"Chronic absenteeism: High Needs Students ","6.8% ","<=5% ",46.5,50,93,"17.3%","0340211","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0340211","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0340211","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","95.4% | 12.9% ","75% ",8.6,50,17.2,"87.6% | 51.0%","0340211","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0340211","201415"
"Accountability Index ","","",574.8,750,76.6,"","0340211","201415"
"ELA Performance index: All Students ","69.9 ","75 ",46.6,50,93.2,"67.7","0340211","201516"
"ELA Performance index: High Needs Students ","67.4 ","75 ",45,50,89.9,"56.7","0340211","201516"
"Math Performance index: All Students ","64.0 ","75 ",42.7,50,85.4,"61.4","0340211","201516"
"Math Performance index: High Needs Students ","62.2 ","75 ",41.4,50,82.9,"49.9","0340211","201516"
"Science Performance index: All Students ","52.4 ","75 ",34.9,50,69.9,"57.5","0340211","201516"
"Science Performance index: High Needs Students ","50.0 ","75 ",33.3,50,66.7,"47.0","0340211","201516"
"ELA Academic growth: ELA Performance index: All Students ","76.8% ","100% ",76.8,100,76.8,"63.8%","0340211","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","74.3% ","100% ",74.3,100,74.3,"58.3%","0340211","201516"
"Math Academic growth: Math Performance index: All Students ","84.9% ","100% ",84.9,100,84.9,"65.0%","0340211","201516"
"Math Academic growth: Math Performance index: High Needs Students ","85.6% ","100% ",85.6,100,85.6,"57.4%","0340211","201516"
"Chronic absenteeism: Science Performance index: All Students ","8.6% ","<=5% ",42.7,50,85.5,"9.6%","0340211","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","10.2% ","<=5% ",39.6,50,79.2,"15.6%","0340211","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0340211","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0340211","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0340211","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0340211","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0340211","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0340211","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 11.9% ","75% ",7.9,50,15.8,"89.2% | 50.5%","0340211","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0340211","201516"
"ELA: All Students ","72.8 ","75 ",97.1,100,97.1,"67.9","0340311","201415"
"ELA: High Needs Students ","65.0 ","75 ",86.7,100,86.7,"56.7","0340311","201415"
"Math: All Students ","64.3 ","75 ",85.7,100,85.7,"59.3","0340311","201415"
"Math: High Needs Students ","56.9 ","75 ",75.9,100,75.9,"47.8","0340311","201415"
"Science: All Students ","60.3 ","75 ",80.4,100,80.4,"56.5","0340311","201415"
"Science: High Needs Students ","54.3 ","75 ",72.4,100,72.4,"45.9","0340311","201415"
"Chronic absenteeism: All Students ","1.5% ","<=5% ",50,50,100,"10.6%","0340311","201415"
"Chronic absenteeism: High Needs Students ","2.1% ","<=5% ",50,50,100,"17.3%","0340311","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0340311","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0340311","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","98.3% | 44.9% ","75% ",29.9,50,59.8,"87.6% | 51.0%","0340311","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0340311","201415"
"Accountability Index ","","",628.1,750,83.7,"","0340311","201415"
"ELA Performance index: All Students ","69.3 ","75 ",46.2,50,92.5,"67.7","0340311","201516"
"ELA Performance index: High Needs Students ","61.1 ","75 ",40.7,50,81.5,"56.7","0340311","201516"
"Math Performance index: All Students ","62.4 ","75 ",41.6,50,83.2,"61.4","0340311","201516"
"Math Performance index: High Needs Students ","55.0 ","75 ",36.7,50,73.3,"49.9","0340311","201516"
"Science Performance index: All Students ","59.9 ","75 ",39.9,50,79.9,"57.5","0340311","201516"
"Science Performance index: High Needs Students ","51.7 ","75 ",34.5,50,68.9,"47.0","0340311","201516"
"ELA Academic growth: ELA Performance index: All Students ","54.6% ","100% ",54.6,100,54.6,"63.8%","0340311","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","47.6% ","100% ",47.6,100,47.6,"58.3%","0340311","201516"
"Math Academic growth: Math Performance index: All Students ","50.9% ","100% ",50.9,100,50.9,"65.0%","0340311","201516"
"Math Academic growth: Math Performance index: High Needs Students ","45.5% ","100% ",45.5,100,45.5,"57.4%","0340311","201516"
"Chronic absenteeism: Science Performance index: All Students ","2.6% ","<=5% ",50,50,100,"9.6%","0340311","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","2.3% ","<=5% ",50,50,100,"15.6%","0340311","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0340311","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0340311","201516"
"On-track to High School Graduation ","96.8% ","94% ",50,50,100,"85.1%","0340311","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0340311","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0340311","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0340311","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","94.7% | 46.5% ","75% ",31,50,62,"89.2% | 50.5%","0340311","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0340311","201516"
"ELA: All Students ","67.1 ","75 ",89.4,100,89.4,"67.9","0340511","201415"
"ELA: High Needs Students ","60.6 ","75 ",80.8,100,80.8,"56.7","0340511","201415"
"Math: All Students ","57.9 ","75 ",77.2,100,77.2,"59.3","0340511","201415"
"Math: High Needs Students ","50.8 ","75 ",67.7,100,67.7,"47.8","0340511","201415"
"Science: All Students ","N/A ","75 ",0,0,0,"56.5","0340511","201415"
"Science: High Needs Students ","N/A ","75 ",0,0,0,"45.9","0340511","201415"
"Chronic absenteeism: All Students ","5.1% ","<=5% ",49.9,50,99.7,"10.6%","0340511","201415"
"Chronic absenteeism: High Needs Students ","7.3% ","<=5% ",45.5,50,90.9,"17.3%","0340511","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0340511","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0340511","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","N/A | N/A ","75% ",0,0,0,"87.6% | 51.0%","0340511","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0340511","201415"
"Accountability Index ","","",410.4,500,82.1,"","0340511","201415"
"ELA Performance index: All Students ","73.0 ","75 ",97.3,100,97.3,"67.7","0340511","201516"
"ELA Performance index: High Needs Students ","68.1 ","75 ",90.8,100,90.8,"56.7","0340511","201516"
"Math Performance index: All Students ","67.6 ","75 ",90.2,100,90.2,"61.4","0340511","201516"
"Math Performance index: High Needs Students ","61.3 ","75 ",81.8,100,81.8,"49.9","0340511","201516"
"Science Performance index: All Students ","N/A ","75 ",0,0,0,"57.5","0340511","201516"
"Science Performance index: High Needs Students ","N/A ","75 ",0,0,0,"47.0","0340511","201516"
"ELA Academic growth: ELA Performance index: All Students ","N/A ","100% ",0,0,0,"63.8%","0340511","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","100% ",0,0,0,"58.3%","0340511","201516"
"Math Academic growth: Math Performance index: All Students ","N/A ","100% ",0,0,0,"65.0%","0340511","201516"
"Math Academic growth: Math Performance index: High Needs Students ","N/A ","100% ",0,0,0,"57.4%","0340511","201516"
"Chronic absenteeism: Science Performance index: All Students ","2.0% ","<=5% ",50,50,100,"9.6%","0340511","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","2.7% ","<=5% ",50,50,100,"15.6%","0340511","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0340511","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0340511","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0340511","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0340511","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0340511","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0340511","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","N/A | N/A ","75% ",0,0,0,"89.2% | 50.5%","0340511","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0340511","201516"
"ELA: All Students ","64.9 ","75 ",86.5,100,86.5,"67.9","0340611","201415"
"ELA: High Needs Students ","64.0 ","75 ",85.4,100,85.4,"56.7","0340611","201415"
"Math: All Students ","57.9 ","75 ",77.1,100,77.1,"59.3","0340611","201415"
"Math: High Needs Students ","57.4 ","75 ",76.5,100,76.5,"47.8","0340611","201415"
"Science: All Students ","44.2 ","75 ",58.9,100,58.9,"56.5","0340611","201415"
"Science: High Needs Students ","44.1 ","75 ",58.8,100,58.8,"45.9","0340611","201415"
"Chronic absenteeism: All Students ","2.7% ","<=5% ",50,50,100,"10.6%","0340611","201415"
"Chronic absenteeism: High Needs Students ","3.1% ","<=5% ",50,50,100,"17.3%","0340611","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0340611","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0340611","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","98.1% | 40.4% ","75% ",26.9,50,53.8,"87.6% | 51.0%","0340611","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0340611","201415"
"Accountability Index ","","",570.2,750,76,"","0340611","201415"
"ELA Performance index: All Students ","71.0 ","75 ",47.3,50,94.6,"67.7","0340611","201516"
"ELA Performance index: High Needs Students ","70.5 ","75 ",47,50,94,"56.7","0340611","201516"
"Math Performance index: All Students ","65.2 ","75 ",43.5,50,87,"61.4","0340611","201516"
"Math Performance index: High Needs Students ","64.9 ","75 ",43.2,50,86.5,"49.9","0340611","201516"
"Science Performance index: All Students ","45.3 ","75 ",30.2,50,60.4,"57.5","0340611","201516"
"Science Performance index: High Needs Students ","44.7 ","75 ",29.8,50,59.6,"47.0","0340611","201516"
"ELA Academic growth: ELA Performance index: All Students ","78.8% ","100% ",78.8,100,78.8,"63.8%","0340611","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","81.8% ","100% ",81.8,100,81.8,"58.3%","0340611","201516"
"Math Academic growth: Math Performance index: All Students ","90.2% ","100% ",90.2,100,90.2,"65.0%","0340611","201516"
"Math Academic growth: Math Performance index: High Needs Students ","91.5% ","100% ",91.5,100,91.5,"57.4%","0340611","201516"
"Chronic absenteeism: Science Performance index: All Students ","2.2% ","<=5% ",50,50,100,"9.6%","0340611","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","1.9% ","<=5% ",50,50,100,"15.6%","0340611","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0340611","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0340611","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0340611","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0340611","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0340611","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0340611","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 50.0% ","75% ",33.3,50,66.7,"89.2% | 50.5%","0340611","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0340611","201516"
"ELA: All Students ","64.3 ","75 ",85.8,100,85.8,"67.9","0340811","201415"
"ELA: High Needs Students ","61.8 ","75 ",82.4,100,82.4,"56.7","0340811","201415"
"Math: All Students ","58.0 ","75 ",77.3,100,77.3,"59.3","0340811","201415"
"Math: High Needs Students ","55.9 ","75 ",74.5,100,74.5,"47.8","0340811","201415"
"Science: All Students ","43.2 ","75 ",57.6,100,57.6,"56.5","0340811","201415"
"Science: High Needs Students ","42.3 ","75 ",56.4,100,56.4,"45.9","0340811","201415"
"Chronic absenteeism: All Students ","6.4% ","<=5% ",47.2,50,94.4,"10.6%","0340811","201415"
"Chronic absenteeism: High Needs Students ","7.0% ","<=5% ",46.1,50,92.2,"17.3%","0340811","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0340811","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0340811","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","97.7% | 34.5% ","75% ",23,50,46,"87.6% | 51.0%","0340811","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0340811","201415"
"Accountability Index ","","",550.2,750,73.4,"","0340811","201415"
"ELA Performance index: All Students ","68.0 ","75 ",45.3,50,90.6,"67.7","0340811","201516"
"ELA Performance index: High Needs Students ","65.5 ","75 ",43.7,50,87.3,"56.7","0340811","201516"
"Math Performance index: All Students ","64.7 ","75 ",43.2,50,86.3,"61.4","0340811","201516"
"Math Performance index: High Needs Students ","62.3 ","75 ",41.5,50,83.1,"49.9","0340811","201516"
"Science Performance index: All Students ","51.4 ","75 ",34.3,50,68.5,"57.5","0340811","201516"
"Science Performance index: High Needs Students ","49.5 ","75 ",33,50,66,"47.0","0340811","201516"
"ELA Academic growth: ELA Performance index: All Students ","83.5% ","100% ",83.5,100,83.5,"63.8%","0340811","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","83.1% ","100% ",83.1,100,83.1,"58.3%","0340811","201516"
"Math Academic growth: Math Performance index: All Students ","88.5% ","100% ",88.5,100,88.5,"65.0%","0340811","201516"
"Math Academic growth: Math Performance index: High Needs Students ","85.5% ","100% ",85.5,100,85.5,"57.4%","0340811","201516"
"Chronic absenteeism: Science Performance index: All Students ","8.4% ","<=5% ",43.2,50,86.3,"9.6%","0340811","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","8.5% ","<=5% ",43.1,50,86.2,"15.6%","0340811","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0340811","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0340811","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0340811","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0340811","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0340811","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0340811","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","89.8% | 33.0% ","75% ",11,50,22,"89.2% | 50.5%","0340811","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0340811","201516"
"ELA: All Students ","64.1 ","75 ",85.5,100,85.5,"67.9","0341011","201415"
"ELA: High Needs Students ","62.8 ","75 ",83.8,100,83.8,"56.7","0341011","201415"
"Math: All Students ","54.8 ","75 ",73.1,100,73.1,"59.3","0341011","201415"
"Math: High Needs Students ","53.5 ","75 ",71.3,100,71.3,"47.8","0341011","201415"
"Science: All Students ","44.7 ","75 ",59.6,100,59.6,"56.5","0341011","201415"
"Science: High Needs Students ","43.5 ","75 ",58,100,58,"45.9","0341011","201415"
"Chronic absenteeism: All Students ","7.1% ","<=5% ",45.9,50,91.7,"10.6%","0341011","201415"
"Chronic absenteeism: High Needs Students ","7.4% ","<=5% ",45.2,50,90.4,"17.3%","0341011","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0341011","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0341011","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","92.6% | 24.0% ","75% ",16,50,32,"87.6% | 51.0%","0341011","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0341011","201415"
"Accountability Index ","","",538.4,750,71.8,"","0341011","201415"
"ELA Performance index: All Students ","67.4 ","75 ",44.9,50,89.8,"67.7","0341011","201516"
"ELA Performance index: High Needs Students ","65.4 ","75 ",43.6,50,87.2,"56.7","0341011","201516"
"Math Performance index: All Students ","60.5 ","75 ",40.3,50,80.7,"61.4","0341011","201516"
"Math Performance index: High Needs Students ","58.6 ","75 ",39.1,50,78.1,"49.9","0341011","201516"
"Science Performance index: All Students ","46.5 ","75 ",31,50,62,"57.5","0341011","201516"
"Science Performance index: High Needs Students ","45.3 ","75 ",30.2,50,60.4,"47.0","0341011","201516"
"ELA Academic growth: ELA Performance index: All Students ","78.2% ","100% ",78.2,100,78.2,"63.8%","0341011","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","77.2% ","100% ",77.2,100,77.2,"58.3%","0341011","201516"
"Math Academic growth: Math Performance index: All Students ","78.3% ","100% ",78.3,100,78.3,"65.0%","0341011","201516"
"Math Academic growth: Math Performance index: High Needs Students ","78.6% ","100% ",78.6,100,78.6,"57.4%","0341011","201516"
"Chronic absenteeism: Science Performance index: All Students ","2.6% ","<=5% ",50,50,100,"9.6%","0341011","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","2.4% ","<=5% ",50,50,100,"15.6%","0341011","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0341011","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0341011","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0341011","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0341011","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0341011","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0341011","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","93.8% | 23.3% ","75% ",15.6,50,31.1,"89.2% | 50.5%","0341011","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0341011","201516"
"ELA: All Students ","70.5 ","75 ",94,100,94,"67.9","0341111","201415"
"ELA: High Needs Students ","65.1 ","75 ",86.7,100,86.7,"56.7","0341111","201415"
"Math: All Students ","62.3 ","75 ",83.1,100,83.1,"59.3","0341111","201415"
"Math: High Needs Students ","55.9 ","75 ",74.5,100,74.5,"47.8","0341111","201415"
"Science: All Students ","51.3 ","75 ",68.4,100,68.4,"56.5","0341111","201415"
"Science: High Needs Students ","43.2 ","75 ",57.6,100,57.6,"45.9","0341111","201415"
"Chronic absenteeism: All Students ","5.2% ","<=5% ",49.7,50,99.3,"10.6%","0341111","201415"
"Chronic absenteeism: High Needs Students ","7.0% ","<=5% ",46,50,92.1,"17.3%","0341111","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0341111","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0341111","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","81.3% | 48.7% ","75% ",16.2,50,32.5,"87.6% | 51.0%","0341111","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0341111","201415"
"Accountability Index ","","",576.3,750,76.8,"","0341111","201415"
"ELA Performance index: All Students ","71.2 ","75 ",47.5,50,95,"67.7","0341111","201516"
"ELA Performance index: High Needs Students ","67.2 ","75 ",44.8,50,89.7,"56.7","0341111","201516"
"Math Performance index: All Students ","66.7 ","75 ",44.5,50,88.9,"61.4","0341111","201516"
"Math Performance index: High Needs Students ","61.6 ","75 ",41.1,50,82.2,"49.9","0341111","201516"
"Science Performance index: All Students ","57.3 ","75 ",38.2,50,76.4,"57.5","0341111","201516"
"Science Performance index: High Needs Students ","53.3 ","75 ",35.5,50,71,"47.0","0341111","201516"
"ELA Academic growth: ELA Performance index: All Students ","63.7% ","100% ",63.7,100,63.7,"63.8%","0341111","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","71.1% ","100% ",71.1,100,71.1,"58.3%","0341111","201516"
"Math Academic growth: Math Performance index: All Students ","76.5% ","100% ",76.5,100,76.5,"65.0%","0341111","201516"
"Math Academic growth: Math Performance index: High Needs Students ","76.5% ","100% ",76.5,100,76.5,"57.4%","0341111","201516"
"Chronic absenteeism: Science Performance index: All Students ","6.9% ","<=5% ",46.1,50,92.2,"9.6%","0341111","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","9.0% ","<=5% ",41.9,50,83.8,"15.6%","0341111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0341111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0341111","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0341111","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0341111","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0341111","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0341111","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","94.1% | 22.9% ","75% ",15.3,50,30.6,"89.2% | 50.5%","0341111","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0341111","201516"
"ELA: All Students ","70.1 ","75 ",93.4,100,93.4,"67.9","0341211","201415"
"ELA: High Needs Students ","65.4 ","75 ",87.2,100,87.2,"56.7","0341211","201415"
"Math: All Students ","61.0 ","75 ",81.3,100,81.3,"59.3","0341211","201415"
"Math: High Needs Students ","57.3 ","75 ",76.4,100,76.4,"47.8","0341211","201415"
"Science: All Students ","47.2 ","75 ",62.9,100,62.9,"56.5","0341211","201415"
"Science: High Needs Students ","42.4 ","75 ",56.6,100,56.6,"45.9","0341211","201415"
"Chronic absenteeism: All Students ","4.7% ","<=5% ",50,50,100,"10.6%","0341211","201415"
"Chronic absenteeism: High Needs Students ","5.2% ","<=5% ",49.6,50,99.3,"17.3%","0341211","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0341211","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0341211","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","93.3% | 44.6% ","75% ",29.7,50,59.4,"87.6% | 51.0%","0341211","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0341211","201415"
"Accountability Index ","","",587.1,750,78.3,"","0341211","201415"
"ELA Performance index: All Students ","69.6 ","75 ",46.4,50,92.7,"67.7","0341211","201516"
"ELA Performance index: High Needs Students ","66.5 ","75 ",44.3,50,88.6,"56.7","0341211","201516"
"Math Performance index: All Students ","64.5 ","75 ",43,50,86,"61.4","0341211","201516"
"Math Performance index: High Needs Students ","61.6 ","75 ",41.1,50,82.2,"49.9","0341211","201516"
"Science Performance index: All Students ","51.5 ","75 ",34.3,50,68.6,"57.5","0341211","201516"
"Science Performance index: High Needs Students ","49.4 ","75 ",32.9,50,65.8,"47.0","0341211","201516"
"ELA Academic growth: ELA Performance index: All Students ","65.2% ","100% ",65.2,100,65.2,"63.8%","0341211","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","65.3% ","100% ",65.3,100,65.3,"58.3%","0341211","201516"
"Math Academic growth: Math Performance index: All Students ","77.2% ","100% ",77.2,100,77.2,"65.0%","0341211","201516"
"Math Academic growth: Math Performance index: High Needs Students ","76.6% ","100% ",76.6,100,76.6,"57.4%","0341211","201516"
"Chronic absenteeism: Science Performance index: All Students ","6.3% ","<=5% ",47.4,50,94.7,"9.6%","0341211","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","7.1% ","<=5% ",45.8,50,91.7,"15.6%","0341211","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0341211","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0341211","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0341211","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0341211","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0341211","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0341211","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 33.3% ","75% ",22.2,50,44.4,"89.2% | 50.5%","0341211","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0341211","201516"
"ELA: All Students ","67.7 ","75 ",90.2,100,90.2,"67.9","0341311","201415"
"ELA: High Needs Students ","59.8 ","75 ",79.7,100,79.7,"56.7","0341311","201415"
"Math: All Students ","60.7 ","75 ",81,100,81,"59.3","0341311","201415"
"Math: High Needs Students ","52.2 ","75 ",69.5,100,69.5,"47.8","0341311","201415"
"Science: All Students ","N/A ","75 ",0,0,0,"56.5","0341311","201415"
"Science: High Needs Students ","N/A ","75 ",0,0,0,"45.9","0341311","201415"
"Chronic absenteeism: All Students ","5.2% ","<=5% ",49.6,50,99.2,"10.6%","0341311","201415"
"Chronic absenteeism: High Needs Students ","6.7% ","<=5% ",46.6,50,93.1,"17.3%","0341311","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0341311","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0341311","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","N/A | N/A ","75% ",0,0,0,"87.6% | 51.0%","0341311","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0341311","201415"
"Accountability Index ","","",416.6,500,83.3,"","0341311","201415"
"ELA Performance index: All Students ","64.0 ","75 ",85.3,100,85.3,"67.7","0341311","201516"
"ELA Performance index: High Needs Students ","56.8 ","75 ",75.7,100,75.7,"56.7","0341311","201516"
"Math Performance index: All Students ","59.5 ","75 ",79.3,100,79.3,"61.4","0341311","201516"
"Math Performance index: High Needs Students ","52.4 ","75 ",69.8,100,69.8,"49.9","0341311","201516"
"Science Performance index: All Students ","N/A ","75 ",0,0,0,"57.5","0341311","201516"
"Science Performance index: High Needs Students ","N/A ","75 ",0,0,0,"47.0","0341311","201516"
"ELA Academic growth: ELA Performance index: All Students ","N/A ","100% ",0,0,0,"63.8%","0341311","201516"
