"category","ela.count","ela.spi","math.count","math.spi","sci.count","sci.spi","school_code","year"
"Two or More Races ","* ","* ","* ","* ","0","N/A","0340511","201516"
"White ","30 ","75.2 ","30 ","71.5 ","0","N/A","0340511","201516"
"English Language Learners ","22 ","69.1 ","22 ","60.6 ","0","N/A","0340511","201516"
"Non-English Language Learners ","54 ","74.6 ","54 ","70.5 ","0","N/A","0340511","201516"
"Eligible for Free or Reduced-Price Meals ","39 ","66.4 ","39 ","58.3 ","0","N/A","0340511","201516"
"Not Eligible for Free or Reduced-Price Meals ","37 ","80.0 ","37 ","77.5 ","0","N/A","0340511","201516"
"Students with Disabilities ","10 ","* ","10 ","* ","0","N/A","0340511","201516"
"Students without Disabilities ","66 ","75.3 ","66 ","69.9 ","0","N/A","0340511","201516"
"High Needs ","49 ","68.1 ","49 ","61.3 ","0","N/A","0340511","201516"
"Non-High Needs ","27 ","81.9 ","27 ","79.1 ","0","N/A","0340511","201516"
"School ","76 ","73.0 ","76 ","67.6 ","0","N/A","0340511","201516"
"American Indian or Alaska Native ","0","N/A ","0","N/A ","0 ","N/A","0340611","201415"
"Asian ","9","* ","9","* ","* ","*","0340611","201415"
"Black or African American ","11","* ","11","* ","* ","*","0340611","201415"
"Hispanic or Latino ","108","62.9 ","108","56.8 ","42 ","41.1","0340611","201415"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0 ","N/A","0340611","201415"
"Two or More Races ","6","* ","6","* ","0 ","*","0340611","201415"
"White ","28","70.5 ","28","59.9 ","14 ","*","0340611","201415"
"English Language Learners ","84","63.1 ","84","56.6 ","25 ","40.6","0340611","201415"
"Non-English Language Learners ","78","66.9 ","78","59.2 ","37 ","46.6","0340611","201415"
"Eligible for Free or Reduced-Price Meals ","125","64.8 ","125","58.3 ","47 ","44.7","0340611","201415"
"Not Eligible for Free or Reduced-Price Meals ","37","65.4 ","37","56.4 ","15 ","*","0340611","201415"
"Students with Disabilities ","23","49.4 ","23","45.2 ","13 ","*","0340611","201415"
"Students without Disabilities ","139","67.5 ","139","60.0 ","49 ","45.8","0340611","201415"
"High Needs ","141","64.0 ","141","57.4 ","54 ","44.1","0340611","201415"
"Non-High Needs ","21","70.7 ","21","61.1 ","8 ","*","0340611","201415"
"School ","162","64.9 ","162","57.9 ","62 ","44.2","0340611","201415"
"Asian ","10","* ","10","* ","* ","*","0340611","201516"
"Black or African American ","10","* ","10","* ","* ","*","0340611","201516"
"Hispanic or Latino ","122","69.5 ","122","64.0 ","32 ","43.7","0340611","201516"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0 ","N/A","0340611","201516"
"Two or More Races ","6","* ","6","* ","* ","*","0340611","201516"
"White ","27","74.9 ","27","69.3 ","8 ","*","0340611","201516"
"English Language Learners ","98","67.9 ","98","62.4 ","24 ","43.7","0340611","201516"
"Non-English Language Learners ","77","74.8 ","77","68.8 ","27 ","46.8","0340611","201516"
"Eligible for Free or Reduced-Price Meals ","150","70.1 ","150","65.1 ","42 ","44.4","0340611","201516"
"Not Eligible for Free or Reduced-Price Meals ","25","75.9 ","25","66.1 ","9 ","*","0340611","201516"
"Students with Disabilities ","21","63.6 ","21","55.1 ","* ","*","0340611","201516"
"Students without Disabilities ","154","72.0 ","154","66.6 ","* ","*","0340611","201516"
"High Needs ","159","70.5 ","159","64.9 ","45 ","44.7","0340611","201516"
"Non-High Needs ","16","* ","16","* ","6 ","*","0340611","201516"
"School ","175","71.0 ","175","65.2 ","51 ","45.3","0340611","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","0340811","201415"
"Asian ","* ","* ","* ","* ","* ","*","0340811","201415"
"Black or African American ","16 ","* ","16 ","* ","* ","*","0340811","201415"
"Hispanic or Latino ","153 ","62.4 ","153 ","56.7 ","52 ","42.3","0340811","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0340811","201415"
"Two or More Races ","* ","* ","* ","* ","* ","*","0340811","201415"
"White ","52 ","66.6 ","52 ","60.0 ","9 ","*","0340811","201415"
"English Language Learners ","102 ","58.2 ","102 ","52.0 ","27 ","37.0","0340811","201415"
"Non-English Language Learners ","132 ","69.1 ","132 ","62.6 ","38 ","47.6","0340811","201415"
"Eligible for Free or Reduced-Price Meals ","178 ","62.3 ","178 ","56.1 ","50 ","42.8","0340811","201415"
"Not Eligible for Free or Reduced-Price Meals ","56 ","70.9 ","56 ","63.9 ","15 ","*","0340811","201415"
"Students with Disabilities ","26 ","47.3 ","26 ","40.1 ","8 ","*","0340811","201415"
"Students without Disabilities ","208 ","66.5 ","208 ","60.2 ","57 ","45.0","0340811","201415"
"High Needs ","195 ","61.8 ","195 ","55.9 ","57 ","42.3","0340811","201415"
"Non-High Needs ","39 ","77.2 ","39 ","68.5 ","8 ","*","0340811","201415"
"School ","234 ","64.3 ","234 ","58.0 ","65 ","43.2","0340811","201415"
"Asian ","11","* ","11","* ","* ","*","0340811","201516"
"Black or African American ","14","* ","14","* ","7 ","*","0340811","201516"
"Hispanic or Latino ","160","65.4 ","160","62.9 ","46 ","49.2","0340811","201516"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0 ","N/A","0340811","201516"
"Two or More Races ","10","* ","10","* ","* ","*","0340811","201516"
"White ","71","72.2 ","71","68.9 ","20 ","55.4","0340811","201516"
"English Language Learners ","121","61.2 ","121","58.9 ","32 ","41.1","0340811","201516"
"Non-English Language Learners ","145","73.6 ","145","69.6 ","46 ","58.5","0340811","201516"
"Eligible for Free or Reduced-Price Meals ","202","65.9 ","202","62.7 ","61 ","49.6","0340811","201516"
"Not Eligible for Free or Reduced-Price Meals ","64","74.6 ","64","71.1 ","17 ","*","0340811","201516"
"Students with Disabilities ","32","51.7 ","32","43.9 ","9 ","*","0340811","201516"
"Students without Disabilities ","234","70.2 ","234","67.6 ","69 ","53.6","0340811","201516"
"High Needs ","222","65.5 ","222","62.3 ","65 ","49.5","0340811","201516"
"Non-High Needs ","44","80.6 ","44","76.9 ","13 ","*","0340811","201516"
"School ","266","68.0 ","266","64.7 ","78 ","51.4","0340811","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","0341011","201415"
"Asian ","* ","* ","* ","* ","* ","*","0341011","201415"
"Black or African American ","16 ","* ","16 ","* ","* ","*","0341011","201415"
"Hispanic or Latino ","105 ","63.0 ","105 ","54.4 ","36 ","44.0","0341011","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0341011","201415"
"Two or More Races ","* ","* ","* ","* ","* ","*","0341011","201415"
"White ","33 ","69.8 ","33 ","56.5 ","12 ","*","0341011","201415"
"English Language Learners ","74 ","61.4 ","74 ","51.8 ","18 ","*","0341011","201415"
"Non-English Language Learners ","93 ","66.2 ","93 ","57.2 ","37 ","48.9","0341011","201415"
"Eligible for Free or Reduced-Price Meals ","146 ","63.1 ","146 ","54.0 ","48 ","44.7","0341011","201415"
"Not Eligible for Free or Reduced-Price Meals ","21 ","70.9 ","21 ","60.5 ","7 ","*","0341011","201415"
"Students with Disabilities ","24 ","51.6 ","24 ","44.6 ","11 ","*","0341011","201415"
"Students without Disabilities ","143 ","66.2 ","143 ","56.5 ","44 ","45.0","0341011","201415"
"High Needs ","153 ","62.8 ","153 ","53.5 ","* ","*","0341011","201415"
"Non-High Needs ","14 ","* ","14 ","* ","* ","*","0341011","201415"
"School ","167 ","64.1 ","167 ","54.8 ","55 ","44.7","0341011","201415"
"Asian ","* ","* ","* ","* ","* ","*","0341011","201516"
"Black or African American ","15 ","* ","15 ","* ","9 ","*","0341011","201516"
"Hispanic or Latino ","110 ","65.6 ","110 ","58.9 ","31 ","46.4","0341011","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0341011","201516"
"Two or More Races ","* ","* ","* ","* ","* ","*","0341011","201516"
"White ","29 ","74.8 ","29 ","64.1 ","9 ","*","0341011","201516"
"English Language Learners ","75 ","62.9 ","75 ","55.7 ","17 ","*","0341011","201516"
"Non-English Language Learners ","90 ","71.1 ","90 ","64.5 ","36 ","48.9","0341011","201516"
"Eligible for Free or Reduced-Price Meals ","134 ","65.7 ","134 ","59.0 ","45 ","44.8","0341011","201516"
"Not Eligible for Free or Reduced-Price Meals ","31 ","74.5 ","31 ","67.2 ","8 ","*","0341011","201516"
"Students with Disabilities ","15 ","* ","15 ","* ","8 ","*","0341011","201516"
"Students without Disabilities ","150 ","68.8 ","150 ","61.5 ","45 ","48.4","0341011","201516"
"High Needs ","143 ","65.4 ","143 ","58.6 ","47 ","45.3","0341011","201516"
"Non-High Needs ","22 ","80.0 ","22 ","73.1 ","6 ","*","0341011","201516"
"School ","165 ","67.4 ","165 ","60.5 ","53 ","46.5","0341011","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","0341111","201415"
"Asian ","* ","* ","* ","* ","* ","*","0341111","201415"
"Black or African American ","* ","* ","* ","* ","* ","*","0341111","201415"
"Hispanic or Latino ","36 ","66.6 ","36 ","61.1 ","24 ","42.2","0341111","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0341111","201415"
"Two or More Races ","* ","* ","* ","* ","* ","*","0341111","201415"
"White ","73 ","72.3 ","73 ","62.8 ","23 ","58.6","0341111","201415"
"English Language Learners ","23 ","67.1 ","23 ","61.6 ","13 ","*","0341111","201415"
"Non-English Language Learners ","98 ","71.3 ","98 ","62.5 ","40 ","57.3","0341111","201415"
"Eligible for Free or Reduced-Price Meals ","48 ","65.8 ","48 ","56.4 ","24 ","43.3","0341111","201415"
"Not Eligible for Free or Reduced-Price Meals ","73 ","73.7 ","73 ","66.2 ","29 ","58.0","0341111","201415"
"Students with Disabilities ","26 ","55.9 ","26 ","47.2 ","10 ","*","0341111","201415"
"Students without Disabilities ","95 ","74.5 ","95 ","66.4 ","43 ","53.9","0341111","201415"
"High Needs ","63 ","65.1 ","63 ","55.9 ","31 ","43.2","0341111","201415"
"Non-High Needs ","58 ","76.5 ","58 ","69.3 ","22 ","62.8","0341111","201415"
"School ","121 ","70.5 ","121 ","62.3 ","53 ","51.3","0341111","201415"
"Asian ","* ","* ","* ","* ","0 ","N/A","0341111","201516"
"Black or African American ","* ","* ","* ","* ","0 ","N/A","0341111","201516"
"Hispanic or Latino ","43 ","64.0 ","43 ","59.7 ","* ","*","0341111","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0341111","201516"
"Two or More Races ","7 ","* ","7 ","* ","* ","*","0341111","201516"
"White ","67 ","74.5 ","67 ","69.2 ","22 ","61.2","0341111","201516"
"English Language Learners ","26 ","59.4 ","26 ","55.2 ","6 ","*","0341111","201516"
"Non-English Language Learners ","100 ","74.3 ","100 ","69.7 ","34 ","61.3","0341111","201516"
"Eligible for Free or Reduced-Price Meals ","61 ","66.7 ","61 ","60.5 ","18 ","*","0341111","201516"
"Not Eligible for Free or Reduced-Price Meals ","65 ","75.5 ","65 ","72.5 ","22 ","60.2","0341111","201516"
"Students with Disabilities ","25 ","61.6 ","25 ","56.7 ","9 ","*","0341111","201516"
"Students without Disabilities ","101 ","73.6 ","101 ","69.2 ","31 ","58.0","0341111","201516"
"High Needs ","73 ","67.2 ","73 ","61.6 ","22 ","53.3","0341111","201516"
"Non-High Needs ","53 ","76.7 ","53 ","73.6 ","18 ","*","0341111","201516"
"School ","126 ","71.2 ","126 ","66.7 ","40 ","57.3","0341111","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","0341211","201415"
"Asian ","21 ","73.9 ","21 ","66.9 ","11 ","*","0341211","201415"
"Black or African American ","* ","* ","* ","* ","* ","*","0341211","201415"
"Hispanic or Latino ","98 ","67.7 ","98 ","59.6 ","46 ","45.7","0341211","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0341211","201415"
"Two or More Races ","* ","* ","* ","* ","* ","*","0341211","201415"
"White ","90 ","71.7 ","90 ","61.3 ","15 ","*","0341211","201415"
"English Language Learners ","77 ","63.0 ","77 ","55.0 ","27 ","37.7","0341211","201415"
"Non-English Language Learners ","149 ","73.7 ","149 ","64.0 ","54 ","51.9","0341211","201415"
"Eligible for Free or Reduced-Price Meals ","131 ","64.9 ","131 ","57.0 ","48 ","41.7","0341211","201415"
"Not Eligible for Free or Reduced-Price Meals ","95 ","77.1 ","95 ","66.4 ","33 ","55.2","0341211","201415"
"Students with Disabilities ","25 ","51.0 ","25 ","46.7 ","10 ","*","0341211","201415"
"Students without Disabilities ","201 ","72.4 ","201 ","62.7 ","71 ","49.3","0341211","201415"
"High Needs ","158 ","65.4 ","158 ","57.3 ","57 ","42.4","0341211","201415"
"Non-High Needs ","68 ","80.8 ","68 ","69.5 ","24 ","58.5","0341211","201415"
"School ","226 ","70.1 ","226 ","61.0 ","81 ","47.2","0341211","201415"
"Asian ","20","76.5 ","19","* ","* ","*","0341211","201516"
"Black or African American ","13","* ","13","* ","* ","*","0341211","201516"
"Hispanic or Latino ","98","65.9 ","98","61.0 ","38 ","47.6","0341211","201516"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0 ","N/A","0341211","201516"
"Two or More Races ","6","* ","6","* ","* ","*","0341211","201516"
"White ","93","71.6 ","93","66.8 ","34 ","53.6","0341211","201516"
"English Language Learners ","74","62.4 ","74","58.6 ","23 ","41.3","0341211","201516"
"Non-English Language Learners ","156","73.0 ","155","67.4 ","62 ","55.3","0341211","201516"
"Eligible for Free or Reduced-Price Meals ","138","66.3 ","137","61.6 ","56 ","48.5","0341211","201516"
"Not Eligible for Free or Reduced-Price Meals ","92","74.4 ","92","68.8 ","29 ","57.1","0341211","201516"
"Students with Disabilities ","24","52.7 ","24","50.7 ","10 ","*","0341211","201516"
"Students without Disabilities ","206","71.5 ","205","66.1 ","75 ","53.8","0341211","201516"
"High Needs ","158","66.5 ","157","61.6 ","61 ","49.4","0341211","201516"
"Non-High Needs ","72","76.3 ","72","70.8 ","24 ","56.8","0341211","201516"
"School ","230","69.6 ","229","64.5 ","85 ","51.5","0341211","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","0","*","0341311","201415"
"Asian ","* ","* ","* ","* ","0","*","0341311","201415"
"Black or African American ","7 ","* ","7 ","* ","0","*","0341311","201415"
"Hispanic or Latino ","40 ","59.3 ","39 ","50.5 ","0","*","0341311","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0","N/A","0341311","201415"
"Two or More Races ","* ","* ","* ","* ","0","*","0341311","201415"
"White ","42 ","75.7 ","42 ","70.6 ","0","*","0341311","201415"
"English Language Learners ","32 ","57.1 ","33 ","50.9 ","0","*","0341311","201415"
"Non-English Language Learners ","64 ","73.0 ","63 ","65.9 ","0","*","0341311","201415"
"Eligible for Free or Reduced-Price Meals ","46 ","60.5 ","46 ","52.7 ","0","*","0341311","201415"
"Not Eligible for Free or Reduced-Price Meals ","50 ","74.3 ","50 ","68.1 ","0","*","0341311","201415"
"Students with Disabilities ","8 ","* ","8 ","* ","0","*","0341311","201415"
"Students without Disabilities ","88 ","69.3 ","88 ","62.9 ","0","*","0341311","201415"
"High Needs ","55 ","59.8 ","56 ","52.2 ","0","*","0341311","201415"
"Non-High Needs ","41 ","78.3 ","40 ","72.7 ","0","*","0341311","201415"
"School ","96 ","67.7 ","96 ","60.7 ","0","*","0341311","201415"
"Asian ","* ","* ","* ","* ","0","N/A","0341311","201516"
"Black or African American ","7 ","* ","7 ","* ","0","N/A","0341311","201516"
"Hispanic or Latino ","36 ","56.7 ","36 ","53.2 ","0","N/A","0341311","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0","N/A","0341311","201516"
"Two or More Races ","* ","* ","* ","* ","0","N/A","0341311","201516"
"White ","40 ","72.5 ","40 ","67.6 ","0","N/A","0341311","201516"
"English Language Learners ","33 ","56.9 ","33 ","51.2 ","0","N/A","0341311","201516"
"Non-English Language Learners ","58 ","68.0 ","58 ","64.2 ","0","N/A","0341311","201516"
"Eligible for Free or Reduced-Price Meals ","46 ","57.9 ","46 ","53.5 ","0","N/A","0341311","201516"
"Not Eligible for Free or Reduced-Price Meals ","45 ","70.3 ","45 ","65.6 ","0","N/A","0341311","201516"
"Students with Disabilities ","13 ","* ","13 ","* ","0","N/A","0341311","201516"
"Students without Disabilities ","78 ","66.6 ","78 ","62.2 ","0","N/A","0341311","201516"
"High Needs ","53 ","56.8 ","53 ","52.4 ","0","N/A","0341311","201516"
"Non-High Needs ","38 ","74.1 ","38 ","69.4 ","0","N/A","0341311","201516"
"School ","91 ","64.0 ","91 ","59.5 ","0","N/A","0341311","201516"
"American Indian or Alaska Native ","0","N/A ","0","N/A ","0 ","N/A","0341411","201415"
"Asian ","10","* ","10","* ","* ","*","0341411","201415"
"Black or African American ","9","* ","9","* ","* ","*","0341411","201415"
"Hispanic or Latino ","106","64.5 ","106","52.7 ","37 ","41.3","0341411","201415"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0 ","N/A","0341411","201415"
"Two or More Races ","6","* ","6","* ","* ","*","0341411","201415"
"White ","48","72.5 ","49","59.8 ","19 ","*","0341411","201415"
"English Language Learners ","85","63.5 ","86","52.2 ","25 ","37.4","0341411","201415"
"Non-English Language Learners ","94","70.2 ","94","58.4 ","41 ","47.3","0341411","201415"
"Eligible for Free or Reduced-Price Meals ","129","66.1 ","130","53.7 ","42 ","40.8","0341411","201415"
"Not Eligible for Free or Reduced-Price Meals ","50","69.7 ","50","59.9 ","24 ","48.5","0341411","201415"
"Students with Disabilities ","22","44.5 ","22","31.0 ","8 ","*","0341411","201415"
"Students without Disabilities ","157","70.2 ","158","58.8 ","58 ","45.6","0341411","201415"
"High Needs ","144","65.6 ","145","53.6 ","47 ","39.8","0341411","201415"
"Non-High Needs ","35","73.0 ","35","63.0 ","19 ","*","0341411","201415"
"School ","179","67.1 ","180","55.4 ","66 ","43.6","0341411","201415"
"Asian ","9","* ","9","* ","* ","*","0341411","201516"
"Black or African American ","7","* ","7","* ","* ","*","0341411","201516"
"Hispanic or Latino ","115","65.4 ","115","59.5 ","34 ","40.2","0341411","201516"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0 ","N/A","0341411","201516"
"Two or More Races ","8","* ","8","* ","0 ","N/A","0341411","201516"
"White ","45","71.2 ","45","65.7 ","20 ","48.3","0341411","201516"
"English Language Learners ","100","63.0 ","100","58.2 ","29 ","37.4","0341411","201516"
"Non-English Language Learners ","84","73.3 ","84","66.9 ","29 ","50.5","0341411","201516"
"Eligible for Free or Reduced-Price Meals ","150","66.6 ","150","61.4 ","43 ","43.9","0341411","201516"
"Not Eligible for Free or Reduced-Price Meals ","34","72.4 ","34","65.3 ","15 ","*","0341411","201516"
"Students with Disabilities ","19","* ","19","* ","6 ","*","0341411","201516"
"Students without Disabilities ","165","69.6 ","165","64.7 ","52 ","46.0","0341411","201516"
"High Needs ","164","66.5 ","164","61.0 ","50 ","42.7","0341411","201516"
"Non-High Needs ","20","77.4 ","20","71.3 ","8 ","*","0341411","201516"
"School ","184","67.7 ","184","62.2 ","58 ","43.9","0341411","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","0 ","*","0341511","201415"
"Asian ","16 ","* ","16 ","* ","* ","*","0341511","201415"
"Black or African American ","16 ","* ","16 ","* ","6 ","*","0341511","201415"
"Hispanic or Latino ","66 ","62.0 ","67 ","56.8 ","22 ","45.3","0341511","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0341511","201415"
"Two or More Races ","* ","* ","* ","* ","* ","*","0341511","201415"
"White ","73 ","72.5 ","73 ","63.9 ","24 ","51.4","0341511","201415"
"English Language Learners ","45 ","60.7 ","45 ","56.2 ","10 ","*","0341511","201415"
"Non-English Language Learners ","135 ","68.9 ","136 ","61.4 ","50 ","49.1","0341511","201415"
"Eligible for Free or Reduced-Price Meals ","96 ","60.9 ","97 ","56.1 ","29 ","44.5","0341511","201415"
"Not Eligible for Free or Reduced-Price Meals ","84 ","73.5 ","84 ","64.8 ","31 ","51.0","0341511","201415"
"Students with Disabilities ","28 ","33.5 ","29 ","35.5 ","12 ","*","0341511","201415"
"Students without Disabilities ","152 ","72.9 ","152 ","64.8 ","48 ","50.5","0341511","201415"
"High Needs ","115 ","58.8 ","116 ","54.4 ","37 ","42.6","0341511","201415"
"Non-High Needs ","65 ","80.9 ","65 ","70.2 ","23 ","56.3","0341511","201415"
"School ","180 ","66.8 ","181 ","60.1 ","60 ","47.9","0341511","201415"
"Asian ","15 ","* ","15 ","* ","7 ","*","0341511","201516"
"Black or African American ","13 ","* ","13 ","* ","* ","*","0341511","201516"
"Hispanic or Latino ","64 ","60.2 ","64 ","56.9 ","21 ","52.1","0341511","201516"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","0 ","N/A","0341511","201516"
"Two or More Races ","8 ","* ","8 ","* ","* ","*","0341511","201516"
"White ","76 ","73.3 ","76 ","65.7 ","25 ","62.4","0341511","201516"
"English Language Learners ","41 ","61.4 ","41 ","56.7 ","13 ","*","0341511","201516"
"Non-English Language Learners ","138 ","68.3 ","138 ","63.8 ","48 ","59.9","0341511","201516"
"Eligible for Free or Reduced-Price Meals ","100 ","62.5 ","100 ","58.6 ","37 ","52.9","0341511","201516"
"Not Eligible for Free or Reduced-Price Meals ","79 ","72.2 ","79 ","66.8 ","24 ","61.8","0341511","201516"
"Students with Disabilities ","42 ","44.7 ","42 ","46.2 ","9 ","*","0341511","201516"
"Students without Disabilities ","137 ","73.5 ","137 ","67.1 ","52 ","56.5","0341511","201516"
"High Needs ","123 ","60.1 ","123 ","57.6 ","40 ","52.2","0341511","201516"
"Non-High Needs ","56 ","81.5 ","56 ","72.2 ","21 ","64.4","0341511","201516"
"School ","179 ","66.8 ","179 ","62.2 ","61 ","56.4","0341511","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","0341611","201415"
"Asian ","* ","* ","* ","* ","* ","*","0341611","201415"
"Black or African American ","13 ","* ","13 ","* ","* ","*","0341611","201415"
"Hispanic or Latino ","89 ","63.2 ","89 ","50.5 ","34 ","41.9","0341611","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0341611","201415"
"Two or More Races ","* ","* ","* ","* ","0 ","*","0341611","201415"
"White ","103 ","72.7 ","106 ","63.9 ","24 ","55.8","0341611","201415"
"English Language Learners ","53 ","58.0 ","53 ","45.6 ","16 ","*","0341611","201415"
"Non-English Language Learners ","165 ","71.8 ","168 ","61.3 ","50 ","51.9","0341611","201415"
"Eligible for Free or Reduced-Price Meals ","117 ","64.2 ","117 ","52.5 ","42 ","45.0","0341611","201415"
"Not Eligible for Free or Reduced-Price Meals ","101 ","73.3 ","104 ","63.3 ","24 ","53.7","0341611","201415"
"Students with Disabilities ","28 ","52.5 ","29 ","41.4 ","* ","*","0341611","201415"
"Students without Disabilities ","190 ","70.8 ","192 ","60.0 ","* ","*","0341611","201415"
"High Needs ","138 ","63.4 ","139 ","52.2 ","47 ","44.0","0341611","201415"
"Non-High Needs ","80 ","77.1 ","82 ","66.6 ","19 ","*","0341611","201415"
"School ","218 ","68.4 ","221 ","57.5 ","66 ","48.1","0341611","201415"
"Asian ","15 ","* ","15 ","* ","* ","*","0341611","201516"
"Black or African American ","10 ","* ","10 ","* ","* ","*","0341611","201516"
"Hispanic or Latino ","94 ","62.0 ","94 ","55.3 ","34 ","48.8","0341611","201516"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","* ","*","0341611","201516"
"Two or More Races ","* ","* ","* ","* ","* ","*","0341611","201516"
"White ","118 ","71.3 ","118 ","64.0 ","41 ","55.0","0341611","201516"
"English Language Learners ","67 ","56.4 ","67 ","51.5 ","15 ","*","0341611","201516"
"Non-English Language Learners ","179 ","70.8 ","179 ","62.6 ","71 ","54.8","0341611","201516"
"Eligible for Free or Reduced-Price Meals ","129 ","62.3 ","129 ","55.3 ","41 ","48.0","0341611","201516"
"Not Eligible for Free or Reduced-Price Meals ","117 ","71.9 ","117 ","64.4 ","45 ","54.4","0341611","201516"
"Students with Disabilities ","33 ","51.4 ","33 ","45.6 ","20 ","41.7","0341611","201516"
"Students without Disabilities ","213 ","69.3 ","213 ","61.8 ","66 ","54.3","0341611","201516"
"High Needs ","155 ","61.4 ","155 ","54.5 ","58 ","47.5","0341611","201516"
"Non-High Needs ","91 ","76.1 ","91 ","68.3 ","28 ","59.3","0341611","201516"
"School ","246 ","66.9 ","246 ","59.6 ","86 ","51.4","0341611","201516"
"American Indian or Alaska Native ","0","N/A ","0","N/A ","0","N/A","0341711","201415"
"Asian ","22","71.3 ","22","69.7 ","10","*","0341711","201415"
"Black or African American ","25","60.4 ","25","55.7 ","15","*","0341711","201415"
"Hispanic or Latino ","122","58.9 ","123","53.7 ","66","44.4","0341711","201415"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0","N/A","0341711","201415"
"Two or More Races ","13","* ","13","* ","7","*","0341711","201415"
"White ","168","71.7 ","168","65.8 ","78","54.0","0341711","201415"
"English Language Learners ","70","54.4 ","70","49.0 ","40","38.1","0341711","201415"
"Non-English Language Learners ","280","69.6 ","281","64.3 ","136","53.4","0341711","201415"
"Eligible for Free or Reduced-Price Meals ","150","58.9 ","151","53.5 ","78","44.2","0341711","201415"
"Not Eligible for Free or Reduced-Price Meals ","200","72.3 ","200","67.1 ","98","54.5","0341711","201415"
"Students with Disabilities ","52","46.1 ","53","40.7 ","30","35.8","0341711","201415"
"Students without Disabilities ","298","70.1 ","298","64.9 ","146","52.8","0341711","201415"
"High Needs ","180","58.3 ","181","52.8 ","98","42.9","0341711","201415"
"Non-High Needs ","170","75.2 ","170","70.3 ","78","58.7","0341711","201415"
"School ","350","66.5 ","351","61.2 ","176","49.9","0341711","201415"
"Asian ","26","73.4 ","26","74.6 ","14 ","*","0341711","201516"
"Black or African American ","33","61.9 ","32","52.3 ","13 ","*","0341711","201516"
"Hispanic or Latino ","119","62.4 ","119","53.4 ","58 ","45.0","0341711","201516"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0 ","N/A","0341711","201516"
"Two or More Races ","7","* ","7","* ","* ","*","0341711","201516"
"White ","165","73.7 ","165","67.1 ","95 ","60.2","0341711","201516"
"English Language Learners ","62","55.9 ","62","49.9 ","26 ","39.1","0341711","201516"
"Non-English Language Learners ","288","71.5 ","287","64.4 ","158 ","57.2","0341711","201516"
"Eligible for Free or Reduced-Price Meals ","162","62.7 ","161","53.5 ","77 ","47.0","0341711","201516"
"Not Eligible for Free or Reduced-Price Meals ","188","74.0 ","188","68.9 ","107 ","60.2","0341711","201516"
"Students with Disabilities ","45","48.6 ","45","43.1 ","26 ","34.4","0341711","201516"
"Students without Disabilities ","305","71.7 ","304","64.6 ","158 ","58.0","0341711","201516"
"High Needs ","186","61.8 ","185","53.4 ","91 ","46.0","0341711","201516"
"Non-High Needs ","164","76.6 ","164","71.3 ","93 ","63.1","0341711","201516"
"School ","350","68.7 ","349","61.8 ","184 ","54.6","0341711","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","0 ","*","0341911","201415"
"Asian ","20 ","87.0 ","20 ","80.2 ","10 ","*","0341911","201415"
"Black or African American ","12 ","* ","12 ","* ","* ","*","0341911","201415"
"Hispanic or Latino ","48 ","71.5 ","48 ","61.9 ","14 ","*","0341911","201415"
