district,school,free_reduced_price_meal_eligibility,2011_12,2012_13,2013_14,2014_15,2015_16,school_code,check_sch_col,check_dist_col
West Hartford School District,Hall High School,Not Eligible For Lunch,98.1,97.7,97.7,98.6,99.6,1556211,Hall High School,West Hartford School District
West Hartford School District,REACH,Eligible For Free Lunch,,,,*,,1557311,REACH,West Hartford School District
West Hartford School District,REACH,Eligible For Reduced Lunch,,,,*,,1557311,REACH,West Hartford School District
West Hartford School District,REACH,Not Eligible For Lunch,,,,,,1557311,REACH,West Hartford School District
West Haven School District,West Haven High School,Eligible For Free Lunch,65.4,59.9,72.1,72.9,76.2,1566111,West Haven High School,West Haven School District
West Haven School District,West Haven High School,Eligible For Reduced Lunch,79.7,74.6,80.0,84.5,89.1,1566111,West Haven High School,West Haven School District
West Haven School District,West Haven High School,Not Eligible For Lunch,81.3,86.2,80.8,88.1,90.7,1566111,West Haven High School,West Haven School District
Westbrook School District,Westbrook High School,Eligible For Free Lunch,*,*,*,*,*,1546111,Westbrook High School,Westbrook School District
Westbrook School District,Westbrook High School,Eligible For Reduced Lunch,*,*,*,*,*,1546111,Westbrook High School,Westbrook School District
Westbrook School District,Westbrook High School,Not Eligible For Lunch,94.3,*,100.0,*,*,1546111,Westbrook High School,Westbrook School District
Weston School District,Weston High School,Eligible For Free Lunch,*,*,*,*,*,1576111,Weston High School,Weston School District
Weston School District,Weston High School,Eligible For Reduced Lunch,*,*,*,*,*,1576111,Weston High School,Weston School District
Weston School District,Weston High School,Not Eligible For Lunch,100.0,*,98.8,96.3,*,1576111,Weston High School,Weston School District
Westport School District,Staples High School,Eligible For Free Lunch,*,*,*,*,*,1586111,Staples High School,Westport School District
Westport School District,Staples High School,Eligible For Reduced Lunch,*,*,*,*,*,1586111,Staples High School,Westport School District
Westport School District,Staples High School,Not Eligible For Lunch,98.8,*,99.0,*,*,1586111,Staples High School,Westport School District
Wethersfield School District,Wethersfield High School,Eligible For Free Lunch,81.5,*,76.9,*,85.7,1596111,Wethersfield High School,Wethersfield School District
Wethersfield School District,Wethersfield High School,Eligible For Reduced Lunch,77.8,*,88.9,*,*,1596111,Wethersfield High School,Wethersfield School District
Wethersfield School District,Wethersfield High School,Not Eligible For Lunch,94.0,94.9,95.4,94.1,98.3,1596111,Wethersfield High School,Wethersfield School District
Wilton School District,Wilton High School,Eligible For Free Lunch,*,*,*,*,*,1616111,Wilton High School,Wilton School District
Wilton School District,Wilton High School,Eligible For Reduced Lunch,,*,*,*,*,1616111,Wilton High School,Wilton School District
Wilton School District,Wilton High School,Not Eligible For Lunch,*,97.7,*,98.4,*,1616111,Wilton High School,Wilton School District
Windham School District,Windham High School,Eligible For Free Lunch,61.7,67.0,61.4,75.3,81.6,1636111,Windham High School,Windham School District
Windham School District,Windham High School,Eligible For Reduced Lunch,80.6,81.3,*,*,*,1636111,Windham High School,Windham School District
Windham School District,Windham High School,Not Eligible For Lunch,89.8,86.6,*,*,*,1636111,Windham High School,Windham School District
Windsor Locks School District,Windsor Locks High School,Eligible For Free Lunch,75.9,81.8,90.0,*,*,1656111,Windsor Locks High School,Windsor Locks School District
Windsor Locks School District,Windsor Locks High School,Eligible For Reduced Lunch,*,*,*,*,*,1656111,Windsor Locks High School,Windsor Locks School District
Windsor Locks School District,Windsor Locks High School,Not Eligible For Lunch,*,*,100.0,97.0,95.7,1656111,Windsor Locks High School,Windsor Locks School District
Windsor School District,Windsor High School,Eligible For Free Lunch,66.2,62.1,85.7,88.6,91.9,1646111,Windsor High School,Windsor School District
Windsor School District,Windsor High School,Eligible For Reduced Lunch,89.5,87.2,85.7,85.7,80.6,1646111,Windsor High School,Windsor School District
Windsor School District,Windsor High School,Not Eligible For Lunch,91.1,88.6,93.6,95.2,95.9,1646111,Windsor High School,Windsor School District
Wolcott School District,Wolcott High School,Eligible For Free Lunch,88.9,*,87.0,*,87.2,1666111,Wolcott High School,Wolcott School District
Wolcott School District,Wolcott High School,Eligible For Reduced Lunch,90.9,*,100.0,*,84.6,1666111,Wolcott High School,Wolcott School District
Wolcott School District,Wolcott High School,Not Eligible For Lunch,95.0,97.2,98.2,97.7,97.3,1666111,Wolcott High School,Wolcott School District
Woodstock Academy District,Woodstock Academy,Eligible For Free Lunch,*,*,*,*,*,9036122,Woodstock Academy,Woodstock Academy District
Woodstock Academy District,Woodstock Academy,Eligible For Reduced Lunch,*,*,*,*,*,9036122,Woodstock Academy,Woodstock Academy District
Woodstock Academy District,Woodstock Academy,Not Eligible For Lunch,98.0,97.3,96.8,98.9,98.7,9036122,Woodstock Academy,Woodstock Academy District
