"indicator","index.rate","target","points","max","percent.points","state.avg","school_id","year"
"Math Performance index: All Students ","53.4 ","75 ",35.6,50,71.2,"61.4","1041811","201516"
"Math Performance index: High Needs Students ","52.0 ","75 ",34.7,50,69.4,"49.9","1041811","201516"
"Science Performance index: All Students ","44.6 ","75 ",29.7,50,59.4,"57.5","1041811","201516"
"Science Performance index: High Needs Students ","43.0 ","75 ",28.7,50,57.4,"47.0","1041811","201516"
"ELA Academic growth: ELA Performance index: All Students ","55.1% ","100% ",55.1,100,55.1,"63.8%","1041811","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","54.9% ","100% ",54.9,100,54.9,"58.3%","1041811","201516"
"Math Academic growth: Math Performance index: All Students ","59.9% ","100% ",59.9,100,59.9,"65.0%","1041811","201516"
"Math Academic growth: Math Performance index: High Needs Students ","57.0% ","100% ",57,100,57,"57.4%","1041811","201516"
"Chronic absenteeism: Science Performance index: All Students ","12.3% ","<=5% ",35.4,50,70.8,"9.6%","1041811","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","13.4% ","<=5% ",33.1,50,66.2,"15.6%","1041811","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","1041811","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","1041811","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","1041811","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","1041811","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","1041811","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","1041811","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 8.0% ","75% ",5.3,50,10.7,"89.2% | 50.5%","1041811","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","1041811","201516"
"ELA: All Students ","54.8 ","75 ",73.1,100,73.1,"67.9","1041911","201415"
"ELA: High Needs Students ","53.7 ","75 ",71.6,100,71.6,"56.7","1041911","201415"
"Math: All Students ","46.9 ","75 ",62.5,100,62.5,"59.3","1041911","201415"
"Math: High Needs Students ","45.6 ","75 ",60.8,100,60.8,"47.8","1041911","201415"
"Science: All Students ","45.0 ","75 ",60.1,100,60.1,"56.5","1041911","201415"
"Science: High Needs Students ","43.6 ","75 ",58.2,100,58.2,"45.9","1041911","201415"
"Chronic absenteeism: All Students ","12.3% ","<=5% ",35.3,50,70.6,"10.6%","1041911","201415"
"Chronic absenteeism: High Needs Students ","13.3% ","<=5% ",33.5,50,66.9,"17.3%","1041911","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","1041911","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","1041911","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 22.5% ","75% ",15,50,30,"87.6% | 51.0%","1041911","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","1041911","201415"
"Accountability Index ","","",469.9,750,62.7,"","1041911","201415"
"ELA Performance index: All Students ","52.6 ","75 ",35.1,50,70.2,"67.7","1041911","201516"
"ELA Performance index: High Needs Students ","50.9 ","75 ",34,50,67.9,"56.7","1041911","201516"
"Math Performance index: All Students ","48.5 ","75 ",32.4,50,64.7,"61.4","1041911","201516"
"Math Performance index: High Needs Students ","47.1 ","75 ",31.4,50,62.7,"49.9","1041911","201516"
"Science Performance index: All Students ","42.2 ","75 ",28.1,50,56.3,"57.5","1041911","201516"
"Science Performance index: High Needs Students ","39.9 ","75 ",26.6,50,53.2,"47.0","1041911","201516"
"ELA Academic growth: ELA Performance index: All Students ","43.6% ","100% ",43.6,100,43.6,"63.8%","1041911","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","41.7% ","100% ",41.7,100,41.7,"58.3%","1041911","201516"
"Math Academic growth: Math Performance index: All Students ","52.3% ","100% ",52.3,100,52.3,"65.0%","1041911","201516"
"Math Academic growth: Math Performance index: High Needs Students ","55.1% ","100% ",55.1,100,55.1,"57.4%","1041911","201516"
"Chronic absenteeism: Science Performance index: All Students ","8.8% ","<=5% ",42.4,50,84.8,"9.6%","1041911","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","9.5% ","<=5% ",40.9,50,81.8,"15.6%","1041911","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","1041911","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","1041911","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","1041911","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","1041911","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","1041911","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","1041911","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 21.9% ","75% ",14.6,50,29.2,"89.2% | 50.5%","1041911","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","1041911","201516"
"ELA: All Students ","60.3 ","75 ",80.4,100,80.4,"67.9","1042011","201415"
"ELA: High Needs Students ","57.3 ","75 ",76.3,100,76.3,"56.7","1042011","201415"
"Math: All Students ","52.0 ","75 ",69.4,100,69.4,"59.3","1042011","201415"
"Math: High Needs Students ","49.4 ","75 ",65.8,100,65.8,"47.8","1042011","201415"
"Science: All Students ","43.9 ","75 ",58.6,100,58.6,"56.5","1042011","201415"
"Science: High Needs Students ","39.8 ","75 ",53.1,100,53.1,"45.9","1042011","201415"
"Chronic absenteeism: All Students ","11.9% ","<=5% ",36.2,50,72.3,"10.6%","1042011","201415"
"Chronic absenteeism: High Needs Students ","13.9% ","<=5% ",32.2,50,64.4,"17.3%","1042011","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","1042011","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","1042011","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 25.0% ","75% ",16.7,50,33.3,"87.6% | 51.0%","1042011","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","1042011","201415"
"Accountability Index ","","",488.6,750,65.1,"","1042011","201415"
"ELA Performance index: All Students ","60.8 ","75 ",40.5,50,81.1,"67.7","1042011","201516"
"ELA Performance index: High Needs Students ","58.8 ","75 ",39.2,50,78.4,"56.7","1042011","201516"
"Math Performance index: All Students ","52.9 ","75 ",35.2,50,70.5,"61.4","1042011","201516"
"Math Performance index: High Needs Students ","51.4 ","75 ",34.2,50,68.5,"49.9","1042011","201516"
"Science Performance index: All Students ","52.3 ","75 ",34.9,50,69.7,"57.5","1042011","201516"
"Science Performance index: High Needs Students ","50.7 ","75 ",33.8,50,67.6,"47.0","1042011","201516"
"ELA Academic growth: ELA Performance index: All Students ","70.3% ","100% ",70.3,100,70.3,"63.8%","1042011","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","67.9% ","100% ",67.9,100,67.9,"58.3%","1042011","201516"
"Math Academic growth: Math Performance index: All Students ","58.0% ","100% ",58,100,58,"65.0%","1042011","201516"
"Math Academic growth: Math Performance index: High Needs Students ","58.5% ","100% ",58.5,100,58.5,"57.4%","1042011","201516"
"Chronic absenteeism: Science Performance index: All Students ","10.4% ","<=5% ",39.1,50,78.3,"9.6%","1042011","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","12.3% ","<=5% ",35.3,50,70.6,"15.6%","1042011","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","1042011","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","1042011","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","1042011","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","1042011","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","1042011","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","1042011","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","97.2% | 40.6% ","75% ",27.1,50,54.1,"89.2% | 50.5%","1042011","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","1042011","201516"
"ELA: All Students ","55.6 ","75 ",74.2,100,74.2,"67.9","1045111","201415"
"ELA: High Needs Students ","53.3 ","75 ",71.1,100,71.1,"56.7","1045111","201415"
"Math: All Students ","46.7 ","75 ",62.3,100,62.3,"59.3","1045111","201415"
"Math: High Needs Students ","44.5 ","75 ",59.3,100,59.3,"47.8","1045111","201415"
"Science: All Students ","48.9 ","75 ",65.1,100,65.1,"56.5","1045111","201415"
"Science: High Needs Students ","46.2 ","75 ",61.6,100,61.6,"45.9","1045111","201415"
"Chronic absenteeism: All Students ","14.6% ","<=5% ",30.8,50,61.7,"10.6%","1045111","201415"
"Chronic absenteeism: High Needs Students ","16.2% ","<=5% ",27.6,50,55.1,"17.3%","1045111","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","1045111","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","1045111","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","97.9% | 24.8% ","75% ",16.5,50,33,"87.6% | 51.0%","1045111","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","1045111","201415"
"Accountability Index ","","",512.6,800,64.1,"","1045111","201415"
"ELA Performance index: All Students ","54.9 ","75 ",36.6,50,73.2,"67.7","1045111","201516"
"ELA Performance index: High Needs Students ","52.9 ","75 ",35.3,50,70.5,"56.7","1045111","201516"
"Math Performance index: All Students ","48.0 ","75 ",32,50,64,"61.4","1045111","201516"
"Math Performance index: High Needs Students ","46.1 ","75 ",30.7,50,61.4,"49.9","1045111","201516"
"Science Performance index: All Students ","47.5 ","75 ",31.6,50,63.3,"57.5","1045111","201516"
"Science Performance index: High Needs Students ","45.6 ","75 ",30.4,50,60.8,"47.0","1045111","201516"
"ELA Academic growth: ELA Performance index: All Students ","56.3% ","100% ",56.3,100,56.3,"63.8%","1045111","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","56.3% ","100% ",56.3,100,56.3,"58.3%","1045111","201516"
"Math Academic growth: Math Performance index: All Students ","54.5% ","100% ",54.5,100,54.5,"65.0%","1045111","201516"
"Math Academic growth: Math Performance index: High Needs Students ","54.2% ","100% ",54.2,100,54.2,"57.4%","1045111","201516"
"Chronic absenteeism: Science Performance index: All Students ","9.6% ","<=5% ",40.9,50,81.8,"9.6%","1045111","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","10.3% ","<=5% ",39.4,50,78.8,"15.6%","1045111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","1045111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","1045111","201516"
"On-track to High School Graduation ","83.5% ","94% ",44.4,50,88.8,"85.1%","1045111","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","1045111","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","1045111","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","1045111","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","95.3% | 33.6% ","75% ",22.4,50,44.8,"89.2% | 50.5%","1045111","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","1045111","201516"
"ELA: All Students ","57.0 ","75 ",75.9,100,75.9,"67.9","1045211","201415"
"ELA: High Needs Students ","54.8 ","75 ",73,100,73,"56.7","1045211","201415"
"Math: All Students ","48.7 ","75 ",65,100,65,"59.3","1045211","201415"
"Math: High Needs Students ","46.3 ","75 ",61.7,100,61.7,"47.8","1045211","201415"
"Science: All Students ","49.2 ","75 ",65.7,100,65.7,"56.5","1045211","201415"
"Science: High Needs Students ","46.9 ","75 ",62.5,100,62.5,"45.9","1045211","201415"
"Chronic absenteeism: All Students ","12.8% ","<=5% ",34.4,50,68.8,"10.6%","1045211","201415"
"Chronic absenteeism: High Needs Students ","14.0% ","<=5% ",32,50,64,"17.3%","1045211","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","1045211","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","1045211","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","97.0% | 39.0% ","75% ",26,50,52,"87.6% | 51.0%","1045211","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","1045211","201415"
"Accountability Index ","","",539.5,800,67.4,"","1045211","201415"
"ELA Performance index: All Students ","58.7 ","75 ",39.1,50,78.3,"67.7","1045211","201516"
"ELA Performance index: High Needs Students ","54.9 ","75 ",36.6,50,73.1,"56.7","1045211","201516"
"Math Performance index: All Students ","49.7 ","75 ",33.2,50,66.3,"61.4","1045211","201516"
"Math Performance index: High Needs Students ","46.1 ","75 ",30.7,50,61.4,"49.9","1045211","201516"
"Science Performance index: All Students ","N/A ","75 ",0,0,0,"57.5","1045211","201516"
"Science Performance index: High Needs Students ","N/A ","75 ",0,0,0,"47.0","1045211","201516"
"ELA Academic growth: ELA Performance index: All Students ","53.7% ","100% ",53.7,100,53.7,"63.8%","1045211","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","50.7% ","100% ",50.7,100,50.7,"58.3%","1045211","201516"
"Math Academic growth: Math Performance index: All Students ","56.6% ","100% ",56.6,100,56.6,"65.0%","1045211","201516"
"Math Academic growth: Math Performance index: High Needs Students ","53.3% ","100% ",53.3,100,53.3,"57.4%","1045211","201516"
"Chronic absenteeism: Science Performance index: All Students ","8.1% ","<=5% ",43.7,50,87.4,"9.6%","1045211","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","9.3% ","<=5% ",41.3,50,82.7,"15.6%","1045211","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","1045211","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","1045211","201516"
"On-track to High School Graduation ","83.3% ","94% ",44.3,50,88.7,"85.1%","1045211","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","1045211","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","1045211","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","1045211","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","95.1% | 28.4% ","75% ",19,50,37.9,"89.2% | 50.5%","1045211","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","1045211","201516"
"ELA: All Students ","72.7 ","75 ",96.9,100,96.9,"67.9","1060211","201415"
"ELA: High Needs Students ","59.2 ","75 ",78.9,100,78.9,"56.7","1060211","201415"
"Math: All Students ","63.0 ","75 ",84,100,84,"59.3","1060211","201415"
"Math: High Needs Students ","49.1 ","75 ",65.4,100,65.4,"47.8","1060211","201415"
"Science: All Students ","N/A ","75 ",0,0,0,"56.5","1060211","201415"
"Science: High Needs Students ","N/A ","75 ",0,0,0,"45.9","1060211","201415"
"Chronic absenteeism: All Students ","1.9% ","<=5% ",50,50,100,"10.6%","1060211","201415"
"Chronic absenteeism: High Needs Students ","3.7% ","<=5% ",50,50,100,"17.3%","1060211","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","1060211","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","1060211","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","N/A | N/A ","75% ",0,0,0,"87.6% | 51.0%","1060211","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","1060211","201415"
"Accountability Index ","","",425.2,500,85,"","1060211","201415"
"ELA Performance index: All Students ","73.4 ","75 ",97.8,100,97.8,"67.7","1060211","201516"
"ELA Performance index: High Needs Students ","63.1 ","75 ",84.1,100,84.1,"56.7","1060211","201516"
"Math Performance index: All Students ","65.5 ","75 ",87.4,100,87.4,"61.4","1060211","201516"
"Math Performance index: High Needs Students ","55.7 ","75 ",74.3,100,74.3,"49.9","1060211","201516"
"Science Performance index: All Students ","N/A ","75 ",0,0,0,"57.5","1060211","201516"
"Science Performance index: High Needs Students ","N/A ","75 ",0,0,0,"47.0","1060211","201516"
"ELA Academic growth: ELA Performance index: All Students ","N/A ","100% ",0,0,0,"63.8%","1060211","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","100% ",0,0,0,"58.3%","1060211","201516"
"Math Academic growth: Math Performance index: All Students ","N/A ","100% ",0,0,0,"65.0%","1060211","201516"
"Math Academic growth: Math Performance index: High Needs Students ","N/A ","100% ",0,0,0,"57.4%","1060211","201516"
"Chronic absenteeism: Science Performance index: All Students ","4.2% ","<=5% ",50,50,100,"9.6%","1060211","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","6.4% ","<=5% ",47.3,50,94.5,"15.6%","1060211","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","1060211","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","1060211","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","1060211","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","1060211","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","1060211","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","1060211","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","N/A | N/A ","75% ",0,0,0,"89.2% | 50.5%","1060211","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","1060211","201516"
"ELA: All Students ","76.4 ","75 ",100,100,100,"67.9","1065211","201415"
"ELA: High Needs Students ","66.9 ","75 ",89.2,100,89.2,"56.7","1065211","201415"
"Math: All Students ","67.2 ","75 ",89.5,100,89.5,"59.3","1065211","201415"
"Math: High Needs Students ","57.3 ","75 ",76.4,100,76.4,"47.8","1065211","201415"
"Science: All Students ","62.9 ","75 ",83.9,100,83.9,"56.5","1065211","201415"
"Science: High Needs Students ","55.7 ","75 ",74.2,100,74.2,"45.9","1065211","201415"
"Chronic absenteeism: All Students ","2.3% ","<=5% ",50,50,100,"10.6%","1065211","201415"
"Chronic absenteeism: High Needs Students ","4.1% ","<=5% ",50,50,100,"17.3%","1065211","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","1065211","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","1065211","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","99.0% | 61.9% ","75% ",41.2,50,82.5,"87.6% | 51.0%","1065211","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","1065211","201415"
"Accountability Index ","","",704.5,800,88.1,"","1065211","201415"
"ELA Performance index: All Students ","75.6 ","75 ",50,50,100,"67.7","1065211","201516"
"ELA Performance index: High Needs Students ","65.5 ","75 ",43.6,50,87.3,"56.7","1065211","201516"
"Math Performance index: All Students ","69.0 ","75 ",46,50,92,"61.4","1065211","201516"
"Math Performance index: High Needs Students ","58.3 ","75 ",38.9,50,77.8,"49.9","1065211","201516"
"Science Performance index: All Students ","62.5 ","75 ",41.7,50,83.3,"57.5","1065211","201516"
"Science Performance index: High Needs Students ","53.0 ","75 ",35.4,50,70.7,"47.0","1065211","201516"
"ELA Academic growth: ELA Performance index: All Students ","65.5% ","100% ",65.5,100,65.5,"63.8%","1065211","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","62.1% ","100% ",62.1,100,62.1,"58.3%","1065211","201516"
"Math Academic growth: Math Performance index: All Students ","70.7% ","100% ",70.7,100,70.7,"65.0%","1065211","201516"
"Math Academic growth: Math Performance index: High Needs Students ","65.1% ","100% ",65.1,100,65.1,"57.4%","1065211","201516"
"Chronic absenteeism: Science Performance index: All Students ","2.4% ","<=5% ",50,50,100,"9.6%","1065211","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","4.4% ","<=5% ",50,50,100,"15.6%","1065211","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","1065211","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","1065211","201516"
"On-track to High School Graduation ","98.9% ","94% ",50,50,100,"85.1%","1065211","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","1065211","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","1065211","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","1065211","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","97.3% | 65.8% ","75% ",43.9,50,87.8,"89.2% | 50.5%","1065211","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","1065211","201516"
"ELA: All Students ","65.9 ","75 ",87.8,100,87.8,"67.9","1066111","201415"
"ELA: High Needs Students ","59.4 ","75 ",79.3,100,79.3,"56.7","1066111","201415"
"Math: All Students ","54.7 ","75 ",73,100,73,"59.3","1066111","201415"
"Math: High Needs Students ","46.1 ","75 ",61.5,100,61.5,"47.8","1066111","201415"
"Science: All Students ","67.9 ","75 ",90.5,100,90.5,"56.5","1066111","201415"
"Science: High Needs Students ","63.3 ","75 ",84.4,100,84.4,"45.9","1066111","201415"
"Chronic absenteeism: All Students ","29.6% ","<=5% ",0.8,50,1.5,"10.6%","1066111","201415"
"Chronic absenteeism: High Needs Students ","37.8% ","<=5% ",0,50,0,"17.3%","1066111","201415"
"Prep for CCR: % Taking Courses ","73.6% ","75% ",49.1,50,98.1,"66.1%","1066111","201415"
"Prep for CCR: % Passing Exams ","56.0% ","75% ",37.3,50,74.7,"37.3%","1066111","201415"
"Postsecondary Entrance (Class of 2014) ","81.3% ","75% ",100,100,100,"72.8%","1066111","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","86.0% | 57.0% ","75% ",19,50,38,"87.6% | 51.0%","1066111","201415"
"Arts Access ","74.5% ","60% ",50,50,100,"45.7%","1066111","201415"
"Accountability Index ","","",982.4,1250,78.6,"","1066111","201415"
"ELA: High Needs Students ","51.1 ","75 ",68.1,100,68.1,"56.7","1066111","201516"
"ELA: All Students ","61.1 ","75 ",81.5,100,81.5,"61.4","1066111","201516"
"Math: High Needs Students ","49.7 ","75 ",66.2,100,66.2,"49.9","1066111","201516"
"Math: All Students ","65.5 ","75 ",87.4,100,87.4,"57.5","1066111","201516"
"Science: High Needs Students ","52.5 ","75 ",70,100,70,"47.0","1066111","201516"
"Science: All Students ","N/A ","100% ",0,0,0,"63.8%","1066111","201516"
"Chronic absenteeism: High Needs Students ","N/A ","100% ",0,0,0,"58.3%","1066111","201516"
"Chronic absenteeism: All Students ","N/A ","100% ",0,0,0,"65.0%","1066111","201516"
"Prep for CCR: High Needs Students ","N/A ","100% ",0,0,0,"57.4%","1066111","201516"
"Prep for CCR: All Students ","12.3% ","<=5% ",35.5,50,70.9,"9.6%","1066111","201516"
"On-track to High School Graduation ","99.0% ","94% ",50,50,100,"85.1%","1066111","201516"
"4-year Graduation All Students (2015 Cohort) ","96.0% ","94% ",100,100,100,"87.2%","1066111","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","92.9% ","94% ",98.8,100,98.8,"78.6%","1066111","201516"
"Postsecondary Entrance (Class of 2015) ","85.0% ","75% ",100,100,100,"71.9%","1066111","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","94.6% | 57.5% ","75% ",38.4,50,76.7,"89.2% | 50.5%","1066111","201516"
"ELA: All Students ","N/A ","75 ",0,0,0,"67.9","1070211","201415"
"ELA: High Needs Students ","N/A ","75 ",0,0,0,"56.7","1070211","201415"
"Math: All Students ","N/A ","75 ",0,0,0,"59.3","1070211","201415"
"Math: High Needs Students ","N/A ","75 ",0,0,0,"47.8","1070211","201415"
"Science: All Students ","N/A ","75 ",0,0,0,"56.5","1070211","201415"
"Science: High Needs Students ","N/A ","75 ",0,0,0,"45.9","1070211","201415"
"Chronic absenteeism: All Students ","4.3% ","<=5% ",50,50,100,"10.6%","1070211","201415"
"Chronic absenteeism: High Needs Students ","5.7% ","<=5% ",48.6,50,97.1,"17.3%","1070211","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","1070211","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","1070211","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","N/A | N/A ","75% ",0,0,0,"87.6% | 51.0%","1070211","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","1070211","201415"
"Accountability Index ","","",98.6,100,98.6,"","1070211","201415"
"ELA Performance index: All Students ","N/A ","75 ",0,0,0,"67.7","1070211","201516"
"ELA Performance index: High Needs Students ","N/A ","75 ",0,0,0,"56.7","1070211","201516"
"Math Performance index: All Students ","N/A ","75 ",0,0,0,"61.4","1070211","201516"
"Math Performance index: High Needs Students ","N/A ","75 ",0,0,0,"49.9","1070211","201516"
"Science Performance index: All Students ","N/A ","75 ",0,0,0,"57.5","1070211","201516"
"Science Performance index: High Needs Students ","N/A ","75 ",0,0,0,"47.0","1070211","201516"
"ELA Academic growth: ELA Performance index: All Students ","N/A ","100% ",0,0,0,"63.8%","1070211","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","100% ",0,0,0,"58.3%","1070211","201516"
"Math Academic growth: Math Performance index: All Students ","N/A ","100% ",0,0,0,"65.0%","1070211","201516"
"Math Academic growth: Math Performance index: High Needs Students ","N/A ","100% ",0,0,0,"57.4%","1070211","201516"
"Chronic absenteeism: Science Performance index: All Students ","3.7% ","<=5% ",50,50,100,"9.6%","1070211","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","N/A ","<=5% ",0,0,0,"15.6%","1070211","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","1070211","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","1070211","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","1070211","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","1070211","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","1070211","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","1070211","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","N/A | N/A ","75% ",0,0,0,"89.2% | 50.5%","1070211","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","1070211","201516"
"ELA: All Students ","78.6 ","75 ",100,100,100,"67.9","1070311","201415"
"ELA: High Needs Students ","66.2 ","75 ",88.2,100,88.2,"56.7","1070311","201415"
"Math: All Students ","71.5 ","75 ",95.3,100,95.3,"59.3","1070311","201415"
