"category","chron_abs_count","chron_abs_rate","susp_exp_count","susp_exp_rate","school_id","year"
"Students with Disabilities ","9","10.1","25","27.1","1035411","201415"
"School ","51","8","110","17.1","1035411","201415"
"District ",NA,"8.3",NA,"5.3","1035411","201415"
"Male 22 ","6.5 ",NA,"86","25.1","1035411","201516"
"Black or African American 14 ","10.4 ",NA,"45","33.6","1035411","201516"
"Hispanic or Latino 33 ","10.0 ",NA,"53","15.9","1035411","201516"
"White * ","* ",NA,"17","9.3","1035411","201516"
"English Language Learners 10 ","10.8 ",NA,"13","13.8","1035411","201516"
"Eligible for Free or Reduced-Price Meals 40 ","10.9 ",NA,"89","22.2","1035411","201516"
"Students with Disabilities 13 ","13.5 ",NA,"19","19","1035411","201516"
"School 59 ","8.7 ",NA,"118","17.3","1035411","201516"
"District ","10.2 ",NA,NA,"5.7","1035411","201516"
"Number of students in 2014-15 qualified as truant under state statute:  6","",NA,NA,NA,"1035411","201516"
"Female ","23 ","11.0 ","15 ","7.1","1035511","201314"
"Male ","25 ","11.4 ","31 ","14.0","1035511","201314"
"Black or African American ","* ","* ","12 ","15.3","1035511","201314"
"Hispanic or Latino ","26 ","13.8 ","24 ","12.6","1035511","201314"
"White ","14 ","9.4 ","* ","*","1035511","201314"
"English Language Learners ","* ","* ","7 ","15.9","1035511","201314"
"Eligible for Free or Reduced-Price Meals ","29 ","13.3 ","36 ","15.6","1035511","201314"
"Students with Disabilities ","12 ","26.7 ","8 ","17.3","1035511","201314"
"School ","48 ","11.2 ","46 ","10.6","1035511","201314"
"District ","","10.8 ","","6.2","1035511","201314"
"Female ","12 ","5.6 ","12 ","5.6","1035511","201415"
"Male ","18 ","7.4 ","23 ","9.4","1035511","201415"
"Black or African American ","* ","* ","11 ","12.9","1035511","201415"
"Hispanic or Latino ","14 ","7.0 ","17 ","8.4","1035511","201415"
"White ","8 ","5.1 ","* ","*","1035511","201415"
"English Language Learners ","* ","* ","* ","*","1035511","201415"
"Eligible for Free or Reduced-Price Meals ","18 ","7.8 ","29 ","11.4","1035511","201415"
"Students with Disabilities ","8 ","14.3 ","9 ","15.7","1035511","201415"
"School ","30 ","6.6 ","35 ","7.6","1035511","201415"
"District ","","8.3 ","","5.3","1035511","201415"
"Male 21 ","8.6 ",NA,"34","13.9","1035511","201516"
"Black or African American * ","* ",NA,"13","15.5","1035511","201516"
"Hispanic or Latino 16 ","7.7 ",NA,"19","9.1","1035511","201516"
"White * ","* ",NA,"13","7.9","1035511","201516"
"English Language Learners * ","* ",NA,"6","9.5","1035511","201516"
"Eligible for Free or Reduced-Price Meals 18 ","7.3 ",NA,"32","12.3","1035511","201516"
"Students with Disabilities 9 ","15.8 ",NA,"12","20.7","1035511","201516"
"School 27 ","5.6 ",NA,"45","9.3","1035511","201516"
"District ","10.2 ",NA,NA,"5.7","1035511","201516"
"Number of students in 2014-15 qualified as truant under state statute:  0","",NA,NA,NA,"1035511","201516"
"Female ","127","17.2","60","8","1036111","201314"
"Male ","125","15.8","125","15.4","1036111","201314"
"Black or African American ","55","18","75","23.7","1036111","201314"
"Hispanic or Latino ","86","18.2","56","11.5","1036111","201314"
"White ","104","15.3","45","6.5","1036111","201314"
"English Language Learners ","23","20.5","18","15.3","1036111","201314"
"Eligible for Free or Reduced-Price Meals ","115","20.1","126","19.8","1036111","201314"
"Students with Disabilities ","41","24.8","50","28.5","1036111","201314"
"School ","252","16.5","185","11.8","1036111","201314"
"District ",NA,"10.8",NA,"6.2","1036111","201314"
"Female ","73 ","9.8 ","47 ","6.2","1036111","201415"
"Male ","64 ","8.0 ","119 ","14.5","1036111","201415"
"Black or African American ","* ","* ","66 ","21.6","1036111","201415"
"Hispanic or Latino ","48 ","9.1 ","57 ","10.6","1036111","201415"
"White ","61 ","9.4 ","* ","*","1036111","201415"
"English Language Learners ","10 ","7.8 ","16 ","12.2","1036111","201415"
"Eligible for Free or Reduced-Price Meals ","64 ","11.0 ","106 ","16.1","1036111","201415"
"Students with Disabilities ","20 ","11.8 ","33 ","18.9","1036111","201415"
"School ","137 ","8.9 ","166 ","10.5","1036111","201415"
"District ","","8.3 ","","5.3","1036111","201415"
"Male 150 ","18.3","107",NA,"12.8","1036111","201516"
"Black or African American 60 ","21.6","47",NA,"16.6","1036111","201516"
"Hispanic or Latino 101 ","17.8","56",NA,"9.8","1036111","201516"
"White 114 ","18.4","38",NA,"6.1","1036111","201516"
"English Language Learners 24 ","16.9","14",NA,"9.8","1036111","201516"
"Eligible for Free or Reduced-Price Meals 112 ","19","95",NA,"14.4","1036111","201516"
"Students with Disabilities 52 ","28.7","35",NA,"18.8","1036111","201516"
"School 283 ","18.3","144",NA,"9.2","1036111","201516"
"District ","10.2",NA,NA,"5.7","1036111","201516"
"Number of students in 2014-15 qualified as truant under state statute:  Fewer than 6",NA,NA,NA,NA,"1036111","201516"
"Female ","126","14.8","64","7.4","1036211","201314"
"Male ","99","12.3","117","14.3","1036211","201314"
"Black or African American ","50","12.4","60","14.5","1036211","201314"
"Hispanic or Latino ","98","15.6","86","13.6","1036211","201314"
"White ","71","13.8","32","6.2","1036211","201314"
"English Language Learners ","21","15.4","27","19.5","1036211","201314"
"Eligible for Free or Reduced-Price Meals ","104","14.2","126","15.8","1036211","201314"
"Students with Disabilities ","40","26","31","19.4","1036211","201314"
"School ","225","13.6","181","10.8","1036211","201314"
"District ",NA,"10.8",NA,"6.2","1036211","201314"
"Female ","83","9.4","77","8.7","1036211","201415"
"Male ","62","7.7","94","11.5","1036211","201415"
"Black or African American ","37","9.4","67","16.8","1036211","201415"
"Hispanic or Latino ","56","8.2","77","11.2","1036211","201415"
"White ","45","9.1","23","4.6","1036211","201415"
"English Language Learners ","18","11.3","20","12.4","1036211","201415"
"Eligible for Free or Reduced-Price Meals ","81","10.4","114","13.3","1036211","201415"
"Students with Disabilities ","23","13.9","30","17.8","1036211","201415"
"School ","145","8.6","171","10","1036211","201415"
"District ",NA,"8.3",NA,"5.3","1036211","201415"
"Male 123 ","15.2",NA,"112","13.7","1036211","201516"
"Black or African American 67 ","18.5",NA,"62","17.1","1036211","201516"
"Hispanic or Latino 122 ","16.3",NA,"85","11.3","1036211","201516"
"White 65 ","14.2",NA,"32","6.9","1036211","201516"
"English Language Learners 26 ","14.8",NA,"28","15.8","1036211","201516"
"Eligible for Free or Reduced-Price Meals 142 ","18",NA,"118","13.6","1036211","201516"
"Students with Disabilities 37 ","22.8",NA,"31","17.7","1036211","201516"
"School 265 ","15.7",NA,"183","10.8","1036211","201516"
"District ","10.2",NA,NA,"5.7","1036211","201516"
"Number of students in 2014-15 qualified as truant under state statute:  9",NA,NA,NA,NA,"1036211","201516"
"Female ","33 ","80.5 ","14 ","31.1","1036311","201314"
"Male ","24 ","80.0 ","14 ","38.8","1036311","201314"
"Black or African American ","19 ","90.5 ","10 ","41.6","1036311","201314"
"Hispanic or Latino ","28 ","77.8 ","15 ","35.7","1036311","201314"
"White ","* ","* ","* ","*","1036311","201314"
"English Language Learners ","* ","* ","* ","*","1036311","201314"
"Eligible for Free or Reduced-Price Meals ","39 ","83.0 ","19 ","33.9","1036311","201314"
"Students with Disabilities ","11 ","* ","10 ","*","1036311","201314"
"School ","57 ","80.3 ","28 ","34.5","1036311","201314"
"District ","","10.8 ","","6.2","1036311","201314"
"Female ","14 ","41.2 ","* ","*","1036311","201415"
"Male ","17 ","45.9 ","* ","*","1036311","201415"
"Black or African American ","10 ","38.5 ","7 ","25.9","1036311","201415"
"Hispanic or Latino ","16 ","47.1 ","6 ","17.6","1036311","201415"
"White ","* ","* ","* ","*","1036311","201415"
"English Language Learners ","* ","* ","* ","*","1036311","201415"
"Eligible for Free or Reduced-Price Meals ","23 ","39.7 ","13 ","21.6","1036311","201415"
"Students with Disabilities ","11 ","* ","* ","*","1036311","201415"
"School ","31 ","43.7 ","17 ","23.2","1036311","201415"
"District ","","8.3 ","","5.3","1036311","201415"
"Male 42 ","70.0 ","20 ",NA,"32.8","1036311","201516"
"Black or African American 26 ","83.9 ","9 ",NA,"29.0","1036311","201516"
"Hispanic or Latino 30 ","57.7 ","14 ",NA,"26.4","1036311","201516"
"White * ","* ","* ",NA,"*","1036311","201516"
"English Language Learners * ","* ","* ",NA,"*","1036311","201516"
"Eligible for Free or Reduced-Price Meals 54 ","68.4 ","29 ",NA,"34.1","1036311","201516"
"Students with Disabilities 14 ","63.6 ","9 ",NA,"40.9","1036311","201516"
"School 72 ","69.2 ","33 ",NA,"31.1","1036311","201516"
"District ","10.2 ","",NA,"5.7","1036311","201516"
"Number of students in 2014-15 qualified as truant under state statute:  Fewer than 6","","",NA,"","1036311","201516"
"Female ","0 ","0.0 ","0 ","0.0","1040111","201314"
"Male ","0 ","0.0 ","0 ","0.0","1040111","201314"
"Black or African American ","0 ","0.0 ","0 ","0.0","1040111","201314"
"Hispanic or Latino ","0 ","0.0 ","0 ","0.0","1040111","201314"
"White ","0 ","0.0 ","0 ","0.0","1040111","201314"
"English Language Learners ","N/A ","N/A ","N/A ","N/A","1040111","201314"
"Eligible for Free or Reduced-Price Meals ","0 ","0.0 ","0 ","0.0","1040111","201314"
"Students with Disabilities ","0 ","0.0 ","0 ","0.0","1040111","201314"
"School ","0 ","0.0 ","0 ","0.0","1040111","201314"
"District ","","14.9 ","","7.5","1040111","201314"
"Female ","0 ","0.0 ","0 ","0.0","1040111","201415"
"Male ","0 ","0.0 ","0 ","0.0","1040111","201415"
"Black or African American ","0 ","0.0 ","0 ","0.0","1040111","201415"
"Hispanic or Latino ","0 ","0.0 ","0 ","0.0","1040111","201415"
"White ","0 ","0.0 ","0 ","0.0","1040111","201415"
"English Language Learners ","N/A ","N/A ","N/A ","N/A","1040111","201415"
"Eligible for Free or Reduced-Price Meals ","0 ","0.0 ","0 ","0.0","1040111","201415"
"Students with Disabilities ","0 ","0.0 ","0 ","0.0","1040111","201415"
"School ","0 ","0.0 ","0 ","0.0","1040111","201415"
"District ","","13.4 ","","6.6","1040111","201415"
"Male 0 ","0.0 ",NA,"0 ","0.0","1040111","201516"
"Black or African American 0 ","0.0 ",NA,"0 ","0.0","1040111","201516"
"Hispanic or Latino 0 ","0.0 ",NA,"0 ","0.0","1040111","201516"
"White 0 ","0.0 ",NA,"0 ","0.0","1040111","201516"
"English Language Learners N/A ","N/A ",NA,"N/A ","N/A","1040111","201516"
"Eligible for Free or Reduced-Price Meals 0 ","0.0 ",NA,"0 ","0.0","1040111","201516"
"Students with Disabilities 0 ","0.0 ",NA,"0 ","0.0","1040111","201516"
"School 0 ","0.0 ",NA,"0 ","0.0","1040111","201516"
"District ","9.7 ",NA,"","7.5","1040111","201516"
"Number of students in 2014-15 qualified as truant under state statute:  0","",NA,"","","1040111","201516"
"Female ","23 ","12.8 ","0 ","0.0","1040811","201314"
"Male ","19 ","9.2 ","7 ","3.1","1040811","201314"
"Black or African American ","6 ","14.6 ","* ","*","1040811","201314"
"Hispanic or Latino ","16 ","21.3 ","* ","*","1040811","201314"
"White ","14 ","6.8 ","* ","*","1040811","201314"
"English Language Learners ","* ","* ","* ","*","1040811","201314"
"Eligible for Free or Reduced-Price Meals ","30 ","16.0 ","6 ","3.0","1040811","201314"
"Students with Disabilities ","10 ","13.5 ","* ","*","1040811","201314"
"School ","42 ","10.9 ","7 ","1.7","1040811","201314"
"District ","","14.9 ","","7.5","1040811","201314"
"Female ","20 ","11.2 ","* ","*","1040811","201415"
"Male ","20 ","9.7 ","* ","*","1040811","201415"
"Black or African American ","* ","* ","* ","*","1040811","201415"
"Hispanic or Latino ","13 ","17.6 ","* ","*","1040811","201415"
"White ","16 ","7.4 ","* ","*","1040811","201415"
"English Language Learners ","* ","* ","* ","*","1040811","201415"
"Eligible for Free or Reduced-Price Meals ","31 ","13.9 ","* ","*","1040811","201415"
"Students with Disabilities ","11 ","15.1 ","* ","*","1040811","201415"
"School ","40 ","10.4 ","7 ","1.8","1040811","201415"
"District ","","13.4 ","","6.6","1040811","201415"
"Male * ","* ",NA,"* ","*","1040811","201516"
"Black or African American * ","* ",NA,"0 ","0.0","1040811","201516"
"Hispanic or Latino 9 ","12.3 ",NA,"0 ","0.0","1040811","201516"
"White * ","* ",NA,"0 ","0.0","1040811","201516"
"English Language Learners * ","* ",NA,"0 ","0.0","1040811","201516"
"Eligible for Free or Reduced-Price Meals 12 ","6.1 ",NA,"0 ","0.0","1040811","201516"
"Students with Disabilities * ","* ",NA,"* ","*","1040811","201516"
"School 16 ","4.7 ",NA,"* ","*","1040811","201516"
"District ","9.7 ",NA,"","7.5","1040811","201516"
"Number of students in 2014-15 qualified as truant under state statute:  0","",NA,"","","1040811","201516"
"Female ","21 ","12.2 ","* ","*","1041411","201314"
"Male ","13 ","6.8 ","* ","*","1041411","201314"
"Black or African American ","6 ","8.6 ","* ","*","1041411","201314"
"Hispanic or Latino ","13 ","11.6 ","* ","*","1041411","201314"
"White ","9 ","9.0 ","* ","*","1041411","201314"
"English Language Learners ","* ","* ","* ","*","1041411","201314"
"Eligible for Free or Reduced-Price Meals ","31 ","11.1 ","8 ","2.7","1041411","201314"
"Students with Disabilities ","9 ","21.4 ","0 ","0.0","1041411","201314"
"School ","34 ","9.4 ","9 ","2.3","1041411","201314"
"District ","","14.9 ","","7.5","1041411","201314"
"Female ","19 ","10.6 ","0 ","0.0","1041411","201415"
"Male ","14 ","8.2 ","* ","*","1041411","201415"
"Black or African American ","6 ","8.2 ","* ","*","1041411","201415"
"Hispanic or Latino ","13 ","10.0 ","* ","*","1041411","201415"
"White ","* ","* ","0 ","0.0","1041411","201415"
"English Language Learners ","6 ","5.7 ","* ","*","1041411","201415"
"Eligible for Free or Reduced-Price Meals ","33 ","11.0 ","* ","*","1041411","201415"
"Students with Disabilities ","* ","* ","* ","*","1041411","201415"
"School ","33 ","9.4 ","* ","*","1041411","201415"
"District ","","13.4 ","","6.6","1041411","201415"
"Male 8 ","5.0 ",NA,"* ","*","1041411","201516"
"Black or African American * ","* ",NA,"* ","*","1041411","201516"
"Hispanic or Latino 18 ","13.1 ",NA,"* ","*","1041411","201516"
"White 6 ","8.2 ",NA,"0 ","0.0","1041411","201516"
"English Language Learners * ","* ",NA,"0 ","0.0","1041411","201516"
"Eligible for Free or Reduced-Price Meals 26 ","8.9 ",NA,"* ","*","1041411","201516"
"Students with Disabilities * ","* ",NA,"0 ","0.0","1041411","201516"
"School 27 ","8.0 ",NA,"* ","*","1041411","201516"
"District ","9.7 ",NA,"","7.5","1041411","201516"
"Number of students in 2014-15 qualified as truant under state statute:  18","",NA,"","","1041411","201516"
"Female ","15","13.9","* ","*","1041511","201314"
"Male ","19","16.1","* ","*","1041511","201314"
"Black or African American ","6","13.3","* ","*","1041511","201314"
"Hispanic or Latino ","7","14.3","* ","*","1041511","201314"
"White ","16","16.3","6 ","5.8","1041511","201314"
"English Language Learners ","0","0","0 ","0.0","1041511","201314"
"Eligible for Free or Reduced-Price Meals ","24","14.7","13 ","7.3","1041511","201314"
"Students with Disabilities ","6","16.2","* ","*","1041511","201314"
"School ","34","15","13 ","5.3","1041511","201314"
"District ",NA,"14.9","","7.5","1041511","201314"
"Female ","11 ","10.1 ","* ","*","1041511","201415"
"Male ","21 ","17.6 ","* ","*","1041511","201415"
"Black or African American ","* ","* ","9 ","16.9","1041511","201415"
"Hispanic or Latino ","16 ","23.9 ","12 ","17.6","1041511","201415"
"White ","9 ","11.0 ","* ","*","1041511","201415"
"English Language Learners ","* ","* ","* ","*","1041511","201415"
"Eligible for Free or Reduced-Price Meals ","28 ","14.8 ","32 ","16.5","1041511","201415"
"Students with Disabilities ","9 ","23.1 ","7 ","17.5","1041511","201415"
"School ","32 ","14.0 ","34 ","14.6","1041511","201415"
"District ","","13.4 ","","6.6","1041511","201415"
"Male 10 ","7.7 ",NA,"10 ","7.6","1041511","201516"
"Black or African American * ","* ",NA,"* ","*","1041511","201516"
"Hispanic or Latino 6 ","7.7 ",NA,"* ","*","1041511","201516"
"White 7 ","8.6 ",NA,"* ","*","1041511","201516"
"English Language Learners 0 ","0.0 ",NA,"* ","*","1041511","201516"
"Eligible for Free or Reduced-Price Meals 17 ","8.7 ",NA,"9 ","4.4","1041511","201516"
"Students with Disabilities * ","* ",NA,"* ","*","1041511","201516"
"School 17 ","7.1 ",NA,"10 ","4.2","1041511","201516"
"District ","9.7 ",NA,"","7.5","1041511","201516"
"Number of students in 2014-15 qualified as truant under state statute:  73","",NA,"","","1041511","201516"
"Female ","8 ","5.3 ","0 ","0.0","1041711","201314"
"Male ","11 ","8.4 ","6 ","4.5","1041711","201314"
"Black or African American ","* ","* ","* ","*","1041711","201314"
"Hispanic or Latino ","6 ","9.8 ","0 ","0.0","1041711","201314"
"White ","* ","* ","0 ","0.0","1041711","201314"
"English Language Learners ","6 ","10.7 ","* ","*","1041711","201314"
"Eligible for Free or Reduced-Price Meals ","12 ","6.7 ","* ","*","1041711","201314"
"Students with Disabilities ","10 ","22.7 ","0 ","0.0","1041711","201314"
"School ","19 ","6.7 ","6 ","2.1","1041711","201314"
"District ","","14.9 ","","7.5","1041711","201314"
"Female ","11 ","7.3 ","0 ","0.0","1041711","201415"
"Male ","13 ","9.1 ","7 ","4.8","1041711","201415"
"Black or African American ","* ","* ","* ","*","1041711","201415"
"Hispanic or Latino ","10 ","14.9 ","* ","*","1041711","201415"
"White ","9 ","10.2 ","* ","*","1041711","201415"
"English Language Learners ","8 ","11.3 ","* ","*","1041711","201415"
"Eligible for Free or Reduced-Price Meals ","18 ","8.4 ","6 ","2.7","1041711","201415"
"Students with Disabilities ","9 ","18.4 ","* ","*","1041711","201415"
"School ","24 ","8.2 ","7 ","2.3","1041711","201415"
"District ","","13.4 ","","6.6","1041711","201415"
"Male * ","* ",NA,"* ","*","1041711","201516"
"Black or African American * ","* ",NA,"0 ","0.0","1041711","201516"
"Hispanic or Latino 0 ","0.0 ",NA,"* ","*","1041711","201516"
"White * ","* ",NA,"* ","*","1041711","201516"
"English Language Learners * ","* ",NA,"* ","*","1041711","201516"
"Eligible for Free or Reduced-Price Meals * ","* ",NA,"* ","*","1041711","201516"
"Students with Disabilities * ","* ",NA,"* ","*","1041711","201516"
"School 6 ","2.3 ",NA,"* ","*","1041711","201516"
"District ","9.7 ",NA,"","7.5","1041711","201516"
"Number of students in 2014-15 qualified as truant under state statute:  0","",NA,"","","1041711","201516"
"Female ","27 ","17.3 ","* ","*","1041811","201314"
"Male ","13 ","8.6 ","* ","*","1041811","201314"
"Black or African American ","6 ","11.8 ","6 ","11.7","1041811","201314"
"Hispanic or Latino ","12 ","12.9 ","* ","*","1041811","201314"
"White ","16 ","16.7 ","* ","*","1041811","201314"
"English Language Learners ","* ","* ","0 ","0.0","1041811","201314"
"Eligible for Free or Reduced-Price Meals ","33 ","13.8 ","10 ","4.1","1041811","201314"
"Students with Disabilities ","7 ","18.4 ","* ","*","1041811","201314"
"School ","40 ","13.0 ","12 ","3.8","1041811","201314"
"District ","","14.9 ","","7.5","1041811","201314"
"Female ","19 ","13.0 ","* ","*","1041811","201415"
"Male ","14 ","8.6 ","* ","*","1041811","201415"
"Black or African American ","* ","* ","* ","*","1041811","201415"
"Hispanic or Latino ","13 ","13.5 ","6 ","6.2","1041811","201415"
"White ","10 ","9.5 ","* ","*","1041811","201415"
"English Language Learners ","* ","* ","* ","*","1041811","201415"
"Eligible for Free or Reduced-Price Meals ","29 ","11.1 ","17 ","6.4","1041811","201415"
"Students with Disabilities ","8 ","18.2 ","* ","*","1041811","201415"
"School ","33 ","10.7 ","19 ","6.1","1041811","201415"
"District ","","13.4 ","","6.6","1041811","201415"
"Male 14 ","8.5 ",NA,"* ","*","1041811","201516"
"Black or African American 6 ","10.7 ",NA,"6 ","10.7","1041811","201516"
"Hispanic or Latino 17 ","15.6 ",NA,"7 ","6.4","1041811","201516"
"White 12 ","12.0 ",NA,"* ","*","1041811","201516"
"English Language Learners * ","* ",NA,"0 ","0.0","1041811","201516"
"Eligible for Free or Reduced-Price Meals 37 ","13.2 ",NA,"18 ","6.2","1041811","201516"
"Students with Disabilities 10 ","22.7 ",NA,"* ","*","1041811","201516"
"School 40 ","12.3 ",NA,"19 ","5.8","1041811","201516"
"District ","9.7 ",NA,"","7.5","1041811","201516"
"Number of students in 2014-15 qualified as truant under state statute:  7","",NA,"","","1041811","201516"
"Female ","24 ","18.2 ","6 ","4.5","1041911","201314"
"Male ","16 ","11.8 ","20 ","14.7","1041911","201314"
"Black or African American ","* ","* ","* ","*","1041911","201314"
"Hispanic or Latino ","20 ","22.2 ","11 ","12.0","1041911","201314"
"White ","6 ","9.5 ","8 ","12.6","1041911","201314"
"English Language Learners ","* ","* ","* ","*","1041911","201314"
"Eligible for Free or Reduced-Price Meals ","35 ","15.3 ","25 ","10.8","1041911","201314"
"Students with Disabilities ","10 ","21.3 ","* ","*","1041911","201314"
"School ","40 ","14.9 ","26 ","9.6","1041911","201314"
"District ","","14.9 ","","7.5","1041911","201314"
"Female ","11 ","9.6 ","* ","*","1041911","201415"
"Male ","18 ","14.9 ","* ","*","1041911","201415"
"Black or African American ","* ","* ","* ","*","1041911","201415"
"Hispanic or Latino ","11 ","13.8 ","* ","*","1041911","201415"
"White ","9 ","15.3 ","8 ","13.5","1041911","201415"
"English Language Learners ","* ","* ","* ","*","1041911","201415"
"Eligible for Free or Reduced-Price Meals ","28 ","13.7 ","12 ","5.8","1041911","201415"
"Students with Disabilities ","14 ","33.3 ","* ","*","1041911","201415"
"School ","29 ","12.3 ","14 ","5.9","1041911","201415"
"District ","","13.4 ","","6.6","1041911","201415"
"Male * ","* ",NA,"* ","*","1041911","201516"
"Black or African American * ","* ",NA,"* ","*","1041911","201516"
"Hispanic or Latino 10 ","13.9 ",NA,"* ","*","1041911","201516"
"White * ","* ",NA,"* ","*","1041911","201516"
"English Language Learners 6 ","14.6 ",NA,"* ","*","1041911","201516"
"Eligible for Free or Reduced-Price Meals 19 ","9.9 ",NA,"8 ","4.1","1041911","201516"
"Students with Disabilities * ","* ",NA,"* ","*","1041911","201516"
"School 20 ","8.8 ",NA,"8 ","3.5","1041911","201516"
"District ","9.7 ",NA,"","7.5","1041911","201516"
"Number of students in 2014-15 qualified as truant under state statute:  22","",NA,"","","1041911","201516"
"Female ","37","17.5","* ","*","1042011","201314"
"Male ","39","20.7","* ","*","1042011","201314"
"Black or African American ","14","19.7","9 ","12.6","1042011","201314"
"Hispanic or Latino ","38","30.2","8 ","6.2","1042011","201314"
"White ","18","13.3","* ","*","1042011","201314"
"English Language Learners ","17","24.3","* ","*","1042011","201314"
"Eligible for Free or Reduced-Price Meals ","61","22.8","20 ","7.4","1042011","201314"
"Students with Disabilities ","11","30.6","* ","*","1042011","201314"
"School ","76","19","25 ","6.1","1042011","201314"
"District ",NA,"14.9","","7.5","1042011","201314"
"Female ","20","10.1","* ","*","1042011","201415"
"Male ","26","13.9","* ","*","1042011","201415"
"Black or African American ","7","10.6","9 ","13.6","1042011","201415"
"Hispanic or Latino ","22","18.8","* ","*","1042011","201415"
"White ","10","7.2","* ","*","1042011","201415"
"English Language Learners ","10","18.2","* ","*","1042011","201415"
"Eligible for Free or Reduced-Price Meals ","40","14.4","18 ","6.3","1042011","201415"
"Students with Disabilities ","7","17.9","* ","*","1042011","201415"
"School ","46","11.9","19 ","4.8","1042011","201415"
"District ",NA,"13.4","","6.6","1042011","201415"
"Male 25 ","12.1 ",NA,"* ","*","1042011","201516"
"Black or African American * ","* ",NA,"7 ","10.4","1042011","201516"
"Hispanic or Latino 17 ","12.6 ",NA,"* ","*","1042011","201516"
"White 14 ","9.9 ",NA,"* ","*","1042011","201516"
"English Language Learners 12 ","18.5 ",NA,"* ","*","1042011","201516"
"Eligible for Free or Reduced-Price Meals 39 ","12.9 ",NA,"20 ","6.3","1042011","201516"
"Students with Disabilities 12 ","20.3 ",NA,"* ","*","1042011","201516"
"School 43 ","10.4 ",NA,"21 ","5.1","1042011","201516"
"District ","9.7 ",NA,"","7.5","1042011","201516"
"Number of students in 2014-15 qualified as truant under state statute:  17","",NA,"","","1042011","201516"
"Female ","49 ","15.9 ","33 ","10.7","1045111","201314"
"Male ","54 ","15.4 ","45 ","12.6","1045111","201314"
"Black or African American ","* ","* ","22 ","17.6","1045111","201314"
"Hispanic or Latino ","32 ","17.9 ","19 ","10.9","1045111","201314"
"White ","50 ","17.8 ","25 ","8.6","1045111","201314"
"English Language Learners ","7 ","11.3 ","* ","*","1045111","201314"
"Eligible for Free or Reduced-Price Meals ","78 ","17.7 ","66 ","14.8","1045111","201314"
"Students with Disabilities ","22 ","23.7 ","14 ","14.4","1045111","201314"
"School ","103 ","15.7 ","78 ","11.7","1045111","201314"
"District ","","14.9 ","","7.5","1045111","201314"
"Female ","51","15.7","26 ","7.9","1045111","201415"
"Male ","46","13.5","37 ","10.8","1045111","201415"
"Black or African American ","11","8.9","22 ","17.4","1045111","201415"
"Hispanic or Latino ","26","14.4","20 ","11.1","1045111","201415"
"White ","52","17.8","* ","*","1045111","201415"
"English Language Learners ","6","9","* ","*","1045111","201415"
"Eligible for Free or Reduced-Price Meals ","83","16.3","58 ","11.1","1045111","201415"
"Students with Disabilities ","15","14.9","17 ","16.1","1045111","201415"
"School ","97","14.6","63 ","9.4","1045111","201415"
"District ",NA,"13.4","","6.6","1045111","201415"
"Male 37 ","10.2 ","82",NA,"22","1045111","201516"
"Black or African American 8 ","5.3 ","30",NA,"19.6","1045111","201516"
"Hispanic or Latino 22 ","10.8 ","32",NA,"15.2","1045111","201516"
"White 32 ","11.4 ","37",NA,"13.1","1045111","201516"
"English Language Learners * ","* ","11",NA,"14.3","1045111","201516"
"Eligible for Free or Reduced-Price Meals 60 ","10.6 ","99",NA,"16.6","1045111","201516"
"Students with Disabilities 15 ","13.2 ","33",NA,"27.3","1045111","201516"
"School 71 ","9.6 ","111",NA,"14.7","1045111","201516"
"District ","9.7 ",NA,NA,"7.5","1045111","201516"
"Number of students in 2014-15 qualified as truant under state statute:  107","",NA,NA,NA,"1045111","201516"
"Female ","31","12.9","21","8.7","1045211","201314"
"Male ","35","15.8","61","26.9","1045211","201314"
"Black or African American ","13","12.5","30","28","1045211","201314"
"Hispanic or Latino ","25","18.4","24","17.2","1045211","201314"
"White ","21","16.5","19","14.8","1045211","201314"
"English Language Learners ","6","10","12","19.3","1045211","201314"
"Eligible for Free or Reduced-Price Meals ","54","15.1","71","19.7","1045211","201314"
"Students with Disabilities ","15","23.1","11","16.4","1045211","201314"
"School ","66","14.3","82","17.5","1045211","201314"
"District ",NA,"14.9",NA,"7.5","1045211","201314"
"Female ","23 ","9.8 ","25","10.5","1045211","201415"
"Male ","39 ","15.7 ","61","24.4","1045211","201415"
"Black or African American ","* ","* ","25","24","1045211","201415"
"Hispanic or Latino ","22 ","14.9 ","28","18.7","1045211","201415"
"White ","29 ","20.4 ","26","18.4","1045211","201415"
"English Language Learners ","9 ","12.3 ","13","17.8","1045211","201415"
"Eligible for Free or Reduced-Price Meals ","54 ","13.8 ","75","19","1045211","201415"
"Students with Disabilities ","12 ","15.8 ","14","17.7","1045211","201415"
"School ","62 ","12.8 ","86","17.6","1045211","201415"
"District ","","13.4 ",NA,"6.6","1045211","201415"
"Male 19 ","9.9 ",NA,"66","34","1045211","201516"
"Black or African American * ","* ",NA,"31","37.3","1045211","201516"
"Hispanic or Latino 13 ","14.8 ",NA,"27","29.7","1045211","201516"
"White 7 ","6.1 ",NA,"22","19.1","1045211","201516"
"English Language Learners * ","* ",NA,"15","27.8","1045211","201516"
"Eligible for Free or Reduced-Price Meals 25 ","9.9 ",NA,"78","29.7","1045211","201516"
"Students with Disabilities 8 ","13.8 ",NA,"23","38.3","1045211","201516"
"School 28 ","8.1 ",NA,"86","24.7","1045211","201516"
