"category","entrance.rate","pers_year","school_id","year"
"School ","76.0 ","Class of 2015","0416111","201516"
"District ","76.0 ","Class of 2015","0416111","201516"
"Female ","83.1 ","Class of 2013","0426111","201314"
"Male ","78.7 ","Class of 2013","0426111","201314"
"Black or African American ","* ","Class of 2013","0426111","201314"
"Hispanic or Latino ","* ","Class of 2013","0426111","201314"
"White ","80.7 ","Class of 2013","0426111","201314"
"English Language Learners ","N/A ","Class of 2013","0426111","201314"
"Eligible for Free or ","* ","Class of 2013","0426111","201314"
"Reduced-Price Meals","","Class of 2013","0426111","201314"
"Students with Disabilities ","* ","Class of 2013","0426111","201314"
"School ","81.0 ","Class of 2013","0426111","201314"
"District ","80.3 ","Class of 2013","0426111","201314"
"Female ","79.0 ","Class of 2014","0426111","201415"
"Male ","87.3 ","Class of 2014","0426111","201415"
"Black or African American ","* ","Class of 2014","0426111","201415"
"Hispanic or Latino ","* ","Class of 2014","0426111","201415"
"White ","84.4 ","Class of 2014","0426111","201415"
"English Language Learners ","* ","Class of 2014","0426111","201415"
"Eligible for Free or ","* ","Class of 2014","0426111","201415"
"Reduced-Price Meals","","Class of 2014","0426111","201415"
"Students with Disabilities ","* ","Class of 2014","0426111","201415"
"School ","82.9 ","Class of 2014","0426111","201415"
"District ","81.5 ","Class of 2014","0426111","201415"
"Female ","84.8 ","Class of 2015","0426111","201516"
"Male ","67.9 ","Class of 2015","0426111","201516"
"Black or African American ","67.9 ","Class of 2015","0426111","201516"
"Hispanic or Latino ","* ","Class of 2015","0426111","201516"
"White ","75.5 ","Class of 2015","0426111","201516"
"English Language Learners ","75.5 ","Class of 2015","0426111","201516"
"Eligible for Free or ","* ","Class of 2015","0426111","201516"
"Reduced-Price Meals","","Class of 2015","0426111","201516"
"Students with Disabilities ","* ","Class of 2015","0426111","201516"
"School ","77.3 ","Class of 2015","0426111","201516"
"District ","76.0 ","Class of 2015","0426111","201516"
"Female ","69.3 ","Class of 2013","0436211","201314"
"Male ","59.7 ","Class of 2013","0436211","201314"
"Black or African American ","70.0 ","Class of 2013","0436211","201314"
"Hispanic or Latino ","55.4 ","Class of 2013","0436211","201314"
"White ","69.7 ","Class of 2013","0436211","201314"
"English Language Learners ","* ","Class of 2013","0436211","201314"
"Eligible for Free or ","58.0 ","Class of 2013","0436211","201314"
"Reduced-Price Meals","","Class of 2013","0436211","201314"
"Students with Disabilities ","33.3 ","Class of 2013","0436211","201314"
"School ","64.3 ","Class of 2013","0436211","201314"
"District ","57.8 ","Class of 2013","0436211","201314"
"Female ","71.1","Class of 2014","0436211","201415"
"Male ","56.1","Class of 2014","0436211","201415"
"Black or African American ","65.4","Class of 2014","0436211","201415"
"Hispanic or Latino ","54.6","Class of 2014","0436211","201415"
"White ","71.9","Class of 2014","0436211","201415"
"English Language Learners ","43.8","Class of 2014","0436211","201415"
"Eligible for Free or ","60.9","Class of 2014","0436211","201415"
"Reduced-Price Meals",NA,"Class of 2014","0436211","201415"
"Students with Disabilities ","46.6","Class of 2014","0436211","201415"
"School ","63.8","Class of 2014","0436211","201415"
"District ","59.2","Class of 2014","0436211","201415"
"Female ","67.9","Class of 2015","0436211","201516"
"Male ","58.9","Class of 2015","0436211","201516"
"Black or African American ","62.7","Class of 2015","0436211","201516"
"Hispanic or Latino ","61.7","Class of 2015","0436211","201516"
"White ","63.6","Class of 2015","0436211","201516"
"English Language Learners ","60.5","Class of 2015","0436211","201516"
"Eligible for Free or ","61.2","Class of 2015","0436211","201516"
"Reduced-Price Meals",NA,"Class of 2015","0436211","201516"
"Students with Disabilities ","30","Class of 2015","0436211","201516"
"School ","63.7","Class of 2015","0436211","201516"
"District ","58","Class of 2015","0436211","201516"
"Female ","91.7 ","Class of 2013","0436311","201314"
"Male ","* ","Class of 2013","0436311","201314"
"Black or African American ","* ","Class of 2013","0436311","201314"
"Hispanic or Latino ","* ","Class of 2013","0436311","201314"
"White ","* ","Class of 2013","0436311","201314"
"English Language Learners ","* ","Class of 2013","0436311","201314"
"Eligible for Free or ","* ","Class of 2013","0436311","201314"
"Reduced-Price Meals","","Class of 2013","0436311","201314"
"Students with Disabilities ","N/A ","Class of 2013","0436311","201314"
"School ","91.9 ","Class of 2013","0436311","201314"
"District ","57.8 ","Class of 2013","0436311","201314"
"Female ","93.5 ","Class of 2014","0436311","201415"
"Male ","* ","Class of 2014","0436311","201415"
"Black or African American ","* ","Class of 2014","0436311","201415"
"Hispanic or Latino ","* ","Class of 2014","0436311","201415"
"White ","* ","Class of 2014","0436311","201415"
"English Language Learners ","* ","Class of 2014","0436311","201415"
"Eligible for Free or ","91.3 ","Class of 2014","0436311","201415"
"Reduced-Price Meals","","Class of 2014","0436311","201415"
"Students with Disabilities ","* ","Class of 2014","0436311","201415"
"School ","95.6 ","Class of 2014","0436311","201415"
"District ","59.2 ","Class of 2014","0436311","201415"
"Female ","88.5 ","Class of 2015","0436311","201516"
"Male ","* ","Class of 2015","0436311","201516"
"Black or African American ","* ","Class of 2015","0436311","201516"
"Hispanic or Latino ","* ","Class of 2015","0436311","201516"
"White ","* ","Class of 2015","0436311","201516"
"English Language Learners ","N/A ","Class of 2015","0436311","201516"
"Eligible for Free or ","87.0 ","Class of 2015","0436311","201516"
"Reduced-Price Meals","","Class of 2015","0436311","201516"
"Students with Disabilities ","87.0 ","Class of 2015","0436311","201516"
"School ","88.4 ","Class of 2015","0436311","201516"
"District ","58.0 ","Class of 2015","0436311","201516"
"Female ","35.3 ","Class of 2013","0436411","201314"
"Male ","22.4 ","Class of 2013","0436411","201314"
"Black or African American ","33.3 ","Class of 2013","0436411","201314"
"Hispanic or Latino ","* ","Class of 2013","0436411","201314"
"White ","* ","Class of 2013","0436411","201314"
"English Language Learners ","* ","Class of 2013","0436411","201314"
"Eligible for Free or ","30.8 ","Class of 2013","0436411","201314"
"Reduced-Price Meals","","Class of 2013","0436411","201314"
"Students with Disabilities ","* ","Class of 2013","0436411","201314"
"School ","27.2 ","Class of 2013","0436411","201314"
"District ","57.8 ","Class of 2013","0436411","201314"
"Female ","* ","Class of 2014","0436411","201415"
"Male ","* ","Class of 2014","0436411","201415"
"Black or African American ","* ","Class of 2014","0436411","201415"
"Hispanic or Latino ","* ","Class of 2014","0436411","201415"
"White ","* ","Class of 2014","0436411","201415"
"English Language Learners ","* ","Class of 2014","0436411","201415"
"Eligible for Free or ","22.0 ","Class of 2014","0436411","201415"
"Reduced-Price Meals","","Class of 2014","0436411","201415"
"Students with Disabilities ","* ","Class of 2014","0436411","201415"
"School ","20.8 ","Class of 2014","0436411","201415"
"District ","59.2 ","Class of 2014","0436411","201415"
"Female ","* ","Class of 2015","0436411","201516"
"Male ","* ","Class of 2015","0436411","201516"
"Black or African American ","18.8 ","Class of 2015","0436411","201516"
"Hispanic or Latino ","* ","Class of 2015","0436411","201516"
"White ","* ","Class of 2015","0436411","201516"
"English Language Learners ","* ","Class of 2015","0436411","201516"
"Eligible for Free or ","14.5 ","Class of 2015","0436411","201516"
"Reduced-Price Meals","","Class of 2015","0436411","201516"
"Students with Disabilities ","* ","Class of 2015","0436411","201516"
"School ","15.9 ","Class of 2015","0436411","201516"
"District ","58.0 ","Class of 2015","0436411","201516"
"Female ","78.4 ","Class of 2013","0446111","201314"
"Male ","60.0 ","Class of 2013","0446111","201314"
"Black or African American ","* ","Class of 2013","0446111","201314"
"Hispanic or Latino ","68.6 ","Class of 2013","0446111","201314"
"White ","70.3 ","Class of 2013","0446111","201314"
"English Language Learners ","* ","Class of 2013","0446111","201314"
"Eligible for Free or ","65.6 ","Class of 2013","0446111","201314"
"Reduced-Price Meals","","Class of 2013","0446111","201314"
"Students with Disabilities ","50.0 ","Class of 2013","0446111","201314"
"School ","69.3 ","Class of 2013","0446111","201314"
"District ","68.2 ","Class of 2013","0446111","201314"
"Female ","73.1 ","Class of 2014","0446111","201415"
"Male ","58.8 ","Class of 2014","0446111","201415"
"Black or African American ","* ","Class of 2014","0446111","201415"
"Hispanic or Latino ","74.4 ","Class of 2014","0446111","201415"
"White ","64.6 ","Class of 2014","0446111","201415"
"English Language Learners ","* ","Class of 2014","0446111","201415"
"Eligible for Free or ","63.9 ","Class of 2014","0446111","201415"
"Reduced-Price Meals","","Class of 2014","0446111","201415"
"Students with Disabilities ","40.6 ","Class of 2014","0446111","201415"
"School ","65.6 ","Class of 2014","0446111","201415"
"District ","65.0 ","Class of 2014","0446111","201415"
"Female ","76.9 ","Class of 2015","0446111","201516"
"Male ","59.3 ","Class of 2015","0446111","201516"
"Black or African American ","* ","Class of 2015","0446111","201516"
"Hispanic or Latino ","61.8 ","Class of 2015","0446111","201516"
"White ","70.1 ","Class of 2015","0446111","201516"
"English Language Learners ","* ","Class of 2015","0446111","201516"
"Eligible for Free or ","58.4 ","Class of 2015","0446111","201516"
"Reduced-Price Meals","","Class of 2015","0446111","201516"
"Students with Disabilities ","* ","Class of 2015","0446111","201516"
"School ","68.1 ","Class of 2015","0446111","201516"
"District ","68.1 ","Class of 2015","0446111","201516"
"Female ","86.5 ","Class of 2013","0456111","201314"
"Male ","83.0 ","Class of 2013","0456111","201314"
"Black or African American ","* ","Class of 2013","0456111","201314"
"Hispanic or Latino ","* ","Class of 2013","0456111","201314"
"White ","84.1 ","Class of 2013","0456111","201314"
"English Language Learners ","* ","Class of 2013","0456111","201314"
"Eligible for Free or ","76.0 ","Class of 2013","0456111","201314"
"Reduced-Price Meals","","Class of 2013","0456111","201314"
"Students with Disabilities ","66.7 ","Class of 2013","0456111","201314"
"School ","84.8 ","Class of 2013","0456111","201314"
"District ","84.8 ","Class of 2013","0456111","201314"
"Female ","88.5 ","Class of 2014","0456111","201415"
"Male ","82.0 ","Class of 2014","0456111","201415"
"Black or African American ","* ","Class of 2014","0456111","201415"
"Hispanic or Latino ","* ","Class of 2014","0456111","201415"
"White ","84.4 ","Class of 2014","0456111","201415"
"English Language Learners ","* ","Class of 2014","0456111","201415"
"Eligible for Free or ","69.7 ","Class of 2014","0456111","201415"
"Reduced-Price Meals","","Class of 2014","0456111","201415"
"Students with Disabilities ","60.0 ","Class of 2014","0456111","201415"
"School ","85.3 ","Class of 2014","0456111","201415"
"District ","85.3 ","Class of 2014","0456111","201415"
"Female ","90.5 ","Class of 2015","0456111","201516"
"Male ","80.7 ","Class of 2015","0456111","201516"
"Black or African American ","* ","Class of 2015","0456111","201516"
"Hispanic or Latino ","* ","Class of 2015","0456111","201516"
"White ","85.7 ","Class of 2015","0456111","201516"
"English Language Learners ","* ","Class of 2015","0456111","201516"
"Eligible for Free or ","73.5 ","Class of 2015","0456111","201516"
"Reduced-Price Meals","","Class of 2015","0456111","201516"
"Students with Disabilities ","56.0 ","Class of 2015","0456111","201516"
"School ","85.4 ","Class of 2015","0456111","201516"
"District ","82.1 ","Class of 2015","0456111","201516"
"Female ","65.9 ","Class of 2013","0476111","201314"
"Male ","52.6 ","Class of 2013","0476111","201314"
"Black or African American ","* ","Class of 2013","0476111","201314"
"Hispanic or Latino ","* ","Class of 2013","0476111","201314"
"White ","56.1 ","Class of 2013","0476111","201314"
"English Language Learners ","* ","Class of 2013","0476111","201314"
"Eligible for Free or ","43.8 ","Class of 2013","0476111","201314"
"Reduced-Price Meals","","Class of 2013","0476111","201314"
"Students with Disabilities ","* ","Class of 2013","0476111","201314"
"School ","59.8 ","Class of 2013","0476111","201314"
"District ","59.8 ","Class of 2013","0476111","201314"
"Female ","66.0 ","Class of 2014","0476111","201415"
"Male ","60.0 ","Class of 2014","0476111","201415"
"Black or African American ","* ","Class of 2014","0476111","201415"
"Hispanic or Latino ","* ","Class of 2014","0476111","201415"
"White ","66.3 ","Class of 2014","0476111","201415"
"English Language Learners ","* ","Class of 2014","0476111","201415"
"Eligible for Free or ","46.7 ","Class of 2014","0476111","201415"
"Reduced-Price Meals","","Class of 2014","0476111","201415"
"Students with Disabilities ","27.3 ","Class of 2014","0476111","201415"
"School ","63.0 ","Class of 2014","0476111","201415"
"District ","63.0 ","Class of 2014","0476111","201415"
"Female ","57.6 ","Class of 2015","0476111","201516"
"Male ","37.5 ","Class of 2015","0476111","201516"
"Black or African American ","* ","Class of 2015","0476111","201516"
"Hispanic or Latino ","* ","Class of 2015","0476111","201516"
"White ","44.2 ","Class of 2015","0476111","201516"
"English Language Learners ","* ","Class of 2015","0476111","201516"
"Eligible for Free or ","34.1 ","Class of 2015","0476111","201516"
"Reduced-Price Meals","","Class of 2015","0476111","201516"
"Students with Disabilities ","* ","Class of 2015","0476111","201516"
"School ","45.7 ","Class of 2015","0476111","201516"
"District ","45.7 ","Class of 2015","0476111","201516"
"Female ","86.7 ","Class of 2013","0486111","201314"
"Male ","78.8 ","Class of 2013","0486111","201314"
"Black or African American ","* ","Class of 2013","0486111","201314"
"Hispanic or Latino ","* ","Class of 2013","0486111","201314"
"White ","83.1 ","Class of 2013","0486111","201314"
"English Language Learners ","* ","Class of 2013","0486111","201314"
"Eligible for Free or ","* ","Class of 2013","0486111","201314"
"Reduced-Price Meals","","Class of 2013","0486111","201314"
"Students with Disabilities ","* ","Class of 2013","0486111","201314"
"School ","83.1 ","Class of 2013","0486111","201314"
"District ","83.1 ","Class of 2013","0486111","201314"
"Female ","81.9 ","Class of 2014","0486111","201415"
"Male ","62.2 ","Class of 2014","0486111","201415"
"Black or African American ","* ","Class of 2014","0486111","201415"
"Hispanic or Latino ","* ","Class of 2014","0486111","201415"
"White ","73.4 ","Class of 2014","0486111","201415"
"English Language Learners ","* ","Class of 2014","0486111","201415"
"Eligible for Free or ","48.0 ","Class of 2014","0486111","201415"
"Reduced-Price Meals","","Class of 2014","0486111","201415"
"Students with Disabilities ","40.0 ","Class of 2014","0486111","201415"
"School ","71.9 ","Class of 2014","0486111","201415"
"District ","71.9 ","Class of 2014","0486111","201415"
"Female ","85.3 ","Class of 2015","0486111","201516"
"Male ","73.3 ","Class of 2015","0486111","201516"
"Black or African American ","* ","Class of 2015","0486111","201516"
"Hispanic or Latino ","* ","Class of 2015","0486111","201516"
"White ","80.7 ","Class of 2015","0486111","201516"
"English Language Learners ","* ","Class of 2015","0486111","201516"
"Eligible for Free or ","64.0 ","Class of 2015","0486111","201516"
"Reduced-Price Meals","","Class of 2015","0486111","201516"
"Students with Disabilities ","64.5 ","Class of 2015","0486111","201516"
"School ","79.3 ","Class of 2015","0486111","201516"
"District ","79.3 ","Class of 2015","0486111","201516"
"Female ","68.8 ","Class of 2013","0496111","201314"
"Male ","62.5 ","Class of 2013","0496111","201314"
"Black or African American ","* ","Class of 2013","0496111","201314"
"Hispanic or Latino ","* ","Class of 2013","0496111","201314"
"White ","66.7 ","Class of 2013","0496111","201314"
"English Language Learners ","* ","Class of 2013","0496111","201314"
"Eligible for Free or ","50.0 ","Class of 2013","0496111","201314"
"Reduced-Price Meals","","Class of 2013","0496111","201314"
"Students with Disabilities ","63.6 ","Class of 2013","0496111","201314"
"School ","65.1 ","Class of 2013","0496111","201314"
"District ","67.0 ","Class of 2013","0496111","201314"
"Female ","75.7 ","Class of 2014","0496111","201415"
"Male ","67.4 ","Class of 2014","0496111","201415"
"Black or African American ","* ","Class of 2014","0496111","201415"
"Hispanic or Latino ","* ","Class of 2014","0496111","201415"
"White ","71.1 ","Class of 2014","0496111","201415"
"English Language Learners ","* ","Class of 2014","0496111","201415"
"Eligible for Free or ","51.7 ","Class of 2014","0496111","201415"
"Reduced-Price Meals","","Class of 2014","0496111","201415"
"Students with Disabilities ","50.0 ","Class of 2014","0496111","201415"
"School ","71.2 ","Class of 2014","0496111","201415"
"District ","69.8 ","Class of 2014","0496111","201415"
"Female ","82.7 ","Class of 2015","0496111","201516"
"Male ","66.7 ","Class of 2015","0496111","201516"
"Black or African American ","* ","Class of 2015","0496111","201516"
"Hispanic or Latino ","* ","Class of 2015","0496111","201516"
"White ","77.5 ","Class of 2015","0496111","201516"
"English Language Learners ","77.5 ","Class of 2015","0496111","201516"
"Eligible for Free or ","62.5 ","Class of 2015","0496111","201516"
"Reduced-Price Meals","","Class of 2015","0496111","201516"
"Students with Disabilities ","* ","Class of 2015","0496111","201516"
"School ","75.9 ","Class of 2015","0496111","201516"
"District ","75.4 ","Class of 2015","0496111","201516"
"Female ","83.2 ","Class of 2013","0516011","201314"
"Male ","85.9 ","Class of 2013","0516011","201314"
"Black or African American ","* ","Class of 2013","0516011","201314"
"Hispanic or Latino ","64.0 ","Class of 2013","0516011","201314"
"White ","86.8 ","Class of 2013","0516011","201314"
"English Language Learners ","* ","Class of 2013","0516011","201314"
"Eligible for Free or ","68.3 ","Class of 2013","0516011","201314"
"Reduced-Price Meals","","Class of 2013","0516011","201314"
"Students with Disabilities ","73.6 ","Class of 2013","0516011","201314"
"School ","84.6 ","Class of 2013","0516011","201314"
"District ","84.9 ","Class of 2013","0516011","201314"
"Female ","87.2 ","Class of 2014","0516011","201415"
"Male ","78.3 ","Class of 2014","0516011","201415"
"Black or African American ","* ","Class of 2014","0516011","201415"
"Hispanic or Latino ","* ","Class of 2014","0516011","201415"
"White ","84.7 ","Class of 2014","0516011","201415"
"English Language Learners ","* ","Class of 2014","0516011","201415"
"Eligible for Free or ","64.5 ","Class of 2014","0516011","201415"
"Reduced-Price Meals","","Class of 2014","0516011","201415"
"Students with Disabilities ","72.3 ","Class of 2014","0516011","201415"
"School ","83.3 ","Class of 2014","0516011","201415"
"District ","82.4 ","Class of 2014","0516011","201415"
"Female ","91.5 ","Class of 2015","0516011","201516"
"Male ","86.9 ","Class of 2015","0516011","201516"
"Black or African American ","* ","Class of 2015","0516011","201516"
"Hispanic or Latino ","82.4 ","Class of 2015","0516011","201516"
"White ","91.6 ","Class of 2015","0516011","201516"
"English Language Learners ","* ","Class of 2015","0516011","201516"
"Eligible for Free or ","74.4 ","Class of 2015","0516011","201516"
"Reduced-Price Meals","","Class of 2015","0516011","201516"
"Students with Disabilities ","76.5 ","Class of 2015","0516011","201516"
"School ","89.5 ","Class of 2015","0516011","201516"
"District ","87.0 ","Class of 2015","0516011","201516"
"Female ","85.8 ","Class of 2013","0516211","201314"
"Male ","84.7 ","Class of 2013","0516211","201314"
"Black or African American ","* ","Class of 2013","0516211","201314"
"Hispanic or Latino ","77.5 ","Class of 2013","0516211","201314"
"White ","88.2 ","Class of 2013","0516211","201314"
"English Language Learners ","* ","Class of 2013","0516211","201314"
"Eligible for Free or ","71.4 ","Class of 2013","0516211","201314"
"Reduced-Price Meals","","Class of 2013","0516211","201314"
"Students with Disabilities ","69.2 ","Class of 2013","0516211","201314"
"School ","85.2 ","Class of 2013","0516211","201314"
"District ","84.9 ","Class of 2013","0516211","201314"
"Female ","84.5 ","Class of 2014","0516211","201415"
"Male ","78.6 ","Class of 2014","0516211","201415"
"Black or African American ","* ","Class of 2014","0516211","201415"
"Hispanic or Latino ","78.8 ","Class of 2014","0516211","201415"
"White ","81.4 ","Class of 2014","0516211","201415"
"English Language Learners ","50.0 ","Class of 2014","0516211","201415"
"Eligible for Free or ","71.4 ","Class of 2014","0516211","201415"
"Reduced-Price Meals","","Class of 2014","0516211","201415"
"Students with Disabilities ","64.3 ","Class of 2014","0516211","201415"
"School ","81.6 ","Class of 2014","0516211","201415"
"District ","82.4 ","Class of 2014","0516211","201415"
"Female ","89.0 ","Class of 2015","0516211","201516"
"Male ","84.9 ","Class of 2015","0516211","201516"
"Black or African American ","* ","Class of 2015","0516211","201516"
"Hispanic or Latino ","90.0 ","Class of 2015","0516211","201516"
"White ","87.2 ","Class of 2015","0516211","201516"
"English Language Learners ","* ","Class of 2015","0516211","201516"
"Eligible for Free or ","79.6 ","Class of 2015","0516211","201516"
"Reduced-Price Meals","","Class of 2015","0516211","201516"
"Students with Disabilities ","57.1 ","Class of 2015","0516211","201516"
"School ","86.8 ","Class of 2015","0516211","201516"
"District ","87.0 ","Class of 2015","0516211","201516"
"Female ","90.5 ","Class of 2013","0526111","201314"
"Male ","87.0 ","Class of 2013","0526111","201314"
"Black or African American ","* ","Class of 2013","0526111","201314"
"Hispanic or Latino ","* ","Class of 2013","0526111","201314"
"White ","88.3 ","Class of 2013","0526111","201314"
"English Language Learners ","* ","Class of 2013","0526111","201314"
"Eligible for Free or ","87.1 ","Class of 2013","0526111","201314"
"Reduced-Price Meals","","Class of 2013","0526111","201314"
"Students with Disabilities ","75.8 ","Class of 2013","0526111","201314"
"School ","88.8 ","Class of 2013","0526111","201314"
"District ","88.8 ","Class of 2013","0526111","201314"
"Female ","89.8 ","Class of 2014","0526111","201415"
"Male ","82.0 ","Class of 2014","0526111","201415"
"Black or African American ","* ","Class of 2014","0526111","201415"
"Hispanic or Latino ","66.7 ","Class of 2014","0526111","201415"
"White ","87.3 ","Class of 2014","0526111","201415"
"English Language Learners ","* ","Class of 2014","0526111","201415"
"Eligible for Free or ","71.4 ","Class of 2014","0526111","201415"
"Reduced-Price Meals","","Class of 2014","0526111","201415"
"Students with Disabilities ","58.8 ","Class of 2014","0526111","201415"
"School ","85.4 ","Class of 2014","0526111","201415"
"District ","85.4 ","Class of 2014","0526111","201415"
"Female ","87.6 ","Class of 2015","0526111","201516"
"Male ","84.5 ","Class of 2015","0526111","201516"
"Black or African American ","* ","Class of 2015","0526111","201516"
"Hispanic or Latino ","* ","Class of 2015","0526111","201516"
"White ","86.5 ","Class of 2015","0526111","201516"
"English Language Learners ","* ","Class of 2015","0526111","201516"
"Eligible for Free or ","64.4 ","Class of 2015","0526111","201516"
"Reduced-Price Meals","","Class of 2015","0526111","201516"
"Students with Disabilities ","55.6 ","Class of 2015","0526111","201516"
"School ","86.0 ","Class of 2015","0526111","201516"
"District ","83.9 ","Class of 2015","0526111","201516"
"Female ","91.5 ","Class of 2013","0546111","201314"
"Male ","85.7 ","Class of 2013","0546111","201314"
"Black or African American ","* ","Class of 2013","0546111","201314"
"Hispanic or Latino ","85.2 ","Class of 2013","0546111","201314"
"White ","88.7 ","Class of 2013","0546111","201314"
"English Language Learners ","* ","Class of 2013","0546111","201314"
"Eligible for Free or ","81.1 ","Class of 2013","0546111","201314"
"Reduced-Price Meals","","Class of 2013","0546111","201314"
"Students with Disabilities ","73.3 ","Class of 2013","0546111","201314"
"School ","88.6 ","Class of 2013","0546111","201314"
"District ","88.6 ","Class of 2013","0546111","201314"
"Female ","87.0 ","Class of 2014","0546111","201415"
"Male ","84.0 ","Class of 2014","0546111","201415"
"Black or African American ","* ","Class of 2014","0546111","201415"
"Hispanic or Latino ","71.4 ","Class of 2014","0546111","201415"
"White ","86.8 ","Class of 2014","0546111","201415"
"English Language Learners ","* ","Class of 2014","0546111","201415"
"Eligible for Free or ","64.3 ","Class of 2014","0546111","201415"
"Reduced-Price Meals","","Class of 2014","0546111","201415"
"Students with Disabilities ","76.9 ","Class of 2014","0546111","201415"
"School ","85.6 ","Class of 2014","0546111","201415"
"District ","85.1 ","Class of 2014","0546111","201415"
"Female ","91.6 ","Class of 2015","0546111","201516"
"Male ","88.7 ","Class of 2015","0546111","201516"
"Black or African American ","65.0 ","Class of 2015","0546111","201516"
"Hispanic or Latino ","88.2 ","Class of 2015","0546111","201516"
"White ","91.8 ","Class of 2015","0546111","201516"
"English Language Learners ","* ","Class of 2015","0546111","201516"
"Eligible for Free or ","74.6 ","Class of 2015","0546111","201516"
"Reduced-Price Meals","","Class of 2015","0546111","201516"
"Students with Disabilities ","75.6 ","Class of 2015","0546111","201516"
"School ","90.1 ","Class of 2015","0546111","201516"
"District ","88.7 ","Class of 2015","0546111","201516"
"Female ","88.4 ","Class of 2013","0566111","201314"
"Male ","92.6 ","Class of 2013","0566111","201314"
"Black or African American ","* ","Class of 2013","0566111","201314"
"Hispanic or Latino ","* ","Class of 2013","0566111","201314"
"White ","89.9 ","Class of 2013","0566111","201314"
"English Language Learners ","N/A ","Class of 2013","0566111","201314"
"Eligible for Free or ","* ","Class of 2013","0566111","201314"
"Reduced-Price Meals","","Class of 2013","0566111","201314"
"Students with Disabilities ","* ","Class of 2013","0566111","201314"
"School ","90.5 ","Class of 2013","0566111","201314"
"District ","90.5 ","Class of 2013","0566111","201314"
"Female ","92.2 ","Class of 2014","0566111","201415"
"Male ","81.4 ","Class of 2014","0566111","201415"
"Black or African American ","* ","Class of 2014","0566111","201415"
"Hispanic or Latino ","* ","Class of 2014","0566111","201415"
"White ","88.6 ","Class of 2014","0566111","201415"
"English Language Learners ","* ","Class of 2014","0566111","201415"
"Eligible for Free or ","85.0 ","Class of 2014","0566111","201415"
"Reduced-Price Meals","","Class of 2014","0566111","201415"
"Students with Disabilities ","66.7 ","Class of 2014","0566111","201415"
"School ","86.9 ","Class of 2014","0566111","201415"
"District ","86.9 ","Class of 2014","0566111","201415"
"Female ","89.3 ","Class of 2015","0566111","201516"
"Male ","83.8 ","Class of 2015","0566111","201516"
"Black or African American ","* ","Class of 2015","0566111","201516"
"Hispanic or Latino ","* ","Class of 2015","0566111","201516"
"White ","86.6 ","Class of 2015","0566111","201516"
"English Language Learners ","* ","Class of 2015","0566111","201516"
"Eligible for Free or ","* ","Class of 2015","0566111","201516"
"Reduced-Price Meals","","Class of 2015","0566111","201516"
"Students with Disabilities ","* ","Class of 2015","0566111","201516"
"School ","86.7 ","Class of 2015","0566111","201516"
"District ","86.7 ","Class of 2015","0566111","201516"
"Female ","85.7 ","Class of 2013","0576111","201314"
"Male ","81.8 ","Class of 2013","0576111","201314"
"Black or African American ","* ","Class of 2013","0576111","201314"
"Hispanic or Latino ","75.3 ","Class of 2013","0576111","201314"
"White ","86.6 ","Class of 2013","0576111","201314"
"English Language Learners ","64.7 ","Class of 2013","0576111","201314"
"Eligible for Free or ","70.2 ","Class of 2013","0576111","201314"
"Reduced-Price Meals","","Class of 2013","0576111","201314"
"Students with Disabilities ","73.9 ","Class of 2013","0576111","201314"
"School ","83.6 ","Class of 2013","0576111","201314"
"District ","83.6 ","Class of 2013","0576111","201314"
"Female ","83.5 ","Class of 2014","0576111","201415"
"Male ","79.6 ","Class of 2014","0576111","201415"
"Black or African American ","* ","Class of 2014","0576111","201415"
"Hispanic or Latino ","73.1 ","Class of 2014","0576111","201415"
"White ","85.2 ","Class of 2014","0576111","201415"
"English Language Learners ","59.2 ","Class of 2014","0576111","201415"
"Eligible for Free or ","76.3 ","Class of 2014","0576111","201415"
"Reduced-Price Meals","","Class of 2014","0576111","201415"
"Students with Disabilities ","76.6 ","Class of 2014","0576111","201415"
"School ","81.5 ","Class of 2014","0576111","201415"
"District ","81.5 ","Class of 2014","0576111","201415"
"Female ","81.0 ","Class of 2015","0576111","201516"
"Male ","83.3 ","Class of 2015","0576111","201516"
"Black or African American ","* ","Class of 2015","0576111","201516"
"Hispanic or Latino ","76.0 ","Class of 2015","0576111","201516"
"White ","83.6 ","Class of 2015","0576111","201516"
"English Language Learners ","53.6 ","Class of 2015","0576111","201516"
"Eligible for Free or ","75.3 ","Class of 2015","0576111","201516"
"Reduced-Price Meals","","Class of 2015","0576111","201516"
"Students with Disabilities ","81.7 ","Class of 2015","0576111","201516"
"School ","82.1 ","Class of 2015","0576111","201516"
"District ","79.7 ","Class of 2015","0576111","201516"
"Female ","N/A ","Class of 2014","0580111","201415"
"Male ","N/A ","Class of 2014","0580111","201415"
"Black or African American ","N/A ","Class of 2014","0580111","201415"
"Hispanic or Latino ","N/A ","Class of 2014","0580111","201415"
"White ","N/A ","Class of 2014","0580111","201415"
"English Language Learners ","N/A ","Class of 2014","0580111","201415"
"Eligible for Free or ","N/A ","Class of 2014","0580111","201415"
"Reduced-Price Meals","","Class of 2014","0580111","201415"
"Students with Disabilities ","N/A ","Class of 2014","0580111","201415"
"School ","N/A ","Class of 2014","0580111","201415"
"District ","63.3 ","Class of 2014","0580111","201415"
"Female ","N/A ","Class of 2015","0580111","201516"
"Male ","N/A ","Class of 2015","0580111","201516"
