"category","ela.count","ela.spi","math.count","math.spi","sci.count","sci.spi","school_id","year"
"Students without Disabilities ","109 ","78.3 ","109 ","73.1 ","38 ","66.6","1145111","201415"
"High Needs ","58 ","58.4 ","58 ","55.8 ","18 ","*","1145111","201415"
"Non-High Needs ","83 ","80.0 ","83 ","74.1 ","27 ","65.9","1145111","201415"
"School ","141 ","71.1 ","141 ","66.6 ","45 ","63.4","1145111","201415"
"Asian ","* ","* ","* ","* ","* ","*","1145111","201516"
"Black or African American ","* ","* ","* ","* ","* ","*","1145111","201516"
"Hispanic or Latino ","* ","* ","* ","* ","* ","*","1145111","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","1145111","201516"
"Two or More Races ","* ","* ","* ","* ","* ","*","1145111","201516"
"White ","122 ","71.4 ","122 ","68.6 ","45 ","62.1","1145111","201516"
"English Language Learners ","* ","* ","* ","* ","* ","*","1145111","201516"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","1145111","201516"
"Eligible for Free or Reduced-Price Meals ","35 ","62.9 ","35 ","59.2 ","16 ","*","1145111","201516"
"Not Eligible for Free or Reduced-Price Meals ","107 ","72.6 ","107 ","69.9 ","37 ","64.5","1145111","201516"
"Students with Disabilities ","33 ","53.0 ","33 ","49.4 ","12 ","*","1145111","201516"
"Students without Disabilities ","109 ","75.4 ","109 ","72.7 ","41 ","66.0","1145111","201516"
"High Needs ","52 ","60.9 ","52 ","57.1 ","21 ","50.4","1145111","201516"
"Non-High Needs ","90 ","75.6 ","90 ","73.2 ","32 ","68.2","1145111","201516"
"School ","142 ","70.2 ","142 ","67.3 ","53 ","61.2","1145111","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","0 ","*","1160311","201415"
"Asian ","* ","* ","* ","* ","* ","*","1160311","201415"
"Black or African American ","* ","* ","* ","* ","* ","*","1160311","201415"
"Hispanic or Latino ","17 ","* ","18 ","* ","7 ","*","1160311","201415"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","0 ","*","1160311","201415"
"Two or More Races ","8 ","* ","8 ","* ","* ","*","1160311","201415"
"White ","227 ","67.7 ","226 ","60.7 ","81 ","56.1","1160311","201415"
"English Language Learners ","7 ","* ","7 ","* ","* ","*","1160311","201415"
"Non-English Language Learners ","254 ","67.7 ","254 ","60.6 ","* ","*","1160311","201415"
"Eligible for Free or Reduced-Price Meals ","149 ","62.9 ","150 ","56.7 ","50 ","54.1","1160311","201415"
"Not Eligible for Free or Reduced-Price Meals ","112 ","72.9 ","111 ","65.1 ","42 ","56.4","1160311","201415"
"Students with Disabilities ","43 ","48.4 ","44 ","45.0 ","19 ","*","1160311","201415"
"Students without Disabilities ","218 ","70.9 ","217 ","63.3 ","73 ","58.0","1160311","201415"
"High Needs ","162 ","61.5 ","163 ","55.8 ","56 ","52.3","1160311","201415"
"Non-High Needs ","99 ","76.5 ","98 ","67.6 ","36 ","59.6","1160311","201415"
"School ","261 ","67.2 ","261 ","60.2 ","92 ","55.1","1160311","201415"
"Asian ","* ","* ","* ","* ","* ","*","1160311","201516"
"Black or African American ","* ","* ","* ","* ","* ","*","1160311","201516"
"Hispanic or Latino ","16 ","* ","16 ","* ","* ","*","1160311","201516"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","* ","*","1160311","201516"
"Two or More Races ","8 ","* ","8 ","* ","* ","*","1160311","201516"
"White ","214 ","67.4 ","214 ","65.5 ","72 ","54.5","1160311","201516"
"English Language Learners ","* ","* ","* ","* ","* ","*","1160311","201516"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","1160311","201516"
"Eligible for Free or Reduced-Price Meals ","150 ","60.8 ","151 ","59.6 ","49 ","48.0","1160311","201516"
"Not Eligible for Free or Reduced-Price Meals ","98 ","74.5 ","97 ","70.9 ","38 ","58.0","1160311","201516"
"Students with Disabilities ","42 ","47.7 ","42 ","45.9 ","13 ","*","1160311","201516"
"Students without Disabilities ","206 ","70.0 ","206 ","67.8 ","74 ","54.7","1160311","201516"
"High Needs ","161 ","60.2 ","162 ","58.4 ","54 ","46.7","1160311","201516"
"Non-High Needs ","87 ","77.3 ","86 ","74.7 ","33 ","61.6","1160311","201516"
"School ","248 ","66.2 ","248 ","64.1 ","87 ","52.4","1160311","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","* ","*","1165111","201415"
"Asian ","* ","* ","* ","* ","* ","*","1165111","201415"
"Black or African American ","* ","* ","* ","* ","* ","*","1165111","201415"
"Hispanic or Latino ","21 ","54.7 ","21 ","43.9 ","6 ","*","1165111","201415"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","0 ","*","1165111","201415"
"Two or More Races ","13 ","* ","13 ","* ","6 ","*","1165111","201415"
"White ","232 ","63.5 ","235 ","51.7 ","95 ","51.8","1165111","201415"
"English Language Learners ","* ","* ","* ","* ","* ","*","1165111","201415"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","1165111","201415"
"Eligible for Free or Reduced-Price Meals ","153 ","56.8 ","155 ","44.2 ","61 ","47.1","1165111","201415"
"Not Eligible for Free or Reduced-Price Meals ","121 ","69.4 ","122 ","58.8 ","53 ","55.7","1165111","201415"
"Students with Disabilities ","43 ","46.0 ","43 ","37.8 ","20 ","45.5","1165111","201415"
"Students without Disabilities ","231 ","65.5 ","234 ","53.0 ","94 ","52.3","1165111","201415"
"High Needs ","165 ","56.4 ","167 ","44.5 ","64 ","47.4","1165111","201415"
"Non-High Needs ","109 ","71.5 ","110 ","59.9 ","50 ","55.9","1165111","201415"
"School ","274 ","62.4 ","277 ","50.6 ","114 ","51.1","1165111","201415"
"Asian ","* ","* ","* ","* ","* ","*","1165111","201516"
"Black or African American ","* ","* ","* ","* ","0 ","N/A","1165111","201516"
"Hispanic or Latino ","24 ","62.8 ","23 ","51.4 ","9 ","*","1165111","201516"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","0 ","N/A","1165111","201516"
"Two or More Races ","7 ","* ","7 ","* ","* ","*","1165111","201516"
"White ","215 ","67.4 ","215 ","56.4 ","73 ","50.1","1165111","201516"
"English Language Learners ","* ","* ","* ","* ","* ","*","1165111","201516"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","1165111","201516"
"Eligible for Free or Reduced-Price Meals ","138 ","62.4 ","137 ","52.4 ","50 ","47.6","1165111","201516"
"Not Eligible for Free or Reduced-Price Meals ","112 ","71.1 ","112 ","59.0 ","34 ","51.7","1165111","201516"
"Students with Disabilities ","40 ","47.1 ","40 ","38.2 ","13 ","*","1165111","201516"
"Students without Disabilities ","210 ","70.0 ","209 ","58.6 ","71 ","51.4","1165111","201516"
"High Needs ","151 ","61.0 ","150 ","51.2 ","52 ","47.3","1165111","201516"
"Non-High Needs ","99 ","74.5 ","99 ","61.6 ","32 ","52.5","1165111","201516"
"School ","250 ","66.3 ","249 ","55.3 ","84 ","49.3","1165111","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","0 ","*","1166111","201415"
"Asian ","0 ","N/A ","0 ","N/A ","0 ","N/A","1166111","201415"
"Black or African American ","* ","* ","* ","* ","* ","*","1166111","201415"
"Hispanic or Latino ","8 ","* ","8 ","* ","* ","*","1166111","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","1166111","201415"
"Two or More Races ","* ","* ","* ","* ","7 ","*","1166111","201415"
"White ","51 ","52.0 ","51 ","45.2 ","50 ","46.7","1166111","201415"
"English Language Learners ","* ","* ","* ","* ","0 ","*","1166111","201415"
"Non-English Language Learners ","* ","* ","* ","* ","65 ","46.1","1166111","201415"
"Eligible for Free or Reduced-Price Meals ","33 ","44.3 ","33 ","39.2 ","35 ","43.0","1166111","201415"
"Not Eligible for Free or Reduced-Price Meals ","30 ","53.5 ","30 ","47.3 ","30 ","49.8","1166111","201415"
"Students with Disabilities ","11 ","* ","11 ","* ","17 ","*","1166111","201415"
"Students without Disabilities ","52 ","54.4 ","52 ","47.1 ","48 ","52.7","1166111","201415"
"High Needs ","36 ","43.4 ","36 ","37.8 ","41 ","40.2","1166111","201415"
"Non-High Needs ","27 ","55.8 ","27 ","50.1 ","24 ","56.1","1166111","201415"
"School ","63 ","48.7 ","63 ","43.1 ","65 ","46.1","1166111","201415"
"Asian ","0 ","N/A ","0 ","N/A ","0 ","N/A","1166111","201516"
"Black or African American ","* ","* ","* ","* ","0 ","N/A","1166111","201516"
"Hispanic or Latino ","* ","* ","* ","* ","* ","*","1166111","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","1166111","201516"
"Two or More Races ","* ","* ","* ","* ","* ","*","1166111","201516"
"White ","38 ","52.2 ","38 ","46.4 ","60 ","47.5","1166111","201516"
"English Language Learners ","* ","* ","* ","* ","* ","*","1166111","201516"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","1166111","201516"
"Eligible for Free or Reduced-Price Meals ","27 ","45.1 ","27 ","42.6 ","37 ","44.4","1166111","201516"
"Not Eligible for Free or Reduced-Price Meals ","22 ","60.5 ","22 ","52.1 ","30 ","51.0","1166111","201516"
"Students with Disabilities ","11 ","* ","11 ","* ","19 ","*","1166111","201516"
"Students without Disabilities ","38 ","56.3 ","38 ","51.8 ","48 ","53.5","1166111","201516"
"High Needs ","28 ","45.2 ","28 ","42.2 ","41 ","41.9","1166111","201516"
"Non-High Needs ","21 ","61.0 ","21 ","53.2 ","26 ","56.0","1166111","201516"
"School ","49 ","52.0 ","49 ","46.9 ","67 ","47.4","1166111","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0","N/A","1170111","201415"
"Asian ","* ","* ","* ","* ","0","*","1170111","201415"
"Black or African American ","* ","* ","* ","* ","0","*","1170111","201415"
"Hispanic or Latino ","8 ","* ","8 ","* ","0","*","1170111","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0","N/A","1170111","201415"
"Two or More Races ","14 ","* ","14 ","* ","0","*","1170111","201415"
"White ","156 ","84.4 ","156 ","76.8 ","0","*","1170111","201415"
"English Language Learners ","* ","* ","* ","* ","0","*","1170111","201415"
"Non-English Language Learners ","* ","* ","* ","* ","0","*","1170111","201415"
"Eligible for Free or Reduced-Price Meals ","* ","* ","* ","* ","0","*","1170111","201415"
"Not Eligible for Free or Reduced-Price Meals ","* ","* ","* ","* ","0","*","1170111","201415"
"Students with Disabilities ","18 ","* ","18 ","* ","0","*","1170111","201415"
"Students without Disabilities ","168 ","86.8 ","168 ","79.2 ","0","*","1170111","201415"
"High Needs ","24 ","74.2 ","24 ","65.7 ","0","*","1170111","201415"
"Non-High Needs ","162 ","87.0 ","162 ","79.7 ","0","*","1170111","201415"
"School ","186 ","85.3 ","186 ","77.9 ","0","*","1170111","201415"
"Asian ","* ","* ","* ","* ","0","N/A","1170111","201516"
"Black or African American ","* ","* ","* ","* ","0","N/A","1170111","201516"
"Hispanic or Latino ","13 ","* ","13 ","* ","0","N/A","1170111","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0","N/A","1170111","201516"
"Two or More Races ","10 ","* ","10 ","* ","0","N/A","1170111","201516"
"White ","160 ","86.1 ","160 ","82.3 ","0","N/A","1170111","201516"
"English Language Learners ","9 ","* ","9 ","* ","0","N/A","1170111","201516"
"Non-English Language Learners ","184 ","86.1 ","184 ","82.6 ","0","N/A","1170111","201516"
"Eligible for Free or Reduced-Price Meals ","7 ","* ","7 ","* ","0","N/A","1170111","201516"
"Not Eligible for Free or Reduced-Price Meals ","186 ","85.1 ","186 ","81.6 ","0","N/A","1170111","201516"
"Students with Disabilities ","39 ","70.2 ","39 ","68.4 ","0","N/A","1170111","201516"
"Students without Disabilities ","154 ","88.8 ","154 ","84.7 ","0","N/A","1170111","201516"
"High Needs ","48 ","71.4 ","48 ","68.2 ","0","N/A","1170111","201516"
"Non-High Needs ","145 ","89.6 ","145 ","85.8 ","0","N/A","1170111","201516"
"School ","193 ","85.1 ","193 ","81.4 ","0","N/A","1170111","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","1175111","201415"
"Asian ","11 ","* ","11 ","* ","* ","*","1175111","201415"
"Black or African American ","* ","* ","* ","* ","* ","*","1175111","201415"
"Hispanic or Latino ","18 ","* ","17 ","* ","9 ","*","1175111","201415"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","* ","*","1175111","201415"
"Two or More Races ","35 ","72.8 ","32 ","71.5 ","17 ","*","1175111","201415"
"White ","386 ","74.4 ","375 ","71.2 ","229 ","63.5","1175111","201415"
"English Language Learners ","* ","* ","* ","* ","* ","*","1175111","201415"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","1175111","201415"
"Eligible for Free or Reduced-Price Meals ","17 ","* ","14 ","* ","8 ","*","1175111","201415"
"Not Eligible for Free or Reduced-Price Meals ","435 ","74.5 ","423 ","71.4 ","253 ","63.6","1175111","201415"
"Students with Disabilities ","71 ","56.1 ","69 ","54.6 ","43 ","53.9","1175111","201415"
"Students without Disabilities ","381 ","77.5 ","368 ","74.2 ","218 ","65.3","1175111","201415"
"High Needs ","83 ","57.6 ","79 ","56.2 ","49 ","54.4","1175111","201415"
"Non-High Needs ","369 ","77.8 ","358 ","74.4 ","212 ","65.6","1175111","201415"
"School ","452 ","74.1 ","437 ","71.1 ","261 ","63.5","1175111","201415"
"Asian ","* ","* ","* ","* ","* ","*","1175111","201516"
"Black or African American ","* ","* ","* ","* ","0 ","N/A","1175111","201516"
"Hispanic or Latino ","24 ","64.7 ","24 ","62.7 ","* ","*","1175111","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","1175111","201516"
"Two or More Races ","30 ","80.7 ","30 ","76.1 ","14 ","*","1175111","201516"
"White ","391 ","78.0 ","391 ","73.6 ","187 ","67.1","1175111","201516"
"English Language Learners ","* ","* ","* ","* ","* ","*","1175111","201516"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","1175111","201516"
"Eligible for Free or Reduced-Price Meals ","11 ","* ","11 ","* ","9 ","*","1175111","201516"
"Not Eligible for Free or Reduced-Price Meals ","448 ","78.1 ","448 ","74.0 ","207 ","68.0","1175111","201516"
"Students with Disabilities ","64 ","56.6 ","64 ","55.6 ","28 ","49.8","1175111","201516"
"Students without Disabilities ","395 ","81.1 ","395 ","76.4 ","188 ","70.2","1175111","201516"
"High Needs ","74 ","58.0 ","74 ","56.6 ","36 ","52.2","1175111","201516"
"Non-High Needs ","385 ","81.5 ","385 ","76.8 ","180 ","70.6","1175111","201516"
"School ","459 ","77.7 ","459 ","73.5 ","216 ","67.5","1175111","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","1180211","201415"
"Asian ","8 ","* ","8 ","* ","* ","*","1180211","201415"
"Black or African American ","0 ","N/A ","0 ","N/A ","0 ","N/A","1180211","201415"
"Hispanic or Latino ","7 ","* ","7 ","* ","* ","*","1180211","201415"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","* ","*","1180211","201415"
"Two or More Races ","* ","* ","* ","* ","* ","*","1180211","201415"
"White ","164 ","79.9 ","163 ","69.8 ","64 ","67.3","1180211","201415"
"English Language Learners ","0 ","* ","0 ","* ","0 ","*","1180211","201415"
"Non-English Language Learners ","183 ","80.7 ","182 ","70.9 ","72 ","68.5","1180211","201415"
"Eligible for Free or Reduced-Price Meals ","* ","* ","* ","* ","* ","*","1180211","201415"
"Not Eligible for Free or Reduced-Price Meals ","* ","* ","* ","* ","* ","*","1180211","201415"
"Students with Disabilities ","13 ","* ","12 ","* ","* ","*","1180211","201415"
"Students without Disabilities ","170 ","82.7 ","170 ","72.4 ","* ","*","1180211","201415"
"High Needs ","18 ","* ","17 ","* ","7 ","*","1180211","201415"
"Non-High Needs ","165 ","83.3 ","165 ","72.9 ","65 ","70.1","1180211","201415"
"School ","183 ","80.7 ","182 ","70.9 ","72 ","68.5","1180211","201415"
"Asian ","* ","* ","* ","* ","* ","*","1180211","201516"
"Black or African American ","0 ","N/A ","0 ","N/A ","0 ","N/A","1180211","201516"
"Hispanic or Latino ","* ","* ","* ","* ","* ","*","1180211","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","1180211","201516"
"Two or More Races ","7 ","* ","7 ","* ","0 ","N/A","1180211","201516"
"White ","141 ","82.9 ","141 ","72.6 ","52 ","70.8","1180211","201516"
"English Language Learners ","7 ","* ","7 ","* ","* ","*","1180211","201516"
"Non-English Language Learners ","151 ","83.7 ","151 ","73.3 ","* ","*","1180211","201516"
"Eligible for Free or Reduced-Price Meals ","6 ","* ","6 ","* ","* ","*","1180211","201516"
"Not Eligible for Free or Reduced-Price Meals ","152 ","83.6 ","152 ","73.5 ","* ","*","1180211","201516"
"Students with Disabilities ","19 ","* ","19 ","* ","7 ","*","1180211","201516"
"Students without Disabilities ","139 ","85.5 ","139 ","75.4 ","48 ","72.8","1180211","201516"
"High Needs ","30 ","72.8 ","30 ","61.9 ","10 ","*","1180211","201516"
"Non-High Needs ","128 ","85.9 ","128 ","75.9 ","45 ","72.6","1180211","201516"
"School ","158 ","83.4 ","158 ","73.2 ","55 ","70.1","1180211","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","* ","*","1180311","201415"
"Asian ","20 ","91.9 ","20 ","88.5 ","7 ","*","1180311","201415"
"Black or African American ","0 ","* ","0 ","* ","0 ","*","1180311","201415"
"Hispanic or Latino ","11 ","* ","11 ","* ","* ","*","1180311","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","1180311","201415"
"Two or More Races ","8 ","* ","8 ","* ","* ","*","1180311","201415"
"White ","144 ","81.1 ","144 ","72.1 ","53 ","66.7","1180311","201415"
"English Language Learners ","* ","* ","* ","* ","0 ","*","1180311","201415"
"Non-English Language Learners ","* ","* ","* ","* ","68 ","65.5","1180311","201415"
"Eligible for Free or Reduced-Price Meals ","* ","* ","* ","* ","* ","*","1180311","201415"
"Not Eligible for Free or Reduced-Price Meals ","* ","* ","* ","* ","* ","*","1180311","201415"
"Students with Disabilities ","19 ","* ","19 ","* ","6 ","*","1180311","201415"
"Students without Disabilities ","165 ","86.0 ","165 ","76.6 ","62 ","67.2","1180311","201415"
"High Needs ","23 ","53.6 ","23 ","49.4 ","7 ","*","1180311","201415"
"Non-High Needs ","161 ","86.6 ","161 ","77.1 ","61 ","67.0","1180311","201415"
"School ","184 ","82.5 ","184 ","73.6 ","68 ","65.5","1180311","201415"
"Asian ","18 ","* ","18 ","* ","8 ","*","1180311","201516"
"Black or African American ","* ","* ","* ","* ","* ","*","1180311","201516"
"Hispanic or Latino ","* ","* ","* ","* ","* ","*","1180311","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","1180311","201516"
"Two or More Races ","8 ","* ","8 ","* ","7 ","*","1180311","201516"
"White ","144 ","84.8 ","144 ","76.5 ","46 ","73.0","1180311","201516"
"English Language Learners ","* ","* ","* ","* ","0 ","N/A","1180311","201516"
"Non-English Language Learners ","* ","* ","* ","* ","67 ","74.8","1180311","201516"
"Eligible for Free or Reduced-Price Meals ","* ","* ","* ","* ","* ","*","1180311","201516"
"Not Eligible for Free or Reduced-Price Meals ","* ","* ","* ","* ","* ","*","1180311","201516"
"Students with Disabilities ","22 ","65.6 ","22 ","54.7 ","7 ","*","1180311","201516"
"Students without Disabilities ","157 ","89.6 ","157 ","81.3 ","60 ","77.4","1180311","201516"
"High Needs ","27 ","69.3 ","27 ","57.5 ","8 ","*","1180311","201516"
"Non-High Needs ","152 ","89.7 ","152 ","81.6 ","59 ","77.9","1180311","201516"
"School ","179 ","86.6 ","179 ","78.0 ","67 ","74.8","1180311","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","1180411","201415"
"Asian ","* ","* ","* ","* ","* ","*","1180411","201415"
"Black or African American ","0 ","N/A ","0 ","N/A ","0 ","N/A","1180411","201415"
"Hispanic or Latino ","12 ","* ","12 ","* ","* ","*","1180411","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","1180411","201415"
"Two or More Races ","* ","* ","* ","* ","* ","*","1180411","201415"
"White ","159 ","83.0 ","159 ","71.0 ","60 ","58.9","1180411","201415"
"English Language Learners ","7 ","* ","7 ","* ","* ","*","1180411","201415"
"Non-English Language Learners ","177 ","83.9 ","177 ","72.4 ","* ","*","1180411","201415"
"Eligible for Free or Reduced-Price Meals ","0 ","N/A ","0 ","N/A ","0 ","N/A","1180411","201415"
"Not Eligible for Free or Reduced-Price Meals ","184 ","83.7 ","184 ","71.8 ","67 ","59.7","1180411","201415"
"Students with Disabilities ","14 ","* ","14 ","* ","7 ","*","1180411","201415"
"Students without Disabilities ","170 ","85.2 ","170 ","73.3 ","60 ","60.6","1180411","201415"
"High Needs ","20 ","68.4 ","20 ","55.3 ","10 ","*","1180411","201415"
"Non-High Needs ","164 ","85.6 ","164 ","73.8 ","57 ","60.9","1180411","201415"
"School ","184 ","83.7 ","184 ","71.8 ","67 ","59.7","1180411","201415"
"Asian ","* ","* ","* ","* ","* ","*","1180411","201516"
"Black or African American ","0 ","N/A ","0 ","N/A ","0 ","N/A","1180411","201516"
"Hispanic or Latino ","13 ","* ","13 ","* ","* ","*","1180411","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","1180411","201516"
"Two or More Races ","* ","* ","* ","* ","* ","*","1180411","201516"
"White ","162 ","82.8 ","163 ","76.4 ","55 ","65.8","1180411","201516"
"English Language Learners ","* ","* ","* ","* ","* ","*","1180411","201516"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","1180411","201516"
"Eligible for Free or Reduced-Price Meals ","* ","* ","* ","* ","* ","*","1180411","201516"
"Not Eligible for Free or Reduced-Price Meals ","* ","* ","* ","* ","* ","*","1180411","201516"
"Students with Disabilities ","14 ","* ","14 ","* ","* ","*","1180411","201516"
"Students without Disabilities ","177 ","85.5 ","178 ","78.7 ","* ","*","1180411","201516"
"High Needs ","19 ","* ","19 ","* ","* ","*","1180411","201516"
"Non-High Needs ","172 ","86.1 ","173 ","79.1 ","* ","*","1180411","201516"
"School ","191 ","83.4 ","192 ","77.3 ","63 ","65.3","1180411","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","* ","*","1180511","201415"
"Asian ","* ","* ","* ","* ","* ","*","1180511","201415"
"Black or African American ","* ","* ","* ","* ","* ","*","1180511","201415"
"Hispanic or Latino ","15 ","* ","15 ","* ","* ","*","1180511","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","1180511","201415"
"Two or More Races ","8 ","* ","8 ","* ","* ","*","1180511","201415"
"White ","153 ","83.5 ","152 ","72.3 ","50 ","68.7","1180511","201415"
"English Language Learners ","* ","* ","* ","* ","* ","*","1180511","201415"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","1180511","201415"
"Eligible for Free or Reduced-Price Meals ","7 ","* ","7 ","* ","* ","*","1180511","201415"
"Not Eligible for Free or Reduced-Price Meals ","175 ","83.4 ","174 ","72.5 ","* ","*","1180511","201415"
"Students with Disabilities ","27 ","60.5 ","27 ","50.7 ","11 ","*","1180511","201415"
"Students without Disabilities ","155 ","86.7 ","154 ","75.7 ","47 ","72.5","1180511","201415"
"High Needs ","33 ","62.1 ","33 ","52.7 ","14 ","*","1180511","201415"
"Non-High Needs ","149 ","87.4 ","148 ","76.2 ","44 ","73.9","1180511","201415"
"School ","182 ","82.8 ","181 ","72.0 ","58 ","68.3","1180511","201415"
"Asian ","* ","* ","* ","* ","* ","*","1180511","201516"
"Black or African American ","* ","* ","* ","* ","0 ","N/A","1180511","201516"
"Hispanic or Latino ","18 ","* ","18 ","* ","9 ","*","1180511","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","1180511","201516"
"Two or More Races ","10 ","* ","10 ","* ","* ","*","1180511","201516"
"White ","166 ","89.1 ","166 ","79.0 ","53 ","77.0","1180511","201516"
"English Language Learners ","* ","* ","* ","* ","* ","*","1180511","201516"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","1180511","201516"
"Eligible for Free or Reduced-Price Meals ","8 ","* ","8 ","* ","* ","*","1180511","201516"
"Not Eligible for Free or Reduced-Price Meals ","196 ","89.2 ","196 ","79.4 ","* ","*","1180511","201516"
"Students with Disabilities ","18 ","* ","18 ","* ","7 ","*","1180511","201516"
"Students without Disabilities ","186 ","90.2 ","186 ","80.8 ","61 ","78.1","1180511","201516"
"High Needs ","26 ","70.3 ","26 ","60.3 ","10 ","*","1180511","201516"
"Non-High Needs ","178 ","91.0 ","178 ","81.4 ","58 ","78.5","1180511","201516"
"School ","204 ","88.3 ","204 ","78.7 ","68 ","74.8","1180511","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","0 ","*","1180611","201415"
"Asian ","11 ","* ","11 ","* ","* ","*","1180611","201415"
"Black or African American ","* ","* ","* ","* ","* ","*","1180611","201415"
"Hispanic or Latino ","12 ","* ","12 ","* ","* ","*","1180611","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","1180611","201415"
"Two or More Races ","* ","* ","* ","* ","* ","*","1180611","201415"
"White ","185 ","84.7 ","184 ","73.0 ","66 ","65.8","1180611","201415"
"English Language Learners ","* ","* ","* ","* ","0 ","*","1180611","201415"
"Non-English Language Learners ","* ","* ","* ","* ","74 ","66.0","1180611","201415"
"Eligible for Free or Reduced-Price Meals ","* ","* ","* ","* ","* ","*","1180611","201415"
"Not Eligible for Free or Reduced-Price Meals ","* ","* ","* ","* ","* ","*","1180611","201415"
"Students with Disabilities ","21 ","62.9 ","20 ","50.9 ","12 ","*","1180611","201415"
"Students without Disabilities ","194 ","88.2 ","194 ","77.1 ","62 ","69.5","1180611","201415"
"High Needs ","28 ","67.8 ","27 ","57.5 ","14 ","*","1180611","201415"
"Non-High Needs ","187 ","88.4 ","187 ","77.1 ","60 ","69.8","1180611","201415"
"School ","215 ","85.7 ","214 ","74.7 ","74 ","66.0","1180611","201415"
"Asian ","10 ","* ","10 ","* ","* ","*","1180611","201516"
"Black or African American ","0 ","N/A ","0 ","N/A ","0 ","N/A","1180611","201516"
"Hispanic or Latino ","16 ","* ","16 ","* ","* ","*","1180611","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","1180611","201516"
"Two or More Races ","* ","* ","* ","* ","* ","*","1180611","201516"
"White ","166 ","85.9 ","166 ","74.7 ","79 ","65.4","1180611","201516"
"English Language Learners ","* ","* ","* ","* ","* ","*","1180611","201516"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","1180611","201516"
"Eligible for Free or Reduced-Price Meals ","* ","* ","* ","* ","0 ","N/A","1180611","201516"
"Not Eligible for Free or Reduced-Price Meals ","* ","* ","* ","* ","93 ","66.0","1180611","201516"
"Students with Disabilities ","20 ","69.5 ","20 ","55.6 ","11 ","*","1180611","201516"
"Students without Disabilities ","180 ","89.0 ","180 ","78.1 ","82 ","67.6","1180611","201516"
"High Needs ","26 ","72.3 ","26 ","59.4 ","12 ","*","1180611","201516"
"Non-High Needs ","174 ","89.3 ","174 ","78.3 ","81 ","68.1","1180611","201516"
"School ","200 ","87.1 ","200 ","75.8 ","93 ","66.0","1180611","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","1180811","201415"
