"FTE Staffing Report for Trend"

"",,,,"Year",,,,
,,="Counselors  Social Workers  and School Psychologists",="Certified",.,.,.,1.0,0.5
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",.,0.0,0.0,0.0,0.0
,,="General Education - Teachers and Instructors",="Certified",.,4.5,7.0,9.8,9.5
,,="Library/Media - Support Staff",="Non-Certified",.,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,4.0,4.0,4.0,4.0
,,="School Nurses",="Non-Certified",.,1.0,0.5,0.5,0.5
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,0.0,0.0,1.0,1.0
,,="Special Education - Teachers and Instructors",="Certified",.,.,.,.,0.3
,,="Instructional Specialists Who Support Teachers",="Certified",.,.,.,.,0.1
,="Betances STEM Magnet School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",.,.,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",.,.,.,1.2,1.2
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,0.0,1.0,2.0
,,="General Education - Teachers and Instructors",="Certified",.,.,5.6,11.2,13.3
,,="Library/Media - Support Staff",="Non-Certified",.,.,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,2.0,5.0,9.0
,,="School Nurses",="Non-Certified",.,.,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,1.0,1.0,2.0
,,="Special Education - Teachers and Instructors",="Certified",.,.,1.0,1.0,1.0
,,="Instructional Specialists Who Support Teachers",="Certified",.,.,.,2.2,2.0
,="Great Path Academy High School at MCC",="Administrators  Coordinators and Department Chairs - School Level",="Certified",.,.,2.0,2.0,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",.,.,3.0,3.0,3.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,1.0,1.0,1.0
,,="General Education - Teachers and Instructors",="Certified",.,.,22.5,20.5,19.5
,,="Library/Media - Support Staff",="Non-Certified",.,.,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,4.0,4.0,4.0
,,="School Nurses",="Non-Certified",.,.,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,0.0,1.0,0.0
,,="Special Education - Teachers and Instructors",="Certified",.,.,2.0,2.0,1.0
,,="Instructional Specialists Who Support Teachers",="Certified",.,.,.,1.2,1.0
,="Hartford PreKindergarten Magnet School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",.,.,.,.,1.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,4.0,5.0
,,="General Education - Teachers and Instructors",="Certified",.,.,.,7.0,7.0
,,="Library/Media - Support Staff",="Non-Certified",.,.,.,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,.,4.0,6.0
,,="School Nurses",="Non-Certified",.,.,.,0.5,0.5
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,0.0,0.0
,,="Special Education - Teachers and Instructors",="Certified",.,.,.,1.0,1.0
,,="Instructional Specialists Who Support Teachers",="Certified",.,.,.,.,0.1
,="Montessori Magnet at Moylan School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",.,.,.,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",.,.,.,.,0.5
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,6.0,9.0
,,="General Education - Teachers and Instructors",="Certified",.,.,.,6.5,9.8
,,="Library/Media - Support Staff",="Non-Certified",.,.,.,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,.,6.3,8.5
,,="School Nurses",="Non-Certified",.,.,.,0.3,0.5
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,1.0,1.0
,,="Special Education - Teachers and Instructors",="Certified",.,.,.,0.2,0.5
,,="Instructional Specialists Who Support Teachers",="Certified",.,.,.,0.2,0.4
,="Other",="Administrators  Coordinators and Department Chairs - School Level",="Certified",.,.,.,.,16.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",.,.,.,.,6.5
,,="General Education - Teachers and Instructors",="Certified",.,.,.,.,2.0
,,="Special Education - Teachers and Instructors",="Certified",.,.,.,.,12.0
,,="Instructional Specialists Who Support Teachers",="Certified",.,.,.,.,12.6
,="Capital Community College Magnet Academy",="Administrators  Coordinators and Department Chairs - School Level",="Certified",.,.,.,.,1.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,.,0.0
,,="General Education - Teachers and Instructors",="Certified",.,.,.,.,3.0
,,="Library/Media - Support Staff",="Non-Certified",.,.,.,.,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,.,.,1.0
,,="School Nurses",="Non-Certified",.,.,.,.,0.5
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,.,0.0
,,="Special Education - Teachers and Instructors",="Certified",.,.,.,.,0.3
,="New Visions Program",="Administrators  Coordinators and Department Chairs - School Level",="Certified",.,.,.,.,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",.,.,.,.,2.0
,,="General Education - Teachers and Instructors",="Certified",.,.,.,.,2.0
,,="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
="Hartland School District",="Hartland School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",0.5,0.4,0.5,1.0,.
,,"General Education - Paraprofessional Instructional Assistants","Non-Certified",1.3,1.0,3.4,3.4,4.9
,,="General Education - Teachers and Instructors",="Certified",17.9,18.0,18.4,18.4,17.9
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",6.8,7.0,6.2,6.3,6.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.9,3.0,1.0,1.0,0.5
,,="Special Education - Teachers and Instructors",="Certified",1.1,.,1.0,1.0,.
,,"Instructional Specialists Who Support Teachers","Certified",0.2,0.5,0.3,0.2,.
,,"Library/Media - Specialists (Certified)","Certified",1.0,1.0,1.0,1.0,1.0
="Hebron School District",="Gilead Hill School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,2.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",9.5,5.5,8.2,7.8,8.0
,,="General Education - Teachers and Instructors",="Certified",24.5,23.0,24.5,22.2,19.2
,,="Library/Media - Support Staff",="Non-Certified",0.5,0.0,0.5,1.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",10.5,10.5,11.5,11.3,10.8
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.0,15.0,12.0,10.8,10.8
,,="Special Education - Teachers and Instructors",="Certified",5.5,5.5,4.3,4.5,4.5
,,="Instructional Specialists Who Support Teachers",="Certified",4.9,4.9,3.9,4.0,3.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,.,0.5
,="Hebron Elementary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,1.5,1.5
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,.
,,"General Education - Paraprofessional Instructional Assistants","Non-Certified",0.0,2.0,1.0,1.0,1.0
,,="General Education - Teachers and Instructors",="Certified",40.7,38.7,35.7,34.9,35.0
,,="Library/Media - Support Staff",="Non-Certified",0.5,0.5,0.5,0.5,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.2,12.7,12.0,11.0,11.6
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",25.5,18.5,19.5,16.1,14.6
,,="Special Education - Teachers and Instructors",="Certified",5.5,5.8,6.0,6.0,6.0
,,="Instructional Specialists Who Support Teachers",="Certified",3.0,3.0,3.0,3.0,3.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,.,0.5
="Highville Charter School District",="Highville Charter School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,1.0,3.0,5.3
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,6.0,.,9.0,7.0
,,="General Education - Teachers and Instructors",="Certified",19.0,20.0,21.0,23.8,21.8
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,.,0.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.5,7.5,.,4.0,8.0
,,="School Nurses",="Non-Certified",1.0,1.0,.,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,.,0.0,0.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,1.2,1.0
="Integrated Day Charter School District",="Integrated Day Charter School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,3.0,3.0,3.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",.,1.0,1.0,1.0,1.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.5,7.0,6.0,7.0,8.5
,,="General Education - Teachers and Instructors",="Certified",18.5,19.1,19.1,19.4,17.0
,,="Library/Media - Support Staff",="Non-Certified",1.4,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.0,10.5,8.2,9.7,10.0
,,="School Nurses",="Non-Certified",0.7,0.7,0.7,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,1.0,2.0,1.5,1.5
,,="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.0
,,="Instructional Specialists Who Support Teachers",="Certified",.,0.5,1.3,1.3,4.0
="Interdistrict School for Arts and Comm District",="Interdistrict School For Arts And Communication",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,3.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.2,1.7,2.2
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.8,0.0,0.4,1.0,0.0
,,="General Education - Teachers and Instructors",="Certified",13.4,13.5,14.2,18.5,17.0
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",4.5,4.5,6.7,8.4,9.4
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.2
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,5.0,2.0,3.0,5.0
,,="Special Education - Teachers and Instructors",="Certified",4.0,4.0,5.1,5.0,6.0
,,="Instructional Specialists Who Support Teachers",="Certified",.,.,.,0.8,0.8
="Jumoke Academy District",="Jumoke Academy",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,4.0,2.0,4.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,.,.,.
,,"General Education - Paraprofessional Instructional Assistants","Non-Certified",14.5,17.0,21.0,24.0,31.5
,,="General Education - Teachers and Instructors",="Certified",26.0,26.0,31.0,34.0,37.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,0.5,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",11.0,11.0,23.0,19.0,19.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.5,2.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,2.0,2.0,3.0,3.0
,,="Special Education - Teachers and Instructors",="Certified",2.0,1.0,1.0,2.0,4.4
,,="Instructional Specialists Who Support Teachers",="Certified",.,1.0,.,1.0,1.0
="Kent School District",="Kent Center School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,1.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.9,2.9,2.9,2.9,2.9
,,="General Education - Teachers and Instructors",="Certified",24.7,25.1,24.1,25.5,26.5
,,="Library/Media - Support Staff",="Non-Certified",0.8,0.8,0.8,0.8,0.8
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.5,9.5,9.5,9.5,9.5
,,="School Nurses",="Non-Certified",0.8,0.8,0.8,0.8,0.8
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.5,6.5,6.8,5.8,5.8
,,="Special Education - Teachers and Instructors",="Certified",3.5,2.5,3.5,2.5,3.5
,,="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Killingly School District",="Goodyear Early Childhood Center",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,1.0
,,="General Education - Teachers and Instructors",="Certified",6.0,6.0,6.5,5.5,5.0
,,="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,3.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.8,1.8,1.8,1.8,1.8
,="Killingly Central School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.4,1.4,2.0,2.0,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,2.0,2.0,2.4
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",23.5,7.5,6.5,5.0,11.0
,,="General Education - Teachers and Instructors",="Certified",28.0,27.0,27.0,26.0,29.5
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.5,0.5,0.5,0.5
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.0,8.0,5.0,7.5,7.5
,,="School Nurses",="Non-Certified",1.5,1.5,1.5,1.5,1.5
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",13.5,13.5,13.5,12.5,13.5
,,="Special Education - Teachers and Instructors",="Certified",4.0,4.0,3.0,4.0,4.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.8,1.8,1.8,1.3,2.3
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,0.5
,="Killingly High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",4.4,4.4,4.0,3.8,4.1
,,="Counselors  Social Workers  and School Psychologists",="Certified",7.0,6.5,7.5,6.5,7.3
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",12.0,0.0,0.0,0.0,0.0
,,="General Education - Teachers and Instructors",="Certified",59.8,58.8,60.7,60.5,58.2
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",30.0,29.0,23.0,28.5,29.5
,,="School Nurses",="Non-Certified",1.5,1.5,1.5,1.5,1.5
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",12.0,12.0,18.0,17.0,19.5
,,="Special Education - Teachers and Instructors",="Certified",8.0,8.0,8.0,7.0,7.0
,,="Instructional Specialists Who Support Teachers",="Certified",0.4,0.4,0.4,0.7,1.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Killingly Intermediate School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0,3.0,3.0,3.0,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",6.0,5.5,5.5,5.5,4.5
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",20.0,1.0,1.0,1.0,1.0
,,="General Education - Teachers and Instructors",="Certified",54.0,54.0,53.0,48.4,46.4
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",20.0,19.5,13.5,22.0,21.5
,,="School Nurses",="Non-Certified",1.5,2.0,2.0,1.5,1.5
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",19.5,19.5,16.5,19.5,17.5
,,="Special Education - Teachers and Instructors",="Certified",10.0,9.0,9.0,9.0,9.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.1,2.0,2.0,0.8,0.8
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Killingly Memorial School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.6,1.6,1.6,1.0,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",2.6,2.6,2.6,2.6,1.6
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",24.0,6.5,7.5,7.5,11.5
,,="General Education - Teachers and Instructors",="Certified",28.0,25.0,26.0,26.0,28.5
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.5,0.5,0.5,0.5
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.0,9.0,5.0,8.0,8.0
,,="School Nurses",="Non-Certified",2.0,2.0,2.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",14.0,13.0,14.0,14.5,16.0
,,="Special Education - Teachers and Instructors",="Certified",4.0,6.0,6.0,4.0,3.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.8,1.8,1.8,1.3,1.3
,,="Library/Media - Specialists (Certified)",="Certified",1.0,.,.,.,0.5
,="Other",="Administrators  Coordinators and Department Chairs - School Level",="Certified",.,.,.,.,1.0
,="Killingly Alternative Learning Program",="General Education - Teachers and Instructors",="Certified",.,.,.,.,2.0
="Learn",="Connecticut River Academy",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,2.0,3.0,4.0,3.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,3.0,3.0,3.0,4.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,1.0,1.0,1.0
,,="General Education - Teachers and Instructors",="Certified",11.0,20.0,25.0,31.0,29.6
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",3.0,14.0,11.0,11.8,15.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,2.0,8.0,11.0,8.0
,,="Special Education - Teachers and Instructors",="Certified",.,2.0,2.0,4.0,3.6
,,="Instructional Specialists Who Support Teachers",="Certified",.,.,.,.,3.0
,,="Library/Media - Specialists (Certified)",="Certified",.,.,.,.,1.0
,="Dual Language & Arts Magnet Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",0.5,0.5,0.5,0.8,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",.,.,0.2,0.2,.
,,"General Education - Paraprofessional Instructional Assistants","Non-Certified",0.0,0.0,2.0,2.5,6.4
,,="General Education - Teachers and Instructors",="Certified",4.3,5.3,6.4,7.4,10.6
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",2.0,4.0,5.0,5.0,4.5
,,="School Nurses",="Non-Certified",0.1,0.4,0.5,0.5,0.5
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,3.0
,,="Special Education - Teachers and Instructors",="Certified",.,1.0,2.0,2.0,1.0
,,="Instructional Specialists Who Support Teachers",="Certified",.,.,.,.,1.0
,="Learn Special Education",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.2,0.6,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,.,1.6,2.0,2.0
,,="General Education - Teachers and Instructors",="Certified",0.9,0.5,0.5,0.3,0.4
,,="Special Education - Teachers and Instructors",="Certified",19.5,12.5,14.5,14.3,4.0
,,="Instructional Specialists Who Support Teachers",="Certified",3.0,2.6,1.0,5.0,8.9
,="Regional Multicultural Magnet School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,2.0,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,1.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",23.6,22.3,20.8,21.3,20.0
,,="General Education - Teachers and Instructors",="Certified",33.2,33.2,33.8,33.3,32.3
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",10.5,9.5,11.0,10.5,11.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,9.0,8.5,6.0,8.0
,,="Special Education - Teachers and Instructors",="Certified",4.0,3.0,3.4,4.4,5.0
,,="Instructional Specialists Who Support Teachers",="Certified",2.0,1.6,1.9,1.9,2.0
,="The Friendship School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,2.0,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.3,0.6,0.5,0.5,1.1
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",30.0,30.0,31.4,29.7,28.7
,,="General Education - Teachers and Instructors",="Certified",29.0,29.0,29.0,27.6,28.6
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",10.8,10.8,11.4,16.7,17.5
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.8,11.0,9.3,15.8,15.9
,,="Special Education - Teachers and Instructors",="Certified",5.6,5.6,4.6,5.0,3.0
,,="Instructional Specialists Who Support Teachers",="Certified",2.5,2.0,2.0,2.9,2.5
,,="Library/Media - Specialists (Certified)",="Certified",0.8,0.8,0.8,0.8,0.8
,="Marine Science Magnet High School of Southeastern Connecticut",="Administrators  Coordinators and Department Chairs - School Level",="Certified",.,1.0,1.0,1.2,1.2
,,="Counselors  Social Workers  and School Psychologists",="Certified",.,1.0,2.0,4.0,3.8
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",.,0.0,0.0,0.0,0.0
,,="General Education - Teachers and Instructors",="Certified",.,7.0,15.0,21.0,20.9
,,="Library/Media - Support Staff",="Non-Certified",.,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,4.5,5.5,5.5,4.5
,,="School Nurses",="Non-Certified",.,0.3,0.5,0.5,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,0.0,0.0,0.0,3.0
,,="Special Education - Teachers and Instructors",="Certified",.,1.0,2.0,3.0,3.0
,,="Library/Media - Specialists (Certified)",="Certified",.,.,.,.,1.0
,="Three Rivers Middle College Magnet School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",.,.,0.6,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",.,.,0.4,1.4,1.5
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,0.0,0.0,1.0
,,="General Education - Teachers and Instructors",="Certified",.,.,2.4,3.0,3.0
,,="Library/Media - Support Staff",="Non-Certified",.,.,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,1.0,1.0,2.0
,,="School Nurses",="Non-Certified",.,.,0.1,0.1,0.1
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,0.0,0.0,0.0
,,="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
,="Riverside Magnet School at Goodwin College",="Administrators  Coordinators and Department Chairs - School Level",="Certified",.,.,.,1.0,2.2
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,12.0,18.0
,,="General Education - Teachers and Instructors",="Certified",.,.,.,17.0,20.8
,,="Library/Media - Support Staff",="Non-Certified",.,.,.,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,.,4.3,22.5
,,="School Nurses",="Non-Certified",.,.,.,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,0.0,0.0
,,="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
,,="Instructional Specialists Who Support Teachers",="Certified",.,.,.,.,2.0
,="LEARN ABA Program at Center School",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,2.0
,="LEARN SAILS Program at Salem",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
,="Learn Haynes Elementary Intensive Program",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,2.0
,="Learn High School ABA",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
,="Learn Kelly Middle School Intensive Program",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
,="Learn Ledyard RICHES Program",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
,="Learn SAILS Middle School Program",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
,="Learn STS 18-21 Year Old Program",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
="Lebanon School District",="Lebanon Elementary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.4,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,1.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,6.5,6.0,2.5,4.0
,,="General Education - Teachers and Instructors",="Certified",29.0,29.0,27.3,26.3,23.7
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.5
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.6,12.4,12.0,11.5,10.5
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.0,10.0,12.0,14.0,13.0
,,="Special Education - Teachers and Instructors",="Certified",5.0,5.0,5.0,4.0,5.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.5,1.5,2.0,1.5,1.5
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,0.7,0.8,.
,"Lebanon Middle School","Administrators  Coordinators and Department Chairs - School Level","Certified",1.6,1.0,1.5,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,2.0,2.0,2.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="General Education - Teachers and Instructors",="Certified",26.9,22.9,22.3,22.5,23.1
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.5,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.8,10.3,8.7,9.7,9.7
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,9.0,11.0,11.0,8.0
,,="Special Education - Teachers and Instructors",="Certified",4.2,4.0,4.0,5.0,4.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.3,1.3,1.3,1.8,0.7
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,0.3,0.2,1.0
