"Overall Expenditures, Trend"
"All Districts"

"",,"Year",,,,
,="Administration and Support Services",8654749,9020434,8977433,9477707,7908001
,="Plant Operation and Maintenance",8756695,8869304,7963943,7937765,10219986
,="Transportation",4326147,4484619,4163759,4112240,4612200
,="Students Tuitioned Out",2285765,2246192,2703170,2998867,3420343
,="Other",1207346,1083054,1403935,1379240,1598712
,="Total Expenditures",74992518,77032049,79290566,80858189,84920023
="New Fairfield School District",="Instructional Staff and Services",22534714,23046128,22666401,22437901,23192012
,="Instructional Supplies and Equipment",917386,836952,708532,979451,1121988
,="Instruction and Educational Media Services",998728,1055806,1216620,1128469,1165846
,="Student Support Services",2888728,2955338,2613596,2841278,2830721
,="Administration and Support Services",4194253,3905362,4131378,3900753,4032329
,="Plant Operation and Maintenance",3381211,3330602,3182073,3355819,3502511
,="Transportation",1645420,1666507,1633325,1653416,1933845
,="Students Tuitioned Out",527540,580058,639876,566151,742566
,="Other",537052,495031,515934,564106,584077
,="Total Expenditures",37625032,37871784,37307735,37427344,39105895
="New Hartford School District",="Instructional Staff and Services",5614361,5169124,5147246,5140668,5036859
,="Instructional Supplies and Equipment",73697,111644,93731,140081,120998
,="Instruction and Educational Media Services",31814,34233,59517,83498,69802
,="Student Support Services",291700,276513,329407,336411,335388
,="Administration and Support Services",762395,807325,760863,801144,734752
,="Plant Operation and Maintenance",887790,772234,982113,965027,948550
,="Transportation",623214,637403,665476,648900,653529
,="Students Tuitioned Out",106203,209471,223774,176225,436576
,="Other",17253,18000,0,3865,13391
,="Total Expenditures",8408427,8035947,8262127,8295819,8349845
="New Haven School District",="Instructional Staff and Services",204911561,199630972,201108274,208691145,213092648
,="Instructional Supplies and Equipment",5221588,5942335,7530239,8960888,7996114
,="Instruction and Educational Media Services",7056316,5801787,7183789,6063572,9201327
,="Student Support Services",9458874,11584806,5382668,4886338,5211194
,="Administration and Support Services",39884874,36633253,35378699,36830590,36509839
,="Plant Operation and Maintenance",34693350,33260420,31111834,30149243,31543987
,="Transportation",20748734,22818585,23638473,24242453,25241913
,="Students Tuitioned Out",15922215,15314722,16299069,16828974,17656254
,="Other",6640670,4419729,1951094,3749212,3383613
,="Total Expenditures",344538182,335406609,329584139,340402415,349836889
="New London School District",="Instructional Staff and Services",24984574,25234881,22637079,25171006,26444537
,="Instructional Supplies and Equipment",970021,691403,1720923,2333681,2555111
,="Instruction and Educational Media Services",1704348,1592443,1504175,1501902,1517113
,="Student Support Services",3323868,3552745,3537354,3927465,3894964
,="Administration and Support Services",5420726,5778656,6452282,8049109,8955905
,="Plant Operation and Maintenance",5509488,5106129,5346280,5627313,5873649
,="Transportation",3304687,3319588,3339490,4033159,4131761
,="Students Tuitioned Out",4064677,4676998,5105676,5102878,5271038
,="Other",468328,434146,390847,413162,514226
,="Total Expenditures",49750717,50386989,50034106,56159675,59158304
="New Milford School District",="Instructional Staff and Services",36591226,34356832,33845552,34587881,35048578
,="Instructional Supplies and Equipment",1657920,1057329,1007517,1003322,999088
,="Instruction and Educational Media Services",1138349,1181707,1103791,1210133,1229290
,="Student Support Services",4121025,4053266,4004996,4268776,4153186
,="Administration and Support Services",5298976,6070844,6736137,6955575,8101969
,="Plant Operation and Maintenance",5686477,5580596,5640786,6161964,5935472
,="Transportation",4252618,4411545,4395412,4799011,4675640
,="Students Tuitioned Out",2116024,2189758,2284039,2307049,2391249
,="Other",1003887,933127,1056667,1020647,1067399
,="Total Expenditures",61866502,59835004,60074897,62314358,63601871
="Newington School District",="Instructional Staff and Services",37749872,37269809,36426175,38124090,38528465
,="Instructional Supplies and Equipment",1797034,1371504,2197601,2066207,2169481
,="Instruction and Educational Media Services",1896608,2209773,2100373,2172679,2038572
,="Student Support Services",3210502,3426891,3551377,3532461,3860822
,="Administration and Support Services",6197195,6183137,6316890,6838990,7244346
,="Plant Operation and Maintenance",7876012,9044622,9184566,8507068,8669427
,="Transportation",2831569,3126455,3432665,3313218,4144992
,="Students Tuitioned Out",2765863,3198450,3259046,3324101,3373653
,="Other",744142,787845,815815,768050,735505
,="Total Expenditures",65068797,66618486,67284508,68646864,70765263
="Newtown School District",="Instructional Staff and Services",38983824,39161029,39123215,39615365,39529977
,="Instructional Supplies and Equipment",1123613,1229048,1047321,1140860,1143599
,="Instruction and Educational Media Services",1648497,1638299,1663707,1875352,1769134
,="Student Support Services",4984917,5143587,5907962,8139349,7947030
,="Administration and Support Services",6660475,6742244,7339452,8048778,8377343
,="Plant Operation and Maintenance",9410798,9687286,10124007,10605487,10741155
,="Transportation",5058521,5222409,4264447,4437714,4423498
,="Students Tuitioned Out",2190455,2055743,2595693,3251443,3398782
,="Other",838488,859875,877972,873360,853901
,="Total Expenditures",70899588,71739520,72943776,77987708,78184419
="Norfolk School District",="Instructional Staff and Services",1448494,1417530,1371788,1387177,1280533
,="Instructional Supplies and Equipment",24578,37320,40511,31922,29775
,="Instruction and Educational Media Services",27041,89826,94118,84251,128656
,="Student Support Services",50967,52855,55127,51910,56860
,="Administration and Support Services",433977,418139,478630,572687,583619
,="Plant Operation and Maintenance",420128,363007,373628,329469,334047
,="Transportation",166884,165288,176523,193036,201130
,="Students Tuitioned Out",16481,27152,35522,76192,80195
,="Other",2419,7477,1901,2577,2152
,="Total Expenditures",2590969,2578594,2627748,2729221,2696967
="North Branford School District",="Instructional Staff and Services",15740628,15652545,15367815,14898377,14987928
,="Instructional Supplies and Equipment",587358,487480,476946,381040,388515
,="Instruction and Educational Media Services",1535360,1645008,1631658,1789750,1795586
,="Student Support Services",2330502,2415157,2344310,2358812,2458850
,="Administration and Support Services",3036476,2952520,3032384,3163200,3181997
,="Plant Operation and Maintenance",3526532,3254003,3462458,3567639,3825604
,="Transportation",2083300,2208714,2245346,2430053,2476038
,="Students Tuitioned Out",936983,1195149,867990,816356,1059253
,="Other",739959,635179,837943,841219,873686
,="Total Expenditures",30517098,30445755,30266850,30246446,31047457
="North Canaan School District",="Instructional Staff and Services",3077834,3339818,3365782,3366036,3650206
,="Instructional Supplies and Equipment",133490,92396,102810,119407,120217
,="Instruction and Educational Media Services",9646,36615,36731,50428,53786
,="Student Support Services",305800,403207,403805,411909,323218
,="Administration and Support Services",952592,547938,586908,565839,582336
,="Plant Operation and Maintenance",550271,566452,541620,547644,568285
,="Transportation",342242,346563,354592,374786,397190
,="Students Tuitioned Out",69873,67550,66296,61738,28595
,="Other",0,16906,16564,18266,18703
,="Total Expenditures",5441748,5417445,5475108,5516053,5742536
="North Haven School District",="Instructional Staff and Services",24604863,24649015,24988156,25728359,26221609
,="Instructional Supplies and Equipment",654398,605784,1113499,588389,629427
,="Instruction and Educational Media Services",1050971,896887,1041975,961392,1141558
,="Student Support Services",4188688,4453645,4636396,4611396,4996394
,="Administration and Support Services",7318089,6935408,6618507,7103735,7107267
,="Plant Operation and Maintenance",4213896,3976591,4130452,4306882,4186683
,="Transportation",2119550,2792007,2740311,3001993,2988536
,="Students Tuitioned Out",2425515,2589322,2658338,2989393,3175248
,="Other",486475,476202,527152,582106,578957
,="Total Expenditures",47062445,47374861,48454786,49873645,51025679
="North Stonington School District",="Instructional Staff and Services",7462586,7113886,7073570,7170934,7197752
,="Instructional Supplies and Equipment",528371,615749,694717,632965,535549
,="Instruction and Educational Media Services",160044,168125,165752,216614,171036
,="Student Support Services",626538,664183,538723,716448,740506
,="Administration and Support Services",1306218,1617161,1372462,1751386,1778080
,="Plant Operation and Maintenance",1243871,1224058,1391258,1145038,1282245
,="Transportation",851534,896860,968837,953153,915680
,="Students Tuitioned Out",185523,232866,154224,405989,318378
,="Other",0,0,17493,942,0
,="Total Expenditures",12364685,12532888,12377036,12993469,12939226
="Norwalk School District",="Instructional Staff and Services",109841766,111295684,112070227,117031010,117586743
,="Instructional Supplies and Equipment",1845498,1358900,1100087,2138111,2475463
,="Instruction and Educational Media Services",1452282,1176323,733753,964037,1050323
,="Student Support Services",10986250,11497010,12051958,13493813,14459247
,="Administration and Support Services",22788886,23959556,23402117,24716044,25000427
,="Plant Operation and Maintenance",15403825,15365459,15460953,15760247,17982611
,="Transportation",5647172,5848690,6121898,6985688,7368804
,="Students Tuitioned Out",6915206,7297354,7764172,8654312,10212428
,="Other",1283984,1362375,1144996,1230659,1550411
,="Total Expenditures",176164869,179161351,179850161,190973921,197686457
="Norwich School District",="Instructional Staff and Services",33054401,29701543,35508149,34023698,33467329
,="Instructional Supplies and Equipment",360840,371916,1335128,2028911,2680743
,="Instruction and Educational Media Services",463303,477170,926465,603180,316309
,="Student Support Services",5235419,5594926,5190260,5843041,5219550
,="Administration and Support Services",4220133,4156886,3332049,3679002,4151448
,="Plant Operation and Maintenance",4326447,3937441,4538056,5701828,4698968
,="Transportation",5524021,6324475,6345705,6325738,6687996
,="Students Tuitioned Out",5265609,5927537,5661445,6503674,8792475
,="Other",0,0,0,0,0
,="Total Expenditures",58450173,56491894,62837257,64709072,66014818
="Odyssey Community School District",="Instructional Staff and Services",1110548,1747611,1895197,2024293,2117359
,="Instructional Supplies and Equipment",40763,108648,52328,81743,58831
,="Instruction and Educational Media Services",19285,15536,93509,93900,93489
,="Student Support Services",36801,51354,54105,53076,59926
,="Administration and Support Services",425467,500740,568260,595379,592748
,="Plant Operation and Maintenance",229642,309863,427156,464495,492553
,="Transportation",0,0,0,0,0
,="Students Tuitioned Out",N/A,N/A,N/A,N/A,N/A
,"Other",0,0,0,0,0
,="Total Expenditures",1862506,2733752,3090555,3312886,3414906
="Old Saybrook School District",="Instructional Staff and Services",12353164,12202370,12644575,13060728,12944748
,="Instructional Supplies and Equipment",254812,518092,564217,799803,904230
,="Instruction and Educational Media Services",1272810,1060627,1143711,1218431,1270581
,="Student Support Services",1327100,1414015,1488156,1589263,1610763
,="Administration and Support Services",2178323,2247734,2252793,2594363,2495023
,="Plant Operation and Maintenance",2722471,2633486,2837017,2612305,2785392
,="Transportation",934197,1010908,996340,1101488,1451850
,="Students Tuitioned Out",972316,1131112,1152712,1054865,1275708
,="Other",470937,505795,513174,534511,598574
,="Total Expenditures",22486130,22724139,23592695,24565757,25336869
="Orange School District",="Instructional Staff and Services",11465754,11491445,11553600,11897709,11793631
,="Instructional Supplies and Equipment",268143,310112,285385,366789,458895
,="Instruction and Educational Media Services",726996,602811,662149,829336,877907
,="Student Support Services",1479564,1558255,1683679,1227223,1248946
,="Administration and Support Services",1793415,1686962,1593155,1769587,2054973
,="Plant Operation and Maintenance",1562011,1464779,1781645,1688085,2194498
,="Transportation",973216,1041945,963902,986155,1024690
,="Students Tuitioned Out",562593,575656,239900,327123,421615
,="Other",0,0,142568,179008,136772
,="Total Expenditures",18831692,18731965,18905983,19271015,20211927
="Oxford School District",="Instructional Staff and Services",15602783,15585463,16193279,16984149,17119283
,="Instructional Supplies and Equipment",615351,592047,597084,605647,523953
,="Instruction and Educational Media Services",25297,83811,99716,140771,187697
,="Student Support Services",1913235,1701942,1641657,1807293,1966225
,="Administration and Support Services",3390547,3492966,3525260,3524718,3525070
,="Plant Operation and Maintenance",2832842,2681316,2615167,2295005,2034136
,="Transportation",1486645,1499004,1545829,1887731,1764751
,="Students Tuitioned Out",1241039,1161887,1359622,1046573,1411774
,="Other",492408,344104,974412,996918,542310
,="Total Expenditures",27600147,27142540,28552026,29288805,29075199
="Park City Prep Charter School District",="Instructional Staff and Services",1123800,1110754,1057364,1092983,1386811
,="Instructional Supplies and Equipment",193120,76913,79477,228811,697100
,="Instruction and Educational Media Services",53922,69266,82277,56191,207415
,="Student Support Services",204923,278348,285936,315176,351518
,="Administration and Support Services",543430,681549,749345,839112,822206
,="Plant Operation and Maintenance",363827,370935,539166,820283,819515
,="Transportation",0,0,0,0,0
,="Students Tuitioned Out",N/A,N/A,N/A,N/A,N/A
,"Other",0,0,0,0,0
,="Total Expenditures",2483022,2587765,2793565,3352556,4284565
="Path Academy District",="Instructional Staff and Services",N/A,N/A,N/A,N/A,767584
,="Instructional Supplies and Equipment",N/A,N/A,N/A,N/A,97062
,="Instruction and Educational Media Services",N/A,N/A,N/A,N/A,138008
,="Student Support Services",N/A,N/A,N/A,N/A,351744
,="Administration and Support Services",N/A,N/A,N/A,N/A,374017
,="Plant Operation and Maintenance",N/A,N/A,N/A,N/A,196984
,="Transportation",N/A,N/A,N/A,N/A,1209
,="Students Tuitioned Out",N/A,N/A,N/A,N/A,N/A
,"Other",N/A,N/A,N/A,N/A,63300
,="Total Expenditures",N/A,N/A,N/A,N/A,1989908
="Plainfield School District",="Instructional Staff and Services",20800490,18739167,18368675,18776209,18825456
,="Instructional Supplies and Equipment",429298,390684,438020,890097,476252
,="Instruction and Educational Media Services",495286,504124,599427,695787,705456
,="Student Support Services",2626968,2610692,2586286,2602007,2655236
,="Administration and Support Services",3408904,3290383,3411430,3813279,3665488
,="Plant Operation and Maintenance",3055241,2990206,3106289,3436583,3479379
,="Transportation",2682179,2523613,2527504,2509633,3232283
,="Students Tuitioned Out",2540504,2523217,2328943,1915934,2163174
,="Other",221342,261549,330090,336075,335465
,="Total Expenditures",36260212,33833635,33696664,34975604,35538189
="Plainville School District",="Instructional Staff and Services",20550403,20659345,21093780,22374045,22794513
,="Instructional Supplies and Equipment",692053,950608,489165,641830,853189
,="Instruction and Educational Media Services",947488,1002681,1120243,1215904,1252550
,="Student Support Services",1447811,1458103,1574708,1702298,1727799
,="Administration and Support Services",3666516,3881490,4194437,3963353,3589548
,="Plant Operation and Maintenance",3575546,3494186,3353557,3693201,3321424
,="Transportation",1669768,1710161,1789414,1843041,2269899
,="Students Tuitioned Out",2538419,2515382,2327952,1607056,1806143
,="Other",0,0,0,0,0
,="Total Expenditures",35088004,35671956,35943256,37040728,37615065
="Plymouth School District",="Instructional Staff and Services",13423485,14291067,13875683,14206466,14089452
,="Instructional Supplies and Equipment",681909,982946,778907,756252,667266
,="Instruction and Educational Media Services",440724,214290,458817,516713,430010
,="Student Support Services",849811,755748,566730,715607,748322
,="Administration and Support Services",1956015,1907915,2085489,2104610,2558553
,="Plant Operation and Maintenance",3374345,2767277,2966083,2601258,2439251
,="Transportation",2173119,2195231,2164871,2053003,1891817
,="Students Tuitioned Out",1244369,1321716,1322176,1435159,1518021
,="Other",413027,384483,443973,368702,462558
,="Total Expenditures",24556804,24820673,24662729,24757770,24805250
="Pomfret School District",="Instructional Staff and Services",4774091,4220391,4312196,4465871,4194768
,="Instructional Supplies and Equipment",133948,114417,167030,166650,166274
,="Instruction and Educational Media Services",101820,98596,126760,152945,179642
,="Student Support Services",110733,112214,114124,186382,136237
,="Administration and Support Services",552393,573563,596864,662645,712081
,="Plant Operation and Maintenance",646851,516392,623098,738081,672361
,="Transportation",705053,751414,678995,627490,795544
,="Students Tuitioned Out",845698,894169,911281,886160,942094
,="Other",0,0,15281,30372,32083
,="Total Expenditures",7870587,7281156,7545629,7916596,7831084
="Portland School District",="Instructional Staff and Services",10496456,10357706,10625246,10956184,11081128
,="Instructional Supplies and Equipment",298262,485474,461384,768771,565125
,="Instruction and Educational Media Services",567318,590073,533146,515119,495794
,="Student Support Services",1119963,1152957,1141554,1171201,1187544
,="Administration and Support Services",2039083,2104001,2175799,2078183,1999026
,="Plant Operation and Maintenance",2665331,2427783,2465036,2484582,2882330
,="Transportation",834408,852739,875612,888934,943002
,="Students Tuitioned Out",617604,743487,789540,709813,855800
,="Other",296528,306852,323698,357218,449529
,="Total Expenditures",18934953,19021072,19391015,19930005,20459278
="Preston School District",="Instructional Staff and Services",4818263,4566579,4555259,4608448,5086760
,="Instructional Supplies and Equipment",139827,100221,54338,141650,73103
,="Instruction and Educational Media Services",31127,106346,122623,109449,105879
,="Student Support Services",320973,415605,364129,392430,483269
,="Administration and Support Services",899129,856015,841951,939348,823792
,="Plant Operation and Maintenance",769168,730387,1078992,807838,749625
,="Transportation",824957,914439,918042,870608,911042
,="Students Tuitioned Out",1180676,1028490,931717,1221706,908738
,="Other",0,50000,40000,46801,36802
,="Total Expenditures",8984120,8768082,8907051,9138278,9179010
="Putnam School District",="Instructional Staff and Services",10676131,10131019,10123676,10153535,10415462
,="Instructional Supplies and Equipment",378090,617748,512195,494268,572178
,="Instruction and Educational Media Services",323068,313273,250029,261365,232155
,="Student Support Services",1664354,2080765,2164365,2261732,2327937
,="Administration and Support Services",1844383,2111072,2049703,2086458,2155763
,="Plant Operation and Maintenance",1761227,1703912,1752331,2291322,2182536
,="Transportation",837871,942267,984024,1201160,1201008
,="Students Tuitioned Out",789463,832876,1445959,1568856,1659406
,="Other",247903,259536,232252,259972,263459
,="Total Expenditures",18522490,18992468,19514534,20578668,21009904
="Redding School District",="Instructional Staff and Services",14847691,15572604,15661472,15321184,15039819
,="Instructional Supplies and Equipment",298337,284664,271891,269531,410633
,="Instruction and Educational Media Services",456749,421757,490647,509851,590033
,="Student Support Services",213863,221282,208629,219837,224630
,="Administration and Support Services",1885621,1929602,1890764,2001376,1928712
,="Plant Operation and Maintenance",2098495,2113747,2306002,2236315,2330216
,="Transportation",1358120,1233985,1273552,1203737,1254452
,="Students Tuitioned Out",104550,223613,167803,224659,139984
,="Other",2930,8090,2621,4024,1775
,="Total Expenditures",21266356,22009344,22273381,21990514,21920254
="Regional School District 01",="Instructional Staff and Services",5347999,5454298,5344652,4858755,5364020
,="Instructional Supplies and Equipment",234846,309232,239466,320873,415224
,="Instruction and Educational Media Services",486183,493112,514553,464417,686494
,="Student Support Services",776915,808275,759523,714385,628124
,="Administration and Support Services",973525,1073725,1030025,1023294,1056127
,="Plant Operation and Maintenance",1262158,1244357,1267362,1324617,1330067
,="Transportation",226405,241964,229463,238398,235940
,="Students Tuitioned Out",819025,428650,123358,427392,740739
,="Other",425482,424228,339457,418798,416899
,="Total Expenditures",10552538,10477841,9847859,9790929,10873634
="Regional School District 04",="Instructional Staff and Services",8054536,8142627,8247313,8415351,8452026
,="Instructional Supplies and Equipment",227430,232411,216262,325836,151638
,="Instruction and Educational Media Services",264223,292264,286751,365346,351457
,="Student Support Services",811150,835550,955998,976934,989514
,="Administration and Support Services",2757424,2781408,2115125,2164205,2151440
,="Plant Operation and Maintenance",2331851,1844124,1885136,1897057,1855364
,="Transportation",558836,610027,714873,793264,745578
,="Students Tuitioned Out",683068,560944,511711,680549,1257869
,="Other",77271,87404,753298,794241,908037
,="Total Expenditures",15765789,15386759,15686467,16412783,16862923
="Regional School District 05",="Instructional Staff and Services",19011953,20000092,19498262,19875716,20024117
,="Instructional Supplies and Equipment",519533,486209,487964,700890,574618
,="Instruction and Educational Media Services",1169129,1144921,1119650,1200542,1163350
,="Student Support Services",2194662,2266031,2456588,2594273,2621906
,="Administration and Support Services",5251910,5485880,5290230,5579648,5577849
,="Plant Operation and Maintenance",3395165,3953593,3865933,3895690,3577448
,="Transportation",2039626,2246260,2365461,2401201,2665739
,="Students Tuitioned Out",2184341,1971800,2464993,2794796,3127149
,="Other",949919,911320,944713,999531,1014265
,="Total Expenditures",36716238,38466106,38493794,40042287,40346441
="Regional School District 06",="Instructional Staff and Services",9261011,9297811,9462797,9605885,9609942
,="Instructional Supplies and Equipment",212952,429552,653814,482962,395678
,="Instruction and Educational Media Services",789002,583065,674128,750854,782661
,="Student Support Services",1058366,1030515,1130026,1144007,1206818
,="Administration and Support Services",1876454,1886670,1954500,2002375,2165117
,="Plant Operation and Maintenance",1787298,1965371,1867258,1911899,1931750
,="Transportation",857539,924099,967162,893001,1000775
,="Students Tuitioned Out",301944,304476,304622,302782,411423
,="Other",278427,276061,288854,300753,315020
,="Total Expenditures",16422993,16697620,17303161,17394518,17819184
="Regional School District 07",="Instructional Staff and Services",9250265,9533618,9606677,9742536,10031327
,="Instructional Supplies and Equipment",394495,391421,390096,556763,429828
,="Instruction and Educational Media Services",230379,237408,239751,251924,214658
,="Student Support Services",742603,747469,764455,783730,788066
,="Administration and Support Services",1703284,1764759,1894980,2006091,2197431
,="Plant Operation and Maintenance",2203310,2128025,2130496,2141790,2108324
,="Transportation",1384303,1550328,1496200,1566432,1654896
,="Students Tuitioned Out",922786,1004776,907091,936137,1086534
,="Other",449750,436656,485162,465461,497159
,="Total Expenditures",17281175,17794460,17914908,18450864,19008223
="Regional School District 08",="Instructional Staff and Services",13124933,13781430,13708559,14213330,13462958
,="Instructional Supplies and Equipment",146085,192835,187456,202615,218621
,="Instruction and Educational Media Services",935227,947409,1017767,660901,821066
,="Student Support Services",1142080,1208606,1201508,1499174,1908059
,="Administration and Support Services",1842707,1853464,1958384,2573612,2631622
,="Plant Operation and Maintenance",2057477,2047674,2140188,2496353,2687423
,="Transportation",1470307,1374197,1396880,1448021,1465121
,="Students Tuitioned Out",1649310,1532783,1540496,1166897,1772717
,="Other",327206,347499,361883,503323,544832
,="Total Expenditures",22695332,23285897,23513121,24764226,25512419
="Regional School District 09",="Instructional Staff and Services",12308787,12718108,12542630,13063183,13560551
,="Instructional Supplies and Equipment",397756,418080,356535,351406,364588
,="Instruction and Educational Media Services",400844,392924,468229,446896,469621
,="Student Support Services",131441,135433,131429,134841,147667
,="Administration and Support Services",1557503,1633933,1711107,1828407,1770263
,="Plant Operation and Maintenance",2064294,2060073,2329287,2302203,2093520
,="Transportation",938316,1109937,1325534,1429654,1352019
,="Students Tuitioned Out",1635387,1462831,1554776,1446305,1472660
,="Other",5561,1611,622,43,177
,="Total Expenditures",19439889,19932930,20420149,21002938,21231066
="Regional School District 10",="Instructional Staff and Services",18718875,19578688,19661592,20073077,19942353
,="Instructional Supplies and Equipment",598876,639961,589774,735431,699355
,="Instruction and Educational Media Services",2020220,2080362,2156853,2193516,2375601
,="Student Support Services",2140182,2249260,2354616,2103228,2105555
,="Administration and Support Services",2865727,3011394,3205544,3265405,3305089
,="Plant Operation and Maintenance",3378169,3470543,3637926,3782493,4024825
,="Transportation",2329451,2353452,2329094,2300829,2427816
,="Students Tuitioned Out",1312642,1563478,1804225,2026890,1684830
,="Other",0,0,0,0,0
,="Total Expenditures",33364142,34947138,35739624,36480869,36565424
="Regional School District 11",="Instructional Staff and Services",2848900,2517056,2615460,2634053,2702983
,="Instructional Supplies and Equipment",143921,102011,77110,75692,76708
,="Instruction and Educational Media Services",109850,108611,109521,113585,113979
,="Student Support Services",353128,401279,409148,406063,384165
,="Administration and Support Services",907028,1068290,1036707,1004396,986289
,="Plant Operation and Maintenance",638471,794206,631604,924640,649878
,="Transportation",417093,403926,490024,462258,467661
,="Students Tuitioned Out",852058,822147,971178,787600,935843
,="Other",222862,219292,214819,205600,222193
,="Total Expenditures",6493311,6436818,6555571,6613887,6539699
="Regional School District 12",="Instructional Staff and Services",11055143,10810151,10434477,9987032,9782166
,="Instructional Supplies and Equipment",519026,573827,809650,881759,705642
,="Instruction and Educational Media Services",813616,879949,899367,1010003,915097
,="Student Support Services",1650975,1639473,1787338,1874429,1718198
,="Administration and Support Services",1849879,1900603,2064009,2208900,2259663
,="Plant Operation and Maintenance",2041544,2330206,2349677,2695966,3272575
,="Transportation",1535005,1472128,1455153,1455011,1504113
,="Students Tuitioned Out",575807,515455,624913,642147,619887
,="Other",397704,416096,408909,409136,447388
,="Total Expenditures",20438699,20537888,20833493,21164383,21224729
="Regional School District 13",="Instructional Staff and Services",16907444,18140085,18447873,18612645,18778823
,="Instructional Supplies and Equipment",396614,349294,339159,404214,369927
,="Instruction and Educational Media Services",971022,910469,943226,886142,1062685
,="Student Support Services",3962688,2912443,3087337,3095097,3076920
,="Administration and Support Services",3305994,3684780,3835403,4121623,4383365
,="Plant Operation and Maintenance",3453460,3112111,3523917,3584653,3379996
,="Transportation",1748414,1749030,1740910,1679349,1845026
,="Students Tuitioned Out",851841,541429,776150,1023348,1005513
,="Other",626886,592201,600423,659527,587587
,="Total Expenditures",32224363,31991842,33294398,34066598,34489842
="Regional School District 14",="Instructional Staff and Services",14856848,15558335,15875858,15652312,15755291
,="Instructional Supplies and Equipment",585691,448721,505325,523358,487333
,="Instruction and Educational Media Services",1213731,1446904,1432833,1641754,1621244
,="Student Support Services",2800392,2806773,2496096,2763881,2833892
,="Administration and Support Services",2736855,2661924,2602520,2978023,3090852
,="Plant Operation and Maintenance",3162895,2792270,3394151,3654258,4032194
,="Transportation",1805329,1823989,1751172,1948319,1899548
,="Students Tuitioned Out",1975745,1851439,1750984,1688734,1517255
,="Other",767648,773033,838381,792821,785371
,="Total Expenditures",29905134,30163388,30647320,31643460,32022980
="Regional School District 15",="Instructional Staff and Services",34123735,33983105,34307161,35391627,36128051
,="Instructional Supplies and Equipment",651502,616950,471710,488823,453137
,="Instruction and Educational Media Services",1808433,1206954,1459408,1233671,1443635
,="Student Support Services",5441467,5327629,5286059,5117364,5694103
,="Administration and Support Services",5718426,5743502,6068191,5995733,6451899
,="Plant Operation and Maintenance",6617851,6745286,6291059,5955119,6219222
,="Transportation",3579931,3782453,3994707,3955999,4110429
,="Students Tuitioned Out",1567851,1833398,2059854,2510700,2357142
,="Other",1318930,1366607,1401647,1275344,1305996
,="Total Expenditures",60828126,60605884,61339796,61924380,64163614
="Regional School District 16",="Instructional Staff and Services",19881303,18479859,18186673,17639215,18042460
,="Instructional Supplies and Equipment",589002,482205,492204,478378,640706
,="Instruction and Educational Media Services",1917492,1780813,1890326,2120347,2010723
,="Student Support Services",2339681,2236237,2214764,2384379,2247189
,="Administration and Support Services",3835420,4100627,4025035,4348602,4250640
,="Plant Operation and Maintenance",3452287,3138790,3230658,3180172,5308598
,="Transportation",2313558,2297581,2348505,2397348,2434034
,="Students Tuitioned Out",1090331,1171958,1254293,1331913,1352442
,="Other",474841,496562,533919,663585,572406
,="Total Expenditures",35893915,34184632,34176377,34543939,36859198
="Regional School District 17",="Instructional Staff and Services",20218629,19893186,19486087,19650473,20415394
,="Instructional Supplies and Equipment",665173,385292,614193,547004,494891
,="Instruction and Educational Media Services",611094,600253,610092,648504,723086
,="Student Support Services",1833667,1891119,1762100,1760570,1951058
,="Administration and Support Services",3686386,3882761,4135862,4064021,4231547
,="Plant Operation and Maintenance",4514948,4680842,4760294,4952701,4757811
,="Transportation",3114515,3461061,3393425,3476606,3327550
,="Students Tuitioned Out",896830,1295580,1073235,1490662,1525034
,="Other",601318,657346,650929,676394,733215
,="Total Expenditures",36142560,36747440,36486217,37266935,38159586
="Regional School District 18",="Instructional Staff and Services",13147966,13236468,13352956,13371969,13554579
,="Instructional Supplies and Equipment",479430,398980,446001,454716,367110
,="Instruction and Educational Media Services",1438860,1345598,1379921,1255736,1515844
,="Student Support Services",2035502,2042347,2078615,2007912,2018535
,="Administration and Support Services",2894809,3008866,3118405,3096120,3153454
,="Plant Operation and Maintenance",4073456,3970651,3885345,4161528,4398820
,="Transportation",1301360,1368772,1326603,1389820,1374717
,="Students Tuitioned Out",1113227,1074316,666010,821462,505122
,="Other",522137,562372,605701,538501,588030
,="Total Expenditures",27006747,27008370,26859557,27097764,27476211
="Regional School District 19",="Instructional Staff and Services",10579809,10789483,10904409,10859468,11566001
,="Instructional Supplies and Equipment",257306,482440,434633,653816,636601
,="Instruction and Educational Media Services",300403,322354,363311,412255,304794
,="Student Support Services",1174364,1163076,1152552,1164489,1210610
,="Administration and Support Services",2121046,2204956,2324496,2409541,2666905
,="Plant Operation and Maintenance",1501072,1541963,1572181,1552916,1721181
,="Transportation",1371649,1492576,1480960,1530628,1442410
,="Students Tuitioned Out",1496615,1239481,989414,842536,932121
,="Other",708746,769918,745487,770276,826386
,="Total Expenditures",19511010,20006247,19967443,20195925,21307009
="Ridgefield School District",="Instructional Staff and Services",48704214,49129930,50198198,50394509,50807603
,="Instructional Supplies and Equipment",1096343,1187338,993427,1023919,989808
,="Instruction and Educational Media Services",4105480,4408966,4524612,5116173,5525935
,="Student Support Services",3967426,4016047,4213827,4250323,4758522
,="Administration and Support Services",6308026,6960757,6439990,6694331,6812303
,="Plant Operation and Maintenance",8788814,7918881,8421418,9338772,9398145
