School Name,Organization Type,Organization Code,Location 1,Zipcode,Phone,PreKindergarten,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Student Open Date,Interdistrict Magnet
Aiken School,Public Schools,1551611,"212 King Philip Dr.
West Hartford, CT 06117-1408
(41.800352, -72.746562)",06117-1408,860-233-6994,1,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1990 0:00:00.000,0
Joseph O. Goodwin School,Public Schools,0430411,"1235 Forbes St.
East Hartford, CT 06118-2803
(41.739258, -72.605054)",06118-2803,860-622-5420,0,1,1,1,1,1,1,1,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Geraldine Johnson School,Public Schools,0153211,"475 Lexington Avenue
Bridgeport, CT 06604-2675
(41.185338, -73.202525)",06604-2675,203-275-2500,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Brooklyn Middle School,Public Schools,0195111,"119 Gorman Rd.
Brooklyn, CT 06234-1805
(41.785108, -71.934786)",06234-1805,860-774-9153,0,0,0,0,0,0,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Helen Keller Middle School,Public Schools,0465111,"360 Sport Hill Rd.
Easton, CT 06612-1714
(41.243122, -73.273247)",06612-1714,203-268-8651,0,0,0,0,0,0,0,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
New London Visual and Performing Arts Magnet School,Public Schools,0951411,"36 Waller Street
New London, CT 06320
(41.358579, -72.106743)",06320,860-449-6800,0,0,0,0,0,0,0,1,1,0,0,0,0,0,01Sep2016 0:00:00.000,1
Edgewood School,Public Schools,0170311,"345 Mix St.
Bristol, CT 06010-2785
(41.701033, -72.921787)",06010-2785,860-584-7827,1,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1998 0:00:00.000,0
Sherman School,Public Schools,0511311,"250 Fern St.
Fairfield, CT 06824
(41.139482, -73.245111)",06824,203-255-8330,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Cheshire High School,Public Schools,0256111,"525 South Main St.
Cheshire, CT 06410-3198
(41.489597, -72.904689)",06410-3198,203-250-2511,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
West District School,Public Schools,0520311,"114 West District Road
Unionville, CT 06085
(41.736609, -72.879254)",06085,860-673-2579,0,1,1,1,1,1,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Union Elementary School,Public Schools,1450111,"18 Kinney Hollow Rd.
Union, CT 06076-4922
(41.987055, -72.159912)",06076-4922,860-684-3146,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Avon High School,Public Schools,0046111,"510 West Avon Rd.
Avon, CT 06001-2519
(41.781511, -72.864107)",06001-2519,860-404-4740,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Polk School,Public Schools,1530411,"435 Buckingham St.
Oakville, CT 06779-1131
(41.598495, -73.085491)",06779-1131,860-945-4840,0,0,0,0,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Jennings School,Public Schools,0511711,"31 Palm Dr.
Fairfield, CT 06824
(41.186985, -73.245789)",06824,203-255-8316,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Louis Toffolon School,Public Schools,1100511,"145 NorthWest Dr.
Plainville, CT 06062-1534
(41.686082, -72.88482)",06062-1534,860-793-3280,1,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Salisbury School District,Public School Districts,1220011,"45 Lincoln City Road
Salisbury, CT 06039
(41.970492, -73.437777)",06039,860-435-9871,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1996 0:00:00.000,0
Davenport Ridge School,Public Schools,1352011,"1300 Newfield Ave.
Stamford, CT 06905-1413
(41.103113, -73.530746)",06905-1413,203-977-4291,1,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Southeast Elementary School,Public Schools,0780511,"134 Warrenville Rd.
Mansfield Center, CT 06250-1229
(41.774199, -72.191759)",06250-1229,860-423-1611,1,1,1,1,1,1,0,0,0,0,0,0,0,0,01Jul1988 0:00:00.000,0
Glenville School,Public Schools,0570411,"33 Riversville Rd.
Greenwich, CT 06831-3627
(41.039371, -73.664464)",06831-3627,203-531-9287,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Killingly Central School,Public Schools,0690111,"60 Soap St.
Dayville, CT 06241-0365
(41.850185, -71.885032)",06241-0365,860-779-6750,1,1,1,0,0,0,0,0,0,0,0,0,0,0,01Jul1999 0:00:00.000,0
Waterford School District,Public School Districts,1520011,"15 Rope Ferry Road
Waterford, CT 06385
(41.342414, -72.13114)",06385,860-444-5801,0,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
West Side Middle School,Public Schools,1515211,"483 Chase Parkway
Waterbury, CT 06708-3303
(41.547503, -73.060999)",06708-3303,203-574-8120,0,0,0,0,0,0,0,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Carmen Arace Intermediate School,Public Schools,0110711,"390 Park Ave.
Bloomfield, CT 06002-3100
(41.82236, -72.714592)",06002-3100,860-286-2626,0,0,0,0,0,0,1,1,0,0,0,0,0,0,01Jul2004 0:00:00.000,0
Roaring Brook School,Public Schools,0040311,"30 Old Wheeler Ln.
Avon, CT 06001-4061
(41.791646, -72.890398)",06001-4061,860-404-4810,0,1,1,1,1,1,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Culinary Arts Academy at Weaver High School,Public Schools,0646011,"85 Sigourney Street
Hartford, CT 06105
(41.76667, -72.693801)",06105,860-695-1640,0,0,0,0,0,0,0,0,0,0,0,1,1,1,25Aug2008 0:00:00.000,0
Hartford School District,Public School Districts,0640011,"249 High Street
Hartford, CT 06103
(41.772385, -72.677792)",06103,860-695-8000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Elizabeth Green School,Public Schools,0940211,"30 Thomas St.
Newington, CT 06111-2059
(41.713688, -72.722123)",06111-2059,860-666-3394,1,1,1,1,1,1,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Dominick H. Ferrara School,Public Schools,0441311,"22 Maynard Rd.
East Haven, CT 06512-1299
(41.334221, -72.852301)",06512-1299,203-468-3318,0,0,0,0,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
House of Arts Letters and Science (HALS)  Academy,Public Schools,0895411,"30 Pendleton Rd.
New Britain, CT 06053
(41.694266, -72.770512)",06053,860-826-1866,0,0,0,0,0,0,0,1,1,1,0,0,0,0,01Jul2006 0:00:00.000,0
Trumbull School District,Public School Districts,1440011,"6254 Main Street
Trumbull, CT 06611
(41.268927, -73.225577)",06611,203-452-4301,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Carmen Arace Middle School,Public Schools,0115211,"390 Park Ave.
Bloomfield, CT 06002-3100
(41.82236, -72.714592)",06002-3100,860-286-2622,0,0,0,0,0,0,0,0,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Montessori Magnet at Fisher School,Public Schools,0643711,"280 Plainfield Street
Hartford, CT 06112-1028
(41.791455, -72.708169)",06112-1028,860-695-3560,1,1,1,1,1,1,1,1,1,1,0,0,0,0,25Aug2008 0:00:00.000,1
Metacomet School,Public Schools,0110511,"185 School St.
Bloomfield, CT 06002-2718
(41.825362, -72.707713)",06002-2718,860-286-2660,0,0,0,0,1,1,0,0,0,0,0,0,0,0,01Jul2011 0:00:00.000,0
North Stonington Elementary School,Public Schools,1020111,"311 Norwich/Westerly Rd.
North Stonington, CT 06359-0901
(41.439477, -71.887273)",06359-0901,860-535-2805,1,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Preston Plains School,Public Schools,1145111,"1 Route 164
Preston, CT 06365
(41.488722, -71.984027)",06365,860-889-3831,0,0,0,0,0,0,0,1,1,1,0,0,0,0,01Jul1997 0:00:00.000,0
Redding Elementary School,Public Schools,1170111,"33 Lonetown Rd.
Redding, CT 06896
(41.309223, -73.383715)",06896,203-938-2519,1,1,1,1,1,1,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Lillie B. Haynes School,Public Schools,0450411,"29 Society Rd.
Niantic, CT 06357-1107
(41.346932, -72.213503)",06357-1107,860-739-2922,1,1,1,1,1,1,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Westbrook High School,Public Schools,1546111,"156 McVeagh Rd.
Westbrook, CT 06498
(41.298085, -72.456217)",06498,860-399-6214,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Canton High School,Public Schools,0236111,"76 Simonds Avenue
Canton, CT 06019-1207
(41.823647, -72.91683)",06019-1207,860-693-7707,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Riverside School,Public Schools,0571011,"90 Hendrie Ave.
Riverside, CT 06878-1829
(41.033694, -73.580339)",06878-1829,203-637-1440,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Rawson School,Public Schools,0641711,"260 Holcomb Street
Hartford, CT 06112-1436
(41.795753, -72.700254)",06112-1436,860-695-4840,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Laurel School,Public Schools,0110611,"1 Filley St.
Bloomfield, CT 06002-1854
(41.8366, -72.722107)",06002-1854,860-286-2675,0,1,1,1,0,0,0,0,0,0,0,0,0,0,01Jul2012 0:00:00.000,0
John Wallace Middle School,Public Schools,0945311,"71 Halleran Dr.
Newington, CT 06111-4411
(41.67066, -72.734853)",06111-4411,860-667-5888,0,0,0,0,0,0,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Woodrow Wilson School,Public Schools,1513211,"235 Birch St.
Waterbury, CT 06704
(41.556046, -73.020601)",06704,203-573-6660,1,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1997 0:00:00.000,0
East Hampton Middle School,Public Schools,0425111,"19 Childs Rd.
East Hampton, CT 06424-1709
(41.569159, -72.522432)",06424-1709,860-365-4060,0,0,0,0,0,0,0,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Rocky Hill High School,Public Schools,1196111,"50 Chapin Ave.
Rocky Hill, CT 06067
(41.670368, -72.645706)",06067,860-258-7721,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Edna C. Stevens School,Public Schools,0330211,"25 Court St.
Cromwell, CT 06416-1617
(41.620278, -72.659116)",06416-1617,860-632-4866,1,1,1,1,0,0,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Watertown School District,Public School Districts,1530011,"10 DeForest Street
Watertown, CT 06795
(41.606173, -73.118466)",06795,860-945-4801,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Wells Road Intermediate School,Public Schools,0560311,"134 Wells Rd.
Granby, CT 06035-1009
(41.990725, -72.809141)",06035-1009,860-844-3048,0,0,0,0,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Cranbury Elementary School,Public Schools,1030411,"5 Knowalot Lane
Norwalk, CT 06851-1399
(41.155367, -73.403135)",06851-1399,203-846-3600,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Bishop School Early Learning Center,Public Schools,1040111,"526 East Main St.
Norwich, CT 06360-5909
(41.522605, -72.062745)",06360-5909,860-823-4201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
East Ridge Middle School,Public Schools,1185111,"10 East Ridge Rd.
Ridgefield, CT 06877-5022
(41.276925, -73.492778)",06877-5022,203-438-3744,0,0,0,0,0,0,0,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Seymour Middle School,Public Schools,1245111,"211 Mountain Rd.
Seymour, CT 06483-3110
(41.376294, -73.110756)",06483-3110,203-888-4513,0,0,0,0,0,0,0,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Cornwall Consolidated School,Public Schools,0310111,"5 Cream Hill Rd.
West Cornwall, CT 06796
(41.876105, -73.341998)",06796,860-672-6617,0,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Niantic Center School,Public Schools,0450211,"7 West Main St.
Niantic, CT 06357-2319
(41.32218, -72.203865)",06357-2319,860-739-3961,0,1,1,1,1,1,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Conard High School,Public Schools,1556111,"110 Beechwood Rd.
West Hartford, CT 06107
(41.735275, -72.748052)",06107,860-231-5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Edgar H. Parkman School,Public Schools,0491311,"165 Weymouth Rd.
Enfield, CT 06082-6200
(41.94848, -72.570985)",06082-6200,860-253-6570,0,0,0,0,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Litchfield Middle School,Public Schools,0746011,"14 Plumb Hill Road
Litchfield, CT 06759-0110
(41.741877, -73.205308)",06759-0110,860-567-7540,0,0,0,0,0,0,0,0,1,1,0,0,0,0,02Sep2015 0:00:00.000,
Somers High School,Public Schools,1296111,"5 Vision Boulevard
Somers, CT 06071
(41.983736, -72.582119)",06071,860-749-2270,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Spring Glen School,Public Schools,0621011,"1908 Whitney Ave.
Hamden, CT 06517-1206
(41.36816, -72.907354)",06517-1206,203-407-2045,0,1,1,1,1,1,1,1,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Bowers School,Public Schools,0770111,"141 Princeton St.
Manchester, CT 06042-3272
(41.788434, -72.511322)",06042-3272,860-647-3313,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Granby School District,Public School Districts,0560011,"15B North Granby Road
Granby, CT 06035
(41.955837, -72.792541)",06035,860-844-5250,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Walter C. Polson Upper Middle School,Public Schools,0765211,"302 Green Hill Rd.
Madison, CT 06443-2283
(41.297147, -72.620242)",06443-2283,203-245-6480,0,0,0,0,0,0,0,0,1,1,0,0,0,0,01Jul2003 0:00:00.000,0
Daisy Ingraham School,Public Schools,1540211,"105 Goodspeed Dr.
Westbrook, CT 06498-1997
(41.285184, -72.441618)",06498-1997,860-399-7925,1,1,1,1,1,1,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Hazardville Memorial School,Public Schools,0490411,"68 North Maple St.
Enfield, CT 06082-3904
(41.994684, -72.540066)",06082-3904,860-763-7500,1,1,1,1,0,0,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Branchville Elementary School,Public Schools,1180611,"40 Florida Rd.
Ridgefield, CT 06877-6111
(41.270365, -73.44617)",06877-6111,203-544-7980,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1995 0:00:00.000,0
North Branford Intermediate School,Public Schools,0995111,"654 Foxon Rd.
North Branford, CT 06471-1108
(41.332479, -72.799495)",06471-1108,203-484-1500,0,0,0,0,0,0,0,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
HPHS Engineering and Green Technology Academy,Public Schools,0647211,"55 Forest Street
Hartford, CT 06105
(41.765472, -72.700221)",06105,860-695-1315,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul2009 0:00:00.000,0
Maple Hill School,Public Schools,0880311,"641 Maple Hill Rd.
Naugatuck, CT 06770-3557
(41.48944, -73.015272)",06770-3557,203-720-5236,1,1,1,1,1,1,0,0,0,0,0,0,0,0,01Jul1989 0:00:00.000,0
Irving A. Robbins Middle School,Public Schools,0525111,"20 Wolf Pit Rd.
Farmington, CT 06032-2435
(41.720403, -72.800181)",06032-2435,860-677-2683,0,0,0,0,0,0,0,0,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Robert E. Fitch High School,Public Schools,0596111,"101 Groton Long Point Road
Groton, CT 06340-4861
(41.342288, -72.010157)",06340-4861,860-449-7200,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Mansfield Middle School School,Public Schools,0785111,"205 Spring Hill Rd.
Storrs, CT 06268-2819
(41.782844, -72.229335)",06268-2819,860-429-9341,0,0,0,0,0,0,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Middletown School District,Public School Districts,0830011,"311 Hunting Hill Avenue
Middletown, CT 06457
(41.541717, -72.647364)",06457,860-638-1401,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Deans Mill School,Public Schools,1370511,"35 Deans Mill Rd.
Stonington, CT 06378-2104
(41.3623, -71.924119)",06378-2104,860-535-2235,0,1,1,1,1,1,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Daniels Farm School,Public Schools,1440811,"710 Daniels Farm Rd.
Trumbull, CT 06611-5539
(41.269366, -73.200191)",06611-5539,203-452-4388,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Hamden High School,Public Schools,0626111,"2040 Dixwell Ave.
Hamden, CT 06514-2404
(41.366126, -72.921519)",06514-2404,203-407-2040,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Catherine M. McGee Middle School,Public Schools,0075111,"899 Norton Rd.
Berlin, CT 06037-3017
(41.615287, -72.761789)",06037-3017,860-828-0323,0,0,0,0,0,0,0,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Buttonball Lane School,Public Schools,0540211,"376 Buttonball Ln.
Glastonbury, CT 06033-3226
(41.689359, -72.598042)",06033-3226,860-652-7276,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Voluntown Elementary School,Public Schools,1470111,"195 Main Street
Voluntown, CT 06384-0129
(41.573712, -71.865342)",06384-0129,860-376-2325,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Hatton Elementary School,Public Schools,1310211,"50 Spring Lake Rd.
Southington, CT 06489-4424
(41.60147, -72.854711)",06489-4424,860-628-3377,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Wheeler High School,Public Schools,1026111,"298 Norwich/Westerly Rd.
North Stonington, CT 06359-0901
(41.43914, -71.886089)",06359-0901,860-535-0377,0,0,0,0,0,0,0,1,1,1,1,1,1,1,01Jul1984 0:00:00.000,0
North Stonington School District,Public School Districts,1020011,"311 Norwich/Westerly Road
North Stonington, CT 06359
(41.439477, -71.887273)",06359,860-535-2800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Cesar Batalla School,Public Schools,0151411,"606 Howard Ave.
Bridgeport, CT 06605
(41.170076, -73.208687)",06605,203-579-8501,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Edison School,Public Schools,0150711,"115 Boston Terrace
Bridgeport, CT 06610-2505
(41.19513, -73.162767)",06610-2505,203-576-7183,0,1,1,1,1,1,1,1,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Huckleberry Hill Elementary School,Public Schools,0180411,"100 Candlewood Lake Rd.
Brookfield, CT 06804-2228
(41.448088, -73.416492)",06804-2228,203-775-7675,0,0,0,1,1,1,0,0,0,0,0,0,0,0,01Jul1997 0:00:00.000,0
Jettie S. Tisdale School,Public Schools,0152211,"250 Hollister Avenue
Bridgeport, CT 06607
(41.178154, -73.160757)",06607,203-576-8037,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
A. W. Cox School,Public Schools,0600611,"143 Three Mile Course
Guilford, CT 06437-2522
(41.285506, -72.69537)",06437-2522,203-453-5291,0,1,1,1,1,1,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Slade Middle School,Public Schools,0895211,"183 Steele St.
New Britian, CT 06052-1555
(41.658605, -72.806182)",06052-1555,860-225-6395,0,0,0,0,0,0,0,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Portland High School,Public Schools,1136111,"95 High Street
Portland, CT 06480
(41.577672, -72.626631)",06480,860-342-1720,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Norwalk School District,Public School Districts,1030011,"125 East Avenue, Box 6001
Norwalk, CT 06852
(41.113124, -73.407659)",06852,203-854-4001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Toquam Magnet School,Public Schools,1351911,"123 Ridgewood Ave.
Stamford, CT 06907-2620
(41.081511, -73.522919)",06907-2620,203-977-4556,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1990 0:00:00.000,0
Ridge Road Elementary School,Public Schools,1010311,"1341 Ridge Rd.
North Haven, CT 06473-3005
(41.371827, -72.896457)",06473-3005,203-248-4050,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Sandy Hook Elementary School,Public Schools,0970211,"12 Dickinson Drive
Sandy Hook, CT 06482
(41.420064, -73.277752)",06482,203-426-7657,0,1,1,1,1,1,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Stillmeadow School,Public Schools,1352111,"800 Stillwater Rd.
Stamford, CT 06902
(41.069594, -73.557955)",06902,203-977-4507,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Anna H. Rockwell School,Public Schools,0090411,"400 Whittlesey Dr.
Bethel, CT 06801-1546
(41.38267, -73.396558)",06801-1546,203-794-8688,0,1,1,1,1,0,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Fawn Hollow Elementary School,Public Schools,0850511,"375 Fan Hill Rd.
Monroe, CT 06468
(41.346923, -73.231287)",06468,203-452-2923,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Hartford Magnet Trinity College Academy,Public Schools,0645411,"53 Vernon Street
Hartford, CT 06103
(41.751262, -72.686491)",06103,860-757-6201,0,0,0,0,0,0,0,1,1,1,1,1,1,1,01Jul1999 0:00:00.000,1
Old Saybrook Senior High School,Public Schools,1066111,"1111 Boston Post Rd.
Old Saybrook, CT 06475-4403
(41.287572, -72.393703)",06475-4403,860-395-3175,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Ashford School,Public Schools,0030111,"440 Westford Rd.
Ashford, CT 06278-1113
(41.892167, -72.170193)",06278-1113,860-429-6419,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1998 0:00:00.000,0
Plainville High School,Public Schools,1106111,"47 Robert Holcomb Way
Plainville, CT 06062
(41.666079, -72.857441)",06062,860-793-3220,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Waterbury School District,Public School Districts,1510011,"236 Grand Street, Chase Office Building
Waterbury, CT 06702
(41.554512, -73.043762)",06702,203-574-8004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Milner School,Public Schools,0641911,"104 Vine Street
Hartford, CT 06112-2271
(41.782572, -72.688205)",06112-2271,860-695-4380,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Berlin High School,Public Schools,0076111,"139 Patterson Way
Berlin, CT 06037-3146
(41.622677, -72.752391)",06037-3146,860-828-6577,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Vogel-Wetmore School,Public Schools,1431311,"68 Church St.
Torrington, CT 06790-5217
(41.803874, -73.123374)",06790-5217,860-489-2570,1,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1987 0:00:00.000,0
M. D. Fox School,Public Schools,0640811,"470 Maple Avenue
Hartford, CT 06114-1215
(41.746596, -72.680861)",06114-1215,860-695-3600,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Allgrove School,Public Schools,0400111,"33 Turkey Hills Rd.
East Granby, CT 06026-9570
(41.944189, -72.732143)",06026-9570,860-653-2505,1,1,1,1,0,0,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Roosevelt School,Public Schools,0152611,"680 Park Ave.
Bridgeport, CT 06604-4610
(41.171256, -73.195761)",06604-4610,203-576-8032,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Killingly Intermediate School,Public Schools,0695211,"1599 Upper Maple St.
Dayville, CT 06241-1543
(41.849377, -71.895034)",06241-1543,860-779-6700,0,0,0,0,0,0,1,1,1,1,0,0,0,0,01Jul1990 0:00:00.000,0
West Hartford School District,Public School Districts,1550011,"50 South Main Street
West Hartford, CT 06107
(41.758969, -72.742404)",06107,860-561-6600,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Royle Elementary School,Public Schools,0350511,"133 Mansfield Ave.
Darien, CT 06820-3525
(41.086744, -73.473052)",06820-3525,203-655-0044,1,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Orange School District,Public School Districts,1070011,"637 Orange Center Road
Orange, CT 06477
(41.279858, -73.026793)",06477,203-891-8020,1,1,1,1,1,1,1,1,0,0,0,0,0,0,01Jul1996 0:00:00.000,0
Mary Morrisson School,Public Schools,0591711,"154 Toll Gate Road
Groton, CT 06340-3444
(41.371855, -72.066237)",06340-3444,860-449-5655,1,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Sayles School,Public Schools,1330111,"25 Scotland Road
Baltic, CT 06330-1110
(41.623949, -72.085035)",06330-1110,860-822-8264,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
East Lyme High School,Public Schools,0456111,"30 Chesterfield Rd.
East Lyme, CT 06333-1244
(41.368537, -72.210521)",06333-1244,860-739-6946,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Hampton School District,Public School Districts,0630011,"380 Main Street
Hampton, CT 06247-1416
(41.791892, -72.059764)",06247-1416,860-455-9409,1,1,1,1,1,1,1,1,0,0,0,0,0,0,01Jul1996 0:00:00.000,0
Chapel School,Public Schools,1380311,"380 Chapel St.
Stratford, CT 06614-1690
(41.238229, -73.117833)",06614-1690,203-385-4192,0,1,1,1,1,1,1,1,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Griswold School District,Public School Districts,0580011,"211 Slater Avenue
Griswold, CT 06351
(41.597733, -71.978943)",06351,860-376-7600,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Mountain View School,Public Schools,0171711,"71 Vera Rd.
Bristol, CT 06010-4857
(41.695316, -72.898912)",06010-4857,860-584-7726,1,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1998 0:00:00.000,0
John B. Sliney School,Public Schools,0141611,"23 Eades St.
Branford, CT 06405-3628
(41.279091, -72.812234)",06405-3628,203-481-5386,1,1,1,1,1,1,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Jonathan Law High School,Public Schools,0846211,"20 Lansdale Ave.
Milford, CT 06460-5199
(41.203849, -73.087652)",06460-5199,203-783-3574,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
