"Chronic Absenteeism, Trend"
"All Districts, All Schools, Free/Reduced Price Meal Eligibility"

"",,,,,"% Chronically Absent",,,,
"Milford School District","=""0840011""","Live Oaks School","=""0841611""","Eligible For Reduced Lunch","*","*","*","*","*"
"Milford School District","=""0840011""","Mathewson School","=""0841711""","Eligible For Free Lunch","*","*","*","*","*"
"Milford School District","=""0840011""","Mathewson School","=""0841711""","Not Eligible For Lunch","*","*","*",6.6,"*"
"Milford School District","=""0840011""","Mathewson School","=""0841711""","Eligible For Reduced Lunch","*","*","*","*","*"
"Milford School District","=""0840011""","Meadowside School","=""0840711""","Eligible For Free Lunch","*","*","*","*","*"
"Milford School District","=""0840011""","Meadowside School","=""0840711""","Not Eligible For Lunch","*",3.4,"*","*",5.7
"Milford School District","=""0840011""","Meadowside School","=""0840711""","Eligible For Reduced Lunch",0.0,"*","*","*","*"
"Milford School District","=""0840011""","Orange Avenue School","=""0840811""","Eligible For Free Lunch","*","*","*","*","*"
"Milford School District","=""0840011""","Orange Avenue School","=""0840811""","Not Eligible For Lunch","*",4.5,4.2,"*","*"
"Milford School District","=""0840011""","Orange Avenue School","=""0840811""","Eligible For Reduced Lunch","*","*","*","*","*"
"Milford School District","=""0840011""","Orchard Hills School","=""0841811""","Eligible For Free Lunch","*","*","*","*","*"
"Milford School District","=""0840011""","Orchard Hills School","=""0841811""","Not Eligible For Lunch","*",2.1,2.1,3.0,"*"
"Milford School District","=""0840011""","Orchard Hills School","=""0841811""","Eligible For Reduced Lunch","*","*","*","*","*"
"Milford School District","=""0840011""","Pumpkin Delight School","=""0841011""","Eligible For Free Lunch",20.8,12.9,11.8,"*","*"
"Milford School District","=""0840011""","Pumpkin Delight School","=""0841011""","Not Eligible For Lunch","*",2.4,"*","*","*"
"Milford School District","=""0840011""","Pumpkin Delight School","=""0841011""","Eligible For Reduced Lunch","*",0.0,"*","*","*"
"Milford School District","=""0840011""","The Academy","=""0840311""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Milford School District","=""0840011""","The Academy","=""0840311""","Not Eligible For Lunch","N/A","N/A","N/A",92.0,70.0
"Milford School District","=""0840011""","The Academy","=""0840311""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","*"
"Milford School District","=""0840011""","West Shore Middle School","=""0845311""","Eligible For Free Lunch",24.0,28.7,26.9,12.4,15.2
"Milford School District","=""0840011""","West Shore Middle School","=""0845311""","Not Eligible For Lunch",4.6,6.4,3.0,"*","*"
"Milford School District","=""0840011""","West Shore Middle School","=""0845311""","Eligible For Reduced Lunch",15.9,21.1,25.0,"*","*"
"Monroe School District","=""0850011""","Fawn Hollow Elementary School","=""0850511""","Eligible For Free Lunch","*","*","*","*","*"
"Monroe School District","=""0850011""","Fawn Hollow Elementary School","=""0850511""","Not Eligible For Lunch","*","*","*","*","*"
"Monroe School District","=""0850011""","Fawn Hollow Elementary School","=""0850511""","Eligible For Reduced Lunch","*","*","*","*","*"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","Eligible For Free Lunch","*","*","*","*","*"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","Not Eligible For Lunch",8.4,5.4,3.5,2.8,3.3
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","Eligible For Reduced Lunch","*","*","*","*","*"
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","Eligible For Free Lunch","*",23.6,"*","*","*"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","Not Eligible For Lunch",8.1,9.1,5.1,2.2,2.2
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","Eligible For Reduced Lunch","*",14.6,"*","*","*"
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","Eligible For Free Lunch","*","*","*","*","*"
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","Not Eligible For Lunch","*","*","*","*",0.0
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Monroe School District","=""0850011""","REAL","=""0850411""","Eligible For Free Lunch","N/A","N/A","N/A","*","N/A"
"Monroe School District","=""0850011""","REAL","=""0850411""","Not Eligible For Lunch","N/A","N/A","N/A","*","N/A"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","Eligible For Free Lunch","*","*","*","*","*"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","Not Eligible For Lunch",2.6,1.9,1.6,"*","*"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","Eligible For Reduced Lunch","*","*","*","*","*"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","Eligible For Free Lunch",14.3,"*",10.3,"*","*"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","Not Eligible For Lunch","*","*","*",0.0,"*"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","Eligible For Reduced Lunch","*",0.0,"*","*",0.0
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","Eligible For Free Lunch","*",14.6,14.5,15.8,14.8
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","Not Eligible For Lunch",5.2,"*","*",3.1,3.6
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","Eligible For Reduced Lunch","*","*","*",0.0,0.0
"Montville School District","=""0860011""","Mohegan School","=""0860111""","Eligible For Free Lunch",11.1,7.6,8.6,5.5,"*"
"Montville School District","=""0860011""","Mohegan School","=""0860111""","Not Eligible For Lunch","*",4.1,3.6,"*","*"
"Montville School District","=""0860011""","Mohegan School","=""0860111""","Eligible For Reduced Lunch",0.0,"*","*","*",0.0
"Montville School District","=""0860011""","Montville High School","=""0866111""","Eligible For Free Lunch",22.5,"*","*",25.5,20.9
"Montville School District","=""0860011""","Montville High School","=""0866111""","Not Eligible For Lunch",7.2,6.5,6.5,"*","*"
"Montville School District","=""0860011""","Montville High School","=""0866111""","Eligible For Reduced Lunch",16.1,"*","*","*","*"
"Montville School District","=""0860011""","Oakdale School","=""0860511""","Eligible For Free Lunch","*",17.5,"*","*","*"
"Montville School District","=""0860011""","Oakdale School","=""0860511""","Not Eligible For Lunch",4.1,2.5,2.8,"*","*"
"Montville School District","=""0860011""","Oakdale School","=""0860511""","Eligible For Reduced Lunch","*",0.0,"*",0.0,0.0
"Montville School District","=""0860011""","Palmer Academy","=""0869011""","Eligible For Free Lunch","*","*","*","*","*"
"Montville School District","=""0860011""","Palmer Academy","=""0869011""","Not Eligible For Lunch","*","*","*","*","*"
"Montville School District","=""0860011""","Palmer Academy","=""0869011""","Eligible For Reduced Lunch","*","*","*","*","*"
"Naugatuck School District","=""0880011""","Andrew Avenue School","=""0880811""","Eligible For Free Lunch",12.1,13.2,7.9,"*",10.0
"Naugatuck School District","=""0880011""","Andrew Avenue School","=""0880811""","Not Eligible For Lunch","*","*","*","*","*"
"Naugatuck School District","=""0880011""","Andrew Avenue School","=""0880811""","Eligible For Reduced Lunch","*","*","*","*","*"
"Naugatuck School District","=""0880011""","Central Avenue School","=""0880111""","Eligible For Free Lunch",18.4,"N/A","N/A","N/A","N/A"
"Naugatuck School District","=""0880011""","Central Avenue School","=""0880111""","Not Eligible For Lunch","*","N/A","N/A","N/A","N/A"
"Naugatuck School District","=""0880011""","Central Avenue School","=""0880111""","Eligible For Reduced Lunch","*","N/A","N/A","N/A","N/A"
"Naugatuck School District","=""0880011""","City Hill Middle School","=""0885111""","Eligible For Free Lunch",18.7,28.0,21.6,23.8,19.2
"Naugatuck School District","=""0880011""","City Hill Middle School","=""0885111""","Not Eligible For Lunch",4.9,8.6,6.3,5.8,6.0
"Naugatuck School District","=""0880011""","City Hill Middle School","=""0885111""","Eligible For Reduced Lunch",10.5,10.0,16.7,9.5,13.6
"Naugatuck School District","=""0880011""","Cross Street Intermediate School","=""0880211""","Eligible For Free Lunch",14.5,22.0,14.6,18.0,15.3
"Naugatuck School District","=""0880011""","Cross Street Intermediate School","=""0880211""","Not Eligible For Lunch","*","*","*",5.3,5.4
"Naugatuck School District","=""0880011""","Cross Street Intermediate School","=""0880211""","Eligible For Reduced Lunch","*","*","*",0.0,0.0
"Naugatuck School District","=""0880011""","Genesis Academy","=""0880911""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"Naugatuck School District","=""0880011""","Genesis Academy","=""0880911""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"Naugatuck School District","=""0880011""","Genesis Academy","=""0880911""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"Naugatuck School District","=""0880011""","Hillside Intermediate School","=""0880411""","Eligible For Free Lunch",16.9,16.7,9.1,16.7,8.6
"Naugatuck School District","=""0880011""","Hillside Intermediate School","=""0880411""","Not Eligible For Lunch","*",7.7,"*","*","*"
"Naugatuck School District","=""0880011""","Hillside Intermediate School","=""0880411""","Eligible For Reduced Lunch","*",16.3,"*","*","*"
"Naugatuck School District","=""0880011""","Hop Brook Elementary School","=""0880511""","Eligible For Free Lunch","*",19.2,10.6,9.2,"*"
"Naugatuck School District","=""0880011""","Hop Brook Elementary School","=""0880511""","Not Eligible For Lunch",6.3,"*","*","*","*"
"Naugatuck School District","=""0880011""","Hop Brook Elementary School","=""0880511""","Eligible For Reduced Lunch","*","*","*","*","*"
"Naugatuck School District","=""0880011""","Maple Hill School","=""0880311""","Eligible For Free Lunch",16.9,"*","*",11.3,8.8
"Naugatuck School District","=""0880011""","Maple Hill School","=""0880311""","Not Eligible For Lunch","*","*",5.9,"*","*"
"Naugatuck School District","=""0880011""","Maple Hill School","=""0880311""","Eligible For Reduced Lunch","*",0.0,"*","*","*"
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""","Eligible For Free Lunch",32.8,34.2,37.1,26.9,29.9
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""","Not Eligible For Lunch",13.6,17.1,17.5,9.0,11.5
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""","Eligible For Reduced Lunch",19.3,19.4,25.2,12.4,14.7
"Naugatuck School District","=""0880011""","Salem School","=""0880611""","Eligible For Free Lunch",11.1,10.2,16.9,19.4,14.0
"Naugatuck School District","=""0880011""","Salem School","=""0880611""","Not Eligible For Lunch","*","*","*","*","*"
"Naugatuck School District","=""0880011""","Salem School","=""0880611""","Eligible For Reduced Lunch","*","*","*","*","*"
"Naugatuck School District","=""0880011""","Western School","=""0880711""","Eligible For Free Lunch","*","*","*","*","*"
"Naugatuck School District","=""0880011""","Western School","=""0880711""","Not Eligible For Lunch","*","*","*","*",5.8
"Naugatuck School District","=""0880011""","Western School","=""0880711""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc Family Academy","=""2800113""","Eligible For Free Lunch","N/A","N/A","N/A",21.7,8.2
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc Family Academy","=""2800113""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc Family Academy","=""2800113""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","*"
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc., Family Academy","=""2800113""","Eligible For Free Lunch","*",11.8,11.6,"N/A","N/A"
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc., Family Academy","=""2800113""","Not Eligible For Lunch","*","*","*","N/A","N/A"
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc., Family Academy","=""2800113""","Eligible For Reduced Lunch",0.0,"*","*","N/A","N/A"
"New Britain School District","=""0890011""","Hartford Detention Center","=""3480315""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"New Britain School District","=""0890011""","Hartford Detention Center","=""3480315""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""","Eligible For Free Lunch",70.2,"*","*","*",69.5
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""","Not Eligible For Lunch","*","*","*","*","*"
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""","Eligible For Reduced Lunch","*","*","N/A","*","*"
"New Britain School District","=""0890011""","Behavior Support","=""0891011""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"New Britain School District","=""0890011""","Behavior Support","=""0891011""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"New Britain School District","=""0890011""","Behavior Support","=""0891011""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"New Britain School District","=""0890011""","CLIMB","=""0899411""","Eligible For Free Lunch","*","*","*","*","*"
"New Britain School District","=""0890011""","CLIMB","=""0899411""","Not Eligible For Lunch","*","*","*","*","*"
"New Britain School District","=""0890011""","CLIMB","=""0899411""","Eligible For Reduced Lunch","N/A","N/A","*","*","N/A"
"New Britain School District","=""0890011""","Chamberlain  Elementary School","=""0890311""","Eligible For Free Lunch",34.5,30.3,17.2,16.3,11.6
"New Britain School District","=""0890011""","Chamberlain  Elementary School","=""0890311""","Not Eligible For Lunch",15.9,"*","*",8.7,"*"
"New Britain School District","=""0890011""","Chamberlain  Elementary School","=""0890311""","Eligible For Reduced Lunch",26.5,"*","*",0.0,"*"
"New Britain School District","=""0890011""","Frank J. DiLoreto School","=""0891111""","Eligible For Free Lunch",28.1,10.8,13.3,"*","*"
"New Britain School District","=""0890011""","Frank J. DiLoreto School","=""0891111""","Not Eligible For Lunch",18.0,"*","*","*","*"
"New Britain School District","=""0890011""","Frank J. DiLoreto School","=""0891111""","Eligible For Reduced Lunch",16.3,"*","*",0.0,0.0
"New Britain School District","=""0890011""","Gaffney School","=""0890511""","Eligible For Free Lunch",26.6,24.9,13.7,15.8,7.1
"New Britain School District","=""0890011""","Gaffney School","=""0890511""","Not Eligible For Lunch","*","*","*","*","*"
"New Britain School District","=""0890011""","Gaffney School","=""0890511""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Britain School District","=""0890011""","Holmes School","=""0890611""","Eligible For Free Lunch",24.9,16.7,10.4,13.5,13.7
"New Britain School District","=""0890011""","Holmes School","=""0890611""","Not Eligible For Lunch","*","*","*","*","*"
"New Britain School District","=""0890011""","Holmes School","=""0890611""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Britain School District","=""0890011""","House of Arts Letters and Science (HALS)  Academy","=""0895411""","Eligible For Free Lunch","*","*","*","*","*"
"New Britain School District","=""0890011""","House of Arts Letters and Science (HALS)  Academy","=""0895411""","Not Eligible For Lunch","*","*","*","*","*"
"New Britain School District","=""0890011""","House of Arts Letters and Science (HALS)  Academy","=""0895411""","Eligible For Reduced Lunch",0.0,"*",0.0,"*","*"
"New Britain School District","=""0890011""","Jefferson School","=""0890711""","Eligible For Free Lunch",17.9,10.7,"*","*",4.6
"New Britain School District","=""0890011""","Jefferson School","=""0890711""","Not Eligible For Lunch","*","*","*","*","*"
"New Britain School District","=""0890011""","Jefferson School","=""0890711""","Eligible For Reduced Lunch","*","*",0.0,"*","*"
"New Britain School District","=""0890011""","KEY Elementary","=""0891611""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"New Britain School District","=""0890011""","KEY Elementary","=""0891611""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"New Britain School District","=""0890011""","KEY Elementary","=""0891611""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"New Britain School District","=""0890011""","KEY Middle","=""0891711""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"New Britain School District","=""0890011""","KEY Middle","=""0891711""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"New Britain School District","=""0890011""","KEY Middle","=""0891711""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"New Britain School District","=""0890011""","Lincoln School","=""0890811""","Eligible For Free Lunch",22.5,16.4,17.5,"*",15.2
"New Britain School District","=""0890011""","Lincoln School","=""0890811""","Not Eligible For Lunch","*","*","*","*","*"
"New Britain School District","=""0890011""","Lincoln School","=""0890811""","Eligible For Reduced Lunch","*","*","*",0.0,"*"
"New Britain School District","=""0890011""","New Britain High School","=""0896111""","Eligible For Free Lunch",52.0,50.0,42.5,46.2,38.5
"New Britain School District","=""0890011""","New Britain High School","=""0896111""","Not Eligible For Lunch",33.4,32.1,24.8,22.9,22.9
"New Britain School District","=""0890011""","New Britain High School","=""0896111""","Eligible For Reduced Lunch",31.6,23.7,21.6,23.4,17.1
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""","Eligible For Free Lunch",50.0,"*",0.0,0.0,51.0
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""","Not Eligible For Lunch","*","*","*","*","*"
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Britain School District","=""0890011""","Northend School","=""0890911""","Eligible For Free Lunch",12.7,6.2,12.7,18.1,"*"
"New Britain School District","=""0890011""","Northend School","=""0890911""","Not Eligible For Lunch","*","*","*","*","*"
"New Britain School District","=""0890011""","Northend School","=""0890911""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""","Eligible For Free Lunch",31.5,19.3,23.2,25.8,18.9
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""","Not Eligible For Lunch",19.5,"*",20.6,18.9,"*"
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""","Eligible For Reduced Lunch",18.2,"*",17.4,22.2,"*"
"New Britain School District","=""0890011""","Roosevelt Middle School","=""0895111""","Eligible For Free Lunch",26.6,74.6,27.0,"N/A","N/A"
"New Britain School District","=""0890011""","Roosevelt Middle School","=""0895111""","Not Eligible For Lunch","*",60.4,"*","N/A","N/A"
"New Britain School District","=""0890011""","Roosevelt Middle School","=""0895111""","Eligible For Reduced Lunch","*",72.0,"*","N/A","N/A"
"New Britain School District","=""0890011""","Slade Middle School","=""0895211""","Eligible For Free Lunch",20.6,18.0,20.1,26.0,23.1
"New Britain School District","=""0890011""","Slade Middle School","=""0895211""","Not Eligible For Lunch",14.5,15.2,"*","*","*"
"New Britain School District","=""0890011""","Slade Middle School","=""0895211""","Eligible For Reduced Lunch",13.6,0.0,"*","*","*"
"New Britain School District","=""0890011""","Smalley Academy","=""0891211""","Eligible For Free Lunch",26.5,26.6,16.0,16.8,17.6
"New Britain School District","=""0890011""","Smalley Academy","=""0891211""","Not Eligible For Lunch","*","*","*","*","*"
"New Britain School District","=""0890011""","Smalley Academy","=""0891211""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Britain School District","=""0890011""","Smith School","=""0891311""","Eligible For Free Lunch",18.4,15.0,8.5,13.1,6.4
"New Britain School District","=""0890011""","Smith School","=""0891311""","Not Eligible For Lunch",10.3,"*","*","*","*"
"New Britain School District","=""0890011""","Smith School","=""0891311""","Eligible For Reduced Lunch","*","*",0.0,"*",0.0
"New Britain School District","=""0890011""","Steps","=""0891811""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"New Britain School District","=""0890011""","Steps","=""0891811""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"New Britain School District","=""0890011""","Steps","=""0891811""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"New Britain School District","=""0890011""","Sunrise Intermediate","=""0890411""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"New Britain School District","=""0890011""","Sunrise Intermediate","=""0890411""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"New Britain School District","=""0890011""","Sunrise Primary","=""0890211""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"New Britain School District","=""0890011""","Sunrise Primary","=""0890211""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"New Britain School District","=""0890011""","Vance School","=""0891511""","Eligible For Free Lunch",14.9,11.4,12.3,"*",12.1
"New Britain School District","=""0890011""","Vance School","=""0891511""","Not Eligible For Lunch","*","*","*","*","*"
"New Britain School District","=""0890011""","Vance School","=""0891511""","Eligible For Reduced Lunch","*","*","*",0.0,"*"
"New Canaan School District","=""0900011""","East School","=""0900411""","Not Eligible For Lunch","*",4.3,3.7,"*",2.0
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""","Not Eligible For Lunch",20.8,2.7,3.0,4.4,3.3
"New Canaan School District","=""0900011""","Saxe Middle School","=""0905111""","Not Eligible For Lunch",4.3,4.9,3.6,2.9,2.1
"New Canaan School District","=""0900011""","South School","=""0900211""","Not Eligible For Lunch",1.9,5.2,"*","*","*"
"New Canaan School District","=""0900011""","West School","=""0900311""","Not Eligible For Lunch",4.4,5.9,"*",2.5,2.4
"New Fairfield School District","=""0910011""","Alternative Learning Center","=""0910311""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"New Fairfield School District","=""0910011""","Consolidated School","=""0910111""","Eligible For Free Lunch","*","*","*","*","*"
"New Fairfield School District","=""0910011""","Consolidated School","=""0910111""","Not Eligible For Lunch",5.4,3.1,3.8,"*","*"
"New Fairfield School District","=""0910011""","Consolidated School","=""0910111""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Fairfield School District","=""0910011""","Day Alternative Learning Program","=""0910411""","Not Eligible For Lunch","N/A","N/A","N/A","*","N/A"
"New Fairfield School District","=""0910011""","Day Alternative Learning Program","=""0910411""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","N/A"
"New Fairfield School District","=""0910011""","Meeting House Hill School","=""0910211""","Eligible For Free Lunch","*","*","*","*","*"
"New Fairfield School District","=""0910011""","Meeting House Hill School","=""0910211""","Not Eligible For Lunch","*",2.4,"*",1.5,"*"
"New Fairfield School District","=""0910011""","Meeting House Hill School","=""0910211""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""","Eligible For Free Lunch","*","*","*","*","*"
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""","Not Eligible For Lunch",9.9,7.1,5.5,1.3,2.5
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Fairfield School District","=""0910011""","New Fairfield Middle School","=""0915211""","Eligible For Free Lunch","*","*","*","*","*"
"New Fairfield School District","=""0910011""","New Fairfield Middle School","=""0915211""","Not Eligible For Lunch",8.6,6.5,3.8,3.1,3.8
"New Fairfield School District","=""0910011""","New Fairfield Middle School","=""0915211""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""","Eligible For Free Lunch","*","*","*","*","*"
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""","Not Eligible For Lunch","*","*","*","*",3.0
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Hartford School District","=""0920011""","Bakerville Consolidated School","=""0920111""","Eligible For Free Lunch","*","*","*","*","*"
"New Hartford School District","=""0920011""","Bakerville Consolidated School","=""0920111""","Not Eligible For Lunch",7.0,"*",5.1,"*","*"
"New Hartford School District","=""0920011""","Bakerville Consolidated School","=""0920111""","Eligible For Reduced Lunch","*","N/A","*","N/A","*"
"New Hartford School District","=""0920011""","Bridges II at Ann Antolini School","=""0920411""","Eligible For Free Lunch","N/A","N/A","N/A","*","N/A"
"New Hartford School District","=""0920011""","Bridges II at Ann Antolini School","=""0920411""","Not Eligible For Lunch","N/A","N/A","N/A","*","N/A"
"New Hartford School District","=""0920011""","New Hartford Elementary School","=""0920211""","Eligible For Free Lunch","*","*","*","*","*"
"New Hartford School District","=""0920011""","New Hartford Elementary School","=""0920211""","Not Eligible For Lunch","*","*","*","*","*"
"New Hartford School District","=""0920011""","New Hartford Elementary School","=""0920211""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","Edgewood School","=""0931211""","Eligible For Free Lunch",4.3,8.6,23.1,13.7,14.5
"New Haven School District","=""0930011""","Edgewood School","=""0931211""","Not Eligible For Lunch","*","*","*","*",6.1
"New Haven School District","=""0930011""","Edgewood School","=""0931211""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""","Eligible For Free Lunch",10.9,18.2,23.9,16.5,14.1
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""","Not Eligible For Lunch",6.1,8.7,10.8,14.8,8.0
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""","Eligible For Free Lunch",20.0,11.4,21.5,33.2,30.8
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""","Not Eligible For Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""","Eligible For Free Lunch",10.0,8.4,"*",22.3,21.2
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""","Not Eligible For Lunch",5.4,"*",9.1,"*","*"
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""","Eligible For Reduced Lunch",0.0,"*","*","*","*"
"New Haven School District","=""0930011""","Beecher School","=""0930311""","Eligible For Free Lunch",18.8,14.6,"*",33.0,25.3
"New Haven School District","=""0930011""","Beecher School","=""0930311""","Not Eligible For Lunch","*","*",19.6,"*",20.0
"New Haven School District","=""0930011""","Beecher School","=""0930311""","Eligible For Reduced Lunch","*","*","*","*",15.0
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""","Eligible For Free Lunch",11.0,9.6,"*",20.3,14.0
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""","Not Eligible For Lunch",6.4,"*","*","*","*"
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""","Eligible For Reduced Lunch",0.0,"*","*","*","*"
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""","Eligible For Free Lunch",13.9,10.2,"*","*",24.4
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""","Not Eligible For Lunch","*","*",11.1,"*","*"
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""","Eligible For Free Lunch",17.9,11.7,29.4,28.7,14.3
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""","Not Eligible For Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","Blake Street Leadership Academy (STEP)","=""0932411""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"New Haven School District","=""0930011""","Blake Street Leadership Academy (STEP)","=""0932411""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""","Eligible For Free Lunch",37.5,11.3,15.2,32.1,19.3
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""","Not Eligible For Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""","Eligible For Reduced Lunch","*","*","*","*","*"
